Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.021,0.021,0.021,0.021,143600,0.021
2016-06-30,0.021,0.021,0.021,0.021,65000,0.021
2016-06-29,0.021,0.021,0.021,0.021,494300,0.021
2016-06-28,0.022,0.022,0.022,0.022,1095000,0.022
2016-06-27,0.023,0.023,0.022,0.022,390900,0.022
2016-06-24,0.023,0.023,0.021,0.022,800200,0.022
2016-06-23,0.023,0.024,0.023,0.024,292800,0.024
2016-06-22,0.024,0.024,0.024,0.024,718900,0.024
2016-06-21,0.025,0.025,0.024,0.024,305200,0.024
2016-06-20,0.022,0.024,0.022,0.024,352500,0.024
2016-06-17,0.022,0.022,0.022,0.022,83200,0.022
2016-06-16,0.023,0.023,0.023,0.023,80000,0.023
2016-06-15,0.023,0.023,0.02,0.022,896700,0.022
2016-06-14,0.024,0.024,0.023,0.023,119000,0.023
2016-06-13,0.025,0.025,0.025,0.025,000,0.025
2016-06-10,0.025,0.025,0.025,0.025,40000,0.025
2016-06-09,0.023,0.023,0.023,0.023,301000,0.023
2016-06-08,0.023,0.023,0.023,0.023,57400,0.023
2016-06-07,0.025,0.025,0.023,0.023,154400,0.023
2016-06-06,0.024,0.026,0.024,0.026,134300,0.026
2016-06-03,0.026,0.027,0.026,0.027,500000,0.027
2016-06-02,0.025,0.025,0.025,0.025,000,0.025
2016-06-01,0.025,0.025,0.025,0.025,000,0.025
2016-05-31,0.025,0.025,0.025,0.025,550000,0.025
2016-05-30,0.024,0.024,0.023,0.023,560000,0.023
2016-05-27,0.022,0.022,0.022,0.022,90800,0.022
2016-05-26,0.026,0.026,0.026,0.026,33300,0.026
2016-05-25,0.025,0.025,0.025,0.025,188100,0.025
2016-05-24,0.027,0.027,0.027,0.027,180400,0.027
2016-05-23,0.027,0.027,0.027,0.027,000,0.027
2016-05-20,0.027,0.027,0.027,0.027,20000,0.027
2016-05-19,0.026,0.026,0.026,0.026,24000,0.026
2016-05-18,0.027,0.027,0.027,0.027,50000,0.027
2016-05-17,0.027,0.027,0.026,0.026,235200,0.026
2016-05-16,0.027,0.027,0.027,0.027,124000,0.027
2016-05-13,0.022,0.027,0.021,0.025,456900,0.025
2016-05-12,0.021,0.022,0.021,0.021,1270000,0.021
2016-05-11,0.023,0.023,0.022,0.022,337900,0.022
2016-05-10,0.025,0.025,0.023,0.023,826600,0.023
2016-05-09,0.025,0.025,0.025,0.025,000,0.025
2016-05-06,0.025,0.025,0.023,0.025,1015000,0.025
2016-05-05,0.026,0.026,0.026,0.026,348900,0.026
2016-05-04,0.026,0.027,0.025,0.027,182000,0.027
2016-05-03,0.027,0.027,0.027,0.027,35000,0.027
2016-05-02,0.025,0.027,0.025,0.025,1145400,0.025
2016-04-29,0.024,0.028,0.024,0.028,670000,0.028
2016-04-28,0.027,0.027,0.02,0.023,2134800,0.023
2016-04-27,0.027,0.027,0.027,0.027,250700,0.027
2016-04-26,0.029,0.029,0.027,0.027,776200,0.027
2016-04-25,0.03,0.03,0.03,0.03,000,0.03
2016-04-22,0.03,0.03,0.029,0.03,289300,0.03
2016-04-21,0.027,0.03,0.027,0.029,792000,0.029
2016-04-20,0.027,0.027,0.027,0.027,000,0.027
2016-04-19,0.029,0.029,0.026,0.027,1390900,0.027
2016-04-18,0.029,0.031,0.029,0.029,410000,0.029
2016-04-15,0.03,0.031,0.029,0.029,294000,0.029
2016-04-14,0.03,0.03,0.03,0.03,000,0.03
2016-04-13,0.031,0.031,0.03,0.03,377900,0.03
2016-04-12,0.031,0.032,0.031,0.031,87400,0.031
2016-04-11,0.032,0.032,0.032,0.032,62500,0.032
2016-04-08,0.032,0.033,0.032,0.033,55800,0.033
2016-04-07,0.031,0.032,0.03,0.03,419600,0.03
2016-04-06,0.03,0.032,0.03,0.032,100000,0.032
2016-04-05,0.03,0.031,0.03,0.03,194000,0.03
2016-04-04,0.031,0.032,0.031,0.031,594500,0.031
2016-04-01,0.03,0.03,0.029,0.03,755800,0.03
2016-03-31,0.029,0.03,0.029,0.03,294600,0.03
2016-03-30,0.03,0.031,0.029,0.029,16400,0.029
2016-03-29,0.03,0.031,0.03,0.03,1015000,0.03
2016-03-28,0.026,0.026,0.026,0.026,000,0.026
2016-03-25,0.026,0.026,0.026,0.026,000,0.026
2016-03-24,0.03,0.03,0.026,0.026,111400,0.026
2016-03-23,0.03,0.03,0.029,0.029,339500,0.029
2016-03-22,0.032,0.032,0.03,0.03,321000,0.03
2016-03-21,0.03,0.031,0.03,0.03,173900,0.03
2016-03-18,0.031,0.031,0.031,0.031,000,0.031
2016-03-17,0.03,0.031,0.03,0.031,655900,0.031
2016-03-16,0.03,0.03,0.03,0.03,240000,0.03
2016-03-15,0.03,0.032,0.029,0.032,761600,0.032
2016-03-14,0.03,0.03,0.03,0.03,390000,0.03
2016-03-11,0.03,0.033,0.03,0.032,643600,0.032
2016-03-10,0.028,0.03,0.028,0.03,291900,0.03
2016-03-09,0.03,0.03,0.027,0.028,874600,0.028
2016-03-08,0.031,0.031,0.028,0.028,1570900,0.028
2016-03-07,0.033,0.033,0.03,0.03,798600,0.03
2016-03-04,0.033,0.035,0.031,0.034,1005000,0.034
2016-03-03,0.034,0.034,0.033,0.034,114700,0.034
2016-03-02,0.034,0.034,0.031,0.034,1481800,0.034
2016-03-01,0.03,0.036,0.029,0.034,5705100,0.034
2016-02-29,0.029,0.029,0.028,0.029,2015300,0.029
2016-02-26,0.028,0.028,0.025,0.028,475400,0.028
2016-02-25,0.026,0.026,0.026,0.026,000,0.026
2016-02-24,0.027,0.028,0.026,0.026,520000,0.026
2016-02-23,0.027,0.027,0.024,0.025,2176500,0.025
2016-02-22,0.027,0.028,0.025,0.028,220000,0.028
2016-02-19,0.027,0.027,0.027,0.027,000,0.027
2016-02-18,0.027,0.028,0.027,0.027,1479100,0.027
2016-02-17,0.027,0.027,0.027,0.027,200000,0.027
2016-02-16,0.027,0.027,0.025,0.025,400000,0.025
2016-02-15,0.025,0.026,0.025,0.026,290000,0.026
2016-02-12,0.024,0.028,0.022,0.024,884100,0.024
2016-02-11,0.028,0.028,0.027,0.027,55300,0.027
2016-02-10,0.026,0.029,0.026,0.028,546200,0.028
2016-02-09,0.023,0.027,0.023,0.027,971300,0.027
2016-02-08,0.022,0.023,0.022,0.023,431100,0.023
2016-02-05,0.022,0.022,0.022,0.022,85000,0.022
2016-02-04,0.021,0.021,0.021,0.021,000,0.021
2016-02-03,0.022,0.022,0.021,0.021,240500,0.021
2016-02-02,0.021,0.021,0.021,0.021,000,0.021
2016-02-01,0.021,0.021,0.021,0.021,000,0.021
2016-01-29,0.023,0.023,0.02,0.021,782200,0.021
2016-01-28,0.024,0.024,0.023,0.023,932500,0.023
2016-01-27,0.024,0.024,0.023,0.023,220000,0.023
2016-01-26,0.021,0.021,0.021,0.021,000,0.021
2016-01-25,0.021,0.021,0.021,0.021,20000,0.021
2016-01-22,0.022,0.022,0.022,0.022,000,0.022
2016-01-21,0.022,0.022,0.022,0.022,60000,0.022
2016-01-20,0.024,0.024,0.022,0.022,388400,0.022
2016-01-19,0.023,0.023,0.023,0.023,000,0.023
2016-01-18,0.025,0.025,0.023,0.023,236000,0.023
2016-01-15,0.025,0.025,0.025,0.025,100000,0.025
2016-01-14,0.027,0.027,0.027,0.027,162900,0.027
2016-01-13,0.026,0.027,0.024,0.027,757400,0.027
2016-01-12,0.031,0.031,0.026,0.026,731000,0.026
2016-01-11,0.031,0.034,0.031,0.034,285000,0.034
2016-01-08,0.038,0.039,0.031,0.031,670400,0.031
2016-01-07,0.034,0.038,0.034,0.038,92000,0.038
2016-01-06,0.029,0.032,0.029,0.032,1090600,0.032
2016-01-05,0.028,0.028,0.028,0.028,000,0.028
2016-01-04,0.028,0.028,0.028,0.028,150000,0.028
2016-01-01,0.029,0.029,0.029,0.029,000,0.029
2015-12-31,0.029,0.029,0.029,0.029,000,0.029
2015-12-30,0.028,0.029,0.028,0.029,540000,0.029
2015-12-29,0.026,0.026,0.026,0.026,000,0.026
2015-12-28,0.026,0.026,0.026,0.026,000,0.026
2015-12-25,0.026,0.026,0.026,0.026,000,0.026
2015-12-24,0.026,0.026,0.026,0.026,000,0.026
2015-12-23,0.026,0.026,0.026,0.026,000,0.026
2015-12-22,0.026,0.026,0.026,0.026,000,0.026
2015-12-21,0.026,0.026,0.026,0.026,74800,0.026
2015-12-18,0.025,0.025,0.025,0.025,56800,0.025
2015-12-17,0.024,0.024,0.024,0.024,000,0.024
2015-12-16,0.024,0.024,0.024,0.024,000,0.024
2015-12-15,0.024,0.024,0.024,0.024,000,0.024
2015-12-14,0.024,0.024,0.024,0.024,000,0.024
2015-12-11,0.024,0.024,0.024,0.024,110000,0.024
2015-12-10,0.025,0.025,0.025,0.025,000,0.025
2015-12-09,0.025,0.025,0.025,0.025,000,0.025
2015-12-08,0.025,0.025,0.025,0.025,000,0.025
2015-12-07,0.025,0.026,0.024,0.025,631600,0.025
2015-12-04,0.024,0.024,0.024,0.024,203400,0.024
2015-12-03,0.02,0.02,0.02,0.02,000,0.02
2015-12-02,0.02,0.02,0.02,0.02,000,0.02
2015-12-01,0.02,0.02,0.02,0.02,276000,0.02
2015-11-30,0.024,0.024,0.023,0.023,141000,0.023
2015-11-27,0.024,0.024,0.024,0.024,150000,0.024
2015-11-26,0.024,0.024,0.024,0.024,50000,0.024
2015-11-25,0.025,0.025,0.024,0.025,250000,0.025
2015-11-24,0.028,0.028,0.028,0.028,000,0.028
2015-11-23,0.028,0.028,0.028,0.028,20000,0.028
2015-11-20,0.027,0.028,0.027,0.028,170000,0.028
2015-11-19,0.032,0.032,0.032,0.032,000,0.032
2015-11-18,0.032,0.032,0.032,0.032,000,0.032
2015-11-17,0.032,0.032,0.032,0.032,000,0.032
2015-11-16,0.032,0.032,0.032,0.032,000,0.032
2015-11-13,0.032,0.032,0.032,0.032,000,0.032
2015-11-12,0.032,0.032,0.032,0.032,000,0.032
2015-11-11,0.029,0.032,0.029,0.032,146000,0.032
2015-11-10,0.029,0.029,0.029,0.029,350000,0.029
2015-11-09,0.031,0.031,0.03,0.03,200000,0.03
2015-11-06,0.03,0.03,0.03,0.03,000,0.03
2015-11-05,0.03,0.03,0.03,0.03,000,0.03
2015-11-04,0.03,0.03,0.03,0.03,000,0.03
2015-11-03,0.03,0.03,0.03,0.03,000,0.03
2015-11-02,0.036,0.036,0.03,0.03,477800,0.03
2015-10-30,0.036,0.036,0.036,0.036,000,0.036
2015-10-29,0.036,0.036,0.036,0.036,000,0.036
2015-10-28,0.038,0.038,0.036,0.036,245000,0.036
2015-10-27,0.038,0.038,0.038,0.038,70000,0.038
2015-10-26,0.037,0.037,0.037,0.037,67700,0.037
2015-10-23,0.038,0.038,0.038,0.038,100000,0.038
2015-10-22,0.039,0.039,0.039,0.039,200000,0.039
2015-10-21,0.042,0.042,0.042,0.042,32000,0.042
2015-10-20,0.039,0.039,0.039,0.039,000,0.039
2015-10-19,0.04,0.04,0.039,0.039,111500,0.039
2015-10-16,0.042,0.042,0.042,0.042,16000,0.042
2015-10-15,0.037,0.042,0.037,0.042,450000,0.042
2015-10-14,0.037,0.041,0.037,0.041,54000,0.041
2015-10-13,0.038,0.04,0.038,0.039,400000,0.039
2015-10-12,0.036,0.037,0.036,0.037,120000,0.037
2015-10-09,0.036,0.036,0.036,0.036,000,0.036
2015-10-08,0.038,0.038,0.036,0.036,60000,0.036
2015-10-07,0.038,0.038,0.038,0.038,30000,0.038
2015-10-06,0.037,0.037,0.037,0.037,100000,0.037
2015-10-05,0.043,0.043,0.043,0.043,000,0.043
2015-10-02,0.043,0.043,0.043,0.043,000,0.043
2015-10-01,0.043,0.043,0.043,0.043,50000,0.043
2015-09-30,0.046,0.046,0.045,0.045,37900,0.045
2015-09-29,0.046,0.047,0.046,0.047,134000,0.047
2015-09-28,0.044,0.045,0.044,0.044,411300,0.044
2015-09-25,0.044,0.044,0.044,0.044,50000,0.044
2015-09-24,0.042,0.042,0.042,0.042,000,0.042
2015-09-23,0.042,0.042,0.042,0.042,000,0.042
2015-09-22,0.042,0.042,0.042,0.042,000,0.042
2015-09-21,0.042,0.044,0.042,0.042,290000,0.042
2015-09-18,0.038,0.038,0.037,0.037,69000,0.037
2015-09-17,0.037,0.037,0.037,0.037,133300,0.037
2015-09-16,0.036,0.036,0.036,0.036,000,0.036
2015-09-15,0.036,0.036,0.036,0.036,28000,0.036
2015-09-14,0.035,0.035,0.035,0.035,000,0.035
2015-09-11,0.035,0.035,0.035,0.035,120000,0.035
2015-09-10,0.036,0.036,0.035,0.035,234700,0.035
2015-09-09,0.043,0.043,0.043,0.043,000,0.043
2015-09-08,0.043,0.043,0.043,0.043,000,0.043
2015-09-07,0.043,0.043,0.043,0.043,000,0.043
2015-09-04,0.043,0.043,0.043,0.043,000,0.043
2015-09-03,0.043,0.043,0.043,0.043,63000,0.043
2015-09-02,0.041,0.043,0.041,0.043,150000,0.043
2015-09-01,0.046,0.046,0.045,0.045,121500,0.045
2015-08-31,0.047,0.047,0.047,0.047,22000,0.047
2015-08-28,0.047,0.047,0.047,0.047,7000,0.047
2015-08-27,0.044,0.045,0.043,0.045,311200,0.045
2015-08-26,0.043,0.043,0.043,0.043,000,0.043
2015-08-25,0.041,0.043,0.041,0.043,182400,0.043
2015-08-24,0.039,0.04,0.039,0.04,125000,0.04
2015-08-20,0.041,0.041,0.04,0.041,325900,0.041
2015-08-19,0.043,0.043,0.042,0.042,391500,0.042
2015-08-18,0.05,0.05,0.046,0.046,85400,0.046
2015-08-17,0.05,0.05,0.05,0.05,160000,0.05
2015-08-14,0.053,0.054,0.05,0.05,762700,0.05
2015-08-13,0.05,0.053,0.05,0.053,647500,0.053
2015-08-12,0.048,0.05,0.048,0.05,232000,0.05
2015-08-11,0.047,0.049,0.047,0.048,349900,0.048
2015-08-10,0.05,0.05,0.046,0.046,140000,0.046
2015-08-07,0.049,0.051,0.048,0.05,1630100,0.05
2015-08-06,0.04,0.048,0.04,0.048,1079000,0.048
2015-08-05,0.04,0.041,0.038,0.039,2664300,0.039
2015-08-04,0.041,0.041,0.036,0.038,1501100,0.038
2015-08-03,0.037,0.038,0.037,0.038,915600,0.038
2015-07-31,0.03,0.033,0.03,0.033,411200,0.033
2015-07-30,0.03,0.03,0.03,0.03,000,0.03
2015-07-29,0.03,0.03,0.03,0.03,000,0.03
2015-07-28,0.03,0.03,0.03,0.03,000,0.03
2015-07-27,0.032,0.032,0.03,0.03,360900,0.03
2015-07-24,0.034,0.034,0.034,0.034,000,0.034
2015-07-23,0.034,0.034,0.034,0.034,000,0.034
2015-07-22,0.034,0.034,0.034,0.034,15000,0.034
2015-07-21,0.032,0.032,0.032,0.032,000,0.032
2015-07-20,0.035,0.035,0.032,0.032,361900,0.032
2015-07-17,0.035,0.035,0.035,0.035,14300,0.035
2015-07-16,0.036,0.036,0.033,0.033,639700,0.033
2015-07-15,0.038,0.038,0.035,0.035,379500,0.035
2015-07-14,0.036,0.038,0.036,0.038,222600,0.038
2015-07-13,0.039,0.04,0.038,0.038,193300,0.038
2015-07-10,0.034,0.038,0.033,0.038,277200,0.038
2015-07-09,0.033,0.034,0.033,0.033,500800,0.033
2015-07-08,0.035,0.035,0.033,0.033,687600,0.033
2015-07-07,0.033,0.035,0.033,0.035,704000,0.035
2015-07-06,0.033,0.033,0.033,0.033,85000,0.033
2015-07-03,0.032,0.032,0.032,0.032,400000,0.032
2015-07-02,0.032,0.032,0.032,0.032,900,0.032
2015-07-01,0.033,0.033,0.033,0.033,863600,0.033
2015-06-30,0.032,0.032,0.032,0.032,200000,0.032
2015-06-29,0.035,0.035,0.031,0.031,114500,0.031
2015-06-26,0.036,0.036,0.036,0.036,000,0.036
2015-06-25,0.036,0.036,0.036,0.036,000,0.036
2015-06-24,0.036,0.036,0.036,0.036,77200,0.036
2015-06-23,0.038,0.038,0.036,0.036,56600,0.036
2015-06-22,0.039,0.039,0.039,0.039,307100,0.039
2015-06-19,0.039,0.039,0.039,0.039,000,0.039
2015-06-18,0.039,0.039,0.039,0.039,000,0.039
2015-06-17,0.039,0.039,0.039,0.039,135000,0.039
2015-06-16,0.04,0.04,0.04,0.04,115000,0.04
2015-06-15,0.04,0.04,0.04,0.04,74000,0.04
2015-06-12,0.041,0.041,0.041,0.041,000,0.041
2015-06-11,0.041,0.041,0.041,0.041,000,0.041
2015-06-10,0.041,0.041,0.041,0.041,000,0.041
2015-06-09,0.042,0.042,0.041,0.041,110400,0.041
2015-06-08,0.042,0.042,0.042,0.042,000,0.042
2015-06-05,0.041,0.042,0.041,0.042,60000,0.042
2015-06-04,0.041,0.041,0.041,0.041,000,0.041
2015-06-03,0.041,0.041,0.041,0.041,50000,0.041
2015-06-02,0.042,0.042,0.042,0.042,150000,0.042
2015-06-01,0.042,0.042,0.042,0.042,385000,0.042
2015-05-29,0.043,0.043,0.041,0.041,93000,0.041
2015-05-28,0.043,0.043,0.043,0.043,17000,0.043
2015-05-27,0.043,0.043,0.043,0.043,000,0.043
2015-05-26,0.042,0.043,0.042,0.043,144600,0.043
2015-05-25,0.04,0.04,0.04,0.04,106000,0.04
2015-05-22,0.038,0.038,0.038,0.038,36000,0.038
2015-05-21,0.036,0.036,0.036,0.036,62100,0.036
2015-05-20,0.041,0.041,0.041,0.041,48900,0.041
2015-05-19,0.042,0.042,0.039,0.041,689800,0.041
2015-05-18,0.049,0.049,0.046,0.046,81500,0.046
2015-05-15,0.05,0.053,0.047,0.047,1239400,0.047
2015-05-14,0.045,0.054,0.045,0.048,2150900,0.048
2015-05-13,0.036,0.044,0.036,0.044,732100,0.044
2015-05-12,0.031,0.032,0.031,0.032,12500,0.032
2015-05-11,0.032,0.032,0.032,0.032,000,0.032
2015-05-08,0.032,0.032,0.032,0.032,400000,0.032
2015-05-07,0.032,0.032,0.032,0.032,000,0.032
2015-05-06,0.032,0.032,0.032,0.032,110000,0.032
2015-05-05,0.028,0.028,0.028,0.028,000,0.028
2015-05-04,0.029,0.029,0.028,0.028,122400,0.028
2015-05-01,0.028,0.028,0.028,0.028,20000,0.028
2015-04-30,0.032,0.032,0.032,0.032,000,0.032
2015-04-29,0.032,0.032,0.032,0.032,14700,0.032
2015-04-28,0.034,0.034,0.034,0.034,000,0.034
2015-04-27,0.034,0.034,0.034,0.034,000,0.034
2015-04-24,0.034,0.034,0.034,0.034,140000,0.034
2015-04-23,0.032,0.032,0.032,0.032,000,0.032
2015-04-22,0.032,0.032,0.032,0.032,000,0.032
2015-04-21,0.035,0.035,0.032,0.032,172800,0.032
2015-04-20,0.036,0.036,0.036,0.036,41800,0.036
2015-04-17,0.035,0.035,0.035,0.035,000,0.035
2015-04-16,0.035,0.035,0.035,0.035,000,0.035
2015-04-15,0.035,0.035,0.035,0.035,000,0.035
