Date,Open,High,Low,Close,Volume,Adj Close
2015-04-28,6.43,6.43,6.43,6.43,000,6.43
2015-04-27,6.42,6.42,6.42,6.42,000,6.42
2015-04-24,6.42,6.42,6.42,6.42,000,6.42
2015-04-23,6.36,6.42,6.36,6.42,7000,6.42
2015-04-22,6.35,6.36,6.35,6.36,2000,6.36
2015-04-21,6.34,6.34,6.34,6.34,000,6.34
2015-04-20,6.34,6.34,6.34,6.34,2500,6.34
2015-04-16,6.35,6.35,6.35,6.35,000,6.35
2015-04-15,6.35,6.35,6.35,6.35,3500,6.35
2015-04-13,6.30,6.35,6.30,6.35,6000,6.35
2015-04-10,6.37,6.37,6.37,6.37,000,6.37
2015-04-09,6.37,6.37,6.37,6.37,000,6.37
2015-04-08,6.37,6.37,6.37,6.37,000,6.37
2015-04-07,6.37,6.37,6.37,6.37,000,6.37
2015-04-06,6.37,6.37,6.37,6.37,000,6.37
2015-04-03,6.37,6.37,6.37,6.37,000,6.37
2015-04-02,6.37,6.37,6.37,6.37,000,6.37
2015-04-01,6.35,6.37,6.35,6.37,6000,6.37
2015-03-31,6.28,6.28,6.28,6.28,5000,6.28
2015-03-30,6.27,6.30,6.27,6.28,7500,6.28
2015-03-27,6.31,6.31,6.31,6.31,2900,6.31
2015-03-26,6.42,6.54,6.42,6.54,12700,6.42
2015-03-25,6.42,6.42,6.42,6.42,1800,6.30
2015-03-24,6.36,6.36,6.36,6.36,000,6.24
2015-03-23,6.36,6.36,6.36,6.36,000,6.24
2015-03-20,6.42,6.42,6.36,6.36,3500,6.24
2015-03-19,6.35,6.35,6.35,6.35,000,6.23
2015-03-18,6.35,6.35,6.35,6.35,000,6.23
2015-03-17,6.36,6.36,6.35,6.35,4200,6.23
2015-03-16,6.36,6.36,6.36,6.36,2300,6.24
2015-03-13,6.42,6.42,6.42,6.42,000,6.30
2015-03-12,6.42,6.42,6.42,6.42,3800,6.30
2015-03-11,6.38,6.38,6.38,6.38,000,6.26
2015-03-10,6.38,6.38,6.38,6.38,000,6.26
2015-03-09,6.38,6.38,6.38,6.38,000,6.26
2015-03-06,6.40,6.40,6.38,6.38,2600,6.26
2015-03-05,6.42,6.42,6.42,6.42,000,6.30
2015-03-04,6.40,6.42,6.40,6.42,3200,6.30
2015-03-03,6.40,6.40,6.40,6.40,000,6.28
2015-03-02,6.40,6.40,6.40,6.40,400,6.28
2015-02-27,6.42,6.42,6.42,6.42,4000,6.30
2015-02-26,6.46,6.46,6.46,6.46,000,6.34
2015-02-25,6.45,6.46,6.45,6.46,2300,6.34
2015-02-24,6.44,6.45,6.44,6.45,6100,6.33
2015-02-23,6.44,6.44,6.44,6.44,000,6.32
2015-02-20,6.44,6.44,6.44,6.44,3000,6.32
2015-02-19,6.47,6.47,6.47,6.47,000,6.35
2015-02-18,6.47,6.47,6.47,6.47,000,6.35
2015-02-17,6.40,6.47,6.40,6.47,5300,6.35
2015-02-16,6.46,6.46,6.46,6.46,300,6.34
2015-02-13,6.42,6.42,6.38,6.38,2000,6.26
2015-02-12,6.43,6.43,6.42,6.42,6500,6.30
2015-02-11,6.42,6.42,6.40,6.40,4000,6.28
2015-02-10,6.45,6.45,6.45,6.45,000,6.33
2015-02-09,6.45,6.45,6.45,6.45,200,6.33
2015-02-06,6.42,6.42,6.42,6.42,3700,6.30
2015-02-05,6.35,6.35,6.35,6.35,000,6.23
2015-02-04,6.35,6.35,6.35,6.35,000,6.23
2015-02-03,6.36,6.36,6.35,6.35,3000,6.23
2015-02-02,6.36,6.42,6.36,6.42,12300,6.30
2015-01-30,6.36,6.42,6.36,6.42,3300,6.30
2015-01-29,6.36,6.36,6.36,6.36,000,6.24
2015-01-28,6.36,6.36,6.36,6.36,1500,6.24
2015-01-27,6.36,6.36,6.36,6.36,000,6.24
2015-01-26,6.36,6.36,6.36,6.36,000,6.24
2015-01-23,6.36,6.36,6.36,6.36,000,6.24
2015-01-22,6.36,6.36,6.36,6.36,1100,6.24
2015-01-21,6.36,6.36,6.36,6.36,10800,6.24
2015-01-20,6.37,6.37,6.36,6.36,21400,6.24
2015-01-19,6.37,6.37,6.36,6.36,22000,6.24
2015-01-16,6.36,6.36,6.36,6.36,000,6.24
2015-01-15,6.36,6.36,6.36,6.36,2600,6.24
