Date,Open,High,Low,Close,Volume,Adj Close
2016-06-29,101.03,101.03,101.03,101.03,000,101.03
2016-06-28,101.03,101.03,101.03,101.03,000,101.03
2016-06-27,71.76,71.76,71.76,71.76,000,71.76
2016-06-24,101.03,101.03,101.03,101.03,000,101.03
2016-06-23,101.03,101.03,101.03,101.03,000,101.03
2016-06-22,101.03,101.03,101.03,101.03,000,101.03
2016-06-21,71.69,71.69,71.69,71.69,200,71.69
2016-06-20,71.65,71.65,71.65,71.65,300,71.65
2016-06-17,101.03,101.03,101.03,101.03,000,101.03
2016-06-16,101.03,101.03,101.03,101.03,000,101.03
2016-06-15,101.03,101.03,101.03,101.03,000,101.03
2016-06-14,101.03,101.03,101.03,101.03,000,101.03
2016-06-13,101.03,101.03,101.03,101.03,000,101.03
2016-06-10,101.03,101.03,101.03,101.03,000,101.03
2016-06-09,101.03,101.03,101.03,101.03,000,101.03
2016-06-08,73.00,73.00,73.00,73.00,100,73.00
2016-06-07,101.03,101.03,101.03,101.03,000,101.03
2016-06-06,71.55,71.55,71.55,71.55,000,71.55
2016-06-03,101.03,101.03,101.03,101.03,000,101.03
2016-06-02,101.03,101.03,101.03,101.03,000,101.03
2016-06-01,101.03,101.03,101.03,101.03,000,101.03
2016-05-31,101.03,101.03,101.03,101.03,000,101.03
2016-05-30,71.50,71.50,71.50,71.50,100,71.50
2016-05-27,101.03,101.03,101.03,101.03,000,101.03
2016-05-26,101.03,101.03,101.03,101.03,000,101.03
2016-05-25,101.03,101.03,101.03,101.03,000,101.03
2016-05-24,101.03,101.03,101.03,101.03,000,101.03
2016-05-23,101.03,101.03,101.03,101.03,000,101.03
2016-05-20,101.03,101.03,101.03,101.03,000,101.03
2016-05-19,101.03,101.03,101.03,101.03,000,101.03
2016-05-18,71.26,71.26,71.26,71.26,300,71.26
2016-05-17,101.03,101.03,101.03,101.03,000,101.03
2016-05-16,101.03,101.03,101.03,101.03,000,101.03
2016-05-13,101.03,101.03,101.03,101.03,000,101.03
2016-05-12,101.03,101.03,101.03,101.03,000,101.03
2016-05-11,101.03,101.03,101.03,101.03,000,101.03
2016-05-10,101.03,101.03,101.03,101.03,000,101.03
2016-05-09,73.00,73.00,73.00,73.00,000,73.00
2016-05-06,101.03,101.03,101.03,101.03,000,101.03
2016-05-05,101.03,101.03,101.03,101.03,000,101.03
2016-05-04,72.01,72.01,72.01,72.01,200,72.01
2016-05-03,101.03,101.03,101.03,101.03,000,101.03
2016-05-02,101.03,101.03,101.03,101.03,000,101.03
2016-04-29,101.03,101.03,101.03,101.03,000,101.03
2016-04-28,101.03,101.03,101.03,101.03,000,101.03
2016-04-27,101.03,101.03,101.03,101.03,000,101.03
2016-04-26,101.03,101.03,101.03,101.03,000,101.03
2016-04-25,101.03,101.03,101.03,101.03,000,101.03
2016-04-22,101.03,101.03,101.03,101.03,000,101.03
2016-04-21,101.03,101.03,101.03,101.03,000,101.03
2016-04-20,101.03,101.03,101.03,101.03,000,101.03
2016-04-19,71.78,71.78,71.78,71.78,1000,71.78
2016-04-18,101.03,101.03,101.03,101.03,000,101.03
2016-04-15,71.72,71.72,71.72,71.72,1000,71.72
2016-04-14,101.03,101.03,101.03,101.03,000,101.03
2016-04-13,101.03,101.03,101.03,101.03,000,101.03
2016-04-12,101.03,101.03,101.03,101.03,000,101.03
2016-04-11,101.03,101.03,101.03,101.03,000,101.03
2016-04-08,101.03,101.03,101.03,101.03,000,101.03
2016-04-07,101.03,101.03,101.03,101.03,000,101.03
2016-04-06,71.63,71.63,71.63,71.63,200,71.63
2016-04-05,101.03,101.03,101.03,101.03,000,101.03
2016-04-04,101.03,101.03,101.03,101.03,000,101.03
2016-04-01,101.03,101.03,101.03,101.03,000,101.03
2016-03-30,101.03,101.03,101.03,101.03,000,101.03
2016-03-29,101.03,101.03,101.03,101.03,000,101.03
2016-03-28,101.03,101.03,101.03,101.03,000,101.03
2016-03-25,101.03,101.03,101.03,101.03,000,101.03
2016-03-24,101.03,101.03,101.03,101.03,000,101.03
2016-03-23,101.03,101.03,101.03,101.03,000,101.03
2016-03-22,101.03,101.03,101.03,101.03,000,101.03
2016-03-21,101.03,101.03,101.03,101.03,000,101.03
2016-03-18,101.03,101.03,101.03,101.03,000,101.03
2016-03-17,101.03,101.03,101.03,101.03,000,101.03
2016-03-16,101.03,101.03,101.03,101.03,000,101.03
2016-03-15,71.32,71.32,71.32,71.32,500,71.32
2016-03-14,101.03,101.03,101.03,101.03,000,101.03
2016-03-11,101.03,101.03,101.03,101.03,000,101.03
2016-03-10,101.03,101.03,101.03,101.03,000,101.03
2016-03-09,101.03,101.03,101.03,101.03,000,101.03
2016-03-08,101.03,101.03,101.03,101.03,000,101.03
2016-03-07,101.03,101.03,101.03,101.03,000,101.03
2016-03-04,101.03,101.03,101.03,101.03,000,101.03
2016-03-03,101.03,101.03,101.03,101.03,000,101.03
2016-03-02,101.03,101.03,101.03,101.03,000,101.03
2016-03-01,101.03,101.03,101.03,101.03,000,101.03
2016-02-29,101.03,101.03,101.03,101.03,000,101.03
2016-02-26,101.03,101.03,101.03,101.03,000,101.03
2016-02-25,101.03,101.03,101.03,101.03,000,101.03
2016-02-24,71.30,71.30,71.27,71.27,200,71.27
2016-02-23,101.03,101.03,101.03,101.03,000,101.03
2016-02-22,71.25,71.25,71.25,71.25,100,71.25
2016-02-19,101.03,101.03,101.03,101.03,000,101.03
2016-02-18,71.25,71.25,71.25,71.25,100,71.25
2016-02-17,101.03,101.03,101.03,101.03,000,101.03
2016-02-16,101.03,101.03,101.03,101.03,000,101.03
