Date,Open,High,Low,Close,Volume,Adj Close
2014-08-28,0.001,0.001,0.001,0.001,000,0.001
2014-08-27,0.001,0.001,0.001,0.001,000,0.001
2014-08-26,0.001,0.001,0.001,0.001,000,0.001
2014-08-25,0.001,0.001,0.001,0.001,000,0.001
2014-08-22,0.001,0.001,0.001,0.001,000,0.001
2014-08-21,0.001,0.001,0.001,0.001,000,0.001
2014-08-20,0.001,0.001,0.001,0.001,000,0.001
2014-08-19,0.001,0.001,0.001,0.001,000,0.001
2014-08-18,0.001,0.001,0.001,0.001,000,0.001
2014-08-15,0.001,0.001,0.001,0.001,000,0.001
2014-08-14,0.001,0.001,0.001,0.001,000,0.001
2014-08-13,0.001,0.001,0.001,0.001,000,0.001
2014-08-12,0.001,0.001,0.001,0.001,000,0.001
2014-08-11,0.001,0.001,0.001,0.001,000,0.001
2014-08-08,0.001,0.001,0.001,0.001,000,0.001
2014-08-07,0.001,0.001,0.001,0.001,000,0.001
2014-08-06,0.001,0.001,0.001,0.001,000,0.001
2014-08-05,0.001,0.001,0.001,0.001,000,0.001
2014-08-04,0.001,0.001,0.001,0.001,000,0.001
2014-08-01,0.001,0.001,0.001,0.001,000,0.001
2014-07-31,0.001,0.001,0.001,0.001,000,0.001
2014-07-30,0.001,0.001,0.001,0.001,000,0.001
2014-07-29,0.001,0.001,0.001,0.001,000,0.001
2014-07-28,0.001,0.001,0.001,0.001,000,0.001
2014-07-25,0.001,0.001,0.001,0.001,000,0.001
2014-07-24,0.001,0.001,0.001,0.001,000,0.001
2014-07-23,0.001,0.001,0.001,0.001,000,0.001
2014-07-22,0.001,0.001,0.001,0.001,000,0.001
2014-07-21,0.001,0.001,0.001,0.001,000,0.001
2014-07-18,0.001,0.001,0.001,0.001,000,0.001
2014-07-17,0.001,0.001,0.001,0.001,000,0.001
2014-07-16,0.001,0.001,0.001,0.001,000,0.001
2014-07-15,0.001,0.001,0.001,0.001,000,0.001
2014-07-14,0.001,0.001,0.001,0.001,000,0.001
2014-07-11,0.001,0.001,0.001,0.001,000,0.001
