Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.73,1.78,1.67,1.775,2582300,1.775
2016-06-30,1.67,1.70,1.63,1.67,265400,1.67
2016-06-29,1.68,1.682,1.62,1.65,522900,1.65
2016-06-28,1.68,1.725,1.675,1.68,95700,1.68
2016-06-27,1.695,1.73,1.665,1.68,157400,1.68
2016-06-24,1.73,1.73,1.69,1.695,202800,1.695
2016-06-23,1.73,1.73,1.72,1.73,58700,1.73
2016-06-22,1.73,1.735,1.72,1.72,108100,1.72
2016-06-21,1.73,1.74,1.715,1.725,137000,1.725
2016-06-20,1.735,1.735,1.72,1.73,196600,1.73
2016-06-17,1.73,1.76,1.725,1.725,171900,1.725
2016-06-16,1.745,1.77,1.72,1.72,121900,1.72
2016-06-15,1.76,1.76,1.74,1.755,137000,1.755
2016-06-14,1.775,1.79,1.74,1.76,806700,1.76
2016-06-13,1.78,1.78,1.78,1.78,000,1.78
2016-06-10,1.75,1.795,1.725,1.78,85200,1.78
2016-06-09,1.75,1.79,1.725,1.755,407800,1.755
2016-06-08,1.77,1.79,1.73,1.75,187800,1.75
2016-06-07,1.81,1.815,1.755,1.765,174800,1.765
2016-06-06,1.84,1.86,1.80,1.80,108500,1.80
2016-06-03,1.89,1.89,1.82,1.83,381900,1.83
2016-06-02,1.885,1.885,1.84,1.84,544900,1.84
2016-06-01,1.89,1.90,1.87,1.89,97400,1.89
2016-05-31,1.89,1.90,1.87,1.895,370900,1.895
2016-05-30,1.90,1.90,1.875,1.89,91100,1.89
2016-05-27,1.90,1.90,1.87,1.875,159500,1.875
2016-05-26,1.89,1.91,1.885,1.90,286800,1.90
2016-05-25,1.88,1.91,1.86,1.885,177700,1.885
2016-05-24,1.905,1.905,1.855,1.885,324100,1.885
2016-05-23,1.95,1.95,1.91,1.93,88200,1.93
2016-05-20,1.89,1.952,1.88,1.92,1301000,1.92
2016-05-19,1.82,1.935,1.82,1.89,1167000,1.89
2016-05-18,1.795,1.83,1.767,1.795,133400,1.795
2016-05-17,1.82,1.84,1.79,1.795,285900,1.795
2016-05-16,1.84,1.87,1.82,1.83,177500,1.83
2016-05-13,1.81,1.84,1.80,1.835,198700,1.835
2016-05-12,1.83,1.835,1.79,1.81,478300,1.81
2016-05-11,1.84,1.84,1.795,1.82,247100,1.82
2016-05-10,1.82,1.84,1.76,1.825,270500,1.825
2016-05-09,1.83,1.835,1.775,1.82,72600,1.82
2016-05-06,1.865,1.865,1.77,1.825,300100,1.825
2016-05-05,1.865,1.88,1.79,1.845,661500,1.845
2016-05-04,1.85,1.887,1.815,1.85,1079300,1.85
2016-05-03,1.81,1.86,1.745,1.81,365900,1.81
2016-05-02,1.66,1.81,1.66,1.81,590300,1.81
2016-04-29,1.55,1.785,1.55,1.67,678700,1.67
2016-04-28,1.615,1.615,1.56,1.56,99700,1.56
2016-04-27,1.63,1.665,1.58,1.615,231600,1.615
2016-04-26,1.67,1.67,1.62,1.635,134800,1.635
2016-04-25,1.64,1.64,1.64,1.64,000,1.64
2016-04-22,1.66,1.67,1.615,1.64,241100,1.64
2016-04-21,1.73,1.76,1.67,1.67,265200,1.67
2016-04-20,1.75,1.77,1.66,1.68,281800,1.68
2016-04-19,1.79,1.79,1.70,1.74,313800,1.74
2016-04-18,1.785,1.80,1.77,1.79,85300,1.79
2016-04-15,1.795,1.81,1.79,1.80,105200,1.80
2016-04-14,1.81,1.83,1.785,1.80,156900,1.80
