Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,74.84,74.84,74.84,74.84,000,74.84
2016-06-30,74.84,74.84,74.84,74.84,000,74.84
2016-06-29,74.84,74.84,74.84,74.84,600,74.84
2016-06-28,74.78,74.78,74.78,74.78,000,74.78
2016-06-27,74.78,74.78,74.78,74.78,000,74.78
2016-06-24,74.78,74.78,74.78,74.78,100,74.78
2016-06-23,74.75,74.75,74.75,74.75,000,74.75
2016-06-22,74.75,74.75,74.75,74.75,000,74.75
2016-06-21,74.75,74.75,74.75,74.75,700,74.75
2016-06-20,74.69,74.69,74.69,74.69,000,74.69
2016-06-17,74.69,74.69,74.69,74.69,000,74.69
2016-06-16,74.69,74.69,74.69,74.69,100,74.69
2016-06-15,74.16,74.16,74.16,74.16,000,74.16
2016-06-14,74.16,74.16,74.16,74.16,000,74.16
2016-06-13,74.16,74.16,74.16,74.16,000,74.16
2016-06-10,74.16,74.16,74.16,74.16,000,74.16
2016-06-09,74.16,74.16,74.16,74.16,000,74.16
2016-06-08,74.16,74.16,74.16,74.16,000,74.16
2016-06-07,74.16,74.16,74.16,74.16,000,74.16
2016-06-06,74.16,74.16,74.16,74.16,000,74.16
2016-06-03,74.16,74.16,74.16,74.16,200,74.16
2016-06-02,74.07,74.07,74.07,74.07,000,74.07
2016-06-01,74.07,74.07,74.07,74.07,000,74.07
2016-05-31,74.07,74.07,74.07,74.07,000,74.07
2016-05-30,74.07,74.07,74.07,74.07,000,74.07
2016-05-27,74.07,74.07,74.07,74.07,2000,74.07
2016-05-26,74.05,74.05,74.05,74.05,000,74.05
2016-05-25,74.05,74.05,74.05,74.05,400,74.05
2016-05-24,74.03,74.03,74.03,74.03,200,74.03
2016-05-23,73.97,73.97,73.97,73.97,000,73.97
2016-05-20,73.97,73.97,73.97,73.97,000,73.97
2016-05-19,73.97,73.97,73.97,73.97,000,73.97
2016-05-18,73.97,73.97,73.97,73.97,500,73.97
2016-05-17,74.37,74.37,74.37,74.37,000,73.67
2016-05-16,74.37,74.37,74.37,74.37,000,73.67
2016-05-13,74.37,74.37,74.37,74.37,000,73.67
2016-05-12,74.37,74.37,74.37,74.37,000,73.67
2016-05-11,74.37,74.37,74.37,74.37,000,73.67
