Date,Open,High,Low,Close,Volume,Adj Close
2015-12-24,0.006,0.006,0.006,0.006,000,0.006
2015-12-23,0.006,0.006,0.006,0.006,000,0.006
2015-12-22,0.006,0.006,0.006,0.006,000,0.006
2015-12-21,0.006,0.006,0.006,0.006,000,0.006
2015-12-18,0.007,0.007,0.006,0.006,259900,0.006
2015-12-17,0.008,0.008,0.008,0.008,13000,0.008
2015-12-16,0.01,0.01,0.01,0.01,13000,0.01
2015-12-15,0.007,0.01,0.007,0.01,80000,0.01
2015-12-14,0.007,0.007,0.007,0.007,000,0.007
2015-12-11,0.007,0.007,0.007,0.007,000,0.007
2015-12-10,0.007,0.007,0.007,0.007,000,0.007
2015-12-09,0.007,0.007,0.007,0.007,000,0.007
2015-12-08,0.007,0.007,0.007,0.007,000,0.007
2015-12-07,0.007,0.007,0.007,0.007,25000,0.007
2015-12-04,0.007,0.007,0.007,0.007,000,0.007
2015-12-03,0.007,0.007,0.007,0.007,000,0.007
2015-12-02,0.007,0.007,0.007,0.007,000,0.007
2015-12-01,0.007,0.007,0.007,0.007,000,0.007
2015-11-30,0.007,0.007,0.007,0.007,000,0.007
2015-11-27,0.007,0.007,0.007,0.007,000,0.007
2015-11-26,0.007,0.007,0.007,0.007,488500,0.007
2015-11-25,0.008,0.008,0.008,0.008,000,0.008
2015-11-24,0.008,0.008,0.008,0.008,000,0.008
2015-11-23,0.008,0.008,0.008,0.008,000,0.008
2015-11-20,0.009,0.009,0.008,0.008,127500,0.008
2015-11-19,0.009,0.009,0.009,0.009,30000,0.009
2015-11-18,0.009,0.009,0.009,0.009,000,0.009
2015-11-17,0.009,0.009,0.009,0.009,000,0.009
2015-11-16,0.009,0.009,0.009,0.009,175400,0.009
2015-11-13,0.01,0.01,0.009,0.009,15000,0.009
2015-11-12,0.009,0.009,0.009,0.009,000,0.009
2015-11-11,0.009,0.009,0.009,0.009,000,0.009
2015-11-10,0.009,0.009,0.009,0.009,367000,0.009
2015-11-09,0.01,0.01,0.01,0.01,000,0.01
2015-11-06,0.01,0.01,0.01,0.01,46500,0.01
2015-11-05,0.01,0.01,0.01,0.01,000,0.01
2015-11-04,0.01,0.012,0.01,0.01,362500,0.01
2015-11-03,0.015,0.015,0.015,0.015,000,0.015
2015-11-02,0.015,0.015,0.015,0.015,000,0.015
2015-10-30,0.015,0.015,0.015,0.015,000,0.015
2015-10-29,0.015,0.015,0.015,0.015,000,0.015
2015-10-28,0.015,0.015,0.015,0.015,000,0.015
2015-10-27,0.016,0.016,0.015,0.015,395000,0.015
2015-10-26,0.02,0.02,0.015,0.015,7500,0.015
2015-10-23,0.021,0.023,0.02,0.02,283500,0.02
2015-10-22,0.023,0.023,0.023,0.023,50000,0.023
2015-10-21,0.037,0.037,0.037,0.037,000,0.037
2015-10-20,0.037,0.037,0.037,0.037,000,0.037
2015-10-19,0.043,0.043,0.037,0.037,100000,0.037
2015-10-16,0.043,0.043,0.043,0.043,000,0.043
2015-10-15,0.042,0.043,0.042,0.043,111100,0.043
2015-10-14,0.045,0.045,0.045,0.045,000,0.045
2015-10-13,0.045,0.045,0.045,0.045,000,0.045
2015-10-12,0.045,0.045,0.045,0.045,000,0.045
2015-10-09,0.045,0.045,0.045,0.045,000,0.045
2015-10-08,0.045,0.045,0.045,0.045,000,0.045
2015-10-07,0.045,0.045,0.045,0.045,000,0.045
2015-10-06,0.045,0.045,0.045,0.045,000,0.045
2015-10-05,0.045,0.045,0.045,0.045,000,0.045
2015-10-02,0.045,0.045,0.045,0.045,000,0.045
2015-10-01,0.045,0.045,0.045,0.045,000,0.045
2015-09-30,0.045,0.045,0.045,0.045,000,0.045
2015-09-29,0.045,0.045,0.045,0.045,000,0.045
2015-09-28,0.045,0.045,0.045,0.045,000,0.045
2015-09-25,0.045,0.045,0.045,0.045,000,0.045
2015-09-24,0.045,0.045,0.045,0.045,000,0.045
2015-09-23,0.045,0.045,0.045,0.045,000,0.045
2015-09-22,0.045,0.045,0.045,0.045,000,0.045
2015-09-21,0.045,0.045,0.045,0.045,000,0.045
2015-09-18,0.045,0.045,0.045,0.045,000,0.045
2015-09-17,0.045,0.045,0.045,0.045,000,0.045
2015-09-16,0.045,0.045,0.045,0.045,000,0.045
2015-09-15,0.045,0.045,0.045,0.045,000,0.045
2015-09-14,0.045,0.045,0.045,0.045,000,0.045
2015-09-11,0.045,0.045,0.045,0.045,000,0.045
2015-09-10,0.045,0.045,0.045,0.045,000,0.045
2015-09-09,0.045,0.045,0.045,0.045,000,0.045
2015-09-08,0.045,0.045,0.045,0.045,000,0.045
2015-09-07,0.045,0.045,0.045,0.045,000,0.045
2015-09-04,0.045,0.045,0.045,0.045,000,0.045
2015-09-03,0.045,0.045,0.045,0.045,000,0.045
2015-09-02,0.045,0.045,0.045,0.045,000,0.045
2015-09-01,0.045,0.045,0.045,0.045,000,0.045
2015-08-31,0.045,0.045,0.045,0.045,000,0.045
2015-08-28,0.045,0.045,0.045,0.045,000,0.045
2015-08-27,0.045,0.045,0.045,0.045,000,0.045
2015-08-26,0.045,0.045,0.045,0.045,000,0.045
2015-08-25,0.045,0.045,0.045,0.045,000,0.045
