Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.038,0.039,0.037,0.038,5720200,0.038
2016-06-30,0.036,0.038,0.035,0.038,3686000,0.038
2016-06-29,0.034,0.037,0.033,0.036,1574800,0.036
2016-06-28,0.034,0.034,0.033,0.033,1242300,0.033
2016-06-27,0.035,0.035,0.034,0.034,4674200,0.034
2016-06-24,0.035,0.035,0.034,0.034,8572000,0.034
2016-06-23,0.036,0.036,0.035,0.035,1891400,0.035
2016-06-22,0.037,0.037,0.035,0.035,487800,0.035
2016-06-21,0.036,0.037,0.036,0.036,3820100,0.036
2016-06-20,0.037,0.037,0.036,0.036,3794300,0.036
2016-06-17,0.037,0.037,0.036,0.036,2945300,0.036
2016-06-16,0.037,0.037,0.036,0.036,5056800,0.036
2016-06-15,0.037,0.037,0.036,0.036,2492000,0.036
2016-06-14,0.036,0.037,0.036,0.036,1795900,0.036
2016-06-13,0.036,0.036,0.036,0.036,000,0.036
2016-06-10,0.036,0.037,0.036,0.036,2075900,0.036
2016-06-09,0.037,0.037,0.035,0.035,7880900,0.035
2016-06-08,0.037,0.037,0.036,0.036,1256000,0.036
2016-06-07,0.038,0.038,0.036,0.036,5952200,0.036
2016-06-06,0.038,0.039,0.038,0.038,2365600,0.038
2016-06-03,0.037,0.038,0.037,0.038,1855000,0.038
2016-06-02,0.038,0.038,0.037,0.037,3055700,0.037
2016-06-01,0.039,0.039,0.037,0.038,1759500,0.038
2016-05-31,0.037,0.039,0.037,0.037,6660000,0.037
2016-05-30,0.037,0.037,0.036,0.037,3729600,0.037
2016-05-27,0.037,0.0375,0.036,0.036,10331600,0.036
2016-05-26,0.037,0.0375,0.037,0.037,7158300,0.037
2016-05-25,0.038,0.038,0.037,0.037,3966600,0.037
2016-05-24,0.04,0.04,0.038,0.038,4170500,0.038
2016-05-23,0.04,0.042,0.038,0.04,3647500,0.04
2016-05-20,0.044,0.044,0.044,0.044,000,0.044
2016-05-19,0.044,0.044,0.044,0.044,000,0.044
2016-05-18,0.044,0.044,0.044,0.044,000,0.044
2016-05-17,0.044,0.045,0.043,0.044,1562700,0.044
2016-05-16,0.045,0.045,0.042,0.042,3954500,0.042
2016-05-13,0.042,0.043,0.042,0.042,3312100,0.042
2016-05-12,0.039,0.041,0.038,0.041,5381000,0.041
2016-05-11,0.041,0.043,0.04,0.04,10021800,0.04
2016-05-10,0.044,0.044,0.039,0.039,8821900,0.039
2016-05-09,0.046,0.049,0.045,0.045,6684300,0.045
2016-05-06,0.045,0.046,0.044,0.045,1848600,0.045
2016-05-05,0.048,0.048,0.044,0.045,2783700,0.045
2016-05-04,0.049,0.05,0.048,0.049,963100,0.049
2016-05-03,0.052,0.052,0.048,0.048,3971300,0.048
2016-05-02,0.049,0.053,0.049,0.05,7763200,0.05
2016-04-29,0.041,0.048,0.041,0.047,9063200,0.047
2016-04-28,0.04,0.042,0.04,0.042,4947800,0.042
2016-04-27,0.04,0.04,0.039,0.039,228800,0.039
2016-04-26,0.04,0.04,0.039,0.039,1855900,0.039
2016-04-25,0.039,0.039,0.039,0.039,000,0.039
2016-04-22,0.04,0.04,0.039,0.039,1967200,0.039
2016-04-21,0.037,0.039,0.037,0.039,2790400,0.039
2016-04-20,0.038,0.039,0.037,0.037,4760100,0.037
2016-04-19,0.036,0.037,0.035,0.036,1573000,0.036
2016-04-18,0.035,0.036,0.034,0.036,2591300,0.036
2016-04-15,0.033,0.035,0.033,0.034,674000,0.034
2016-04-14,0.032,0.034,0.032,0.033,1915200,0.033
2016-04-13,0.034,0.034,0.032,0.034,859700,0.034
2016-04-12,0.035,0.035,0.032,0.033,553000,0.033
2016-04-11,0.031,0.034,0.03,0.034,4176800,0.034
2016-04-08,0.032,0.035,0.032,0.032,1056800,0.032
2016-04-07,0.034,0.034,0.033,0.033,456900,0.033
2016-04-06,0.033,0.036,0.033,0.034,702600,0.034
2016-04-05,0.033,0.033,0.032,0.032,646300,0.032
2016-04-04,0.034,0.034,0.032,0.034,1837900,0.034
2016-04-01,0.033,0.035,0.033,0.034,960400,0.034
2016-03-31,0.034,0.034,0.033,0.034,1202300,0.034
2016-03-30,0.038,0.038,0.035,0.035,1140200,0.035
2016-03-29,0.036,0.036,0.035,0.035,1548900,0.035
2016-03-28,0.036,0.036,0.036,0.036,000,0.036
2016-03-25,0.036,0.036,0.036,0.036,000,0.036
2016-03-24,0.036,0.037,0.035,0.036,2470400,0.036
2016-03-23,0.038,0.038,0.036,0.036,361400,0.036
2016-03-22,0.039,0.039,0.036,0.037,1026700,0.037
2016-03-21,0.039,0.04,0.036,0.036,8636500,0.036
2016-03-18,0.039,0.04,0.038,0.038,3364300,0.038
2016-03-17,0.036,0.04,0.036,0.037,5043700,0.037
2016-03-16,0.036,0.036,0.035,0.035,446700,0.035
2016-03-15,0.037,0.037,0.035,0.035,935500,0.035
2016-03-14,0.037,0.038,0.037,0.038,460300,0.038
2016-03-11,0.037,0.038,0.036,0.037,1342500,0.037
2016-03-10,0.035,0.036,0.034,0.036,297200,0.036
2016-03-09,0.037,0.037,0.035,0.035,1293800,0.035
2016-03-08,0.039,0.039,0.036,0.037,1070500,0.037
2016-03-07,0.039,0.04,0.035,0.038,6391000,0.038
2016-03-04,0.037,0.039,0.037,0.039,3219300,0.039
2016-03-03,0.035,0.037,0.035,0.037,503800,0.037
2016-03-02,0.036,0.038,0.035,0.037,1903500,0.037
2016-03-01,0.035,0.035,0.035,0.035,973100,0.035
2016-02-29,0.036,0.036,0.035,0.035,1273400,0.035
2016-02-26,0.036,0.036,0.035,0.036,177700,0.036
2016-02-25,0.037,0.037,0.034,0.035,1364100,0.035
2016-02-24,0.035,0.038,0.035,0.038,2326600,0.038
2016-02-23,0.035,0.035,0.034,0.034,595600,0.034
2016-02-22,0.035,0.035,0.034,0.035,1181600,0.035
2016-02-19,0.035,0.036,0.034,0.035,2760200,0.035
2016-02-18,0.034,0.036,0.033,0.033,2530100,0.033
2016-02-17,0.032,0.033,0.031,0.033,680800,0.033
2016-02-16,0.034,0.034,0.032,0.032,1343700,0.032
2016-02-15,0.035,0.035,0.033,0.034,1527700,0.034
2016-02-12,0.035,0.035,0.033,0.033,1580900,0.033
2016-02-11,0.034,0.034,0.031,0.031,874700,0.031
2016-02-10,0.029,0.035,0.029,0.031,4675500,0.031
2016-02-09,0.03,0.03,0.028,0.03,639900,0.03
2016-02-08,0.028,0.031,0.027,0.029,2439300,0.029
2016-02-05,0.026,0.028,0.025,0.026,1289100,0.026
2016-02-04,0.026,0.026,0.024,0.024,1001600,0.024
2016-02-03,0.024,0.025,0.024,0.024,516300,0.024
2016-02-02,0.025,0.025,0.024,0.024,963300,0.024
2016-02-01,0.024,0.025,0.024,0.024,425100,0.024
2016-01-29,0.022,0.024,0.021,0.022,714500,0.022
2016-01-28,0.022,0.023,0.021,0.021,848200,0.021
