Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.054,0.055,0.053,0.055,225200,0.055
2016-06-30,0.046,0.054,0.046,0.054,59200,0.054
2016-06-29,0.046,0.048,0.046,0.046,125000,0.046
2016-06-28,0.046,0.05,0.045,0.045,365700,0.045
2016-06-27,0.043,0.045,0.043,0.045,171300,0.045
2016-06-24,0.047,0.047,0.046,0.046,142300,0.046
2016-06-23,0.048,0.05,0.048,0.05,129600,0.05
2016-06-22,0.048,0.05,0.048,0.05,238400,0.05
2016-06-21,0.048,0.048,0.048,0.048,212100,0.048
2016-06-20,0.05,0.05,0.048,0.048,505100,0.048
2016-06-17,0.048,0.049,0.048,0.049,133700,0.049
2016-06-16,0.047,0.047,0.046,0.046,121700,0.046
2016-06-15,0.047,0.047,0.047,0.047,39700,0.047
2016-06-14,0.045,0.05,0.045,0.05,291400,0.05
2016-06-13,0.05,0.05,0.05,0.05,000,0.05
2016-06-10,0.047,0.05,0.047,0.05,685900,0.05
2016-06-09,0.043,0.046,0.043,0.045,425600,0.045
2016-06-08,0.044,0.046,0.042,0.043,583500,0.043
2016-06-07,0.045,0.045,0.04,0.043,705800,0.043
2016-06-06,0.047,0.047,0.045,0.045,364600,0.045
2016-06-03,0.046,0.048,0.045,0.047,406100,0.047
2016-06-02,0.059,0.059,0.04,0.045,2646100,0.045
2016-06-01,0.065,0.065,0.065,0.065,50000,0.065
2016-05-31,0.065,0.065,0.065,0.065,000,0.065
2016-05-30,0.065,0.065,0.065,0.065,11400,0.065
2016-05-27,0.065,0.065,0.065,0.065,195800,0.065
2016-05-26,0.066,0.066,0.064,0.066,413500,0.066
2016-05-25,0.065,0.066,0.065,0.066,23500,0.066
2016-05-24,0.068,0.068,0.065,0.065,69000,0.065
2016-05-23,0.069,0.07,0.068,0.068,217700,0.068
2016-05-20,0.07,0.07,0.069,0.069,135900,0.069
2016-05-19,0.072,0.072,0.071,0.071,30300,0.071
2016-05-18,0.07,0.072,0.07,0.072,145300,0.072
2016-05-17,0.07,0.07,0.07,0.07,28200,0.07
2016-05-16,0.068,0.069,0.068,0.069,60800,0.069
2016-05-13,0.067,0.068,0.067,0.068,61400,0.068
2016-05-12,0.07,0.07,0.07,0.07,000,0.07
2016-05-11,0.065,0.07,0.065,0.07,124700,0.07
2016-05-10,0.066,0.066,0.064,0.064,221800,0.064
2016-05-09,0.066,0.066,0.066,0.066,27100,0.066
2016-05-06,0.066,0.066,0.066,0.066,000,0.066
2016-05-05,0.069,0.069,0.066,0.066,13800,0.066
2016-05-04,0.07,0.07,0.068,0.069,166000,0.069
2016-05-03,0.07,0.07,0.07,0.07,000,0.07
2016-05-02,0.07,0.071,0.07,0.07,153000,0.07
2016-04-29,0.07,0.07,0.07,0.07,36900,0.07
2016-04-28,0.071,0.072,0.071,0.072,131000,0.072
2016-04-27,0.072,0.072,0.072,0.072,7000,0.072
2016-04-26,0.071,0.071,0.071,0.071,8000,0.071
2016-04-25,0.074,0.074,0.074,0.074,000,0.074
2016-04-22,0.074,0.074,0.074,0.074,000,0.074
2016-04-21,0.072,0.074,0.072,0.074,15400,0.074
2016-04-20,0.07,0.071,0.069,0.069,114000,0.069
2016-04-19,0.07,0.071,0.07,0.071,63900,0.071
2016-04-18,0.07,0.071,0.07,0.07,14500,0.07
2016-04-15,0.069,0.069,0.069,0.069,43000,0.069
2016-04-14,0.07,0.07,0.069,0.069,99900,0.069
2016-04-13,0.066,0.066,0.066,0.066,000,0.066
2016-04-12,0.072,0.072,0.065,0.066,125000,0.066
2016-04-11,0.07,0.07,0.07,0.07,30500,0.07
2016-04-08,0.065,0.074,0.065,0.07,97000,0.07
2016-04-07,0.074,0.074,0.074,0.074,000,0.074
