Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.20,1.20,1.17,1.17,44800,1.17
2016-06-30,1.20,1.20,1.17,1.20,104900,1.20
2016-06-29,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-28,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-27,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-24,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-23,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-22,1.155,1.17,1.155,1.165,70900,1.165
2016-06-21,1.18,1.20,1.155,1.155,130800,1.155
2016-06-20,1.18,1.18,1.14,1.18,77600,1.18
2016-06-17,1.17,1.195,1.17,1.18,103400,1.18
2016-06-16,1.13,1.135,1.13,1.13,111900,1.13
2016-06-15,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-14,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-13,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-10,1.155,1.18,1.155,1.16,70500,1.16
2016-06-09,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-08,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-07,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-06,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-03,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-06-02,1.14,1.16,1.14,1.15,309700,1.15
2016-06-01,1.14,1.14,1.11,1.14,94500,1.14
2016-05-31,1.11,1.13,1.10,1.13,172600,1.13
2016-05-30,1.11,1.13,1.11,1.13,51900,1.13
2016-05-27,1.11,1.11,1.10,1.105,136900,1.105
2016-05-26,1.11,1.11,1.10,1.105,75000,1.105
2016-05-25,1.095,1.11,1.085,1.11,197300,1.11
2016-05-24,1.11,1.11,1.09,1.095,133400,1.095
2016-05-23,1.11,1.11,1.11,1.11,21100,1.11
2016-05-20,1.09,1.11,1.09,1.10,75100,1.10
2016-05-19,1.10,1.10,1.075,1.10,126700,1.10
2016-05-18,1.07,1.11,1.05,1.11,182700,1.11
2016-05-17,1.05,1.07,1.05,1.07,65400,1.07
2016-05-16,1.06,1.07,1.06,1.07,23600,1.07
2016-05-13,1.07,1.075,1.05,1.06,118300,1.06
2016-05-12,1.065,1.075,1.06,1.075,33600,1.075
2016-05-11,1.07,1.08,1.06,1.06,406400,1.06
2016-05-10,1.08,1.08,1.065,1.065,40300,1.065
2016-05-09,1.075,1.08,1.06,1.08,160700,1.08
2016-05-06,1.06,1.075,1.05,1.05,27600,1.05
2016-05-05,1.08,1.08,1.06,1.06,104700,1.06
2016-05-04,1.07,1.08,1.05,1.08,72900,1.08
2016-05-03,1.04,1.09,1.035,1.08,298600,1.08
2016-05-02,1.04,1.05,1.04,1.04,176700,1.04
2016-04-29,1.04,1.04,1.03,1.04,105600,1.04
2016-04-28,1.035,1.04,1.03,1.03,149100,1.03
2016-04-27,1.03,1.035,1.03,1.03,98600,1.03
2016-04-26,1.03,1.04,1.03,1.03,72100,1.03
2016-04-25,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-04-22,1.04,1.04,1.025,1.04,238300,1.04
2016-04-21,1.04,1.06,1.03,1.04,295000,1.04
2016-04-20,1.03,1.045,1.03,1.045,113400,1.045
2016-04-19,1.01,1.03,1.01,1.03,163300,1.03
2016-04-18,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-04-15,1.02,1.03,1.02,1.02,200700,1.02
2016-04-14,1.015,1.02,1.015,1.02,275200,1.02
2016-04-13,1.015,1.015,1.01,1.015,68800,1.015
2016-04-12,1.01,1.02,1.01,1.015,368500,1.015
2016-04-11,1.01,1.015,1.005,1.015,198000,1.015
2016-04-08,1.005,1.01,1.005,1.01,142200,1.01
2016-04-07,1.005,1.015,1.005,1.005,263800,1.005
2016-04-06,1.01,1.01,1.005,1.01,54500,1.01
2016-04-05,1.015,1.015,1.005,1.01,494500,1.01
2016-04-04,1.015,1.015,1.01,1.01,407400,1.01
2016-04-01,1.01,1.015,1.005,1.015,467000,1.015
2016-03-31,1.005,1.01,1.005,1.01,81100,1.01
2016-03-30,1.01,1.015,1.00,1.00,88200,1.00
2016-03-29,1.01,1.015,1.005,1.005,424700,1.005
2016-03-28,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-03-25,0.9861,0.9861,0.9861,0.9861,000,0.9861
2016-03-24,1.015,1.015,1.01,1.015,8700,1.015
