Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,5.49,5.60,5.46,5.51,1075000,5.51
2016-06-30,5.65,5.71,5.52,5.52,1741800,5.52
2016-06-29,5.42,5.67,5.39,5.57,1528400,5.57
2016-06-28,5.30,5.37,5.27,5.32,905400,5.32
2016-06-27,5.17,5.39,5.10,5.31,783200,5.31
2016-06-24,5.37,5.39,5.20,5.24,1223700,5.24
2016-06-23,5.30,5.37,5.30,5.35,357500,5.35
2016-06-22,5.35,5.37,5.32,5.36,560700,5.36
2016-06-21,5.30,5.36,5.23,5.34,475000,5.34
2016-06-20,5.25,5.29,5.21,5.24,551100,5.24
2016-06-17,5.35,5.35,5.25,5.25,464400,5.25
2016-06-16,5.30,5.35,5.25,5.25,615400,5.25
2016-06-15,5.28,5.35,5.25,5.26,613900,5.26
2016-06-14,5.30,5.34,5.28,5.28,810600,5.28
2016-06-13,5.39,5.39,5.39,5.39,000,5.39
2016-06-10,5.35,5.40,5.32,5.39,584900,5.39
2016-06-09,5.31,5.36,5.24,5.35,470500,5.35
2016-06-08,5.28,5.30,5.23,5.26,616000,5.26
2016-06-07,5.36,5.36,5.24,5.27,1099900,5.27
2016-06-06,5.35,5.35,5.22,5.32,515400,5.32
2016-06-03,5.27,5.35,5.25,5.30,456000,5.30
2016-06-02,5.32,5.34,5.25,5.25,570200,5.25
2016-06-01,5.31,5.35,5.26,5.28,1120400,5.28
2016-05-31,5.23,5.31,5.195,5.31,1361100,5.31
2016-05-30,5.19,5.24,5.18,5.23,701800,5.23
2016-05-27,5.10,5.17,5.10,5.14,497800,5.14
2016-05-26,5.10,5.14,5.02,5.08,512100,5.08
2016-05-25,5.15,5.18,5.065,5.09,911600,5.09
2016-05-24,5.05,5.11,5.01,5.06,1042500,5.06
2016-05-23,5.00,5.05,4.99,5.02,706200,5.02
2016-05-20,4.84,5.00,4.82,4.99,639700,4.99
2016-05-19,4.94,4.95,4.83,4.84,758600,4.84
2016-05-18,5.00,5.02,4.90,4.92,575100,4.92
2016-05-17,4.93,5.00,4.91,4.99,767900,4.99
2016-05-16,4.88,4.93,4.86,4.89,733900,4.89
2016-05-13,4.88,4.91,4.85,4.88,1572100,4.88
2016-05-12,4.94,4.94,4.83,4.85,1059800,4.85
2016-05-11,5.00,5.00,4.91,4.95,687600,4.95
2016-05-10,4.93,4.99,4.93,4.94,739100,4.94
2016-05-09,4.93,4.95,4.90,4.95,413600,4.95
2016-05-06,4.94,4.96,4.86,4.91,714300,4.91
2016-05-05,4.89,4.95,4.87,4.92,717000,4.92
2016-05-04,5.09,5.11,4.90,4.90,1408400,4.90
2016-05-03,5.05,5.08,4.97,5.04,724100,5.04
2016-05-02,4.97,5.04,4.97,5.01,801300,5.01
2016-04-29,4.98,5.00,4.96,4.98,1037700,4.98
2016-04-28,4.98,5.01,4.94,4.99,872100,4.99
2016-04-27,4.99,5.00,4.94,4.95,580800,4.95
2016-04-26,4.97,4.98,4.89,4.90,818400,4.90
2016-04-25,4.93,4.93,4.93,4.93,000,4.93
2016-04-22,5.13,5.15,4.90,4.93,1013200,4.93
2016-04-21,4.90,5.04,4.85,5.00,1237200,5.00
2016-04-20,4.84,4.97,4.80,4.80,2373800,4.80
2016-04-19,4.81,4.87,4.735,4.80,1841800,4.80
2016-04-18,4.76,4.80,4.72,4.72,825700,4.72
2016-04-15,4.66,4.78,4.655,4.75,693300,4.75
2016-04-14,4.62,4.66,4.55,4.64,739500,4.64
2016-04-13,4.65,4.65,4.59,4.59,649300,4.59
2016-04-12,4.66,4.66,4.60,4.60,735900,4.60
2016-04-11,4.68,4.70,4.61,4.64,789800,4.64
2016-04-08,4.60,4.71,4.57,4.67,655500,4.67
2016-04-07,4.70,4.77,4.59,4.64,1201800,4.64
2016-04-06,4.53,4.67,4.50,4.65,1049500,4.65
2016-04-05,4.61,4.63,4.53,4.53,678600,4.53
2016-04-04,4.65,4.66,4.62,4.63,660800,4.63
2016-04-01,4.61,4.63,4.56,4.62,837000,4.62
2016-03-31,4.54,4.62,4.54,4.61,849200,4.61
2016-03-30,4.61,4.62,4.50,4.50,861400,4.50
2016-03-29,4.67,4.70,4.56,4.58,916300,4.58
2016-03-28,4.64,4.64,4.64,4.64,000,4.64
2016-03-25,4.64,4.64,4.64,4.64,000,4.64
2016-03-24,4.57,4.66,4.53,4.64,1343100,4.64
2016-03-23,4.57,4.60,4.51,4.60,505600,4.60
2016-03-22,4.50,4.57,4.48,4.56,536900,4.56
2016-03-21,4.49,4.515,4.47,4.48,946800,4.48
2016-03-18,4.52,4.52,4.45,4.49,549500,4.49
2016-03-17,4.55,4.55,4.44,4.51,1004200,4.51
2016-03-16,4.55,4.63,4.47,4.48,593000,4.40857
2016-03-15,4.56,4.63,4.55,4.56,584000,4.4873
2016-03-14,4.60,4.64,4.50,4.51,854600,4.43809
2016-03-11,4.49,4.57,4.46,4.56,686500,4.4873
2016-03-10,4.50,4.56,4.45,4.46,1935000,4.38889
2016-03-09,4.45,4.52,4.43,4.48,1736300,4.40857
2016-03-08,4.51,4.51,4.40,4.41,1039700,4.33969
2016-03-07,4.65,4.65,4.46,4.47,1859800,4.39873
2016-03-04,4.73,4.73,4.60,4.60,1403300,4.52666
2016-03-03,4.78,4.79,4.69,4.72,1582100,4.64474
2016-03-02,4.78,4.80,4.71,4.77,620000,4.69395
2016-03-01,4.70,4.74,4.67,4.71,628400,4.6349
2016-02-29,4.71,4.74,4.67,4.70,727500,4.62506
2016-02-26,4.78,4.81,4.68,4.70,806900,4.62506
2016-02-25,4.89,4.90,4.76,4.78,1140700,4.70379
2016-02-24,4.90,4.95,4.84,4.86,985200,4.78251
2016-02-23,5.04,5.05,4.835,4.90,1241200,4.82187
2016-02-22,5.00,5.05,4.92,4.97,2339000,4.89076
2016-02-19,4.75,5.06,4.73,4.89,2912900,4.81203
2016-02-18,4.40,4.67,4.35,4.64,2019600,4.56602
2016-02-17,4.27,4.29,4.215,4.24,525100,4.1724
2016-02-16,4.15,4.25,4.11,4.24,681000,4.1724
2016-02-15,4.17,4.20,4.10,4.11,534700,4.04447
2016-02-12,4.14,4.15,4.11,4.12,461500,4.05431
2016-02-11,4.06,4.20,4.06,4.14,1255100,4.07399
2016-02-10,4.11,4.15,3.98,4.00,1176300,3.93622
2016-02-09,4.17,4.20,4.09,4.09,832100,4.02479
2016-02-08,4.18,4.23,4.17,4.18,596000,4.11335
2016-02-05,4.30,4.30,4.13,4.18,681800,4.11335
2016-02-04,4.22,4.24,4.16,4.24,649300,4.1724
2016-02-03,4.23,4.26,4.19,4.19,876400,4.12319
2016-02-02,4.31,4.40,4.20,4.22,934100,4.15272
2016-02-01,4.25,4.31,4.23,4.31,780400,4.24128
