Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.22,1.265,1.22,1.24,175500,1.24
2016-06-30,1.26,1.265,1.20,1.21,756300,1.21
2016-06-29,1.25,1.265,1.24,1.26,493600,1.26
2016-06-28,1.26,1.27,1.225,1.25,309100,1.25
2016-06-27,1.29,1.305,1.255,1.28,236500,1.28
2016-06-24,1.365,1.37,1.232,1.26,442800,1.26
2016-06-23,1.38,1.385,1.335,1.355,246500,1.355
2016-06-22,1.435,1.445,1.335,1.38,440200,1.38
2016-06-21,1.44,1.50,1.44,1.445,98400,1.445
2016-06-20,1.435,1.545,1.435,1.515,113900,1.515
2016-06-17,1.435,1.47,1.43,1.47,263300,1.47
2016-06-16,1.435,1.465,1.43,1.435,32600,1.435
2016-06-15,1.44,1.465,1.43,1.44,169100,1.44
2016-06-14,1.50,1.50,1.44,1.46,118300,1.46
2016-06-13,1.505,1.505,1.505,1.505,000,1.505
2016-06-10,1.48,1.515,1.455,1.505,437300,1.505
2016-06-09,1.49,1.495,1.445,1.49,108700,1.49
2016-06-08,1.435,1.495,1.435,1.495,161500,1.495
2016-06-07,1.445,1.46,1.417,1.44,107000,1.44
2016-06-06,1.44,1.452,1.417,1.45,173600,1.45
2016-06-03,1.45,1.475,1.437,1.45,310200,1.45
2016-06-02,1.46,1.46,1.39,1.41,156900,1.41
2016-06-01,1.46,1.485,1.42,1.46,151700,1.46
2016-05-31,1.45,1.455,1.38,1.45,423600,1.45
2016-05-30,1.455,1.4725,1.425,1.445,53800,1.445
2016-05-27,1.445,1.46,1.40,1.455,307500,1.455
2016-05-26,1.36,1.48,1.36,1.46,359600,1.46
2016-05-25,1.38,1.395,1.365,1.38,63400,1.38
2016-05-24,1.38,1.39,1.35,1.375,75300,1.375
2016-05-23,1.33,1.425,1.325,1.425,254500,1.425
2016-05-20,1.33,1.35,1.325,1.33,513000,1.33
2016-05-19,1.39,1.40,1.327,1.345,204300,1.345
2016-05-18,1.38,1.40,1.37,1.39,304100,1.39
2016-05-17,1.365,1.385,1.36,1.38,167900,1.38
2016-05-16,1.38,1.3825,1.325,1.355,252900,1.355
2016-05-13,1.36,1.405,1.35,1.38,444300,1.38
2016-05-12,1.33,1.375,1.33,1.36,199200,1.36
