Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.35,2.36,2.29,2.33,70300,2.33
2016-06-30,2.27,2.45,2.27,2.40,548500,2.40
2016-06-29,2.22,2.35,2.22,2.27,102700,2.27
2016-06-28,2.21,2.27,2.12,2.21,118900,2.21
2016-06-27,2.35,2.35,2.18,2.23,152000,2.23
2016-06-24,2.37,2.45,2.21,2.27,806800,2.27
2016-06-23,2.34,2.40,2.34,2.37,245400,2.37
2016-06-22,2.34,2.39,2.33,2.36,172600,2.36
2016-06-21,2.30,2.35,2.30,2.34,203400,2.34
2016-06-20,2.32,2.35,2.28,2.32,26500,2.32
2016-06-17,2.30,2.32,2.28,2.30,2609900,2.30
2016-06-16,2.35,2.37,2.28,2.30,1075900,2.30
2016-06-15,2.33,2.36,2.33,2.35,179400,2.35
2016-06-14,2.44,2.45,2.35,2.40,456500,2.40
2016-06-13,2.45,2.45,2.45,2.45,000,2.45
2016-06-10,2.44,2.45,2.40,2.45,44600,2.45
2016-06-09,2.38,2.45,2.37,2.42,188100,2.42
2016-06-08,2.33,2.40,2.33,2.38,91900,2.38
2016-06-07,2.41,2.41,2.31,2.35,102400,2.35
2016-06-06,2.40,2.41,2.35,2.37,21600,2.37
2016-06-03,2.36,2.40,2.32,2.38,83300,2.38
2016-06-02,2.39,2.39,2.35,2.37,38800,2.37
2016-06-01,2.41,2.41,2.38,2.40,49600,2.40
2016-05-31,2.38,2.43,2.38,2.41,52200,2.41
2016-05-30,2.36,2.37,2.31,2.37,100800,2.37
2016-05-27,2.31,2.39,2.30,2.38,190200,2.38
2016-05-26,2.33,2.34,2.28,2.30,64500,2.30
2016-05-25,2.35,2.38,2.33,2.33,44300,2.33
2016-05-24,2.33,2.40,2.32,2.33,47600,2.33
2016-05-23,2.35,2.37,2.32,2.32,91600,2.32
2016-05-20,2.36,2.41,2.32,2.33,40700,2.33
2016-05-19,2.40,2.42,2.35,2.35,143400,2.35
2016-05-18,2.48,2.49,2.38,2.39,344300,2.39
2016-05-17,2.47,2.50,2.45,2.50,632000,2.50
2016-05-16,2.38,2.48,2.38,2.46,95700,2.46
2016-05-13,2.43,2.45,2.37,2.38,64600,2.38
2016-05-12,2.48,2.48,2.42,2.43,48800,2.43
2016-05-11,2.46,2.49,2.45,2.45,63700,2.45
2016-05-10,2.42,2.53,2.40,2.47,51800,2.47
2016-05-09,2.40,2.49,2.38,2.43,67800,2.43
2016-05-06,2.41,2.49,2.40,2.47,69800,2.47
2016-05-05,2.47,2.47,2.33,2.41,244600,2.41
2016-05-04,2.48,2.54,2.42,2.47,443300,2.47
2016-05-03,2.42,2.49,2.42,2.48,295900,2.48
2016-05-02,2.39,2.45,2.39,2.42,116400,2.42
2016-04-29,2.39,2.41,2.38,2.40,205900,2.40
2016-04-28,2.35,2.39,2.35,2.39,83700,2.39
2016-04-27,2.36,2.39,2.35,2.35,106300,2.35
2016-04-26,2.37,2.40,2.35,2.35,99300,2.35
2016-04-25,2.40,2.40,2.40,2.40,000,2.40
2016-04-22,2.38,2.40,2.35,2.40,65700,2.40
2016-04-21,2.37,2.40,2.35,2.37,207300,2.37
2016-04-20,2.34,2.37,2.32,2.35,698800,2.35
2016-04-19,2.35,2.36,2.34,2.34,368300,2.34
2016-04-18,2.32,2.35,2.30,2.32,246000,2.32
2016-04-15,2.34,2.39,2.32,2.36,101200,2.36
2016-04-14,2.34,2.37,2.30,2.35,2651000,2.35
2016-04-13,2.26,2.34,2.26,2.34,454500,2.34
2016-04-12,2.26,2.34,2.21,2.26,99500,2.26
2016-04-11,2.29,2.29,2.23,2.26,93600,2.26
2016-04-08,2.27,2.30,2.25,2.28,93300,2.28
2016-04-07,2.35,2.35,2.27,2.27,67700,2.27
2016-04-06,2.34,2.38,2.31,2.36,1082100,2.36
2016-04-05,2.32,2.37,2.32,2.34,91100,2.34
2016-04-04,2.31,2.36,2.26,2.36,70800,2.36
2016-04-01,2.34,2.38,2.28,2.30,116500,2.30
2016-03-31,2.32,2.34,2.27,2.34,200800,2.34
2016-03-30,2.30,2.38,2.29,2.33,135700,2.33
2016-03-29,2.32,2.40,2.30,2.30,253300,2.30
2016-03-28,2.32,2.32,2.32,2.32,000,2.32
2016-03-25,2.32,2.32,2.32,2.32,000,2.32
2016-03-24,2.32,2.37,2.30,2.32,68900,2.32
2016-03-23,2.37,2.37,2.32,2.32,79500,2.32
2016-03-22,2.35,2.40,2.35,2.40,25500,2.40
2016-03-21,2.39,2.41,2.34,2.41,13600,2.41
2016-03-18,2.36,2.41,2.33,2.37,33900,2.37
2016-03-17,2.39,2.39,2.34,2.34,115400,2.34
2016-03-16,2.37,2.39,2.35,2.37,86200,2.37
2016-03-15,2.37,2.40,2.35,2.39,28500,2.39
2016-03-14,2.43,2.44,2.34,2.37,113100,2.37
2016-03-11,2.45,2.45,2.41,2.44,48500,2.44
2016-03-10,2.33,2.45,2.33,2.45,158400,2.45
2016-03-09,2.28,2.32,2.22,2.32,871700,2.32
2016-03-08,2.27,2.29,2.24,2.28,148100,2.28
2016-03-07,2.26,2.30,2.26,2.27,164600,2.27
2016-03-04,2.38,2.38,2.30,2.30,109300,2.30
2016-03-03,2.38,2.41,2.29,2.38,157100,2.38
2016-03-02,2.40,2.42,2.30,2.36,146700,2.36
2016-03-01,2.40,2.43,2.36,2.37,61400,2.37
2016-02-29,2.33,2.45,2.30,2.45,193100,2.45
2016-02-26,2.37,2.37,2.21,2.33,399600,2.33
2016-02-25,2.42,2.43,2.37,2.37,136500,2.37
2016-02-24,2.43,2.47,2.40,2.42,106400,2.42
2016-02-23,2.43,2.46,2.38,2.45,202100,2.45
2016-02-22,2.45,2.45,2.38,2.42,206200,2.42
2016-02-19,2.46,2.48,2.44,2.45,286700,2.45
2016-02-18,2.47,2.47,2.44,2.46,371800,2.46
2016-02-17,2.48,2.48,2.40,2.41,104200,2.41
2016-02-16,2.45,2.48,2.43,2.48,162400,2.48
2016-02-15,2.55,2.55,2.40,2.43,2454200,2.43
2016-02-12,2.68,2.74,2.42,2.52,1209800,2.52
2016-02-11,2.42,2.50,2.40,2.50,235400,2.50
2016-02-10,2.50,2.53,2.40,2.42,361300,2.42
2016-02-09,2.50,2.55,2.45,2.47,518500,2.47
