Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.072,0.074,0.072,0.074,150000,0.074
2016-06-30,0.068,0.068,0.068,0.068,000,0.068
2016-06-29,0.065,0.068,0.065,0.068,57800,0.068
2016-06-28,0.062,0.065,0.06,0.065,100000,0.065
2016-06-27,0.073,0.073,0.073,0.073,000,0.073
2016-06-24,0.073,0.073,0.073,0.073,20000,0.073
2016-06-23,0.071,0.071,0.071,0.071,000,0.071
2016-06-22,0.073,0.073,0.071,0.071,271000,0.071
2016-06-21,0.073,0.073,0.073,0.073,000,0.073
2016-06-20,0.072,0.073,0.071,0.073,53900,0.073
2016-06-17,0.075,0.075,0.069,0.073,302700,0.073
2016-06-16,0.075,0.075,0.075,0.075,000,0.075
2016-06-15,0.075,0.075,0.075,0.075,000,0.075
2016-06-14,0.075,0.075,0.075,0.075,000,0.075
2016-06-13,0.075,0.075,0.075,0.075,000,0.075
2016-06-10,0.07,0.075,0.07,0.075,60000,0.075
2016-06-09,0.072,0.072,0.072,0.072,000,0.072
2016-06-08,0.07,0.072,0.069,0.072,224000,0.072
2016-06-07,0.071,0.071,0.07,0.07,74400,0.07
2016-06-06,0.072,0.072,0.072,0.072,217500,0.072
2016-06-03,0.076,0.076,0.076,0.076,2500,0.076
2016-06-02,0.076,0.076,0.076,0.076,10000,0.076
2016-06-01,0.087,0.087,0.087,0.087,000,0.087
2016-05-31,0.085,0.087,0.085,0.087,19000,0.087
2016-05-30,0.087,0.087,0.087,0.087,20000,0.087
2016-05-27,0.085,0.087,0.085,0.087,180000,0.087
2016-05-26,0.088,0.088,0.088,0.088,39500,0.088
2016-05-25,0.075,0.088,0.075,0.088,53500,0.088
2016-05-24,0.08,0.08,0.08,0.08,89500,0.08
2016-05-23,0.088,0.088,0.088,0.088,25000,0.088
2016-05-20,0.09,0.09,0.088,0.089,155000,0.089
2016-05-19,0.089,0.089,0.089,0.089,50000,0.089
2016-05-18,0.086,0.091,0.086,0.09,220800,0.09
2016-05-17,0.08,0.084,0.08,0.084,127100,0.084
2016-05-16,0.073,0.073,0.069,0.069,50000,0.069
2016-05-13,0.08,0.08,0.075,0.075,110000,0.075
2016-05-12,0.075,0.075,0.075,0.075,18700,0.075
2016-05-11,0.073,0.075,0.073,0.075,114000,0.075
2016-05-10,0.073,0.073,0.073,0.073,50000,0.073
2016-05-09,0.071,0.071,0.071,0.071,000,0.071
2016-05-06,0.077,0.077,0.071,0.071,60000,0.071
2016-05-05,0.08,0.08,0.08,0.08,000,0.08
2016-05-04,0.08,0.08,0.08,0.08,000,0.08
2016-05-03,0.077,0.08,0.077,0.08,60000,0.08
2016-05-02,0.073,0.08,0.073,0.08,50000,0.08
2016-04-29,0.07,0.07,0.07,0.07,50000,0.07
2016-04-28,0.07,0.07,0.07,0.07,38500,0.07
2016-04-27,0.064,0.07,0.064,0.07,131200,0.07
2016-04-26,0.068,0.068,0.062,0.062,2755000,0.062
2016-04-25,0.065,0.065,0.065,0.065,000,0.065
2016-04-22,0.066,0.066,0.065,0.065,79500,0.065
2016-04-21,0.06,0.06,0.06,0.06,000,0.06
2016-04-20,0.06,0.06,0.06,0.06,111900,0.06
2016-04-19,0.06,0.06,0.06,0.06,20000,0.06
2016-04-18,0.059,0.059,0.059,0.059,100000,0.059
2016-04-15,0.059,0.059,0.059,0.059,000,0.059
2016-04-14,0.059,0.059,0.059,0.059,000,0.059
2016-04-13,0.059,0.059,0.059,0.059,200000,0.059
2016-04-12,0.06,0.06,0.06,0.06,000,0.06
2016-04-11,0.06,0.06,0.06,0.06,000,0.06
2016-04-08,0.06,0.06,0.06,0.06,000,0.06
2016-04-07,0.06,0.06,0.06,0.06,000,0.06
2016-04-06,0.06,0.06,0.06,0.06,17000,0.06
2016-04-05,0.059,0.059,0.058,0.058,41100,0.058
2016-04-04,0.059,0.059,0.059,0.059,000,0.059
2016-04-01,0.059,0.059,0.059,0.059,90000,0.059
2016-03-31,0.062,0.062,0.062,0.062,3000,0.062
2016-03-30,0.058,0.058,0.058,0.058,000,0.058
2016-03-29,0.058,0.058,0.058,0.058,120500,0.058
2016-03-28,0.058,0.058,0.058,0.058,000,0.058
2016-03-25,0.058,0.058,0.058,0.058,000,0.058
2016-03-24,0.058,0.058,0.058,0.058,000,0.058
2016-03-23,0.058,0.058,0.058,0.058,000,0.058
2016-03-22,0.058,0.058,0.058,0.058,000,0.058
2016-03-21,0.058,0.058,0.058,0.058,000,0.058
2016-03-18,0.058,0.058,0.058,0.058,000,0.058
2016-03-17,0.058,0.058,0.058,0.058,000,0.058
2016-03-16,0.058,0.058,0.058,0.058,000,0.058
2016-03-15,0.058,0.058,0.058,0.058,801500,0.058
2016-03-14,0.056,0.056,0.056,0.056,000,0.056
2016-03-11,0.056,0.056,0.056,0.056,000,0.056
2016-03-10,0.056,0.056,0.056,0.056,000,0.056
2016-03-09,0.056,0.056,0.056,0.056,000,0.056
2016-03-08,0.053,0.056,0.053,0.056,1077100,0.056
2016-03-07,0.059,0.059,0.059,0.059,000,0.059
2016-03-04,0.059,0.059,0.059,0.059,000,0.059
2016-03-03,0.059,0.059,0.059,0.059,000,0.059
2016-03-02,0.059,0.059,0.059,0.059,25000,0.059
2016-03-01,0.059,0.06,0.059,0.059,150200,0.059
2016-02-29,0.066,0.066,0.066,0.066,48200,0.066
2016-02-26,0.065,0.065,0.065,0.065,000,0.065
2016-02-25,0.065,0.065,0.065,0.065,000,0.065
2016-02-24,0.065,0.065,0.065,0.065,000,0.065
2016-02-23,0.065,0.065,0.065,0.065,000,0.065
2016-02-22,0.065,0.065,0.065,0.065,000,0.065
2016-02-19,0.065,0.065,0.065,0.065,000,0.065
2016-02-18,0.065,0.065,0.065,0.065,000,0.065
2016-02-17,0.065,0.065,0.065,0.065,000,0.065
2016-02-16,0.065,0.065,0.065,0.065,000,0.065
2016-02-15,0.065,0.065,0.065,0.065,1700,0.065
2016-02-12,0.065,0.065,0.065,0.065,000,0.065
2016-02-11,0.065,0.065,0.065,0.065,000,0.065
2016-02-10,0.065,0.065,0.065,0.065,000,0.065
2016-02-09,0.065,0.065,0.065,0.065,10000,0.065
2016-02-08,0.06,0.06,0.06,0.06,000,0.06
2016-02-05,0.06,0.06,0.06,0.06,000,0.06
2016-02-04,0.06,0.06,0.06,0.06,000,0.06
2016-02-03,0.06,0.06,0.06,0.06,000,0.06
2016-02-02,0.06,0.06,0.06,0.06,000,0.06
2016-02-01,0.06,0.06,0.06,0.06,000,0.06
2016-01-29,0.06,0.06,0.06,0.06,000,0.06
2016-01-28,0.06,0.06,0.06,0.06,1500,0.06
2016-01-27,0.063,0.063,0.06,0.06,40000,0.06
2016-01-26,0.061,0.061,0.061,0.061,000,0.061
2016-01-25,0.061,0.061,0.061,0.061,000,0.061
2016-01-22,0.061,0.061,0.061,0.061,000,0.061
2016-01-21,0.061,0.061,0.061,0.061,55000,0.061
2016-01-20,0.065,0.065,0.065,0.065,000,0.065
2016-01-19,0.065,0.065,0.065,0.065,000,0.065
2016-01-18,0.065,0.065,0.065,0.065,000,0.065
2016-01-15,0.065,0.065,0.065,0.065,000,0.065
2016-01-14,0.065,0.065,0.065,0.065,000,0.065
2016-01-13,0.065,0.065,0.065,0.065,000,0.065
2016-01-12,0.065,0.065,0.065,0.065,000,0.065
2016-01-11,0.065,0.065,0.065,0.065,000,0.065
2016-01-08,0.065,0.065,0.065,0.065,000,0.065
2016-01-07,0.065,0.065,0.065,0.065,000,0.065
2016-01-06,0.065,0.065,0.065,0.065,000,0.065
2016-01-05,0.065,0.065,0.065,0.065,000,0.065
2016-01-04,0.065,0.065,0.065,0.065,000,0.065
2016-01-01,0.065,0.065,0.065,0.065,000,0.065
