Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.013,0.013,0.013,0.013,25000,0.013
2016-06-30,0.013,0.013,0.013,0.013,000,0.013
2016-06-29,0.013,0.013,0.013,0.013,000,0.013
2016-06-28,0.015,0.015,0.013,0.013,154400,0.013
2016-06-27,0.015,0.015,0.015,0.015,130000,0.015
2016-06-24,0.015,0.015,0.015,0.015,000,0.015
2016-06-23,0.015,0.015,0.015,0.015,000,0.015
2016-06-22,0.015,0.015,0.015,0.015,000,0.015
2016-06-21,0.015,0.015,0.015,0.015,000,0.015
2016-06-20,0.015,0.015,0.015,0.015,290000,0.015
2016-06-17,0.015,0.015,0.015,0.015,000,0.015
2016-06-16,0.015,0.015,0.015,0.015,000,0.015
2016-06-15,0.015,0.015,0.015,0.015,000,0.015
2016-06-14,0.015,0.015,0.015,0.015,000,0.015
2016-06-13,0.015,0.015,0.015,0.015,000,0.015
2016-06-10,0.015,0.015,0.015,0.015,000,0.015
2016-06-09,0.015,0.015,0.015,0.015,7600,0.015
2016-06-08,0.014,0.014,0.014,0.014,50000,0.014
2016-06-07,0.013,0.013,0.013,0.013,15000,0.013
2016-06-06,0.014,0.014,0.014,0.014,400,0.014
2016-06-03,0.014,0.014,0.014,0.014,14000,0.014
2016-06-02,0.014,0.014,0.014,0.014,50000,0.014
2016-06-01,0.014,0.015,0.014,0.015,259000,0.015
2016-05-31,0.014,0.014,0.013,0.013,442500,0.013
2016-05-30,0.015,0.015,0.015,0.015,463300,0.015
2016-05-27,0.015,0.015,0.014,0.014,101800,0.014
2016-05-26,0.025,0.025,0.025,0.025,000,0.025
2016-05-25,0.025,0.025,0.025,0.025,000,0.025
2016-05-24,0.025,0.025,0.025,0.025,000,0.025
2016-05-23,0.025,0.025,0.025,0.025,000,0.025
2016-05-20,0.025,0.025,0.025,0.025,000,0.025
2016-05-19,0.025,0.025,0.025,0.025,000,0.025
2016-05-18,0.025,0.025,0.025,0.025,000,0.025
