Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.004,0.004,0.004,0.004,000,0.004
2016-06-30,0.004,0.004,0.004,0.004,15355400,0.004
2016-06-29,0.003,0.003,0.003,0.003,000,0.003
2016-06-28,0.003,0.003,0.003,0.003,324700,0.003
2016-06-27,0.004,0.004,0.004,0.004,000,0.004
2016-06-24,0.004,0.004,0.004,0.004,3628100,0.004
2016-06-23,0.004,0.004,0.004,0.004,6981200,0.004
2016-06-22,0.004,0.004,0.004,0.004,1920000,0.004
2016-06-21,0.004,0.004,0.004,0.004,000,0.004
2016-06-20,0.004,0.0045,0.004,0.004,12921000,0.004
2016-06-17,0.004,0.004,0.004,0.004,845500,0.004
2016-06-16,0.004,0.004,0.004,0.004,450200,0.004
2016-06-15,0.004,0.004,0.004,0.004,000,0.004
2016-06-14,0.004,0.004,0.004,0.004,300000,0.004
2016-06-13,0.004,0.004,0.004,0.004,000,0.004
2016-06-10,0.004,0.004,0.004,0.004,1067900,0.004
2016-06-09,0.004,0.004,0.004,0.004,4427300,0.004
2016-06-08,0.004,0.004,0.004,0.004,2476200,0.004
2016-06-07,0.004,0.004,0.004,0.004,000,0.004
2016-06-06,0.004,0.004,0.004,0.004,140000,0.004
2016-06-03,0.004,0.004,0.004,0.004,205900,0.004
2016-06-02,0.004,0.004,0.004,0.004,592600,0.004
2016-06-01,0.004,0.004,0.004,0.004,000,0.004
2016-05-31,0.004,0.004,0.004,0.004,530000,0.004
2016-05-30,0.004,0.004,0.004,0.004,1304900,0.004
2016-05-27,0.004,0.004,0.004,0.004,360000,0.004
2016-05-26,0.004,0.004,0.004,0.004,000,0.004
2016-05-25,0.004,0.004,0.004,0.004,2894600,0.004
2016-05-24,0.004,0.004,0.004,0.004,000,0.004
2016-05-23,0.004,0.004,0.004,0.004,000,0.004
2016-05-20,0.004,0.004,0.004,0.004,000,0.004
2016-05-19,0.004,0.0045,0.004,0.004,1810900,0.004
2016-05-18,0.004,0.004,0.004,0.004,2000000,0.004
2016-05-17,0.004,0.004,0.004,0.004,2431300,0.004
2016-05-16,0.005,0.005,0.004,0.004,1105000,0.004
2016-05-13,0.004,0.004,0.004,0.004,10000,0.004
2016-05-12,0.005,0.005,0.005,0.005,000,0.005
2016-05-11,0.005,0.005,0.005,0.005,000,0.005
2016-05-10,0.005,0.005,0.005,0.005,340000,0.005
2016-05-09,0.005,0.005,0.005,0.005,400000,0.005
2016-05-06,0.004,0.004,0.004,0.004,000,0.004
2016-05-05,0.004,0.004,0.004,0.004,000,0.004
2016-05-04,0.004,0.004,0.004,0.004,000,0.004
2016-05-03,0.004,0.004,0.004,0.004,000,0.004
2016-05-02,0.004,0.004,0.004,0.004,350000,0.004
2016-04-29,0.004,0.004,0.004,0.004,804400,0.004
2016-04-28,0.004,0.004,0.004,0.004,300000,0.004
2016-04-27,0.004,0.004,0.004,0.004,000,0.004
2016-04-26,0.004,0.004,0.004,0.004,420000,0.004
2016-04-25,0.004,0.004,0.004,0.004,000,0.004
2016-04-22,0.004,0.004,0.004,0.004,405900,0.004
2016-04-21,0.004,0.004,0.004,0.004,100000,0.004
2016-04-20,0.004,0.004,0.004,0.004,2500000,0.004
2016-04-19,0.004,0.004,0.004,0.004,1903000,0.004
2016-04-18,0.004,0.004,0.004,0.004,000,0.004
2016-04-15,0.004,0.004,0.004,0.004,000,0.004
2016-04-14,0.004,0.004,0.004,0.004,000,0.004
2016-04-13,0.003,0.004,0.003,0.004,66800,0.004
2016-04-12,0.004,0.004,0.004,0.004,000,0.004
2016-04-11,0.004,0.004,0.004,0.004,000,0.004
2016-04-08,0.004,0.004,0.004,0.004,20700,0.004
2016-04-07,0.004,0.004,0.003,0.0035,776200,0.0035
2016-04-06,0.004,0.004,0.004,0.0045,125000,0.0045
2016-04-05,0.005,0.005,0.004,0.004,6855000,0.004
2016-04-04,0.004,0.005,0.004,0.005,5353800,0.005
2016-04-01,0.003,0.003,0.003,0.003,000,0.003
2016-03-31,0.004,0.004,0.003,0.003,2150000,0.003
2016-03-30,0.003,0.003,0.003,0.003,12400,0.003
2016-03-29,0.003,0.003,0.003,0.003,000,0.003
2016-03-28,0.003,0.003,0.003,0.003,000,0.003
2016-03-25,0.003,0.003,0.003,0.003,000,0.003
2016-03-24,0.003,0.003,0.003,0.003,200000,0.003
2016-03-23,0.004,0.004,0.004,0.004,000,0.004
2016-03-22,0.003,0.004,0.003,0.004,175000,0.004
2016-03-21,0.003,0.003,0.003,0.003,000,0.003
2016-03-18,0.003,0.003,0.003,0.003,000,0.003
2016-03-17,0.003,0.003,0.003,0.003,000,0.003
2016-03-16,0.003,0.003,0.003,0.003,000,0.003
2016-03-15,0.003,0.003,0.003,0.003,000,0.003
2016-03-14,0.003,0.003,0.003,0.003,000,0.003
2016-03-11,0.003,0.003,0.003,0.003,000,0.003
2016-03-10,0.003,0.003,0.003,0.003,000,0.003
2016-03-09,0.003,0.003,0.003,0.003,000,0.003
2016-03-08,0.003,0.003,0.003,0.003,000,0.003
2016-03-07,0.003,0.003,0.003,0.003,000,0.003
2016-03-04,0.003,0.003,0.003,0.003,000,0.003
2016-03-03,0.003,0.003,0.003,0.003,000,0.003
2016-03-02,0.003,0.003,0.003,0.003,000,0.003
2016-03-01,0.003,0.003,0.003,0.003,000,0.003
2016-02-29,0.003,0.003,0.003,0.003,574900,0.003
2016-02-26,0.004,0.004,0.004,0.004,000,0.004
2016-02-25,0.004,0.004,0.004,0.004,000,0.004
2016-02-24,0.004,0.004,0.004,0.004,000,0.004
2016-02-23,0.004,0.004,0.004,0.004,000,0.004
2016-02-22,0.004,0.004,0.004,0.004,000,0.004
2016-02-19,0.004,0.004,0.004,0.004,000,0.004
2016-02-18,0.004,0.004,0.004,0.004,000,0.004
2016-02-17,0.004,0.004,0.004,0.004,000,0.004
2016-02-16,0.004,0.004,0.004,0.004,000,0.004
2016-02-15,0.004,0.004,0.004,0.004,000,0.004
2016-02-12,0.004,0.004,0.004,0.004,000,0.004
2016-02-11,0.004,0.004,0.004,0.004,386700,0.004
2016-02-10,0.004,0.004,0.004,0.004,000,0.004
2016-02-09,0.004,0.004,0.004,0.004,000,0.004
2016-02-08,0.004,0.004,0.004,0.004,725700,0.004
2016-02-05,0.004,0.004,0.004,0.004,944200,0.004
2016-02-04,0.005,0.005,0.004,0.004,6098900,0.004
2016-02-03,0.004,0.004,0.004,0.004,000,0.004
2016-02-02,0.004,0.004,0.003,0.004,17642600,0.004
2016-02-01,0.004,0.004,0.004,0.004,000,0.004
2016-01-29,0.004,0.004,0.004,0.004,000,0.004
2016-01-28,0.004,0.004,0.004,0.004,000,0.004
2016-01-27,0.004,0.004,0.004,0.004,000,0.004
2016-01-26,0.004,0.004,0.004,0.004,000,0.004
2016-01-25,0.004,0.004,0.004,0.004,000,0.004
2016-01-22,0.004,0.004,0.004,0.004,000,0.004
