Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.022,0.022,0.022,0.022,16300,0.022
2016-06-30,0.022,0.022,0.022,0.022,131600,0.022
2016-06-29,0.023,0.023,0.023,0.023,194000,0.023
2016-06-28,0.026,0.026,0.026,0.026,000,0.026
2016-06-27,0.026,0.026,0.026,0.026,98100,0.026
2016-06-24,0.027,0.029,0.026,0.026,507200,0.026
2016-06-23,0.024,0.026,0.024,0.026,336100,0.026
2016-06-22,0.024,0.025,0.022,0.022,517900,0.022
2016-06-21,0.022,0.022,0.022,0.022,260900,0.022
2016-06-20,0.023,0.023,0.023,0.023,000,0.023
2016-06-17,0.024,0.025,0.023,0.023,453500,0.023
2016-06-16,0.025,0.025,0.022,0.022,130400,0.022
2016-06-15,0.022,0.027,0.022,0.025,2577300,0.025
2016-06-14,0.022,0.022,0.022,0.022,29100,0.022
2016-06-13,0.023,0.023,0.023,0.023,000,0.023
2016-06-10,0.023,0.023,0.023,0.023,100000,0.023
2016-06-09,0.024,0.024,0.024,0.024,000,0.024
2016-06-08,0.024,0.024,0.024,0.024,000,0.024
2016-06-07,0.022,0.024,0.022,0.024,426300,0.024
2016-06-06,0.022,0.022,0.022,0.022,490000,0.022
2016-06-03,0.022,0.022,0.022,0.022,253500,0.022
2016-06-02,0.023,0.023,0.022,0.022,750000,0.022
2016-06-01,0.022,0.023,0.022,0.023,629300,0.023
2016-05-31,0.023,0.023,0.023,0.023,198200,0.023
2016-05-30,0.022,0.022,0.022,0.022,220000,0.022
2016-05-27,0.021,0.021,0.021,0.021,000,0.021
2016-05-26,0.021,0.021,0.021,0.021,453000,0.021
2016-05-25,0.021,0.021,0.021,0.021,501000,0.021
2016-05-24,0.021,0.021,0.021,0.021,25000,0.021
2016-05-23,0.021,0.021,0.021,0.021,000,0.021
2016-05-20,0.021,0.021,0.021,0.021,000,0.021
2016-05-19,0.021,0.021,0.021,0.021,000,0.021
2016-05-18,0.021,0.021,0.021,0.021,71400,0.021
