Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.39,0.42,0.387,0.41,14293200,0.41
2016-06-30,0.37,0.385,0.36,0.38,7212000,0.38
2016-06-29,0.33,0.375,0.33,0.375,12336500,0.375
2016-06-28,0.355,0.355,0.325,0.335,7994100,0.335
2016-06-27,0.35,0.36,0.335,0.355,13344500,0.355
2016-06-24,0.305,0.3475,0.305,0.335,19186300,0.335
2016-06-23,0.30,0.315,0.295,0.305,10026500,0.305
2016-06-22,0.295,0.305,0.295,0.295,7810500,0.295
2016-06-21,0.305,0.3125,0.30,0.305,10312600,0.305
2016-06-20,0.35,0.35,0.312,0.315,10488000,0.315
2016-06-17,0.34,0.345,0.335,0.335,33178000,0.335
2016-06-16,0.35,0.352,0.342,0.35,7726200,0.35
2016-06-15,0.345,0.355,0.335,0.335,8348100,0.335
2016-06-14,0.335,0.355,0.33,0.34,11008100,0.34
2016-06-13,0.325,0.325,0.325,0.325,000,0.325
2016-06-10,0.325,0.335,0.32,0.325,5874600,0.325
2016-06-09,0.33,0.34,0.31,0.32,12878800,0.32
2016-06-08,0.315,0.33,0.315,0.32,4207500,0.32
2016-06-07,0.325,0.33,0.315,0.32,7250100,0.32
2016-06-06,0.315,0.33,0.315,0.325,8917100,0.325
2016-06-03,0.30,0.30,0.285,0.29,1436000,0.29
2016-06-02,0.29,0.302,0.287,0.30,3532900,0.30
2016-06-01,0.285,0.295,0.285,0.29,3803700,0.29
2016-05-31,0.27,0.285,0.262,0.28,9758400,0.28
2016-05-30,0.275,0.2775,0.27,0.27,10519100,0.27
2016-05-27,0.285,0.29,0.275,0.285,12364500,0.285
2016-05-26,0.275,0.29,0.275,0.285,8651300,0.285
2016-05-25,0.285,0.285,0.27,0.275,15520300,0.275
2016-05-24,0.30,0.305,0.295,0.30,4002000,0.30
2016-05-23,0.295,0.31,0.295,0.30,8283100,0.30
2016-05-20,0.29,0.305,0.285,0.30,10018800,0.30
2016-05-19,0.305,0.31,0.29,0.29,16531200,0.29
2016-05-18,0.32,0.325,0.315,0.32,5891300,0.32
2016-05-17,0.305,0.32,0.30,0.315,7080700,0.315
2016-05-16,0.31,0.31,0.30,0.305,4863300,0.305
2016-05-13,0.305,0.315,0.305,0.305,2440000,0.305
2016-05-12,0.32,0.325,0.307,0.315,8750800,0.315
2016-05-11,0.31,0.315,0.305,0.315,4551900,0.315
2016-05-10,0.31,0.31,0.30,0.31,11359400,0.31
2016-05-09,0.335,0.345,0.33,0.335,7877600,0.335
2016-05-06,0.30,0.325,0.295,0.325,12824700,0.325
2016-05-05,0.31,0.315,0.29,0.305,7469500,0.305
2016-05-04,0.31,0.315,0.29,0.305,12501300,0.305
2016-05-03,0.32,0.325,0.31,0.31,5534000,0.31
2016-05-02,0.325,0.335,0.32,0.32,11764300,0.32
2016-04-29,0.31,0.32,0.305,0.31,18145600,0.31
2016-04-28,0.305,0.315,0.295,0.305,11482600,0.305
2016-04-27,0.305,0.315,0.28,0.305,12500900,0.305
2016-04-26,0.305,0.305,0.295,0.30,4694000,0.30
2016-04-25,0.305,0.305,0.305,0.305,000,0.305
2016-04-22,0.31,0.315,0.30,0.305,4378600,0.305
2016-04-21,0.31,0.32,0.305,0.305,4779500,0.305
2016-04-20,0.315,0.325,0.31,0.31,7113100,0.31
2016-04-19,0.315,0.32,0.30,0.30,4721600,0.30
2016-04-18,0.315,0.325,0.31,0.32,5323000,0.32
2016-04-15,0.305,0.315,0.295,0.305,13155900,0.305
2016-04-14,0.335,0.335,0.315,0.315,9758800,0.315
2016-04-13,0.34,0.36,0.33,0.345,14057800,0.345
2016-04-12,0.335,0.35,0.335,0.35,11852900,0.35
