Date,Open,High,Low,Close,Volume,Adj Close
2016-06-30,0.135,0.135,0.135,0.135,43700,0.135
2016-06-29,0.216,0.216,0.216,0.216,000,0.216
2016-06-28,0.135,0.135,0.13,0.13,310600,0.13
2016-06-27,0.216,0.216,0.216,0.216,000,0.216
2016-06-24,0.216,0.216,0.216,0.216,000,0.216
2016-06-23,0.216,0.216,0.216,0.216,000,0.216
2016-06-22,0.14,0.14,0.14,0.14,3500,0.14
2016-06-21,0.145,0.145,0.14,0.14,17100,0.14
2016-06-20,0.216,0.216,0.216,0.216,000,0.216
2016-06-17,0.216,0.216,0.216,0.216,000,0.216
2016-06-16,0.216,0.216,0.216,0.216,000,0.216
2016-06-15,0.145,0.145,0.145,0.145,40000,0.145
2016-06-14,0.216,0.216,0.216,0.216,000,0.216
2016-06-13,0.218,0.218,0.218,0.218,000,0.218
2016-06-10,0.145,0.145,0.145,0.145,700,0.145
2016-06-09,0.218,0.218,0.218,0.218,000,0.218
2016-06-08,0.218,0.218,0.218,0.218,000,0.218
2016-06-07,0.218,0.218,0.218,0.218,000,0.218
2016-06-06,0.14,0.14,0.14,0.14,5200,0.14
2016-06-03,0.218,0.218,0.218,0.218,000,0.218
2016-06-02,0.14,0.14,0.135,0.135,69600,0.135
2016-06-01,0.14,0.14,0.14,0.14,172000,0.14
2016-05-31,0.135,0.135,0.135,0.135,440600,0.135
2016-05-30,0.218,0.218,0.218,0.218,000,0.218
2016-05-27,0.218,0.218,0.218,0.218,000,0.218
2016-05-26,0.14,0.14,0.14,0.14,310000,0.14
2016-05-25,0.135,0.135,0.135,0.135,346700,0.135
2016-05-24,0.13,0.135,0.13,0.135,247500,0.135
2016-05-23,0.218,0.218,0.218,0.218,000,0.218
2016-05-20,0.218,0.218,0.218,0.218,000,0.218
2016-05-19,0.135,0.135,0.135,0.135,5000,0.135
2016-05-18,0.218,0.218,0.218,0.218,000,0.218
2016-05-17,0.135,0.135,0.135,0.135,75000,0.135
2016-05-16,0.135,0.135,0.135,0.135,100000,0.135
2016-05-13,0.218,0.218,0.218,0.218,000,0.218
2016-05-12,0.13,0.13,0.13,0.13,000,0.13
2016-05-11,0.13,0.13,0.13,0.13,200000,0.13
2016-05-10,0.219,0.219,0.219,0.219,000,0.219
2016-05-09,0.13,0.13,0.13,0.13,2700,0.13
2016-05-06,0.13,0.13,0.13,0.13,164800,0.13
2016-05-05,0.13,0.13,0.13,0.13,16200,0.13
2016-05-04,0.219,0.219,0.219,0.219,000,0.219
2016-05-03,0.219,0.219,0.219,0.219,000,0.219
2016-05-02,0.13,0.13,0.13,0.13,5300,0.13
2016-04-29,0.13,0.135,0.13,0.13,27900,0.13
2016-04-28,0.13,0.135,0.13,0.135,20400,0.135
2016-04-27,0.135,0.135,0.135,0.135,10000,0.135
2016-04-26,0.135,0.135,0.135,0.135,10000,0.135
2016-04-25,0.219,0.219,0.219,0.219,000,0.219
2016-04-22,0.13,0.135,0.13,0.135,85200,0.135
2016-04-21,0.13,0.13,0.13,0.13,000,0.13
2016-04-20,0.13,0.13,0.13,0.13,21500,0.13
2016-04-19,0.219,0.219,0.219,0.219,000,0.219
2016-04-18,0.219,0.219,0.219,0.219,000,0.219
2016-04-15,0.13,0.13,0.13,0.13,13300,0.13
2016-04-14,0.13,0.135,0.13,0.135,50000,0.135
2016-04-13,0.215,0.215,0.215,0.215,000,0.215
2016-04-12,0.13,0.13,0.13,0.13,53500,0.13
2016-04-11,0.215,0.215,0.215,0.215,000,0.215
2016-04-08,0.13,0.13,0.13,0.13,2200,0.13
2016-04-07,0.215,0.215,0.215,0.215,000,0.215
2016-04-06,0.13,0.13,0.13,0.13,10000,0.13
2016-04-05,0.215,0.215,0.215,0.215,000,0.215
2016-04-04,0.215,0.215,0.215,0.215,000,0.215
2016-04-01,0.215,0.215,0.215,0.215,000,0.215
2016-03-31,0.13,0.13,0.13,0.13,52000,0.13
2016-03-30,0.215,0.215,0.215,0.215,000,0.215
2016-03-29,0.13,0.13,0.13,0.13,2300,0.13
2016-03-28,0.215,0.215,0.215,0.215,000,0.215
2016-03-25,0.215,0.215,0.215,0.215,000,0.215
2016-03-24,0.215,0.215,0.215,0.215,000,0.215
2016-03-23,0.216,0.216,0.216,0.216,000,0.216
2016-03-22,0.216,0.216,0.216,0.216,000,0.216
2016-03-21,0.13,0.13,0.125,0.125,140000,0.125
2016-03-18,0.135,0.135,0.135,0.135,9000,0.135
2016-03-17,0.216,0.216,0.216,0.216,000,0.216
2016-03-16,0.216,0.216,0.216,0.216,000,0.216
2016-03-15,0.216,0.216,0.216,0.216,000,0.216
2016-03-14,0.216,0.216,0.216,0.216,000,0.216
2016-03-11,0.13,0.13,0.13,0.13,40000,0.13
2016-03-10,0.228,0.228,0.228,0.228,000,0.228
2016-03-09,0.14,0.14,0.14,0.14,50000,0.14
2016-03-08,0.228,0.228,0.228,0.228,000,0.228
2016-03-07,0.228,0.228,0.228,0.228,000,0.228
2016-03-04,0.14,0.14,0.135,0.135,67900,0.135
2016-03-03,0.228,0.228,0.228,0.228,000,0.228
2016-03-02,0.228,0.228,0.228,0.228,000,0.228
2016-03-01,0.135,0.14,0.135,0.14,32400,0.14
2016-02-29,0.135,0.135,0.135,0.135,81500,0.135
2016-02-26,0.135,0.135,0.13,0.13,33000,0.13
2016-02-25,0.135,0.135,0.135,0.135,6000,0.135
2016-02-24,0.228,0.228,0.228,0.228,000,0.228
2016-02-23,0.13,0.13,0.13,0.13,11100,0.13
2016-02-22,0.135,0.135,0.135,0.135,11800,0.135
2016-02-19,0.13,0.135,0.13,0.135,68800,0.135
2016-02-18,0.135,0.135,0.125,0.125,675600,0.125
2016-02-17,0.14,0.14,0.14,0.14,33900,0.14
2016-02-16,0.228,0.228,0.228,0.228,000,0.228
2016-02-15,0.228,0.228,0.228,0.228,000,0.228
2016-02-12,0.228,0.228,0.228,0.228,000,0.228
2016-02-11,0.135,0.135,0.135,0.135,100000,0.135
2016-02-10,0.135,0.135,0.135,0.135,74000,0.135
2016-02-09,0.14,0.14,0.14,0.14,10000,0.14
2016-02-08,0.239,0.239,0.239,0.239,000,0.239
