Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,9.64,9.83,9.57,9.79,2632700,9.79
2016-06-30,9.56,9.63,9.52,9.60,1779200,9.60
2016-06-29,9.49,9.59,9.43,9.46,1763500,9.46
2016-06-28,9.02,9.40,8.98,9.31,2343600,9.31
2016-06-27,9.06,9.27,8.97,9.21,1723000,9.21
2016-06-24,9.60,9.71,9.05,9.15,2871200,9.15
2016-06-23,9.59,9.59,9.48,9.53,784400,9.53
2016-06-22,9.52,9.59,9.45,9.55,1047300,9.55
2016-06-21,9.57,9.57,9.41,9.52,1418300,9.52
2016-06-20,9.16,9.48,9.16,9.48,1663100,9.48
2016-06-17,9.03,9.14,9.01,9.11,2457500,9.11
2016-06-16,9.09,9.13,8.91,8.96,1891000,8.96
2016-06-15,9.05,9.13,8.99,9.00,1813500,9.00
2016-06-14,9.14,9.18,9.01,9.05,1921100,9.05
2016-06-13,9.25,9.25,9.25,9.25,000,9.25
2016-06-10,9.34,9.34,9.20,9.25,1335900,9.25
2016-06-09,9.38,9.45,9.28,9.38,883400,9.38
2016-06-08,9.41,9.425,9.33,9.37,1395000,9.37
2016-06-07,9.45,9.50,9.36,9.41,1368600,9.41
2016-06-06,9.30,9.42,9.20,9.39,1339400,9.39
2016-06-03,9.55,9.56,9.15,9.33,3276500,9.33
2016-06-02,9.95,9.99,9.41,9.43,3605800,9.43
2016-06-01,10.14,10.18,9.93,9.99,1664000,9.99
2016-05-31,10.21,10.30,10.11,10.24,2220800,10.24
2016-05-30,10.23,10.27,10.15,10.25,1028900,10.25
2016-05-27,10.28,10.30,10.165,10.22,2053800,10.22
2016-05-26,10.24,10.35,10.12,10.26,1562500,10.26
2016-05-25,10.05,10.32,10.05,10.23,1952500,10.23
2016-05-24,9.96,10.05,9.82,9.98,1902700,9.98
2016-05-23,9.94,10.00,9.825,9.87,1695800,9.87
2016-05-20,10.00,10.00,9.87,9.94,1156100,9.94
2016-05-19,10.00,10.03,9.94,9.98,1609800,9.98
2016-05-18,9.95,10.11,9.87,9.88,1302700,9.88
2016-05-17,9.81,10.07,9.81,10.06,1758100,10.06
2016-05-16,9.69,9.80,9.66,9.76,1089000,9.76
2016-05-13,9.75,9.76,9.60,9.67,1423100,9.67
2016-05-12,9.63,9.72,9.56,9.72,958700,9.72
2016-05-11,9.68,9.76,9.60,9.63,1351700,9.63
2016-05-10,9.50,9.64,9.47,9.63,1537100,9.63
2016-05-09,9.30,9.50,9.27,9.50,1753800,9.50
2016-05-06,9.33,9.35,9.16,9.35,1672000,9.35
2016-05-05,9.39,9.45,9.32,9.42,1485600,9.42
2016-05-04,9.37,9.43,9.13,9.39,1966900,9.39
2016-05-03,9.00,9.40,8.93,9.39,2438100,9.39
2016-05-02,9.21,9.27,8.96,9.09,2116200,9.09
2016-04-29,9.25,9.37,9.20,9.32,1597800,9.32
2016-04-28,9.26,9.38,9.22,9.28,1513000,9.28
2016-04-27,9.35,9.45,9.15,9.18,1728000,9.18
2016-04-26,9.30,9.40,9.21,9.31,1667000,9.31
2016-04-25,9.33,9.33,9.33,9.33,000,9.33
2016-04-22,9.16,9.365,9.09,9.33,1626300,9.33
2016-04-21,9.26,9.30,9.19,9.30,1752800,9.30
2016-04-20,9.13,9.19,9.06,9.15,1477500,9.15
2016-04-19,9.03,9.14,8.95,9.04,1540300,9.04
2016-04-18,8.90,8.99,8.79,8.88,1480300,8.88
2016-04-15,8.75,9.04,8.73,9.00,3311800,9.00
2016-04-14,8.67,8.72,8.61,8.66,2373800,8.66
2016-04-13,8.65,8.69,8.58,8.60,1590000,8.60
2016-04-12,8.38,8.56,8.36,8.55,1251300,8.55
2016-04-11,8.38,8.40,8.30,8.36,1038400,8.36
2016-04-08,8.50,8.55,8.24,8.35,2245900,8.35
2016-04-07,8.55,8.59,8.52,8.55,1603500,8.55
2016-04-06,8.50,8.61,8.39,8.50,1987300,8.50
2016-04-05,8.65,8.69,8.47,8.55,3397200,8.55
2016-04-04,8.71,8.72,8.63,8.64,1617800,8.64
2016-04-01,8.81,8.81,8.58,8.63,3001200,8.63
2016-03-31,8.86,8.95,8.73,8.87,2863000,8.87
2016-03-30,8.91,8.95,8.70,8.77,2628800,8.77
2016-03-29,9.00,9.09,8.80,8.82,2661500,8.82
