Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.415,0.43,0.415,0.415,212900,0.415
2016-06-30,0.415,0.42,0.41,0.41,650600,0.41
2016-06-29,0.412,0.425,0.405,0.415,459000,0.415
2016-06-28,0.42,0.42,0.407,0.415,457200,0.415
2016-06-27,0.41,0.42,0.405,0.415,306800,0.415
2016-06-24,0.43,0.43,0.405,0.415,1594200,0.415
2016-06-23,0.43,0.43,0.42,0.42,222000,0.42
2016-06-22,0.425,0.43,0.42,0.42,287400,0.42
2016-06-21,0.425,0.425,0.42,0.42,168500,0.42
2016-06-20,0.42,0.435,0.42,0.43,522300,0.43
2016-06-17,0.42,0.435,0.415,0.425,471000,0.425
2016-06-16,0.425,0.435,0.41,0.42,765500,0.42
2016-06-15,0.41,0.425,0.41,0.425,798200,0.425
2016-06-14,0.41,0.425,0.41,0.415,872700,0.415
2016-06-13,0.415,0.415,0.415,0.415,000,0.415
2016-06-10,0.41,0.42,0.405,0.415,753800,0.415
2016-06-09,0.41,0.41,0.40,0.405,362700,0.405
2016-06-08,0.405,0.425,0.40,0.41,668500,0.41
2016-06-07,0.41,0.41,0.40,0.40,218000,0.40
2016-06-06,0.425,0.43,0.405,0.41,189700,0.41
2016-06-03,0.415,0.42,0.41,0.42,141200,0.42
2016-06-02,0.42,0.42,0.41,0.415,197500,0.415
2016-06-01,0.43,0.43,0.42,0.42,415400,0.42
2016-05-31,0.45,0.45,0.425,0.43,343900,0.43
2016-05-30,0.435,0.455,0.425,0.455,1077700,0.455
2016-05-27,0.44,0.44,0.43,0.43,1624000,0.43
2016-05-26,0.46,0.46,0.44,0.445,975500,0.445
2016-05-25,0.46,0.46,0.45,0.46,483500,0.46
2016-05-24,0.445,0.46,0.43,0.455,1105600,0.455
2016-05-23,0.435,0.45,0.43,0.445,1276000,0.445
2016-05-20,0.43,0.44,0.43,0.435,1249800,0.435
2016-05-19,0.42,0.435,0.42,0.43,875600,0.43
2016-05-18,0.43,0.435,0.425,0.43,1052200,0.43
2016-05-17,0.43,0.435,0.42,0.43,666000,0.43
2016-05-16,0.43,0.435,0.42,0.425,738100,0.425
2016-05-13,0.41,0.435,0.40,0.425,1451600,0.425
2016-05-12,0.40,0.425,0.395,0.42,1103700,0.42
2016-05-11,0.41,0.43,0.41,0.41,1470300,0.41
2016-05-10,0.40,0.415,0.395,0.405,759800,0.405
2016-05-09,0.405,0.42,0.395,0.415,599700,0.415
2016-05-06,0.405,0.41,0.39,0.405,736700,0.405
2016-05-05,0.385,0.41,0.375,0.405,916200,0.405
2016-05-04,0.405,0.405,0.355,0.385,2561400,0.385
2016-05-03,0.395,0.412,0.385,0.41,2041900,0.41
2016-05-02,0.42,0.422,0.39,0.395,776700,0.395
