Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,5.67,5.80,5.61,5.64,265000,5.64
2016-06-30,5.63,5.73,5.605,5.66,372400,5.66
2016-06-29,5.70,5.71,5.58,5.62,251200,5.62
2016-06-28,5.53,5.64,5.51,5.63,412800,5.63
2016-06-27,5.57,5.66,5.53,5.60,380700,5.60
2016-06-24,5.70,5.74,5.54,5.60,690500,5.60
2016-06-23,5.71,5.74,5.67,5.72,244400,5.72
2016-06-22,5.81,5.835,5.69,5.70,310400,5.70
2016-06-21,5.65,5.86,5.65,5.81,905400,5.81
2016-06-20,5.73,5.76,5.67,5.71,238300,5.71
2016-06-17,5.77,5.77,5.66,5.70,337800,5.70
2016-06-16,5.78,5.84,5.75,5.75,857000,5.75
2016-06-15,5.76,5.86,5.74,5.74,254800,5.74
2016-06-14,5.85,5.88,5.71,5.74,340300,5.74
2016-06-13,5.92,5.92,5.92,5.92,000,5.92
2016-06-10,5.91,5.98,5.85,5.92,163800,5.92
2016-06-09,5.86,5.95,5.82,5.93,322300,5.93
2016-06-08,5.89,5.95,5.76,5.85,449100,5.85
2016-06-07,6.00,6.01,5.875,5.89,239600,5.89
2016-06-06,5.97,6.02,5.97,6.00,280400,6.00
2016-06-03,6.09,6.15,5.97,6.00,479300,6.00
2016-06-02,6.09,6.18,6.00,6.05,393800,6.05
2016-06-01,6.18,6.18,6.02,6.07,519500,6.07
2016-05-31,6.20,6.25,6.14,6.19,590700,6.19
2016-05-30,6.23,6.30,6.18,6.20,447000,6.20
2016-05-27,6.30,6.35,6.25,6.26,245900,6.26
2016-05-26,6.31,6.33,6.21,6.24,245500,6.24
2016-05-25,6.26,6.36,6.245,6.31,301300,6.31
2016-05-24,6.18,6.31,6.13,6.20,242700,6.20
2016-05-23,6.15,6.25,6.10,6.18,282400,6.18
2016-05-20,6.08,6.17,6.00,6.13,257400,6.13
2016-05-19,6.28,6.28,6.035,6.08,373300,6.08
2016-05-18,6.34,6.35,6.19,6.23,468300,6.23
2016-05-17,6.40,6.44,6.32,6.36,226800,6.36
2016-05-16,6.29,6.41,6.27,6.35,290000,6.35
