Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.61,0.65,0.605,0.65,305700,0.65
2016-06-30,0.605,0.62,0.605,0.61,172800,0.61
2016-06-29,0.605,0.61,0.60,0.605,85400,0.605
2016-06-28,0.59,0.605,0.59,0.605,205400,0.605
2016-06-27,0.60,0.605,0.595,0.60,111200,0.60
2016-06-24,0.60,0.61,0.595,0.605,251900,0.605
2016-06-23,0.605,0.605,0.60,0.60,58700,0.60
2016-06-22,0.60,0.61,0.595,0.61,96700,0.61
2016-06-21,0.61,0.61,0.597,0.60,215000,0.60
2016-06-20,0.605,0.615,0.592,0.61,766800,0.61
2016-06-17,0.62,0.62,0.605,0.605,41600,0.605
2016-06-16,0.605,0.62,0.60,0.62,144600,0.62
2016-06-15,0.60,0.605,0.60,0.60,136300,0.60
2016-06-14,0.61,0.61,0.595,0.605,446000,0.605
2016-06-13,0.615,0.615,0.615,0.615,000,0.615
2016-06-10,0.61,0.62,0.61,0.615,92500,0.615
2016-06-09,0.615,0.615,0.60,0.61,591600,0.61
2016-06-08,0.63,0.63,0.61,0.61,184500,0.61
2016-06-07,0.62,0.63,0.615,0.63,155200,0.63
2016-06-06,0.62,0.63,0.612,0.62,250300,0.62
2016-06-03,0.645,0.645,0.62,0.62,384400,0.62
2016-06-02,0.64,0.645,0.64,0.645,134700,0.645
2016-06-01,0.685,0.685,0.64,0.64,578800,0.64
2016-05-31,0.64,0.66,0.64,0.64,741700,0.64
2016-05-30,0.615,0.635,0.615,0.635,590900,0.635
2016-05-27,0.56,0.625,0.56,0.61,1153400,0.61
2016-05-26,0.565,0.57,0.535,0.54,604600,0.54
2016-05-25,0.52,0.54,0.52,0.54,324800,0.54
2016-05-24,0.52,0.522,0.515,0.5175,549600,0.5175
2016-05-23,0.525,0.525,0.50,0.515,636100,0.515
2016-05-20,0.555,0.555,0.525,0.525,446100,0.525
2016-05-19,0.57,0.575,0.55,0.55,358900,0.55
2016-05-18,0.57,0.575,0.565,0.57,203700,0.57
2016-05-17,0.58,0.58,0.57,0.575,170500,0.575
2016-05-16,0.585,0.595,0.57,0.57,327500,0.57
2016-05-13,0.585,0.587,0.57,0.58,298400,0.58
2016-05-12,0.58,0.595,0.58,0.59,39300,0.59
2016-05-11,0.595,0.61,0.585,0.59,721100,0.59
2016-05-10,0.57,0.59,0.565,0.59,269800,0.59
2016-05-09,0.585,0.585,0.57,0.57,215600,0.57
2016-05-06,0.60,0.60,0.57,0.58,529100,0.58
2016-05-05,0.62,0.635,0.59,0.59,299700,0.59
2016-05-04,0.575,0.605,0.57,0.595,445700,0.595
2016-05-03,0.58,0.59,0.575,0.575,783500,0.575
2016-05-02,0.585,0.59,0.58,0.585,176100,0.585
2016-04-29,0.605,0.605,0.585,0.585,432800,0.585
2016-04-28,0.605,0.615,0.60,0.60,166100,0.60
2016-04-27,0.62,0.62,0.60,0.60,111100,0.60
2016-04-26,0.61,0.62,0.605,0.605,146700,0.605
2016-04-25,0.60,0.60,0.60,0.60,000,0.60
2016-04-22,0.605,0.61,0.60,0.60,206500,0.60
2016-04-21,0.605,0.615,0.605,0.605,109200,0.605
2016-04-20,0.625,0.625,0.60,0.605,87500,0.605
2016-04-19,0.60,0.61,0.60,0.60,155200,0.60
2016-04-18,0.625,0.63,0.60,0.60,356100,0.60
2016-04-15,0.615,0.625,0.615,0.62,50800,0.62
2016-04-14,0.615,0.62,0.605,0.61,135900,0.61
2016-04-13,0.65,0.65,0.60,0.60,302900,0.60
2016-04-12,0.63,0.65,0.625,0.64,121600,0.64
2016-04-11,0.612,0.635,0.602,0.62,269300,0.62
2016-04-08,0.63,0.64,0.605,0.605,455700,0.605
2016-04-07,0.645,0.66,0.625,0.625,198800,0.625
2016-04-06,0.65,0.655,0.64,0.64,107300,0.64
2016-04-05,0.68,0.68,0.65,0.65,156100,0.65
2016-04-04,0.68,0.68,0.67,0.68,376000,0.68
2016-04-01,0.665,0.68,0.665,0.675,65800,0.675
2016-03-31,0.68,0.685,0.66,0.665,184200,0.665
2016-03-30,0.665,0.682,0.665,0.675,179900,0.675
2016-03-29,0.68,0.685,0.655,0.66,234200,0.66
2016-03-28,0.67,0.67,0.67,0.67,000,0.67
2016-03-25,0.67,0.67,0.67,0.67,000,0.67
2016-03-24,0.68,0.69,0.66,0.67,381900,0.67
2016-03-23,0.67,0.70,0.665,0.68,885100,0.68
2016-03-22,0.61,0.66,0.60,0.66,1193900,0.66
2016-03-21,0.60,0.60,0.57,0.585,461800,0.585
2016-03-18,0.625,0.635,0.60,0.60,570100,0.60
2016-03-17,0.63,0.63,0.605,0.62,409400,0.62
2016-03-16,0.63,0.635,0.62,0.625,193300,0.625
2016-03-15,0.63,0.635,0.62,0.625,196400,0.625
2016-03-14,0.635,0.64,0.635,0.635,217000,0.635
2016-03-11,0.645,0.65,0.635,0.635,373900,0.635
2016-03-10,0.65,0.655,0.64,0.65,479800,0.65
2016-03-09,0.68,0.68,0.645,0.65,611800,0.65
2016-03-08,0.65,0.685,0.65,0.665,271300,0.665
2016-03-07,0.655,0.66,0.65,0.655,489200,0.655
2016-03-04,0.66,0.675,0.65,0.65,314700,0.65
2016-03-03,0.655,0.67,0.65,0.66,540400,0.66
2016-03-02,0.65,0.67,0.64,0.65,382000,0.65
2016-03-01,0.695,0.695,0.655,0.655,718700,0.655
2016-02-29,0.74,0.74,0.695,0.695,450000,0.695
2016-02-26,0.77,0.80,0.60,0.70,1308000,0.70
2016-02-25,0.77,0.785,0.77,0.77,150600,0.77
2016-02-24,0.765,0.78,0.765,0.77,88300,0.77
2016-02-23,0.75,0.77,0.75,0.76,170700,0.76
2016-02-22,0.74,0.76,0.74,0.75,179800,0.75
2016-02-19,0.765,0.78,0.735,0.735,134600,0.735
2016-02-18,0.745,0.76,0.73,0.75,224100,0.75
