Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.29,0.295,0.285,0.295,418800,0.295
2016-06-30,0.29,0.29,0.285,0.287,981600,0.287
2016-06-29,0.31,0.32,0.29,0.29,1272100,0.29
2016-06-28,0.275,0.305,0.275,0.305,841800,0.305
2016-06-27,0.28,0.28,0.27,0.27,181600,0.27
2016-06-24,0.27,0.28,0.215,0.28,1834900,0.28
2016-06-23,0.27,0.275,0.265,0.27,154700,0.27
2016-06-22,0.285,0.285,0.26,0.26,577900,0.26
2016-06-21,0.275,0.275,0.27,0.275,274400,0.275
2016-06-20,0.27,0.27,0.27,0.27,000,0.27
2016-06-17,0.29,0.29,0.27,0.27,1065000,0.27
2016-06-16,0.28,0.285,0.28,0.28,707100,0.28
2016-06-15,0.295,0.295,0.275,0.28,1443200,0.28
2016-06-14,0.295,0.30,0.29,0.29,898700,0.29
2016-06-13,0.30,0.30,0.30,0.30,000,0.30
2016-06-10,0.305,0.305,0.295,0.30,766000,0.30
2016-06-09,0.30,0.31,0.29,0.31,638300,0.31
2016-06-08,0.295,0.31,0.295,0.295,552600,0.295
2016-06-07,0.29,0.2925,0.285,0.29,530300,0.29
2016-06-06,0.30,0.315,0.29,0.29,916000,0.29
2016-06-03,0.325,0.33,0.28,0.29,3216100,0.29
2016-06-02,0.30,0.31,0.30,0.30,1167100,0.30
2016-06-01,0.30,0.305,0.295,0.30,222500,0.30
2016-05-31,0.31,0.31,0.29,0.29,922100,0.29
2016-05-30,0.315,0.325,0.305,0.305,1017500,0.305
2016-05-27,0.29,0.315,0.29,0.305,514400,0.305
2016-05-26,0.275,0.30,0.265,0.29,1127000,0.29
2016-05-25,0.30,0.30,0.275,0.275,689100,0.275
2016-05-24,0.305,0.305,0.285,0.30,1492200,0.30
2016-05-23,0.31,0.32,0.30,0.30,1151500,0.30
2016-05-20,0.305,0.3125,0.295,0.31,935000,0.31
2016-05-19,0.33,0.33,0.285,0.30,3335200,0.30
2016-05-18,0.335,0.34,0.325,0.325,917700,0.325
