Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,19.02,19.35,18.99,19.09,13975300,19.09
2016-06-30,18.74,18.76,18.40,18.65,10597400,18.65
2016-06-29,18.56,18.57,18.21,18.30,11173000,18.30
2016-06-28,17.93,18.17,17.62,18.03,12635600,18.03
2016-06-27,17.89,18.18,17.75,18.08,13337800,18.08
2016-06-24,19.22,19.28,17.29,17.54,37038200,17.54
2016-06-23,18.87,19.11,18.78,19.05,11808300,19.05
2016-06-22,18.97,18.975,18.665,18.71,7347700,18.71
2016-06-21,19.00,19.06,18.56,18.69,8735000,18.69
2016-06-20,18.66,18.87,18.57,18.87,8894800,18.87
2016-06-17,18.27,18.355,17.91,18.08,9092200,18.08
2016-06-16,18.13,18.255,17.85,17.89,11647700,17.89
2016-06-15,17.82,18.08,17.80,17.82,11849700,17.82
2016-06-14,18.20,18.47,18.15,18.20,9708100,18.20
2016-06-13,18.80,18.80,18.80,18.80,000,18.80
2016-06-10,18.89,18.93,18.74,18.80,8564400,18.80
2016-06-09,19.80,19.96,19.56,19.61,5852400,19.61
2016-06-08,19.30,19.65,19.15,19.54,9103600,19.54
2016-06-07,19.80,19.96,19.73,19.78,12457400,19.78
2016-06-06,19.02,19.38,18.93,19.22,10845400,19.22
2016-06-03,18.40,18.56,18.32,18.53,6118200,18.53
2016-06-02,18.35,18.435,18.21,18.24,7870200,18.24
2016-06-01,18.53,18.64,18.41,18.49,9345900,18.49
2016-05-31,19.20,19.34,19.03,19.08,9569500,19.08
2016-05-30,19.24,19.36,19.13,19.24,5461500,19.24
2016-05-27,19.41,19.47,19.215,19.37,12472100,19.37
2016-05-26,19.48,19.62,19.24,19.41,10095400,19.41
2016-05-25,18.97,19.115,18.81,18.90,10027700,18.90
2016-05-24,18.60,18.64,18.37,18.38,6713000,18.38
2016-05-23,18.68,18.78,18.335,18.37,8769900,18.37
2016-05-20,18.88,19.07,18.75,18.85,5521400,18.85
2016-05-19,19.00,19.06,18.43,18.71,12554100,18.71
2016-05-18,19.33,19.67,19.29,19.43,11313600,19.43
2016-05-17,18.87,19.26,18.87,19.21,10068500,19.21
2016-05-16,18.22,18.57,18.13,18.56,5893200,18.56
2016-05-13,18.26,18.39,17.95,18.20,8889300,18.20
2016-05-12,18.45,18.72,18.42,18.59,7977700,18.59
2016-05-11,18.38,18.61,18.285,18.55,11026800,18.55
2016-05-10,17.80,17.88,17.44,17.83,14668200,17.83
2016-05-09,18.87,18.94,18.14,18.41,8882100,18.41
2016-05-06,18.63,18.83,18.20,18.46,14786500,18.46
2016-05-05,18.52,18.85,17.91,18.43,19541300,18.43
2016-05-04,19.50,19.61,18.675,18.79,20447600,18.79
2016-05-03,20.40,20.79,20.33,20.73,10725400,20.73
2016-05-02,20.51,20.99,20.42,20.92,6594100,20.92
2016-04-29,20.30,20.73,20.21,20.68,19805300,20.68
2016-04-28,20.25,20.61,20.15,20.57,11634700,20.57
2016-04-27,20.04,20.05,19.58,19.65,9445600,19.65
2016-04-26,19.86,20.07,19.70,19.76,11511200,19.76
2016-04-25,20.36,20.36,20.36,20.36,000,20.36
2016-04-22,20.39,20.775,20.31,20.36,10788900,20.36
2016-04-21,21.13,21.25,20.86,21.05,18382500,21.05
2016-04-20,20.10,20.48,19.94,20.34,19345000,20.34
2016-04-19,19.23,19.72,19.21,19.67,15679700,19.67
2016-04-18,18.49,18.80,18.47,18.70,14866300,18.70
2016-04-15,18.77,19.37,18.74,19.28,15596800,19.28
2016-04-14,18.75,18.95,18.65,18.87,21751100,18.87
2016-04-13,17.44,17.95,17.43,17.92,15559300,17.92
2016-04-12,16.76,16.95,16.75,16.90,7532300,16.90
2016-04-11,16.39,16.57,16.25,16.55,6306500,16.55
2016-04-08,15.91,16.355,15.90,16.18,8164000,16.18
2016-04-07,16.04,16.425,15.86,16.39,12092200,16.39
2016-04-06,16.04,16.29,16.00,16.14,8709100,16.14
2016-04-05,16.31,16.33,15.85,15.98,11075400,15.98
2016-04-04,16.79,16.80,16.50,16.52,6501500,16.52
2016-04-01,16.84,17.185,16.69,16.97,7957700,16.97
2016-03-31,17.20,17.30,16.85,16.86,10837300,16.86
2016-03-30,16.85,16.85,16.52,16.62,9827800,16.62
2016-03-29,17.01,17.15,16.69,16.71,7510400,16.71
2016-03-28,17.00,17.00,17.00,17.00,000,17.00
2016-03-25,17.00,17.00,17.00,17.00,000,17.00
2016-03-24,17.01,17.05,16.75,17.00,21322500,17.00
2016-03-23,17.65,17.81,17.52,17.60,9844200,17.60
