Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.105,0.12,0.105,0.11,77900,0.11
2016-06-30,0.12,0.12,0.10,0.105,232700,0.105
2016-06-29,0.12,0.12,0.115,0.115,277300,0.115
2016-06-28,0.115,0.12,0.115,0.115,214000,0.115
2016-06-27,0.12,0.12,0.115,0.115,198100,0.115
2016-06-24,0.12,0.12,0.115,0.115,173000,0.115
2016-06-23,0.12,0.125,0.12,0.12,81700,0.12
2016-06-22,0.12,0.125,0.12,0.12,239200,0.12
2016-06-21,0.125,0.125,0.12,0.12,189200,0.12
2016-06-20,0.13,0.13,0.13,0.13,45700,0.13
2016-06-17,0.125,0.13,0.125,0.13,134000,0.13
2016-06-16,0.12,0.13,0.12,0.13,55100,0.13
2016-06-15,0.125,0.13,0.12,0.12,135100,0.12
2016-06-14,0.135,0.135,0.125,0.13,433600,0.13
2016-06-13,0.115,0.115,0.115,0.115,000,0.115
2016-06-10,0.12,0.12,0.115,0.115,57400,0.115
2016-06-09,0.13,0.13,0.12,0.12,110900,0.12
2016-06-08,0.13,0.13,0.13,0.13,65900,0.13
2016-06-07,0.125,0.13,0.12,0.13,88700,0.13
2016-06-06,0.135,0.135,0.13,0.13,85000,0.13
2016-06-03,0.125,0.125,0.125,0.125,17500,0.125
2016-06-02,0.13,0.13,0.13,0.13,18000,0.13
2016-06-01,0.125,0.125,0.125,0.125,000,0.125
2016-05-31,0.13,0.13,0.13,0.13,76200,0.13
2016-05-30,0.135,0.135,0.13,0.13,24300,0.13
2016-05-27,0.13,0.135,0.13,0.135,180900,0.135
2016-05-26,0.135,0.135,0.13,0.13,144600,0.13
2016-05-25,0.13,0.13,0.13,0.13,100,0.13
2016-05-24,0.13,0.135,0.13,0.135,7300,0.135
2016-05-23,0.13,0.13,0.13,0.13,17600,0.13
2016-05-20,0.125,0.13,0.125,0.13,216600,0.13
2016-05-19,0.125,0.125,0.125,0.125,1000,0.125
2016-05-18,0.14,0.14,0.13,0.13,65300,0.13
2016-05-17,0.15,0.15,0.15,0.15,224000,0.15
2016-05-16,0.145,0.15,0.145,0.15,82100,0.15
2016-05-13,0.13,0.14,0.13,0.14,184000,0.14
2016-05-12,0.14,0.14,0.13,0.13,2300,0.13
2016-05-11,0.14,0.145,0.14,0.14,87200,0.14
2016-05-10,0.145,0.15,0.14,0.14,465500,0.14
2016-05-09,0.135,0.135,0.135,0.135,000,0.135
2016-05-06,0.135,0.135,0.135,0.135,000,0.135
2016-05-05,0.14,0.14,0.12,0.135,540500,0.135
2016-05-04,0.15,0.15,0.14,0.145,385700,0.145
2016-05-03,0.15,0.155,0.15,0.15,117200,0.15
2016-05-02,0.165,0.165,0.15,0.16,150100,0.16
2016-04-29,0.175,0.175,0.165,0.165,55000,0.165
2016-04-28,0.165,0.165,0.165,0.165,23700,0.165
2016-04-27,0.16,0.18,0.16,0.18,132100,0.18
2016-04-26,0.17,0.17,0.17,0.17,000,0.17
2016-04-25,0.17,0.17,0.17,0.17,000,0.17
2016-04-22,0.165,0.17,0.165,0.17,24500,0.17
2016-04-21,0.165,0.165,0.165,0.165,18000,0.165
2016-04-20,0.175,0.175,0.16,0.165,23300,0.165
2016-04-19,0.17,0.17,0.16,0.16,21600,0.16
2016-04-18,0.155,0.17,0.155,0.165,450500,0.165
2016-04-15,0.155,0.16,0.15,0.15,319500,0.15
2016-04-14,0.165,0.165,0.15,0.15,59400,0.15
2016-04-13,0.16,0.165,0.16,0.165,111700,0.165
2016-04-12,0.155,0.16,0.155,0.155,20200,0.155
2016-04-11,0.16,0.16,0.155,0.155,376400,0.155
2016-04-08,0.16,0.16,0.15,0.155,118300,0.155
2016-04-07,0.165,0.17,0.16,0.165,101500,0.165
2016-04-06,0.18,0.185,0.17,0.17,186000,0.17
2016-04-05,0.175,0.18,0.17,0.18,105700,0.18
2016-04-04,0.165,0.17,0.165,0.17,43500,0.17
2016-04-01,0.165,0.17,0.165,0.17,113700,0.17
2016-03-31,0.14,0.185,0.14,0.18,289800,0.18
2016-03-30,0.14,0.14,0.14,0.14,7000,0.14
2016-03-29,0.135,0.135,0.135,0.135,000,0.135
2016-03-28,0.135,0.135,0.135,0.135,000,0.135
2016-03-25,0.135,0.135,0.135,0.135,000,0.135
2016-03-24,0.135,0.135,0.135,0.135,000,0.135
2016-03-23,0.14,0.14,0.135,0.135,51400,0.135
2016-03-22,0.14,0.14,0.13,0.135,36600,0.135
2016-03-21,0.145,0.145,0.13,0.135,210200,0.135
2016-03-18,0.14,0.145,0.14,0.145,84800,0.145
2016-03-17,0.16,0.16,0.135,0.135,541000,0.135
2016-03-16,0.16,0.16,0.16,0.16,000,0.16
2016-03-15,0.18,0.18,0.16,0.16,38500,0.16
2016-03-14,0.165,0.17,0.165,0.17,84300,0.17
2016-03-11,0.165,0.165,0.16,0.16,56500,0.16
2016-03-10,0.16,0.165,0.16,0.165,37500,0.165
2016-03-09,0.16,0.16,0.16,0.16,175100,0.16
2016-03-08,0.17,0.17,0.16,0.16,144300,0.16
2016-03-07,0.195,0.195,0.17,0.17,31900,0.17
2016-03-04,0.175,0.195,0.17,0.195,119300,0.195
2016-03-03,0.195,0.195,0.195,0.195,000,0.195
2016-03-02,0.19,0.195,0.19,0.195,8000,0.195
2016-03-01,0.18,0.195,0.18,0.195,23800,0.195
2016-02-29,0.19,0.20,0.18,0.18,61500,0.18
2016-02-26,0.19,0.20,0.19,0.19,118700,0.19
2016-02-25,0.19,0.205,0.19,0.20,160000,0.20
2016-02-24,0.18,0.185,0.17,0.17,209600,0.17
2016-02-23,0.165,0.19,0.165,0.18,411000,0.18
2016-02-22,0.17,0.17,0.16,0.16,32800,0.16
2016-02-19,0.17,0.17,0.15,0.15,227000,0.15
2016-02-18,0.165,0.17,0.165,0.165,38800,0.165
2016-02-17,0.175,0.175,0.17,0.17,41000,0.17
2016-02-16,0.175,0.18,0.175,0.175,34400,0.175
2016-02-15,0.17,0.17,0.17,0.17,000,0.17
2016-02-12,0.18,0.18,0.17,0.17,130100,0.17
2016-02-11,0.185,0.185,0.185,0.185,9200,0.185
2016-02-10,0.18,0.185,0.18,0.185,10300,0.185
2016-02-09,0.185,0.185,0.18,0.185,42300,0.185
2016-02-08,0.185,0.185,0.185,0.185,000,0.185
2016-02-05,0.20,0.20,0.185,0.185,29400,0.185
2016-02-04,0.19,0.205,0.19,0.20,94500,0.20
2016-02-03,0.185,0.185,0.185,0.185,000,0.185
2016-02-02,0.185,0.185,0.185,0.185,5100,0.185
2016-02-01,0.18,0.19,0.18,0.185,387900,0.185
2016-01-29,0.18,0.18,0.175,0.175,11800,0.175
2016-01-28,0.185,0.185,0.185,0.185,000,0.185
2016-01-27,0.19,0.19,0.185,0.185,7500,0.185
2016-01-26,0.19,0.19,0.19,0.19,000,0.19
2016-01-25,0.19,0.19,0.19,0.19,24000,0.19
2016-01-22,0.195,0.195,0.19,0.19,10700,0.19
2016-01-21,0.20,0.20,0.19,0.195,92900,0.195
2016-01-20,0.21,0.21,0.21,0.21,000,0.21
2016-01-19,0.21,0.21,0.21,0.21,000,0.21
2016-01-18,0.19,0.21,0.19,0.21,3900,0.21
2016-01-15,0.22,0.22,0.22,0.22,000,0.22
2016-01-14,0.22,0.22,0.22,0.22,000,0.22
2016-01-13,0.20,0.22,0.20,0.22,125000,0.22
2016-01-12,0.195,0.21,0.195,0.21,211300,0.21
2016-01-11,0.20,0.20,0.195,0.20,45700,0.20
2016-01-08,0.21,0.21,0.20,0.20,74800,0.20
2016-01-07,0.22,0.22,0.21,0.21,72700,0.21
2016-01-06,0.21,0.22,0.21,0.22,27400,0.22
2016-01-05,0.21,0.21,0.21,0.21,64600,0.21
2016-01-04,0.21,0.21,0.21,0.21,000,0.21
2016-01-01,0.21,0.21,0.21,0.21,000,0.21
2015-12-31,0.21,0.21,0.21,0.21,1300,0.21
2015-12-30,0.21,0.21,0.21,0.21,33300,0.21
2015-12-29,0.21,0.225,0.21,0.225,52400,0.225
2015-12-28,0.21,0.21,0.21,0.21,000,0.21
2015-12-25,0.21,0.21,0.21,0.21,000,0.21
2015-12-24,0.21,0.21,0.21,0.21,80600,0.21
2015-12-23,0.225,0.225,0.205,0.205,260400,0.205
2015-12-22,0.21,0.22,0.21,0.22,82500,0.22
2015-12-21,0.21,0.21,0.205,0.205,10800,0.205
2015-12-18,0.215,0.22,0.21,0.21,196600,0.21
2015-12-17,0.22,0.225,0.205,0.21,38900,0.21
2015-12-16,0.215,0.215,0.20,0.205,230000,0.205
2015-12-15,0.22,0.22,0.215,0.215,50000,0.215
2015-12-14,0.23,0.23,0.22,0.22,91500,0.22
2015-12-11,0.245,0.245,0.225,0.23,51900,0.23
2015-12-10,0.24,0.25,0.24,0.245,221100,0.245
2015-12-09,0.23,0.23,0.225,0.23,91000,0.23
2015-12-08,0.23,0.235,0.225,0.23,195000,0.23
2015-12-07,0.23,0.235,0.225,0.225,226600,0.225
2015-12-04,0.23,0.23,0.225,0.225,220700,0.225
2015-12-03,0.24,0.24,0.235,0.235,409800,0.235
2015-12-02,0.255,0.27,0.24,0.24,694200,0.24
2015-12-01,0.245,0.245,0.23,0.23,188900,0.23
2015-11-30,0.245,0.255,0.245,0.245,299800,0.245
2015-11-27,0.26,0.265,0.245,0.245,310900,0.245
2015-11-26,0.25,0.265,0.245,0.26,771300,0.26
2015-11-25,0.23,0.255,0.23,0.245,615400,0.245
2015-11-24,0.23,0.245,0.225,0.23,509200,0.23
2015-11-23,0.235,0.235,0.225,0.225,56100,0.225
2015-11-20,0.22,0.225,0.22,0.225,18100,0.225
