Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.38,0.38,0.38,0.38,000,0.38
2016-06-30,0.365,0.38,0.365,0.38,51400,0.38
2016-06-29,0.39,0.39,0.39,0.39,10000,0.39
2016-06-28,0.36,0.38,0.36,0.365,81300,0.365
2016-06-27,0.36,0.36,0.34,0.34,52800,0.34
2016-06-24,0.365,0.365,0.365,0.365,000,0.365
2016-06-23,0.365,0.365,0.365,0.365,4600,0.365
2016-06-22,0.36,0.36,0.36,0.36,000,0.36
2016-06-21,0.36,0.36,0.36,0.36,000,0.36
2016-06-20,0.36,0.36,0.36,0.36,000,0.36
2016-06-17,0.375,0.375,0.36,0.36,33800,0.36
2016-06-16,0.36,0.36,0.36,0.36,000,0.36
2016-06-15,0.36,0.36,0.36,0.36,1300,0.36
2016-06-14,0.40,0.40,0.39,0.39,58300,0.39
2016-06-13,0.39,0.39,0.39,0.39,000,0.39
2016-06-10,0.39,0.395,0.39,0.39,38500,0.39
2016-06-09,0.385,0.385,0.385,0.385,25000,0.385
2016-06-08,0.37,0.38,0.36,0.38,466700,0.38
2016-06-07,0.38,0.385,0.37,0.37,40900,0.37
2016-06-06,0.375,0.38,0.375,0.38,10000,0.38
2016-06-03,0.36,0.36,0.36,0.36,145000,0.36
2016-06-02,0.38,0.38,0.375,0.375,16500,0.375
2016-06-01,0.365,0.365,0.365,0.365,1300,0.365
2016-05-31,0.38,0.38,0.365,0.365,82600,0.365
2016-05-30,0.37,0.37,0.37,0.37,000,0.37
2016-05-27,0.38,0.38,0.365,0.37,110000,0.37
2016-05-26,0.38,0.39,0.38,0.39,59700,0.39
2016-05-25,0.365,0.38,0.365,0.38,71500,0.38
2016-05-24,0.35,0.35,0.35,0.35,5800,0.35
2016-05-23,0.365,0.365,0.335,0.34,61600,0.34
2016-05-20,0.39,0.39,0.355,0.355,41600,0.355
2016-05-19,0.40,0.42,0.40,0.40,95900,0.40
2016-05-18,0.40,0.40,0.40,0.40,39400,0.40
2016-05-17,0.425,0.425,0.40,0.40,6700,0.40
2016-05-16,0.43,0.43,0.425,0.425,32600,0.425
2016-05-13,0.43,0.43,0.43,0.43,30200,0.43
2016-05-12,0.43,0.43,0.43,0.43,000,0.43
2016-05-11,0.435,0.435,0.43,0.43,11200,0.43
2016-05-10,0.445,0.45,0.445,0.45,100000,0.45
2016-05-09,0.435,0.435,0.435,0.435,000,0.435
2016-05-06,0.435,0.435,0.435,0.435,5000,0.435
2016-05-05,0.415,0.415,0.415,0.415,2000,0.415
2016-05-04,0.405,0.44,0.405,0.44,6000,0.44
2016-05-03,0.40,0.40,0.40,0.40,000,0.40
2016-05-02,0.40,0.40,0.40,0.40,4500,0.40
2016-04-29,0.395,0.395,0.395,0.395,000,0.395
2016-04-28,0.415,0.415,0.39,0.395,26800,0.395
2016-04-27,0.425,0.48,0.41,0.41,142900,0.41
2016-04-26,0.365,0.365,0.365,0.365,000,0.365
2016-04-25,0.365,0.365,0.365,0.365,000,0.365
2016-04-22,0.365,0.365,0.365,0.365,000,0.365
2016-04-21,0.365,0.365,0.365,0.365,3000,0.365
2016-04-20,0.36,0.36,0.36,0.36,000,0.36
2016-04-19,0.36,0.36,0.36,0.36,000,0.36
2016-04-18,0.365,0.365,0.36,0.36,7400,0.36
2016-04-15,0.355,0.355,0.355,0.355,000,0.355
2016-04-14,0.355,0.355,0.355,0.355,000,0.355
2016-04-13,0.355,0.355,0.355,0.355,500,0.355
2016-04-12,0.35,0.35,0.35,0.35,000,0.35
2016-04-11,0.35,0.35,0.35,0.35,37200,0.35
2016-04-08,0.37,0.37,0.37,0.37,5400,0.37
2016-04-07,0.35,0.35,0.35,0.35,26000,0.35
2016-04-06,0.36,0.36,0.36,0.36,9300,0.36
2016-04-05,0.39,0.39,0.385,0.385,20000,0.385
2016-04-04,0.395,0.395,0.395,0.395,1200,0.395
2016-04-01,0.46,0.46,0.46,0.46,000,0.46
2016-03-31,0.46,0.46,0.46,0.46,000,0.46
2016-03-30,0.46,0.46,0.46,0.46,1000,0.46
2016-03-29,0.46,0.46,0.46,0.46,10000,0.46
2016-03-28,0.42,0.42,0.42,0.42,000,0.42
2016-03-25,0.42,0.42,0.42,0.42,000,0.42
2016-03-24,0.42,0.42,0.42,0.42,000,0.42
2016-03-23,0.42,0.42,0.42,0.42,000,0.42
2016-03-22,0.425,0.425,0.42,0.42,115100,0.42
2016-03-21,0.475,0.475,0.475,0.475,000,0.475
2016-03-18,0.475,0.475,0.475,0.475,000,0.475
2016-03-17,0.46,0.48,0.41,0.475,81300,0.475
