Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.061,0.061,0.06,0.061,464300,0.061
2016-06-30,0.06,0.06,0.059,0.06,205800,0.06
2016-06-29,0.055,0.055,0.055,0.055,6500,0.055
2016-06-28,0.056,0.056,0.054,0.054,457800,0.054
2016-06-27,0.057,0.057,0.054,0.054,184300,0.054
2016-06-24,0.058,0.058,0.057,0.057,297900,0.057
2016-06-23,0.06,0.061,0.058,0.059,431900,0.059
2016-06-22,0.06,0.061,0.06,0.061,1538000,0.061
2016-06-21,0.062,0.063,0.06,0.06,245600,0.06
2016-06-20,0.062,0.062,0.062,0.062,156900,0.062
2016-06-17,0.062,0.062,0.061,0.061,178900,0.061
2016-06-16,0.064,0.064,0.063,0.063,105800,0.063
2016-06-15,0.066,0.066,0.063,0.063,151300,0.063
2016-06-14,0.065,0.066,0.064,0.066,466100,0.066
2016-06-13,0.064,0.064,0.064,0.064,000,0.064
2016-06-10,0.067,0.067,0.064,0.064,61100,0.064
2016-06-09,0.067,0.067,0.067,0.067,29000,0.067
2016-06-08,0.063,0.064,0.063,0.063,389400,0.063
2016-06-07,0.065,0.068,0.065,0.068,76300,0.068
2016-06-06,0.068,0.068,0.065,0.065,193800,0.065
2016-06-03,0.068,0.068,0.066,0.068,198900,0.068
2016-06-02,0.07,0.07,0.068,0.07,102600,0.07
2016-06-01,0.07,0.07,0.068,0.068,36500,0.068
2016-05-31,0.07,0.071,0.07,0.07,115300,0.07
2016-05-30,0.07,0.07,0.07,0.07,197100,0.07
2016-05-27,0.069,0.073,0.068,0.071,275700,0.071
2016-05-26,0.068,0.072,0.066,0.069,369100,0.069
2016-05-25,0.07,0.073,0.068,0.068,802900,0.068
2016-05-24,0.076,0.079,0.065,0.069,2832500,0.069
2016-05-23,0.061,0.083,0.061,0.074,5666700,0.074
2016-05-20,0.063,0.066,0.062,0.064,181500,0.064
2016-05-19,0.062,0.065,0.062,0.065,151700,0.065
2016-05-18,0.063,0.065,0.062,0.065,261700,0.065
2016-05-17,0.064,0.064,0.064,0.064,69900,0.064
2016-05-16,0.063,0.064,0.061,0.062,127400,0.062
