Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.58,1.585,1.575,1.585,324200,1.585
2016-06-30,1.58,1.585,1.575,1.58,426000,1.58
2016-06-29,1.59,1.59,1.59,1.59,000,1.59
2016-06-28,1.59,1.59,1.59,1.59,000,1.59
2016-06-27,1.59,1.59,1.59,1.59,000,1.59
2016-06-24,1.59,1.59,1.59,1.59,000,1.59
2016-06-23,1.59,1.59,1.59,1.59,000,1.59
2016-06-22,1.57,1.575,1.56,1.57,295100,1.57
2016-06-21,1.58,1.585,1.57,1.57,215700,1.57
2016-06-20,1.575,1.585,1.575,1.58,282500,1.58
2016-06-17,1.575,1.585,1.57,1.57,293800,1.57
2016-06-16,1.575,1.575,1.57,1.57,148800,1.57
2016-06-15,1.59,1.59,1.59,1.59,000,1.59
2016-06-14,1.59,1.59,1.59,1.59,000,1.59
2016-06-13,1.59,1.59,1.59,1.59,000,1.59
2016-06-10,1.58,1.58,1.57,1.58,133200,1.58
2016-06-09,1.59,1.59,1.59,1.59,000,1.59
2016-06-08,1.59,1.59,1.59,1.59,000,1.59
2016-06-07,1.59,1.59,1.59,1.59,000,1.59
2016-06-06,1.4932,1.4932,1.4932,1.4932,000,1.4932
2016-06-03,1.4932,1.4932,1.4932,1.4932,000,1.4932
2016-06-02,1.555,1.56,1.555,1.56,129200,1.56
2016-06-01,1.56,1.56,1.555,1.555,115800,1.555
2016-05-31,1.57,1.57,1.56,1.57,97700,1.57
2016-05-30,1.565,1.57,1.565,1.57,234400,1.57
2016-05-27,1.565,1.575,1.565,1.57,235300,1.57
2016-05-26,1.565,1.57,1.56,1.57,280800,1.57
2016-05-25,1.57,1.575,1.565,1.565,483800,1.565
2016-05-24,1.57,1.57,1.565,1.565,120000,1.565
2016-05-23,1.57,1.575,1.565,1.565,318800,1.565
2016-05-20,1.57,1.58,1.565,1.57,321000,1.57
2016-05-19,1.57,1.58,1.57,1.57,217400,1.57
2016-05-18,1.575,1.58,1.575,1.577,153800,1.577
2016-05-17,1.58,1.58,1.575,1.575,251500,1.575
2016-05-16,1.575,1.58,1.57,1.58,126800,1.58
2016-05-13,1.58,1.58,1.575,1.577,185700,1.577
2016-05-12,1.58,1.585,1.575,1.585,139600,1.585
2016-05-11,1.58,1.585,1.575,1.575,190900,1.575
2016-05-10,1.577,1.585,1.57,1.575,285100,1.575
2016-05-09,1.58,1.585,1.575,1.58,206700,1.58
2016-05-06,1.59,1.59,1.58,1.58,237600,1.58
2016-05-05,1.59,1.595,1.587,1.592,117800,1.592
2016-05-04,1.595,1.595,1.59,1.59,123900,1.59
2016-05-03,1.59,1.595,1.575,1.595,247800,1.595
2016-05-02,1.59,1.59,1.58,1.59,144300,1.59
2016-04-29,1.59,1.60,1.59,1.60,147700,1.60
2016-04-28,1.58,1.59,1.575,1.59,110100,1.59
2016-04-27,1.585,1.595,1.58,1.585,321800,1.585
2016-04-26,1.585,1.595,1.58,1.595,211600,1.595
2016-04-25,1.55,1.55,1.55,1.55,000,1.55
2016-04-22,1.59,1.59,1.58,1.59,124600,1.59
2016-04-21,1.58,1.60,1.58,1.59,319500,1.59
2016-04-20,1.575,1.58,1.57,1.58,108600,1.58
2016-04-19,1.585,1.60,1.565,1.565,167200,1.565
2016-04-18,1.51,1.51,1.51,1.51,000,1.51
2016-04-15,1.585,1.59,1.58,1.58,276200,1.58
2016-04-14,1.58,1.60,1.58,1.58,303100,1.58
2016-04-13,1.565,1.58,1.562,1.575,199400,1.575
2016-04-12,1.58,1.58,1.56,1.575,165300,1.575
