Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.02,1.065,1.01,1.055,648100,1.055
2016-06-30,1.02,1.045,0.985,1.00,973300,1.00
2016-06-29,1.045,1.065,0.99,1.005,594500,1.005
2016-06-28,1.01,1.045,0.995,1.03,466300,1.03
2016-06-27,1.035,1.0475,0.99,1.04,633400,1.04
2016-06-24,1.13,1.1375,1.045,1.05,499900,1.05
2016-06-23,1.055,1.135,1.05,1.13,518200,1.13
2016-06-22,1.065,1.09,1.055,1.06,175000,1.06
2016-06-21,1.14,1.15,1.06,1.06,412200,1.06
2016-06-20,1.06,1.175,1.06,1.14,392600,1.14
2016-06-17,1.05,1.10,1.04,1.10,410900,1.10
2016-06-16,1.085,1.15,1.04,1.06,266500,1.06
2016-06-15,1.10,1.12,1.06,1.095,315100,1.095
2016-06-14,1.15,1.15,1.11,1.12,456600,1.12
2016-06-13,1.18,1.18,1.18,1.18,000,1.18
2016-06-10,1.195,1.20,1.155,1.18,425300,1.18
2016-06-09,1.21,1.265,1.205,1.22,219900,1.22
2016-06-08,1.26,1.27,1.21,1.22,408900,1.22
2016-06-07,1.26,1.295,1.25,1.26,436400,1.26
2016-06-06,1.35,1.35,1.235,1.25,646700,1.25
2016-06-03,1.32,1.375,1.315,1.315,846100,1.315
2016-06-02,1.255,1.31,1.25,1.30,877100,1.30
2016-06-01,1.235,1.29,1.22,1.26,575000,1.26
2016-05-31,1.27,1.27,1.19,1.225,768400,1.225
2016-05-30,1.25,1.30,1.23,1.27,705600,1.27
2016-05-27,1.165,1.22,1.15,1.215,707200,1.215
2016-05-26,1.16,1.21,1.15,1.185,727400,1.185
2016-05-25,1.185,1.20,1.15,1.16,785600,1.16
2016-05-24,1.18,1.19,1.152,1.175,494200,1.175
2016-05-23,1.145,1.195,1.145,1.165,742600,1.165
2016-05-20,1.155,1.16,1.12,1.15,359600,1.15
2016-05-19,1.17,1.17,1.11,1.135,398400,1.135
2016-05-18,1.11,1.165,1.095,1.16,870000,1.16
2016-05-17,1.11,1.15,1.09,1.10,895400,1.10
2016-05-16,1.32,1.365,1.102,1.11,1836400,1.11
2016-05-13,1.19,1.32,1.14,1.30,1881000,1.30
2016-05-12,1.07,1.185,1.07,1.18,1437600,1.18
2016-05-11,1.02,1.065,1.00,1.065,1524800,1.065
2016-05-10,1.05,1.05,1.00,1.01,683900,1.01
2016-05-09,1.025,1.055,1.015,1.045,695400,1.045
2016-05-06,0.98,1.035,0.98,1.035,870800,1.035
2016-05-05,0.97,1.005,0.95,0.98,784800,0.98
2016-05-04,1.025,1.035,0.955,0.97,1922000,0.97
2016-05-03,0.95,1.045,0.95,1.04,2342600,1.04
2016-05-02,0.91,0.96,0.91,0.935,692800,0.935
2016-04-29,0.87,0.93,0.855,0.91,891500,0.91
2016-04-28,0.92,0.92,0.875,0.895,493500,0.895
2016-04-27,0.91,0.92,0.88,0.90,989700,0.90
2016-04-26,0.94,0.945,0.89,0.93,1574300,0.93
2016-04-25,0.92,0.92,0.92,0.92,000,0.92
2016-04-22,0.825,0.935,0.812,0.92,1297400,0.92
2016-04-21,0.74,0.835,0.74,0.835,2257200,0.835
2016-04-20,0.71,0.73,0.67,0.725,608200,0.725
2016-04-19,0.70,0.71,0.67,0.70,386900,0.70
2016-04-18,0.71,0.725,0.68,0.69,389100,0.69
2016-04-15,0.77,0.77,0.71,0.71,841900,0.71
2016-04-14,0.66,0.76,0.66,0.76,1437300,0.76
2016-04-13,0.58,0.66,0.58,0.66,1239600,0.66
2016-04-12,0.61,0.61,0.575,0.575,351000,0.575
2016-04-11,0.60,0.605,0.58,0.60,299300,0.60
2016-04-08,0.59,0.605,0.555,0.59,460200,0.59
2016-04-07,0.615,0.615,0.59,0.595,162600,0.595
2016-04-06,0.59,0.615,0.575,0.575,152500,0.575
2016-04-05,0.61,0.61,0.575,0.585,230400,0.585
2016-04-04,0.64,0.645,0.615,0.615,212100,0.615
2016-04-01,0.615,0.645,0.615,0.635,234700,0.635
2016-03-31,0.575,0.64,0.57,0.605,264300,0.605
2016-03-30,0.62,0.62,0.565,0.57,679900,0.57
2016-03-29,0.65,0.665,0.607,0.61,741400,0.61
2016-03-28,0.65,0.65,0.65,0.65,000,0.65
2016-03-25,0.65,0.65,0.65,0.65,000,0.65
2016-03-24,0.67,0.67,0.64,0.65,420000,0.65
2016-03-23,0.69,0.69,0.67,0.67,465100,0.67
2016-03-22,0.65,0.67,0.65,0.655,887200,0.655
2016-03-21,0.71,0.72,0.65,0.65,1164200,0.65
2016-03-18,0.74,0.75,0.70,0.70,3850000,0.70
2016-03-17,0.715,0.75,0.70,0.70,336400,0.70
2016-03-16,0.705,0.735,0.70,0.71,985900,0.71
2016-03-15,0.72,0.73,0.69,0.705,335800,0.705
2016-03-14,0.755,0.775,0.705,0.705,497200,0.705
2016-03-11,0.755,0.78,0.70,0.755,1001500,0.755
2016-03-10,0.795,0.82,0.755,0.775,645700,0.775
2016-03-09,0.815,0.82,0.78,0.795,619500,0.795
2016-03-08,0.795,0.83,0.78,0.815,874300,0.815
2016-03-07,0.79,0.815,0.76,0.775,1048100,0.775
2016-03-04,0.695,0.76,0.69,0.75,763600,0.75
2016-03-03,0.69,0.722,0.68,0.695,631000,0.695
2016-03-02,0.64,0.69,0.64,0.685,537500,0.685
2016-03-01,0.65,0.675,0.635,0.635,357400,0.635
2016-02-29,0.65,0.685,0.645,0.65,612300,0.65
2016-02-26,0.63,0.64,0.61,0.64,267900,0.64
2016-02-25,0.615,0.645,0.605,0.63,391900,0.63
2016-02-24,0.635,0.645,0.605,0.61,561700,0.61
2016-02-23,0.625,0.65,0.625,0.645,543500,0.645
2016-02-22,0.59,0.63,0.575,0.62,2666400,0.62
2016-02-19,0.58,0.625,0.56,0.60,619100,0.60
2016-02-18,0.54,0.60,0.535,0.58,2083800,0.58
2016-02-17,0.50,0.525,0.47,0.525,4145300,0.525
2016-02-16,0.53,0.53,0.46,0.48,1160500,0.48
2016-02-15,0.515,0.57,0.50,0.535,980700,0.535
2016-02-12,0.45,0.505,0.43,0.505,820800,0.505
2016-02-11,0.45,0.46,0.45,0.45,255000,0.45
2016-02-10,0.435,0.455,0.42,0.44,1615500,0.44
2016-02-09,0.45,0.455,0.415,0.44,903700,0.44
2016-02-08,0.45,0.4575,0.435,0.45,700300,0.45
2016-02-05,0.435,0.45,0.435,0.445,192300,0.445
2016-02-04,0.44,0.46,0.435,0.44,641200,0.44
2016-02-03,0.44,0.445,0.427,0.445,598100,0.445
2016-02-02,0.45,0.455,0.44,0.445,460100,0.445
2016-02-01,0.445,0.475,0.44,0.44,811600,0.44
2016-01-29,0.415,0.445,0.41,0.44,1106600,0.44
2016-01-28,0.415,0.42,0.405,0.405,867100,0.405
2016-01-27,0.42,0.43,0.41,0.41,447600,0.41
2016-01-26,0.42,0.42,0.42,0.42,000,0.42
2016-01-25,0.42,0.43,0.412,0.42,671000,0.42
2016-01-22,0.41,0.422,0.395,0.41,642100,0.41
2016-01-21,0.41,0.42,0.372,0.38,1136800,0.38
2016-01-20,0.43,0.43,0.40,0.405,548600,0.405
2016-01-19,0.43,0.435,0.405,0.405,828700,0.405
2016-01-18,0.45,0.455,0.41,0.415,1502700,0.415
2016-01-15,0.455,0.465,0.43,0.45,369800,0.45
2016-01-14,0.435,0.45,0.415,0.43,523800,0.43
2016-01-13,0.455,0.455,0.425,0.435,488900,0.435
2016-01-12,0.475,0.49,0.455,0.455,537800,0.455
2016-01-11,0.49,0.50,0.46,0.475,601400,0.475
2016-01-08,0.495,0.495,0.47,0.48,473500,0.48
2016-01-07,0.50,0.515,0.49,0.50,763400,0.50
2016-01-06,0.525,0.53,0.495,0.50,747800,0.50
2016-01-05,0.53,0.545,0.49,0.495,1189600,0.495
2016-01-04,0.495,0.56,0.495,0.53,1157400,0.53
2016-01-01,0.485,0.485,0.485,0.485,000,0.485
2015-12-31,0.495,0.495,0.48,0.485,163800,0.485
2015-12-30,0.49,0.50,0.48,0.49,577100,0.49
2015-12-29,0.46,0.49,0.445,0.475,745200,0.475
2015-12-28,0.46,0.46,0.46,0.46,000,0.46
2015-12-25,0.46,0.46,0.46,0.46,000,0.46
2015-12-24,0.465,0.475,0.445,0.46,308100,0.46
2015-12-23,0.44,0.465,0.435,0.44,608800,0.44
2015-12-22,0.45,0.45,0.43,0.44,497700,0.44
2015-12-21,0.48,0.485,0.43,0.44,1394100,0.44
2015-12-18,0.475,0.49,0.445,0.445,1086600,0.445
2015-12-17,0.48,0.495,0.47,0.49,892700,0.49
2015-12-16,0.46,0.48,0.455,0.47,744700,0.47
2015-12-15,0.435,0.47,0.43,0.46,1708500,0.46
2015-12-14,0.47,0.47,0.425,0.445,1061400,0.445
2015-12-11,0.505,0.51,0.47,0.475,498800,0.475
2015-12-10,0.52,0.54,0.485,0.49,796200,0.49
2015-12-09,0.49,0.54,0.49,0.51,1026300,0.51
2015-12-08,0.49,0.505,0.475,0.505,1087700,0.505
2015-12-07,0.525,0.54,0.46,0.475,1424300,0.475
2015-12-04,0.55,0.565,0.505,0.51,1685100,0.51
2015-12-03,0.48,0.54,0.48,0.52,2008400,0.52
2015-12-02,0.48,0.51,0.47,0.475,2621400,0.475
2015-12-01,0.51,0.515,0.465,0.465,2656200,0.465
2015-11-30,0.55,0.55,0.505,0.515,4649500,0.515
2015-11-27,0.525,0.56,0.50,0.545,1541600,0.545
2015-11-26,0.62,0.625,0.55,0.55,1052000,0.55
2015-11-25,0.63,0.64,0.605,0.61,1092600,0.61
2015-11-24,0.665,0.665,0.625,0.625,648900,0.625
2015-11-23,0.69,0.69,0.64,0.65,705500,0.65
2015-11-20,0.69,0.71,0.67,0.68,928700,0.68
2015-11-19,0.67,0.705,0.67,0.685,948000,0.685
2015-11-18,0.68,0.685,0.65,0.655,712600,0.655
2015-11-17,0.695,0.71,0.62,0.675,1527700,0.675
2015-11-16,0.67,0.70,0.665,0.67,1360000,0.67
2015-11-13,0.68,0.69,0.65,0.66,1065300,0.66
2015-11-12,0.765,0.765,0.67,0.68,1710000,0.68
2015-11-11,0.91,0.91,0.695,0.75,4421600,0.75
2015-11-10,0.95,0.95,0.89,0.91,1819400,0.91
2015-11-09,0.95,0.96,0.93,0.95,207500,0.95
2015-11-06,0.925,0.965,0.925,0.95,616800,0.95
2015-11-05,0.93,0.96,0.92,0.945,169100,0.945
2015-11-04,0.95,0.972,0.91,0.92,512200,0.92
2015-11-03,0.92,0.965,0.92,0.94,449500,0.94
2015-11-02,0.96,1.00,0.91,0.91,728500,0.91
2015-10-30,0.975,0.985,0.94,0.97,616600,0.97
2015-10-29,1.03,1.03,0.965,0.97,1004200,0.97
2015-10-28,1.03,1.035,1.01,1.03,561200,1.03
2015-10-27,1.06,1.06,1.035,1.04,443800,1.04
2015-10-26,1.06,1.08,1.04,1.06,534100,1.06
2015-10-23,1.06,1.06,1.035,1.04,432500,1.04
2015-10-22,1.075,1.08,1.04,1.045,981700,1.045
2015-10-21,1.10,1.105,1.075,1.075,265600,1.075
2015-10-20,1.07,1.11,1.07,1.095,1038600,1.095
2015-10-19,1.04,1.07,1.04,1.05,509900,1.05
2015-10-16,1.08,1.08,1.035,1.04,1052400,1.04
2015-10-15,1.08,1.11,1.05,1.06,748500,1.06
2015-10-14,1.115,1.15,1.08,1.085,326500,1.085
2015-10-13,1.175,1.175,1.12,1.13,513100,1.13
