Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.066,0.067,0.065,0.065,128600,0.065
2016-06-30,0.07,0.07,0.066,0.066,675900,0.066
2016-06-29,0.073,0.073,0.07,0.07,260000,0.07
2016-06-28,0.069,0.075,0.067,0.075,972500,0.075
2016-06-27,0.066,0.07,0.064,0.069,348500,0.069
2016-06-24,0.066,0.071,0.063,0.071,1123000,0.071
2016-06-23,0.065,0.065,0.064,0.064,108200,0.064
2016-06-22,0.07,0.07,0.064,0.064,469100,0.064
2016-06-21,0.069,0.076,0.065,0.069,8528800,0.069
2016-06-20,0.059,0.07,0.059,0.06,3074400,0.06
2016-06-17,0.055,0.058,0.055,0.058,720000,0.058
2016-06-16,0.054,0.059,0.054,0.056,476500,0.056
2016-06-15,0.055,0.055,0.049,0.055,1030500,0.055
2016-06-14,0.058,0.06,0.055,0.055,985300,0.055
2016-06-13,0.06,0.06,0.06,0.06,000,0.06
2016-06-10,0.056,0.062,0.056,0.06,2051800,0.06
2016-06-09,0.05,0.058,0.05,0.056,493000,0.056
2016-06-08,0.052,0.052,0.05,0.05,297700,0.05
2016-06-07,0.051,0.051,0.049,0.049,522700,0.049
2016-06-06,0.055,0.055,0.05,0.051,1069300,0.051
2016-06-03,0.051,0.055,0.05,0.053,1558400,0.053
2016-06-02,0.048,0.048,0.042,0.042,414600,0.042
2016-06-01,0.049,0.05,0.048,0.048,612900,0.048
2016-05-31,0.044,0.049,0.044,0.049,135500,0.049
2016-05-30,0.045,0.045,0.044,0.044,470800,0.044
2016-05-27,0.049,0.049,0.049,0.049,10500,0.049
2016-05-26,0.05,0.05,0.05,0.05,210300,0.05
2016-05-25,0.044,0.044,0.042,0.042,115000,0.042
2016-05-24,0.043,0.043,0.043,0.043,33000,0.043
2016-05-23,0.045,0.045,0.043,0.044,228300,0.044
2016-05-20,0.044,0.044,0.044,0.044,55000,0.044
2016-05-19,0.048,0.048,0.042,0.042,161100,0.042
2016-05-18,0.049,0.049,0.048,0.048,185000,0.048
2016-05-17,0.052,0.052,0.048,0.05,165100,0.05
2016-05-16,0.052,0.052,0.052,0.052,100000,0.052
2016-05-13,0.049,0.053,0.048,0.053,561100,0.053
2016-05-12,0.05,0.05,0.049,0.049,200800,0.049
2016-05-11,0.05,0.05,0.05,0.05,000,0.05
2016-05-10,0.05,0.05,0.049,0.05,119100,0.05
2016-05-09,0.055,0.055,0.053,0.053,320000,0.053
2016-05-06,0.05,0.055,0.05,0.055,260700,0.055
2016-05-05,0.054,0.056,0.052,0.052,332700,0.052
2016-05-04,0.058,0.058,0.058,0.058,000,0.058
2016-05-03,0.05,0.058,0.05,0.058,804500,0.058
2016-05-02,0.051,0.051,0.051,0.051,200000,0.051
2016-04-29,0.051,0.053,0.048,0.053,1183900,0.053
2016-04-28,0.053,0.054,0.051,0.051,212700,0.051
2016-04-27,0.06,0.061,0.055,0.055,374000,0.055
2016-04-26,0.061,0.061,0.057,0.06,775500,0.06
2016-04-25,0.06,0.06,0.06,0.06,000,0.06
2016-04-22,0.05,0.061,0.05,0.06,1352200,0.06
2016-04-21,0.042,0.045,0.042,0.045,225000,0.045
2016-04-20,0.041,0.041,0.041,0.041,44400,0.041
2016-04-19,0.041,0.042,0.04,0.04,77000,0.04
2016-04-18,0.042,0.042,0.042,0.042,50000,0.042
2016-04-15,0.042,0.042,0.04,0.04,338200,0.04
2016-04-14,0.042,0.042,0.042,0.042,000,0.042
2016-04-13,0.043,0.043,0.042,0.042,154900,0.042
2016-04-12,0.045,0.045,0.043,0.045,207800,0.045
2016-04-11,0.048,0.048,0.044,0.044,234800,0.044
2016-04-08,0.048,0.048,0.048,0.048,000,0.048
2016-04-07,0.048,0.048,0.048,0.048,5000,0.048
2016-04-06,0.052,0.052,0.048,0.048,62800,0.048
2016-04-05,0.051,0.052,0.05,0.052,114000,0.052
2016-04-04,0.049,0.049,0.048,0.049,216500,0.049
2016-04-01,0.05,0.05,0.049,0.049,22400,0.049
2016-03-31,0.05,0.05,0.05,0.05,100000,0.05
2016-03-30,0.052,0.052,0.049,0.05,898100,0.05
2016-03-29,0.055,0.058,0.054,0.054,372300,0.054
