Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.655,0.655,0.655,0.655,2500,0.655
2016-06-30,0.64,0.67,0.64,0.67,61300,0.67
2016-06-29,0.62,0.63,0.62,0.63,113000,0.63
2016-06-28,0.64,0.64,0.63,0.64,109800,0.64
2016-06-27,0.63,0.635,0.615,0.63,222000,0.63
2016-06-24,0.65,0.65,0.54,0.595,427200,0.595
2016-06-23,0.645,0.645,0.645,0.645,000,0.645
2016-06-22,0.655,0.655,0.645,0.645,63900,0.645
2016-06-21,0.66,0.665,0.66,0.66,23700,0.66
2016-06-20,0.67,0.67,0.665,0.665,45000,0.665
2016-06-17,0.665,0.67,0.66,0.66,29500,0.66
2016-06-16,0.66,0.67,0.66,0.665,87600,0.665
2016-06-15,0.66,0.665,0.65,0.66,95600,0.66
2016-06-14,0.665,0.665,0.65,0.66,43400,0.66
2016-06-13,0.67,0.67,0.67,0.67,000,0.67
2016-06-10,0.67,0.67,0.66,0.67,20000,0.67
2016-06-09,0.64,0.67,0.60,0.67,169800,0.67
2016-06-08,0.665,0.665,0.65,0.65,495000,0.65
2016-06-07,0.66,0.675,0.66,0.67,85700,0.67
2016-06-06,0.645,0.66,0.63,0.65,156900,0.65
2016-06-03,0.64,0.65,0.63,0.64,101100,0.64
2016-06-02,0.65,0.65,0.63,0.64,265900,0.64
2016-06-01,0.655,0.67,0.65,0.66,149500,0.66
2016-05-31,0.68,0.68,0.655,0.655,201400,0.655
2016-05-30,0.695,0.695,0.675,0.68,150100,0.68
2016-05-27,0.685,0.69,0.675,0.685,350500,0.685
2016-05-26,0.655,0.675,0.655,0.665,233600,0.665
2016-05-25,0.65,0.665,0.645,0.65,233300,0.65
2016-05-24,0.65,0.65,0.64,0.64,176000,0.64
2016-05-23,0.65,0.665,0.65,0.65,226600,0.65
2016-05-20,0.65,0.65,0.635,0.64,330900,0.64
2016-05-19,0.63,0.65,0.63,0.635,194600,0.635
2016-05-18,0.64,0.645,0.625,0.63,5045100,0.63
2016-05-17,0.62,0.62,0.61,0.62,173300,0.62
2016-05-16,0.63,0.655,0.62,0.62,235400,0.62
2016-05-13,0.62,0.63,0.615,0.63,531600,0.63
2016-05-12,0.60,0.62,0.60,0.605,374100,0.605
2016-05-11,0.595,0.595,0.59,0.59,243900,0.59
2016-05-10,0.575,0.59,0.575,0.58,664900,0.58
2016-05-09,0.58,0.58,0.575,0.575,149000,0.575
2016-05-06,0.58,0.58,0.575,0.58,238100,0.58
2016-05-05,0.59,0.59,0.575,0.58,304600,0.58
2016-05-04,0.60,0.60,0.575,0.58,689800,0.58
2016-05-03,0.57,0.57,0.535,0.56,315000,0.56
2016-05-02,0.57,0.585,0.56,0.57,301800,0.57
2016-04-29,0.55,0.585,0.55,0.57,130200,0.57
2016-04-28,0.54,0.55,0.52,0.55,195500,0.55
2016-04-27,0.53,0.535,0.52,0.52,265600,0.52
2016-04-26,0.525,0.525,0.52,0.52,68800,0.52
2016-04-25,0.51,0.51,0.51,0.51,000,0.51
2016-04-22,0.53,0.535,0.505,0.51,116200,0.51
2016-04-21,0.545,0.55,0.53,0.53,44000,0.53
2016-04-20,0.545,0.545,0.545,0.545,20000,0.545
2016-04-19,0.51,0.535,0.51,0.535,28300,0.535
2016-04-18,0.55,0.55,0.51,0.535,111600,0.535
2016-04-15,0.51,0.54,0.51,0.54,77500,0.54
2016-04-14,0.52,0.56,0.51,0.51,103600,0.51
2016-04-13,0.49,0.50,0.49,0.495,38900,0.495
2016-04-12,0.49,0.495,0.48,0.48,237200,0.48
2016-04-11,0.49,0.50,0.48,0.48,114900,0.48
2016-04-08,0.49,0.49,0.485,0.49,184500,0.49
2016-04-07,0.48,0.485,0.475,0.475,70900,0.475
2016-04-06,0.48,0.48,0.475,0.48,159900,0.48
2016-04-05,0.485,0.485,0.47,0.48,506500,0.48
2016-04-04,0.47,0.475,0.47,0.475,39300,0.475
2016-04-01,0.465,0.465,0.465,0.465,1900,0.465
2016-03-31,0.47,0.47,0.465,0.465,70300,0.465
2016-03-30,0.48,0.48,0.47,0.47,59600,0.47
2016-03-29,0.475,0.475,0.475,0.475,12500,0.475
2016-03-28,0.475,0.475,0.475,0.475,000,0.475
2016-03-25,0.475,0.475,0.475,0.475,000,0.475
2016-03-24,0.47,0.475,0.465,0.475,114200,0.475
2016-03-23,0.475,0.475,0.475,0.475,66000,0.475
2016-03-22,0.485,0.485,0.475,0.475,141900,0.475
2016-03-21,0.48,0.48,0.48,0.48,000,0.48
2016-03-18,0.475,0.48,0.475,0.48,61000,0.48
2016-03-17,0.47,0.48,0.47,0.48,492000,0.48
2016-03-16,0.47,0.47,0.46,0.46,366300,0.46
2016-03-15,0.46,0.46,0.46,0.46,194000,0.46
2016-03-14,0.45,0.46,0.45,0.46,153000,0.46
2016-03-11,0.46,0.46,0.45,0.45,123900,0.45
2016-03-10,0.46,0.46,0.455,0.46,101900,0.46
2016-03-09,0.44,0.445,0.44,0.445,70300,0.445
2016-03-08,0.435,0.445,0.43,0.445,238900,0.445
2016-03-07,0.455,0.455,0.42,0.425,337700,0.425
2016-03-04,0.46,0.46,0.46,0.46,000,0.46
2016-03-03,0.46,0.46,0.46,0.46,000,0.46
2016-03-02,0.46,0.46,0.46,0.46,82500,0.46
2016-03-01,0.47,0.47,0.445,0.46,42600,0.46
2016-02-29,0.45,0.47,0.45,0.47,5054700,0.47
2016-02-26,0.46,0.46,0.46,0.46,000,0.46
2016-02-25,0.46,0.46,0.46,0.46,000,0.46
2016-02-24,0.47,0.47,0.46,0.46,118000,0.46
2016-02-23,0.47,0.47,0.47,0.47,000,0.47
2016-02-22,0.47,0.47,0.47,0.47,000,0.47
2016-02-19,0.47,0.47,0.47,0.47,70000,0.47
2016-02-18,0.46,0.46,0.46,0.46,63100,0.46
2016-02-17,0.46,0.46,0.46,0.46,39800,0.46
2016-02-16,0.44,0.46,0.43,0.46,54000,0.46
2016-02-15,0.435,0.435,0.425,0.43,38600,0.43
2016-02-12,0.46,0.46,0.425,0.425,83800,0.425
2016-02-11,0.46,0.46,0.44,0.445,75000,0.445
2016-02-10,0.46,0.46,0.46,0.46,52000,0.46
2016-02-09,0.47,0.48,0.46,0.46,710200,0.46
2016-02-08,0.475,0.48,0.465,0.47,460600,0.47
2016-02-05,0.465,0.465,0.465,0.465,6000,0.465
2016-02-04,0.485,0.485,0.45,0.455,431200,0.455
2016-02-03,0.475,0.475,0.465,0.475,592500,0.475
2016-02-02,0.485,0.485,0.485,0.485,21500,0.485
2016-02-01,0.49,0.49,0.465,0.465,522900,0.465
2016-01-29,0.50,0.50,0.48,0.48,370000,0.48
2016-01-28,0.49,0.495,0.48,0.48,303100,0.48
2016-01-27,0.49,0.49,0.47,0.47,128200,0.47
2016-01-26,0.47,0.47,0.47,0.47,000,0.47
2016-01-25,0.47,0.47,0.47,0.47,77500,0.47
2016-01-22,0.495,0.495,0.46,0.46,364900,0.46
2016-01-21,0.49,0.50,0.49,0.49,60800,0.49
2016-01-20,0.505,0.51,0.495,0.495,145300,0.495
2016-01-19,0.52,0.52,0.495,0.495,87100,0.495
2016-01-18,0.50,0.505,0.495,0.505,116900,0.505
2016-01-15,0.51,0.51,0.51,0.51,000,0.51
2016-01-14,0.51,0.515,0.49,0.51,266300,0.51
2016-01-13,0.50,0.54,0.50,0.505,86600,0.505
2016-01-12,0.51,0.52,0.51,0.51,232600,0.51
2016-01-11,0.515,0.515,0.50,0.51,137500,0.51
2016-01-08,0.48,0.52,0.48,0.51,2201400,0.51
2016-01-07,0.47,0.49,0.47,0.48,63600,0.48
2016-01-06,0.495,0.495,0.47,0.47,67700,0.47
2016-01-05,0.49,0.51,0.49,0.495,89900,0.495
2016-01-04,0.50,0.50,0.50,0.50,94500,0.50
2016-01-01,0.485,0.485,0.485,0.485,000,0.485
2015-12-31,0.49,0.50,0.485,0.485,44300,0.485
2015-12-30,0.485,0.485,0.485,0.485,000,0.485
2015-12-29,0.47,0.485,0.47,0.485,9400,0.485
2015-12-28,0.455,0.455,0.455,0.455,000,0.455
2015-12-25,0.455,0.455,0.455,0.455,000,0.455
2015-12-24,0.455,0.455,0.455,0.455,000,0.455
2015-12-23,0.475,0.475,0.45,0.455,108200,0.455
2015-12-22,0.45,0.49,0.45,0.47,77600,0.47
2015-12-21,0.45,0.45,0.43,0.43,22300,0.43
2015-12-18,0.41,0.435,0.41,0.435,19500,0.435
2015-12-17,0.44,0.445,0.41,0.41,149000,0.41
2015-12-16,0.445,0.445,0.44,0.445,4700,0.445
2015-12-15,0.425,0.425,0.425,0.425,000,0.425
2015-12-14,0.46,0.46,0.40,0.425,441800,0.425
2015-12-11,0.46,0.48,0.46,0.46,60500,0.46
2015-12-10,0.47,0.475,0.465,0.465,217400,0.465
2015-12-09,0.48,0.485,0.475,0.485,17500,0.485
2015-12-08,0.51,0.51,0.50,0.50,246300,0.50
2015-12-07,0.51,0.52,0.50,0.50,409600,0.50
2015-12-04,0.51,0.51,0.505,0.505,49300,0.505
2015-12-03,0.50,0.505,0.50,0.50,211700,0.50
2015-12-02,0.505,0.51,0.50,0.50,79800,0.50
2015-12-01,0.495,0.50,0.495,0.495,99300,0.495
2015-11-30,0.495,0.495,0.495,0.495,10700,0.495
2015-11-27,0.505,0.505,0.49,0.49,50000,0.49
2015-11-26,0.505,0.505,0.505,0.505,5100,0.505
2015-11-25,0.50,0.50,0.49,0.495,61100,0.495
2015-11-24,0.525,0.525,0.50,0.50,316400,0.50
2015-11-23,0.525,0.525,0.52,0.52,174500,0.52
2015-11-20,0.52,0.52,0.515,0.52,164500,0.52
2015-11-19,0.51,0.52,0.51,0.515,37800,0.515
2015-11-18,0.51,0.51,0.51,0.51,20000,0.51
2015-11-17,0.515,0.52,0.51,0.51,104900,0.51
2015-11-16,0.51,0.535,0.51,0.53,74000,0.53
2015-11-13,0.51,0.52,0.51,0.51,227100,0.51
