Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,8.00,8.00,7.80,7.99,49700,7.99
2016-06-30,7.91,8.22,7.82,8.10,43400,8.10
2016-06-29,8.00,8.00,7.68,7.82,17000,7.82
2016-06-28,7.60,7.86,7.59,7.76,46900,7.76
2016-06-27,8.00,8.00,7.64,7.68,59800,7.68
2016-06-24,8.30,8.45,7.91,8.10,93700,8.10
2016-06-23,8.22,8.30,8.05,8.23,662400,8.23
2016-06-22,8.26,8.38,8.20,8.21,18300,8.21
2016-06-21,8.07,8.30,8.07,8.20,88900,8.20
2016-06-20,7.86,8.08,7.86,8.07,25900,8.07
2016-06-17,7.95,8.00,7.78,7.90,43700,7.90
2016-06-16,7.88,8.02,7.76,7.83,52300,7.83
2016-06-15,7.81,7.88,7.76,7.81,77600,7.81
2016-06-14,7.98,7.99,7.725,7.89,70000,7.89
2016-06-13,8.00,8.00,8.00,8.00,000,8.00
2016-06-10,7.90,8.09,7.88,8.00,70100,8.00
2016-06-09,7.88,7.98,7.78,7.91,31600,7.91
2016-06-08,8.19,8.20,7.74,7.88,16900,7.88
2016-06-07,8.35,8.35,7.90,8.00,34200,8.00
2016-06-06,8.20,8.30,8.06,8.19,59100,8.19
2016-06-03,8.25,8.25,8.085,8.20,51200,8.20
2016-06-02,8.00,8.37,7.95,8.24,70300,8.24
2016-06-01,8.00,8.08,7.92,8.00,62800,8.00
2016-05-31,7.60,7.96,7.59,7.96,92600,7.96
2016-05-30,7.50,7.55,7.395,7.55,17700,7.55
2016-05-27,7.40,7.60,7.38,7.42,261600,7.42
2016-05-26,7.49,7.50,7.42,7.44,86600,7.44
2016-05-25,7.40,7.55,7.27,7.49,84000,7.49
2016-05-24,7.40,7.40,7.31,7.35,129800,7.35
2016-05-23,7.35,7.37,7.22,7.37,159200,7.37
2016-05-20,7.30,7.395,7.07,7.37,174900,7.37
2016-05-19,7.50,7.50,7.34,7.40,79000,7.40
2016-05-18,7.50,7.51,7.35,7.51,69400,7.51
2016-05-17,7.36,7.715,7.33,7.50,119200,7.50
2016-05-16,7.06,7.33,7.02,7.29,33000,7.29
2016-05-13,6.80,7.15,6.80,7.07,71700,7.07
2016-05-12,7.16,7.16,7.16,7.16,000,7.16
2016-05-11,7.16,7.16,7.16,7.16,000,7.16
2016-05-10,7.10,7.20,6.99,7.16,24000,7.16
2016-05-09,6.95,7.10,6.90,7.10,26500,7.10
2016-05-06,6.96,6.99,6.90,6.99,6000,6.99
2016-05-05,6.90,6.96,6.80,6.96,12800,6.96
2016-05-04,6.98,6.98,6.70,6.87,8000,6.87
2016-05-03,6.67,6.88,6.60,6.70,638000,6.70
2016-05-02,6.85,6.89,6.64,6.68,44200,6.68
2016-04-29,6.84,6.99,6.80,6.99,28900,6.99
2016-04-28,6.65,6.90,6.65,6.76,45300,6.76
2016-04-27,6.80,6.89,6.60,6.61,52800,6.61
2016-04-26,6.84,6.89,6.78,6.82,37700,6.82
2016-04-25,6.85,6.85,6.85,6.85,000,6.85
2016-04-22,6.98,7.00,6.76,6.85,52600,6.85
2016-04-21,7.10,7.22,6.95,7.00,27400,7.00
2016-04-20,7.01,7.40,6.895,7.10,54700,7.10
2016-04-19,7.08,7.10,6.95,6.98,37100,6.98
2016-04-18,7.08,7.18,7.00,7.05,30800,7.05
2016-04-15,7.35,7.43,7.04,7.05,48200,7.05
2016-04-14,7.40,7.415,7.34,7.35,51200,7.35
2016-04-13,7.29,7.40,7.27,7.40,70000,7.40
2016-04-12,7.15,7.32,7.15,7.29,34000,7.29
2016-04-11,7.19,7.19,7.10,7.15,40800,7.15
2016-04-08,7.20,7.20,7.00,7.15,29400,7.15
2016-04-07,7.02,7.32,6.985,7.20,27200,7.20
2016-04-06,7.00,7.05,6.95,7.02,55000,7.02
2016-04-05,7.20,7.30,7.01,7.12,21500,7.12
2016-04-04,7.40,7.46,7.15,7.20,49000,7.20
2016-04-01,7.35,7.80,7.14,7.33,90900,7.33
2016-03-31,7.01,7.37,6.95,7.35,101600,7.35
2016-03-30,6.98,7.02,6.76,7.02,20400,7.02
2016-03-29,7.00,7.03,6.90,6.95,47400,6.95
2016-03-28,7.00,7.00,7.00,7.00,000,7.00
2016-03-25,7.00,7.00,7.00,7.00,000,7.00
2016-03-24,7.08,7.08,6.835,7.00,70800,7.00
2016-03-23,7.30,7.30,7.01,7.01,56600,7.01
2016-03-22,7.19,7.35,7.18,7.25,199500,7.25
2016-03-21,7.07,7.15,6.93,7.12,221300,7.12
2016-03-18,6.92,7.07,6.635,7.07,675600,7.07
2016-03-17,6.85,6.99,6.80,6.89,129000,6.89
2016-03-16,6.70,6.84,6.60,6.82,140100,6.82
2016-03-15,6.58,6.70,6.49,6.60,82100,6.60
2016-03-14,6.45,6.65,6.31,6.60,85100,6.60
2016-03-11,6.06,6.44,6.05,6.44,194600,6.44
2016-03-10,6.05,6.13,6.03,6.06,40600,6.06
2016-03-09,5.80,6.10,5.80,6.10,43800,6.10
2016-03-08,5.81,5.95,5.65,5.65,20900,5.65
2016-03-07,5.98,6.09,5.81,5.82,44500,5.82
2016-03-04,6.10,6.13,5.91,5.91,15600,5.91
2016-03-03,5.87,6.07,5.87,6.07,30700,6.07
2016-03-02,5.95,6.05,5.56,5.82,47800,5.82
2016-03-01,6.04,6.04,5.91,5.97,20600,5.97
2016-02-29,5.96,6.10,5.96,6.05,3900,6.05
2016-02-26,6.10,6.10,5.96,5.96,40600,5.96
2016-02-25,6.20,6.20,6.06,6.10,40600,6.10
2016-02-24,6.11,6.30,6.11,6.21,32200,6.21
2016-02-23,6.30,6.38,6.05,6.05,50200,6.05
2016-02-22,6.30,6.33,6.00,6.23,63900,6.23
2016-02-19,6.24,6.31,6.01,6.30,74600,6.30
2016-02-18,6.05,6.23,6.05,6.20,53600,6.20
2016-02-17,6.00,6.21,6.00,6.05,56800,6.05
2016-02-16,5.47,6.12,5.47,6.00,81100,6.00
2016-02-15,5.49,5.53,5.40,5.53,36000,5.53
2016-02-12,5.12,5.45,5.12,5.45,49000,5.45
2016-02-11,5.12,5.13,5.08,5.12,64600,5.12
2016-02-10,5.10,5.14,5.05,5.11,65500,5.11
2016-02-09,5.00,5.13,5.00,5.13,78500,5.13
2016-02-08,5.20,5.20,5.00,5.00,111500,5.00
2016-02-05,5.46,5.46,5.22,5.25,37700,5.25
2016-02-04,5.58,5.59,5.35,5.54,56100,5.54
2016-02-03,5.58,5.63,5.30,5.58,123500,5.58
2016-02-02,5.78,5.79,5.58,5.58,50900,5.58
2016-02-01,5.70,5.82,5.70,5.79,19100,5.79
2016-01-29,5.83,5.89,5.65,5.65,51400,5.65
2016-01-28,5.86,5.95,5.82,5.83,17300,5.83
2016-01-27,5.80,5.96,5.80,5.85,39400,5.85
2016-01-26,5.82,5.82,5.82,5.82,000,5.82
2016-01-25,6.15,6.17,5.81,5.82,49200,5.82
2016-01-22,5.75,6.14,5.75,6.12,43000,6.12
2016-01-21,5.51,5.75,5.51,5.75,96400,5.75
2016-01-20,5.69,5.74,5.50,5.51,177700,5.51
2016-01-19,5.84,5.84,5.52,5.75,128400,5.75
2016-01-18,6.25,6.30,5.50,5.87,187800,5.87
2016-01-15,6.46,6.69,6.36,6.40,20600,6.40
2016-01-14,6.41,6.43,6.15,6.43,59500,6.43
2016-01-13,6.30,6.41,6.30,6.40,38300,6.40
2016-01-12,6.33,6.45,6.30,6.40,61200,6.40
2016-01-11,6.73,6.73,6.30,6.32,69500,6.32
2016-01-08,6.74,6.80,6.71,6.75,25600,6.75
2016-01-07,6.83,6.85,6.73,6.85,15100,6.85
2016-01-06,6.85,6.85,6.73,6.85,19100,6.85
2016-01-05,6.81,6.84,6.78,6.84,4300,6.84
2016-01-04,6.78,6.90,6.73,6.90,31700,6.90
2016-01-01,6.85,6.85,6.85,6.85,000,6.85
2015-12-31,6.80,6.90,6.80,6.85,21600,6.85
2015-12-30,6.89,6.90,6.73,6.80,41300,6.80
2015-12-29,6.85,6.90,6.70,6.90,13900,6.90
2015-12-28,6.89,6.89,6.89,6.89,000,6.89
2015-12-25,6.89,6.89,6.89,6.89,000,6.89
2015-12-24,6.89,6.95,6.79,6.89,46700,6.89
2015-12-23,6.92,6.92,6.86,6.92,78500,6.92
2015-12-22,6.75,6.93,6.72,6.93,38100,6.93
2015-12-21,6.85,6.91,6.70,6.88,22100,6.88
2015-12-18,6.90,6.955,6.65,6.93,33900,6.93
2015-12-17,6.80,6.98,6.78,6.95,144700,6.95
2015-12-16,6.80,6.81,6.68,6.80,17400,6.80
2015-12-15,6.60,6.80,6.52,6.70,43200,6.70
2015-12-14,6.71,6.76,6.51,6.52,56600,6.52
2015-12-11,6.89,6.91,6.75,6.84,66100,6.84
2015-12-10,6.95,6.96,6.85,6.89,29000,6.89
2015-12-09,6.71,6.96,6.70,6.95,75600,6.95
2015-12-08,6.94,6.94,6.70,6.81,39500,6.81
2015-12-07,7.10,7.10,6.90,6.95,49800,6.95
2015-12-04,7.07,7.10,7.00,7.08,21500,7.08
2015-12-03,7.00,7.05,6.92,7.03,48100,7.03
