Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,6.26,6.31,6.20,6.23,2256200,6.23
2016-06-30,6.10,6.28,6.085,6.22,5519200,6.22
2016-06-29,6.00,6.03,5.965,6.01,3103200,6.01
2016-06-28,5.91,5.96,5.83,5.92,4831600,5.92
2016-06-27,5.91,5.995,5.88,5.97,6652500,5.97
2016-06-24,6.19,6.24,5.895,5.92,5870600,5.92
2016-06-23,6.08,6.165,6.04,6.12,4014700,6.12
2016-06-22,6.25,6.27,6.015,6.04,12536800,6.04
2016-06-21,6.40,6.44,6.24,6.28,7019000,6.28
2016-06-20,6.42,6.55,6.39,6.52,1979000,6.52
2016-06-17,6.44,6.47,6.35,6.39,4283100,6.39
2016-06-16,6.47,6.51,6.41,6.43,3093500,6.43
2016-06-15,6.45,6.505,6.40,6.48,2706900,6.48
2016-06-14,6.40,6.51,6.39,6.47,1417300,6.47
2016-06-13,6.51,6.51,6.51,6.51,000,6.51
2016-06-10,6.57,6.58,6.47,6.51,1383700,6.51
2016-06-09,6.53,6.61,6.51,6.58,1496500,6.58
2016-06-08,6.53,6.645,6.53,6.55,2415500,6.55
2016-06-07,6.58,6.64,6.53,6.56,2619300,6.56
2016-06-06,6.56,6.63,6.505,6.60,2921700,6.60
2016-06-03,6.68,6.72,6.62,6.66,2226500,6.66
2016-06-02,6.68,6.74,6.62,6.64,2392000,6.64
2016-06-01,6.73,6.74,6.63,6.70,3105000,6.70
2016-05-31,6.76,6.82,6.69,6.80,2942900,6.80
2016-05-30,6.82,6.84,6.76,6.78,1495700,6.78
2016-05-27,6.99,6.995,6.82,6.82,2290200,6.82
2016-05-26,6.88,6.99,6.83,6.94,1801700,6.94
2016-05-25,6.78,6.93,6.765,6.82,3025100,6.82
2016-05-24,6.84,6.84,6.66,6.66,2436200,6.66
2016-05-23,6.74,6.84,6.70,6.81,1556200,6.81
2016-05-20,6.70,6.78,6.68,6.73,1325900,6.73
2016-05-19,6.69,6.76,6.675,6.75,1947500,6.75
2016-05-18,6.66,6.71,6.63,6.67,2377900,6.67
2016-05-17,6.72,6.76,6.67,6.71,1567000,6.71
2016-05-16,6.74,6.77,6.67,6.71,1969500,6.71
2016-05-13,6.80,6.83,6.72,6.77,2026400,6.77
2016-05-12,6.85,6.87,6.73,6.77,2404800,6.77
2016-05-11,6.80,6.97,6.785,6.89,4458700,6.89
2016-05-10,6.66,6.77,6.63,6.74,2553200,6.74
2016-05-09,6.68,6.70,6.59,6.66,1753600,6.66
2016-05-06,6.42,6.67,6.41,6.65,3873800,6.65
2016-05-05,6.43,6.51,6.385,6.51,2690300,6.51
2016-05-04,6.56,6.58,6.49,6.49,1558300,6.49
2016-05-03,6.41,6.57,6.41,6.56,1994200,6.56
2016-05-02,6.44,6.46,6.37,6.46,1205200,6.46
2016-04-29,6.30,6.49,6.28,6.44,2705800,6.44
2016-04-28,6.23,6.38,6.22,6.33,3392600,6.33
2016-04-27,6.28,6.39,6.21,6.21,3342700,6.21
2016-04-26,6.28,6.36,6.19,6.23,2416800,6.23
2016-04-25,6.28,6.28,6.28,6.28,000,6.28
2016-04-22,6.25,6.40,6.25,6.28,2111000,6.28
2016-04-21,6.38,6.38,6.24,6.35,4145900,6.35
2016-04-20,6.56,6.57,6.29,6.34,3337200,6.34
2016-04-19,6.48,6.56,6.48,6.54,2770000,6.54
2016-04-18,6.34,6.475,6.29,6.41,2131900,6.41
2016-04-15,6.45,6.45,6.36,6.36,3177400,6.36
2016-04-14,6.41,6.495,6.38,6.48,4179100,6.48
2016-04-13,6.38,6.46,6.34,6.41,3064400,6.41
2016-04-12,6.19,6.33,6.14,6.33,2774900,6.33
2016-04-11,6.33,6.35,6.295,6.32,1556600,6.32
2016-04-08,6.27,6.36,6.27,6.34,1194300,6.34
2016-04-07,6.33,6.38,6.29,6.38,2166500,6.38
2016-04-06,6.20,6.35,6.16,6.33,4146000,6.33
2016-04-05,6.18,6.235,6.13,6.21,2773900,6.21
2016-04-04,6.10,6.21,6.07,6.19,2054800,6.19
2016-04-01,6.09,6.12,6.01,6.08,2482000,6.08
2016-03-31,6.15,6.19,6.12,6.18,2144100,6.18
2016-03-30,6.06,6.12,6.055,6.10,2149600,6.10
2016-03-29,6.10,6.13,6.03,6.06,2205400,6.06
2016-03-28,6.06,6.06,6.06,6.06,000,6.06
2016-03-25,6.06,6.06,6.06,6.06,000,6.06
2016-03-24,6.15,6.15,6.00,6.06,4910600,6.06
2016-03-23,6.16,6.19,6.11,6.19,4144400,6.19
2016-03-22,6.20,6.20,6.15,6.19,3006200,6.19
2016-03-21,6.20,6.21,6.135,6.15,1241800,6.15
2016-03-18,6.21,6.21,6.15,6.15,5756600,6.15
2016-03-17,6.20,6.28,6.16,6.19,4197000,6.19
2016-03-16,6.18,6.18,6.07,6.17,4329100,6.17
2016-03-15,6.20,6.23,6.15,6.16,3020100,6.16
2016-03-14,6.24,6.245,6.17,6.23,1469700,6.23
2016-03-11,6.18,6.23,6.13,6.23,3982700,6.23
2016-03-10,6.12,6.16,6.07,6.15,2681500,6.15
2016-03-09,6.00,6.11,5.95,6.11,2392100,6.11
2016-03-08,6.02,6.035,5.955,5.99,2565800,5.99
2016-03-07,6.00,6.01,5.94,5.95,2132100,5.95
2016-03-04,5.91,5.99,5.85,5.95,4636200,5.95
2016-03-03,5.87,5.92,5.77,5.89,4867400,5.89
2016-03-02,5.78,5.89,5.70,5.87,2858700,5.87
2016-03-01,5.80,5.89,5.65,5.68,3824300,5.68
2016-02-29,5.81,5.91,5.78,5.84,4250800,5.84
2016-02-26,5.84,5.85,5.76,5.80,1919600,5.80
2016-02-25,5.82,5.89,5.79,5.83,2270800,5.83
2016-02-24,5.80,5.875,5.78,5.80,3245700,5.80
2016-02-23,5.87,5.895,5.835,5.85,1972400,5.85
2016-02-22,5.77,5.90,5.75,5.86,6898800,5.86
2016-02-19,5.78,5.88,5.76,5.78,2809100,5.78
2016-02-18,5.76,5.85,5.73,5.81,2281600,5.81
2016-02-17,5.84,5.85,5.64,5.68,3395900,5.68
2016-02-16,5.80,5.81,5.70,5.80,3515900,5.80
2016-02-15,5.66,5.855,5.66,5.83,3067900,5.67286
2016-02-12,5.59,5.64,5.54,5.61,4988100,5.45879
2016-02-11,5.50,5.66,5.45,5.66,9473700,5.50744
2016-02-10,5.41,5.55,5.21,5.32,8874800,5.1766
2016-02-09,5.28,5.29,5.11,5.14,5148700,5.00146
2016-02-08,5.33,5.39,5.26,5.35,2414200,5.2058
2016-02-05,5.44,5.44,5.31,5.36,4621600,5.21553
2016-02-04,5.48,5.495,5.36,5.42,4275200,5.27391
2016-02-03,5.46,5.52,5.35,5.44,4521400,5.29337
2016-02-02,5.64,5.65,5.48,5.53,3766100,5.38094
2016-02-01,5.67,5.68,5.60,5.61,4400600,5.45879
2016-01-29,5.48,5.635,5.44,5.60,2826100,5.44906
2016-01-28,5.47,5.50,5.39,5.48,2375800,5.33229
2016-01-27,5.50,5.54,5.435,5.48,1686000,5.33229
2016-01-26,5.50,5.50,5.50,5.50,000,5.35175
2016-01-25,5.56,5.63,5.46,5.50,2536900,5.35175
2016-01-22,5.49,5.51,5.395,5.45,2448400,5.3031
2016-01-21,5.53,5.55,5.42,5.44,3654300,5.29337
2016-01-20,5.43,5.51,5.36,5.41,2025000,5.26418
2016-01-19,5.39,5.465,5.36,5.44,1629900,5.29337
2016-01-18,5.30,5.41,5.25,5.39,2266900,5.24472
2016-01-15,5.53,5.56,5.35,5.39,1404900,5.24472
2016-01-14,5.37,5.48,5.37,5.44,1621800,5.29337
2016-01-13,5.48,5.54,5.44,5.51,1940600,5.36148
2016-01-12,5.52,5.54,5.44,5.47,3229500,5.32256
2016-01-11,5.46,5.54,5.435,5.53,2690400,5.38094
2016-01-08,5.50,5.63,5.42,5.60,2867400,5.44906
2016-01-07,5.66,5.68,5.51,5.61,3896200,5.45879
2016-01-06,5.74,5.76,5.54,5.66,2883100,5.50744
2016-01-05,5.86,5.87,5.73,5.76,2079200,5.60474
2016-01-04,5.92,6.02,5.91,5.95,1605900,5.78962
2016-01-01,5.91,5.91,5.91,5.91,000,5.7507
2015-12-31,5.95,5.99,5.90,5.91,585200,5.7507
2015-12-30,5.90,5.96,5.90,5.92,1226700,5.76043
2015-12-29,5.76,5.86,5.74,5.85,1123600,5.69232
2015-12-28,5.75,5.75,5.75,5.75,000,5.59501
2015-12-25,5.75,5.75,5.75,5.75,000,5.59501
2015-12-24,5.78,5.79,5.75,5.75,754300,5.59501
2015-12-23,5.68,5.75,5.63,5.69,1049600,5.53663
2015-12-22,5.66,5.71,5.58,5.60,1711700,5.44906
2015-12-21,5.57,5.62,5.54,5.59,1730700,5.43933
2015-12-18,5.41,5.60,5.405,5.58,3361800,5.4296
2015-12-17,5.49,5.585,5.46,5.51,3200100,5.36148
2015-12-16,5.32,5.40,5.27,5.39,3538700,5.24472
2015-12-15,5.28,5.35,5.25,5.27,2100100,5.12795
2015-12-14,5.27,5.35,5.27,5.30,2866500,5.15714
2015-12-11,5.49,5.51,5.36,5.39,2749400,5.24472
2015-12-10,5.46,5.50,5.39,5.48,3428900,5.33229
2015-12-09,5.51,5.535,5.41,5.43,1785600,5.28364
2015-12-08,5.57,5.64,5.53,5.55,1014500,5.4004
2015-12-07,5.68,5.75,5.595,5.62,1721800,5.46852
2015-12-04,5.60,5.605,5.51,5.59,1798400,5.43933
2015-12-03,5.72,5.75,5.65,5.68,2055400,5.5269
2015-12-02,5.76,5.80,5.70,5.77,1319500,5.61447
2015-12-01,5.65,5.80,5.63,5.78,3268000,5.62421
2015-11-30,5.65,5.73,5.63,5.67,2358200,5.51717
2015-11-27,5.74,5.77,5.66,5.68,2374400,5.5269
2015-11-26,5.62,5.75,5.61,5.66,2569300,5.50744
2015-11-25,5.61,5.66,5.60,5.62,3761200,5.46852
2015-11-24,5.67,5.70,5.62,5.63,3977100,5.47825
2015-11-23,5.46,5.675,5.46,5.67,3054100,5.51717
2015-11-20,5.59,5.62,5.50,5.53,3261200,5.38094
2015-11-19,5.59,5.60,5.51,5.60,2129500,5.44906
2015-11-18,5.43,5.55,5.40,5.53,2184200,5.38094
2015-11-17,5.36,5.45,5.33,5.44,1708900,5.29337
2015-11-16,5.24,5.34,5.23,5.30,1817100,5.15714
2015-11-13,5.38,5.43,5.32,5.37,3038200,5.22526
2015-11-12,5.50,5.53,5.45,5.48,2213200,5.33229
2015-11-11,5.46,5.57,5.45,5.56,2931100,5.41013
2015-11-10,5.48,5.50,5.37,5.48,4618800,5.33229
2015-11-09,5.53,5.59,5.42,5.51,3002600,5.36148
2015-11-06,5.45,5.70,5.44,5.60,5024400,5.44906
2015-11-05,5.46,5.47,5.36,5.45,2858600,5.3031
2015-11-04,5.54,5.63,5.49,5.51,3739300,5.36148
2015-11-03,5.45,5.50,5.41,5.48,1637600,5.33229
2015-11-02,5.43,5.47,5.325,5.41,2224900,5.26418
2015-10-30,5.32,5.42,5.27,5.39,2475600,5.24472
2015-10-29,5.51,5.545,5.34,5.38,3159900,5.23499
2015-10-28,5.43,5.54,5.39,5.50,3356800,5.35175
2015-10-27,5.52,5.52,5.39,5.40,4040500,5.25445
2015-10-26,5.50,5.53,5.46,5.49,1933100,5.34202
2015-10-23,5.44,5.51,5.44,5.49,2517700,5.34202
2015-10-22,5.36,5.38,5.29,5.35,2144400,5.2058
2015-10-21,5.29,5.39,5.25,5.36,2918600,5.21553
2015-10-20,5.37,5.43,5.31,5.34,2823200,5.19606
2015-10-19,5.41,5.44,5.35,5.41,5024500,5.26418
2015-10-16,5.33,5.41,5.27,5.38,4875000,5.23499
2015-10-15,5.21,5.26,5.17,5.24,3456800,5.09876
2015-10-14,5.27,5.27,5.15,5.17,5015300,5.03065
2015-10-13,5.36,5.36,5.205,5.27,6987600,5.12795
2015-10-12,5.33,5.43,5.30,5.38,6143600,5.23499
2015-10-09,5.29,5.35,5.26,5.31,4646100,5.16687
2015-10-08,5.25,5.285,5.195,5.23,4252200,5.08903
2015-10-07,5.21,5.24,5.15,5.23,3490100,5.08903
2015-10-06,5.34,5.35,5.175,5.20,2475600,5.05984
2015-10-05,5.23,5.30,5.19,5.28,2093900,5.13768
2015-10-02,5.15,5.28,5.14,5.15,6337100,5.01119
2015-10-01,5.27,5.36,5.24,5.26,4338700,5.11822
2015-09-30,5.18,5.295,5.15,5.27,5758700,5.12795
2015-09-29,5.20,5.20,5.12,5.12,6253800,4.98199
2015-09-28,5.22,5.35,5.18,5.32,4233300,5.1766
