Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.21,0.21,0.20,0.205,141000,0.205
2016-06-30,0.20,0.21,0.20,0.21,124900,0.21
2016-06-29,0.20,0.21,0.195,0.195,506400,0.195
2016-06-28,0.20,0.20,0.195,0.195,354700,0.195
2016-06-27,0.20,0.21,0.19,0.205,366500,0.205
2016-06-24,0.22,0.22,0.20,0.21,218800,0.21
2016-06-23,0.235,0.235,0.22,0.225,187000,0.225
2016-06-22,0.23,0.235,0.21,0.225,280500,0.225
2016-06-21,0.225,0.225,0.22,0.225,352100,0.225
2016-06-20,0.22,0.22,0.20,0.21,600400,0.21
2016-06-17,0.23,0.23,0.215,0.225,116300,0.225
2016-06-16,0.235,0.24,0.225,0.225,157300,0.225
2016-06-15,0.21,0.235,0.21,0.235,576800,0.235
2016-06-14,0.225,0.23,0.21,0.21,488700,0.21
2016-06-13,0.23,0.23,0.23,0.23,000,0.23
2016-06-10,0.25,0.25,0.23,0.23,851800,0.23
2016-06-09,0.23,0.26,0.23,0.245,4660300,0.245
2016-06-08,0.20,0.225,0.20,0.225,998600,0.225
2016-06-07,0.195,0.205,0.195,0.20,338000,0.20
2016-06-06,0.215,0.215,0.19,0.19,73900,0.19
2016-06-03,0.21,0.215,0.20,0.20,284500,0.20
2016-06-02,0.195,0.22,0.195,0.22,675900,0.22
2016-06-01,0.19,0.195,0.19,0.195,369200,0.195
2016-05-31,0.20,0.20,0.19,0.19,320300,0.19
2016-05-30,0.21,0.21,0.20,0.20,168300,0.20
2016-05-27,0.20,0.22,0.20,0.21,620400,0.21
2016-05-26,0.22,0.22,0.20,0.20,355900,0.20
2016-05-25,0.185,0.225,0.185,0.22,1660000,0.22
2016-05-24,0.215,0.215,0.19,0.19,685900,0.19
2016-05-23,0.225,0.23,0.205,0.22,1412800,0.22
2016-05-20,0.25,0.25,0.23,0.23,437500,0.23
2016-05-19,0.245,0.255,0.245,0.245,645800,0.245
2016-05-18,0.26,0.26,0.24,0.245,761000,0.245
2016-05-17,0.26,0.265,0.255,0.255,1449600,0.255
2016-05-16,0.25,0.27,0.245,0.265,1199900,0.265
2016-05-13,0.23,0.25,0.215,0.25,737500,0.25
2016-05-12,0.235,0.25,0.215,0.235,2372800,0.235
2016-05-11,0.23,0.235,0.22,0.23,1183300,0.23
2016-05-10,0.23,0.23,0.19,0.23,1559800,0.23
2016-05-09,0.215,0.24,0.215,0.23,2246700,0.23
2016-05-06,0.17,0.225,0.17,0.21,3945900,0.21
2016-05-05,0.17,0.175,0.17,0.17,445500,0.17
2016-05-04,0.17,0.17,0.17,0.17,241500,0.17
2016-05-03,0.165,0.17,0.16,0.17,842900,0.17
2016-05-02,0.175,0.185,0.165,0.165,472900,0.165
2016-04-29,0.16,0.19,0.16,0.18,826300,0.18
2016-04-28,0.175,0.175,0.155,0.165,1125400,0.165
2016-04-27,0.185,0.185,0.17,0.17,943000,0.17
2016-04-26,0.18,0.18,0.17,0.175,865300,0.175
2016-04-25,0.19,0.19,0.19,0.19,000,0.19
2016-04-22,0.195,0.20,0.18,0.19,1337200,0.19
2016-04-21,0.17,0.20,0.17,0.20,2286000,0.20
2016-04-20,0.165,0.165,0.165,0.165,000,0.165
2016-04-19,0.165,0.165,0.165,0.165,000,0.165
2016-04-18,0.155,0.165,0.155,0.165,82700,0.165
2016-04-15,0.16,0.165,0.155,0.155,786000,0.155
2016-04-14,0.16,0.16,0.15,0.15,512400,0.15
2016-04-13,0.17,0.175,0.15,0.16,312500,0.16
2016-04-12,0.175,0.175,0.16,0.17,577900,0.17
