Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.70,0.735,0.685,0.735,1673400,0.735
2016-06-30,0.695,0.70,0.64,0.68,1186000,0.68
2016-06-29,0.635,0.69,0.635,0.69,1558100,0.69
2016-06-28,0.675,0.695,0.635,0.65,2668800,0.65
2016-06-27,0.595,0.675,0.595,0.67,3860800,0.67
2016-06-24,0.525,0.585,0.525,0.585,4030400,0.585
2016-06-23,0.495,0.525,0.492,0.52,1240800,0.52
2016-06-22,0.51,0.52,0.49,0.49,1056900,0.49
2016-06-21,0.48,0.53,0.48,0.51,27166100,0.51
2016-06-20,0.49,0.49,0.46,0.47,671700,0.47
2016-06-17,0.48,0.49,0.47,0.485,772100,0.485
2016-06-16,0.465,0.48,0.46,0.475,500500,0.475
2016-06-15,0.48,0.485,0.465,0.465,882600,0.465
2016-06-14,0.48,0.485,0.47,0.475,686600,0.475
2016-06-13,0.465,0.465,0.465,0.465,000,0.465
2016-06-10,0.475,0.475,0.46,0.465,851100,0.465
2016-06-09,0.485,0.485,0.455,0.465,1065200,0.465
2016-06-08,0.485,0.49,0.46,0.465,1124300,0.465
2016-06-07,0.495,0.50,0.48,0.48,743700,0.48
2016-06-06,0.48,0.49,0.48,0.48,1384400,0.48
2016-06-03,0.445,0.445,0.44,0.445,572200,0.445
2016-06-02,0.455,0.455,0.44,0.455,621700,0.455
2016-06-01,0.455,0.46,0.45,0.45,583400,0.45
2016-05-31,0.45,0.455,0.43,0.455,2349800,0.455
2016-05-30,0.48,0.49,0.45,0.45,760400,0.45
2016-05-27,0.48,0.49,0.47,0.48,446600,0.48
2016-05-26,0.48,0.49,0.467,0.475,578800,0.475
2016-05-25,0.46,0.49,0.45,0.475,1880800,0.475
2016-05-24,0.50,0.50,0.47,0.47,946900,0.47
2016-05-23,0.50,0.505,0.485,0.49,701100,0.49
2016-05-20,0.50,0.51,0.495,0.50,774000,0.50
2016-05-19,0.535,0.535,0.49,0.495,1776800,0.495
2016-05-18,0.56,0.565,0.535,0.535,1185300,0.535
2016-05-17,0.54,0.57,0.53,0.55,2242800,0.55
2016-05-16,0.51,0.545,0.51,0.53,1909100,0.53
2016-05-13,0.49,0.50,0.46,0.49,2652100,0.49
2016-05-12,0.47,0.495,0.47,0.49,2130000,0.49
2016-05-11,0.46,0.465,0.46,0.46,246600,0.46
2016-05-10,0.45,0.46,0.445,0.46,1377500,0.46
2016-05-09,0.46,0.48,0.46,0.475,2203800,0.475
2016-05-06,0.44,0.455,0.435,0.445,948700,0.445
2016-05-05,0.43,0.44,0.425,0.435,767900,0.435
2016-05-04,0.45,0.45,0.425,0.425,1288800,0.425
2016-05-03,0.455,0.455,0.44,0.455,1477900,0.455
2016-05-02,0.455,0.465,0.45,0.455,3768600,0.455
2016-04-29,0.43,0.45,0.415,0.435,2345000,0.435
2016-04-28,0.405,0.42,0.405,0.42,1076100,0.42
2016-04-27,0.395,0.405,0.395,0.395,925800,0.395
2016-04-26,0.40,0.40,0.39,0.39,610800,0.39
2016-04-25,0.395,0.395,0.395,0.395,000,0.395
2016-04-22,0.405,0.405,0.395,0.395,162800,0.395
2016-04-21,0.395,0.41,0.38,0.395,773400,0.395
2016-04-20,0.415,0.42,0.392,0.395,1593000,0.395
2016-04-19,0.42,0.425,0.40,0.40,1099900,0.40
2016-04-18,0.42,0.43,0.41,0.415,588100,0.415
2016-04-15,0.40,0.42,0.40,0.415,626500,0.415
2016-04-14,0.405,0.41,0.405,0.405,305200,0.405
2016-04-13,0.44,0.445,0.40,0.40,1153700,0.40
2016-04-12,0.445,0.455,0.425,0.43,1611400,0.43
2016-04-11,0.40,0.44,0.395,0.43,2181100,0.43
2016-04-08,0.405,0.41,0.385,0.385,842900,0.385
2016-04-07,0.40,0.40,0.39,0.39,575200,0.39
2016-04-06,0.395,0.41,0.39,0.395,356200,0.395
2016-04-05,0.385,0.395,0.385,0.395,599700,0.395
2016-04-04,0.395,0.40,0.39,0.39,345500,0.39
2016-04-01,0.40,0.405,0.39,0.39,805500,0.39
2016-03-31,0.38,0.405,0.375,0.405,2203200,0.405
2016-03-30,0.395,0.40,0.37,0.38,2234600,0.38
2016-03-29,0.40,0.415,0.375,0.375,1631700,0.375
2016-03-28,0.405,0.405,0.405,0.405,000,0.405
2016-03-25,0.405,0.405,0.405,0.405,000,0.405
2016-03-24,0.41,0.41,0.385,0.405,2073300,0.405
2016-03-23,0.45,0.45,0.41,0.41,2016100,0.41
