Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.36,1.39,1.36,1.37,190100,1.37
2016-06-30,1.38,1.40,1.35,1.36,93800,1.36
2016-06-29,1.35,1.39,1.335,1.385,341500,1.385
2016-06-28,1.35,1.355,1.31,1.34,203400,1.34
2016-06-27,1.37,1.37,1.29,1.35,53500,1.35
2016-06-24,1.37,1.37,1.255,1.29,299700,1.29
2016-06-23,1.35,1.37,1.315,1.35,201600,1.35
2016-06-22,1.37,1.39,1.31,1.34,194700,1.34
2016-06-21,1.37,1.37,1.33,1.37,542700,1.37
2016-06-20,1.375,1.375,1.355,1.375,80000,1.375
2016-06-17,1.33,1.375,1.33,1.375,566200,1.375
2016-06-16,1.32,1.33,1.30,1.325,201400,1.325
2016-06-15,1.31,1.325,1.30,1.32,255600,1.32
2016-06-14,1.315,1.32,1.29,1.31,379400,1.31
2016-06-13,1.325,1.325,1.325,1.325,000,1.325
2016-06-10,1.34,1.34,1.305,1.325,143100,1.325
2016-06-09,1.35,1.36,1.34,1.35,700600,1.35
2016-06-08,1.30,1.35,1.30,1.34,222300,1.34
2016-06-07,1.31,1.34,1.30,1.30,76600,1.30
2016-06-06,1.315,1.33,1.30,1.315,169000,1.315
2016-06-03,1.28,1.345,1.28,1.34,94300,1.34
2016-06-02,1.30,1.31,1.275,1.30,317100,1.30
2016-06-01,1.32,1.32,1.275,1.28,208700,1.28
2016-05-31,1.30,1.365,1.30,1.33,569500,1.33
2016-05-30,1.29,1.305,1.28,1.30,977200,1.30
2016-05-27,1.29,1.30,1.275,1.285,1706200,1.285
2016-05-26,1.29,1.305,1.285,1.29,1406000,1.29
2016-05-25,1.255,1.305,1.255,1.28,684000,1.28
2016-05-24,1.275,1.28,1.205,1.24,1722000,1.24
2016-05-23,1.28,1.28,1.25,1.27,1190800,1.27
2016-05-20,1.285,1.285,1.27,1.275,3009600,1.275
2016-05-19,1.32,1.34,1.25,1.255,5068700,1.255
2016-05-18,1.275,1.30,1.18,1.26,9348100,1.26
2016-05-17,1.60,1.63,1.58,1.60,83900,1.60
2016-05-16,1.64,1.65,1.55,1.60,215800,1.60
2016-05-13,1.67,1.67,1.65,1.65,214800,1.65
2016-05-12,1.68,1.70,1.67,1.67,74600,1.67
2016-05-11,1.68,1.69,1.665,1.67,62400,1.67
2016-05-10,1.67,1.705,1.67,1.68,112800,1.68
2016-05-09,1.70,1.705,1.665,1.665,90900,1.665
2016-05-06,1.70,1.72,1.685,1.70,86800,1.70
2016-05-05,1.67,1.722,1.66,1.68,349900,1.68
2016-05-04,1.705,1.73,1.66,1.67,192800,1.67
2016-05-03,1.79,1.79,1.70,1.72,241700,1.72
2016-05-02,1.80,1.805,1.75,1.78,544400,1.78
2016-04-29,1.855,1.855,1.81,1.82,93900,1.82
2016-04-28,1.87,1.88,1.85,1.85,31400,1.85
2016-04-27,1.95,1.95,1.86,1.86,4000,1.86
2016-04-26,1.925,1.925,1.855,1.89,37900,1.89
2016-04-25,1.925,1.925,1.925,1.925,000,1.925
2016-04-22,1.88,1.93,1.87,1.925,149800,1.925
2016-04-21,1.895,1.99,1.88,1.94,65700,1.94
2016-04-20,1.87,1.94,1.87,1.88,5085200,1.88
2016-04-19,1.92,1.98,1.87,1.88,920400,1.88
2016-04-18,1.98,2.00,1.90,1.90,60000,1.90
2016-04-15,2.01,2.015,1.955,1.955,20500,1.955
2016-04-14,2.04,2.04,1.94,2.00,16800,2.00
2016-04-13,2.00,2.04,2.00,2.04,356500,2.04
2016-04-12,2.04,2.07,2.00,2.00,58000,2.00
2016-04-11,2.02,2.05,2.01,2.04,25400,2.04
2016-04-08,1.90,2.04,1.90,2.04,202800,2.04
2016-04-07,1.90,1.95,1.85,1.90,2795700,1.90
2016-04-06,1.90,1.9475,1.85,1.85,466000,1.85
2016-04-05,1.91,1.95,1.90,1.91,50300,1.91
2016-04-04,1.90,1.91,1.90,1.91,21500,1.91
2016-04-01,1.83,1.84,1.83,1.84,1308200,1.84
2016-03-31,1.83,1.90,1.82,1.90,3536600,1.90
2016-03-30,1.835,1.835,1.835,1.835,14300,1.835
2016-03-29,1.87,1.87,1.87,1.87,10100,1.87
2016-03-28,1.87,1.87,1.87,1.87,000,1.87
2016-03-25,1.87,1.87,1.87,1.87,000,1.87
2016-03-24,1.895,1.895,1.83,1.87,35300,1.87
2016-03-23,1.825,1.90,1.825,1.89,69000,1.89
2016-03-22,1.825,1.85,1.825,1.825,45100,1.825
2016-03-21,1.825,1.87,1.81,1.835,34100,1.835
2016-03-18,1.83,1.89,1.82,1.825,68600,1.825
2016-03-17,1.85,1.855,1.82,1.82,29000,1.82
2016-03-16,1.805,1.85,1.805,1.81,100300,1.81
2016-03-15,1.84,1.85,1.80,1.85,145200,1.85
2016-03-14,1.84,1.85,1.805,1.85,21700,1.85
2016-03-11,1.845,1.85,1.845,1.85,693800,1.85
2016-03-10,1.845,1.85,1.815,1.85,11400,1.85
2016-03-09,1.815,1.845,1.815,1.845,62800,1.845
2016-03-08,1.86,1.86,1.81,1.84,31400,1.84
2016-03-07,1.88,1.88,1.85,1.87,125300,1.87
2016-03-04,1.90,1.90,1.82,1.90,93600,1.90
2016-03-03,1.87,1.90,1.87,1.885,22500,1.885
