Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.073,0.074,0.073,0.073,143400,0.073
2016-06-30,0.07,0.075,0.07,0.073,562600,0.073
2016-06-29,0.07,0.07,0.07,0.07,50800,0.07
2016-06-28,0.069,0.07,0.067,0.068,360400,0.068
2016-06-27,0.063,0.07,0.063,0.067,568200,0.067
2016-06-24,0.066,0.066,0.062,0.064,1399000,0.064
2016-06-23,0.066,0.066,0.066,0.066,283200,0.066
2016-06-22,0.06,0.066,0.06,0.065,1145000,0.065
2016-06-21,0.062,0.062,0.06,0.06,596400,0.06
2016-06-20,0.063,0.063,0.06,0.06,1011400,0.06
2016-06-17,0.061,0.066,0.06,0.065,808700,0.065
2016-06-16,0.054,0.058,0.054,0.057,589600,0.057
2016-06-15,0.054,0.055,0.054,0.054,724500,0.054
2016-06-14,0.052,0.054,0.052,0.053,544000,0.053
2016-06-13,0.053,0.053,0.053,0.053,000,0.053
2016-06-10,0.051,0.053,0.051,0.053,28000,0.053
2016-06-09,0.05,0.05,0.05,0.05,000,0.05
2016-06-08,0.05,0.05,0.05,0.05,000,0.05
2016-06-07,0.05,0.05,0.05,0.05,150000,0.05
2016-06-06,0.052,0.052,0.05,0.05,180000,0.05
2016-06-03,0.052,0.052,0.052,0.052,198800,0.052
2016-06-02,0.053,0.053,0.053,0.053,130000,0.053
2016-06-01,0.056,0.056,0.056,0.056,000,0.056
2016-05-31,0.056,0.056,0.056,0.056,44900,0.056
2016-05-30,0.056,0.056,0.056,0.056,8200,0.056
2016-05-27,0.054,0.056,0.054,0.056,46800,0.056
2016-05-26,0.056,0.056,0.051,0.051,17100,0.051
2016-05-25,0.058,0.058,0.056,0.056,235900,0.056
2016-05-24,0.056,0.058,0.056,0.058,381500,0.058
2016-05-23,0.054,0.057,0.054,0.057,669000,0.057
2016-05-20,0.052,0.052,0.052,0.052,312900,0.052
2016-05-19,0.051,0.054,0.051,0.054,223600,0.054
2016-05-18,0.051,0.053,0.05,0.053,562000,0.053
2016-05-17,0.051,0.051,0.051,0.051,28000,0.051
2016-05-16,0.054,0.054,0.054,0.054,133800,0.054
2016-05-13,0.054,0.054,0.054,0.054,000,0.054
2016-05-12,0.055,0.055,0.054,0.054,440000,0.054
2016-05-11,0.055,0.055,0.054,0.054,446100,0.054
2016-05-10,0.056,0.056,0.056,0.056,140000,0.056
2016-05-09,0.056,0.057,0.056,0.057,213500,0.057
2016-05-06,0.053,0.057,0.053,0.056,451800,0.056
2016-05-05,0.051,0.051,0.05,0.05,450000,0.05
2016-05-04,0.053,0.053,0.051,0.052,80500,0.052
2016-05-03,0.053,0.058,0.053,0.054,328000,0.054
2016-05-02,0.054,0.054,0.051,0.052,569000,0.052
2016-04-29,0.052,0.054,0.052,0.054,153300,0.054
2016-04-28,0.056,0.056,0.052,0.052,772300,0.052
2016-04-27,0.056,0.056,0.053,0.053,152400,0.053
2016-04-26,0.054,0.058,0.054,0.058,125600,0.058
2016-04-25,0.054,0.054,0.054,0.054,000,0.054
2016-04-22,0.056,0.057,0.054,0.054,766800,0.054
2016-04-21,0.054,0.058,0.054,0.056,778000,0.056
2016-04-20,0.06,0.06,0.053,0.053,645000,0.053
2016-04-19,0.06,0.06,0.057,0.057,162900,0.057
2016-04-18,0.062,0.062,0.057,0.057,211000,0.057
2016-04-15,0.058,0.062,0.058,0.062,180000,0.062
2016-04-14,0.062,0.062,0.06,0.06,568600,0.06
2016-04-13,0.062,0.062,0.061,0.062,627000,0.062
2016-04-12,0.062,0.067,0.061,0.067,531800,0.067
2016-04-11,0.06,0.061,0.058,0.061,443700,0.061
2016-04-08,0.06,0.062,0.058,0.059,790000,0.059
2016-04-07,0.063,0.063,0.06,0.062,239100,0.062
2016-04-06,0.065,0.065,0.06,0.064,739500,0.064
2016-04-05,0.071,0.071,0.065,0.067,1496500,0.067
2016-04-04,0.072,0.074,0.071,0.071,570200,0.071
2016-04-01,0.073,0.073,0.071,0.071,606000,0.071
2016-03-31,0.075,0.076,0.073,0.075,614500,0.075
2016-03-30,0.07,0.0755,0.07,0.075,507600,0.075
2016-03-29,0.067,0.07,0.067,0.07,45300,0.07
2016-03-28,0.067,0.067,0.067,0.067,000,0.067
2016-03-25,0.067,0.067,0.067,0.067,000,0.067
2016-03-24,0.067,0.067,0.066,0.067,684000,0.067
2016-03-23,0.068,0.072,0.067,0.067,936600,0.067
2016-03-22,0.07,0.073,0.067,0.067,1587600,0.067
2016-03-21,0.064,0.073,0.064,0.07,2079200,0.07
2016-03-18,0.06,0.066,0.06,0.063,592800,0.063
2016-03-17,0.063,0.063,0.06,0.061,420300,0.061
2016-03-16,0.063,0.063,0.06,0.063,812300,0.063
2016-03-15,0.063,0.066,0.062,0.066,338100,0.066
2016-03-14,0.063,0.067,0.062,0.063,1540000,0.063
2016-03-11,0.061,0.063,0.057,0.063,3315700,0.063
2016-03-10,0.049,0.063,0.048,0.06,4427700,0.06
2016-03-09,0.05,0.05,0.05,0.05,000,0.05
2016-03-08,0.05,0.05,0.05,0.05,700000,0.05
2016-03-07,0.05,0.05,0.05,0.05,000,0.05
2016-03-04,0.05,0.05,0.05,0.05,000,0.05
2016-03-03,0.05,0.05,0.05,0.05,16000,0.05
2016-03-02,0.047,0.047,0.047,0.047,10000,0.047
2016-03-01,0.047,0.047,0.047,0.047,000,0.047
2016-02-29,0.047,0.047,0.047,0.047,74000,0.047
2016-02-26,0.048,0.048,0.048,0.048,000,0.048
2016-02-25,0.048,0.048,0.048,0.048,000,0.048
2016-02-24,0.048,0.048,0.048,0.048,000,0.048
2016-02-23,0.05,0.05,0.048,0.048,300000,0.048
2016-02-22,0.049,0.054,0.049,0.05,611800,0.05
2016-02-19,0.049,0.05,0.048,0.048,260000,0.048
2016-02-18,0.049,0.049,0.046,0.046,18400,0.046
2016-02-17,0.049,0.05,0.049,0.049,635700,0.049
2016-02-16,0.049,0.049,0.047,0.048,376000,0.048
2016-02-15,0.047,0.05,0.047,0.048,73000,0.048
2016-02-12,0.05,0.05,0.05,0.05,000,0.05
2016-02-11,0.049,0.05,0.045,0.05,150000,0.05
2016-02-10,0.049,0.049,0.049,0.049,66700,0.049
2016-02-09,0.051,0.051,0.049,0.049,700000,0.049
2016-02-08,0.052,0.052,0.051,0.051,126900,0.051
2016-02-05,0.055,0.055,0.055,0.055,22000,0.055
2016-02-04,0.051,0.055,0.051,0.055,71500,0.055
2016-02-03,0.056,0.056,0.052,0.052,532000,0.052
2016-02-02,0.062,0.062,0.062,0.062,000,0.062
2016-02-01,0.062,0.062,0.062,0.062,000,0.062
2016-01-29,0.062,0.062,0.06,0.062,202400,0.062
2016-01-28,0.067,0.067,0.064,0.064,354500,0.064
2016-01-27,0.064,0.065,0.064,0.065,222700,0.065
2016-01-26,0.063,0.063,0.063,0.063,000,0.063
2016-01-25,0.06,0.064,0.06,0.063,155800,0.063
2016-01-22,0.064,0.065,0.06,0.06,351000,0.06
2016-01-21,0.07,0.07,0.064,0.064,729800,0.064
2016-01-20,0.07,0.07,0.066,0.068,781600,0.068
2016-01-19,0.059,0.065,0.059,0.065,479500,0.065
2016-01-18,0.057,0.059,0.054,0.059,300100,0.059
2016-01-15,0.054,0.056,0.054,0.055,742500,0.055
2016-01-14,0.054,0.054,0.054,0.054,000,0.054
2016-01-13,0.05,0.054,0.05,0.054,245200,0.054
2016-01-12,0.05,0.05,0.05,0.05,40000,0.05
2016-01-11,0.051,0.051,0.05,0.05,124600,0.05
2016-01-08,0.052,0.052,0.048,0.048,358400,0.048
2016-01-07,0.05,0.052,0.05,0.051,184000,0.051
2016-01-06,0.051,0.055,0.051,0.055,591500,0.055
2016-01-05,0.05,0.05,0.049,0.05,301000,0.05
2016-01-04,0.046,0.05,0.046,0.046,118800,0.046
2016-01-01,0.046,0.046,0.046,0.046,000,0.046
