Date,Open,High,Low,Close,Volume,Adj Close
2015-05-05,0.025,0.025,0.025,0.025,000,0.025
2015-05-04,0.025,0.025,0.025,0.025,000,0.025
2015-05-01,0.022,0.025,0.019,0.025,2428900,0.025
2015-04-30,0.015,0.026,0.013,0.02,1940300,0.02
2015-04-29,0.014,0.024,0.014,0.022,1503900,0.022
2015-04-28,0.014,0.014,0.014,0.014,184700,0.014
2015-04-27,0.013,0.013,0.013,0.013,57900,0.013
2015-04-24,0.014,0.014,0.014,0.014,200000,0.014
2015-04-23,0.013,0.013,0.013,0.013,1375500,0.013
2015-04-22,0.014,0.014,0.013,0.013,1072300,0.013
2015-04-21,0.013,0.014,0.013,0.013,1729300,0.013
2015-04-20,0.014,0.014,0.013,0.013,1345500,0.013
2015-04-17,0.013,0.013,0.013,0.013,45000,0.013
2015-04-16,0.014,0.014,0.013,0.013,703000,0.013
2015-04-15,0.015,0.015,0.013,0.013,836300,0.013
2015-04-14,0.016,0.016,0.014,0.014,743600,0.014
2015-04-13,0.016,0.016,0.015,0.015,54900,0.015
2015-04-10,0.018,0.019,0.017,0.018,1034900,0.018
2015-04-09,0.018,0.018,0.018,0.018,65000,0.018
2015-04-08,0.015,0.017,0.014,0.017,664800,0.017
2015-04-07,0.017,0.017,0.017,0.017,000,0.017
2015-04-06,0.017,0.017,0.017,0.017,000,0.017
2015-04-03,0.017,0.017,0.017,0.017,000,0.017
2015-04-02,0.017,0.017,0.017,0.017,700,0.017
2015-04-01,0.017,0.017,0.017,0.017,430000,0.017
2015-03-31,0.018,0.018,0.017,0.017,1499200,0.017
2015-03-30,0.02,0.02,0.02,0.02,762700,0.02
2015-03-27,0.02,0.022,0.02,0.022,284600,0.022
2015-03-26,0.019,0.02,0.019,0.02,623600,0.02
2015-03-25,0.016,0.017,0.016,0.016,770000,0.016
2015-03-24,0.018,0.018,0.018,0.018,150200,0.018
2015-03-23,0.018,0.018,0.018,0.018,500000,0.018
2015-03-20,0.018,0.018,0.018,0.018,327300,0.018
2015-03-19,0.018,0.019,0.018,0.019,440000,0.019
2015-03-18,0.019,0.019,0.019,0.019,15000,0.019
2015-03-17,0.019,0.019,0.019,0.019,10000,0.019
2015-03-16,0.02,0.02,0.019,0.02,185000,0.02
2015-03-13,0.02,0.021,0.02,0.02,156900,0.02
2015-03-12,0.02,0.022,0.02,0.02,925000,0.02
2015-03-11,0.021,0.021,0.02,0.02,440500,0.02
2015-03-10,0.021,0.022,0.021,0.022,900000,0.022
2015-03-09,0.021,0.022,0.02,0.022,2680500,0.022
2015-03-06,0.02,0.02,0.02,0.02,133000,0.02
2015-03-05,0.02,0.02,0.02,0.02,135500,0.02
2015-03-04,0.02,0.023,0.02,0.021,979600,0.021
2015-03-03,0.018,0.019,0.018,0.019,2392900,0.019
2015-03-02,0.018,0.019,0.018,0.018,1249800,0.018
2015-02-27,0.017,0.018,0.015,0.018,1389100,0.018
2015-02-26,0.014,0.015,0.014,0.015,57500,0.015
2015-02-25,0.015,0.015,0.015,0.015,699000,0.015
2015-02-24,0.014,0.015,0.014,0.015,1500000,0.015
2015-02-23,0.013,0.014,0.013,0.014,694200,0.014
2015-02-20,0.013,0.014,0.013,0.013,601000,0.013
2015-02-19,0.013,0.013,0.013,0.013,214700,0.013
2015-02-18,0.013,0.013,0.012,0.012,412800,0.012
2015-02-17,0.011,0.011,0.011,0.011,000,0.011
2015-02-16,0.01,0.013,0.01,0.011,1745000,0.011
2015-02-13,0.015,0.016,0.005,0.01,13058800,0.01
2015-02-12,0.016,0.016,0.014,0.014,529400,0.014
2015-02-11,0.017,0.017,0.015,0.015,795000,0.015
2015-02-10,0.02,0.02,0.02,0.02,000,0.02
2015-02-09,0.02,0.02,0.02,0.02,000,0.02
2015-02-06,0.017,0.02,0.016,0.02,761300,0.02
2015-02-05,0.02,0.02,0.018,0.018,786200,0.018
2015-02-04,0.019,0.02,0.019,0.02,54500,0.02
2015-02-03,0.024,0.024,0.019,0.019,1951500,0.019
2015-02-02,0.025,0.025,0.025,0.025,100000,0.025
