Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.027,0.027,0.027,0.027,10900,0.027
2016-06-30,0.028,0.028,0.027,0.027,744200,0.027
2016-06-29,0.028,0.028,0.027,0.028,111000,0.028
2016-06-28,0.027,0.028,0.027,0.028,101500,0.028
2016-06-27,0.026,0.03,0.026,0.03,148100,0.03
2016-06-24,0.028,0.032,0.026,0.032,669200,0.032
2016-06-23,0.028,0.028,0.027,0.028,37400,0.028
2016-06-22,0.027,0.028,0.027,0.027,125700,0.027
2016-06-21,0.028,0.028,0.028,0.028,143100,0.028
2016-06-20,0.03,0.03,0.027,0.027,425200,0.027
2016-06-17,0.026,0.032,0.026,0.03,420000,0.03
2016-06-16,0.028,0.028,0.026,0.026,33800,0.026
2016-06-15,0.027,0.028,0.027,0.028,266700,0.028
2016-06-14,0.029,0.029,0.027,0.027,505400,0.027
2016-06-13,0.028,0.028,0.028,0.028,000,0.028
2016-06-10,0.031,0.032,0.028,0.028,538000,0.028
2016-06-09,0.027,0.027,0.027,0.027,70900,0.027
2016-06-08,0.028,0.028,0.026,0.026,355000,0.026
2016-06-07,0.028,0.028,0.028,0.028,100,0.028
2016-06-06,0.028,0.028,0.027,0.027,146000,0.027
2016-06-03,0.027,0.027,0.027,0.027,000,0.027
2016-06-02,0.028,0.028,0.027,0.027,60300,0.027
2016-06-01,0.031,0.031,0.031,0.031,000,0.031
2016-05-31,0.027,0.031,0.027,0.031,750100,0.031
2016-05-30,0.026,0.026,0.026,0.026,253000,0.026
2016-05-27,0.028,0.028,0.026,0.026,105700,0.026
2016-05-26,0.028,0.028,0.028,0.028,4000,0.028
2016-05-25,0.028,0.028,0.028,0.028,48700,0.028
2016-05-24,0.028,0.028,0.028,0.028,000,0.028
2016-05-23,0.028,0.028,0.028,0.028,106700,0.028
2016-05-20,0.028,0.028,0.028,0.028,100000,0.028
2016-05-19,0.028,0.028,0.028,0.028,000,0.028
2016-05-18,0.029,0.029,0.028,0.028,236500,0.028
2016-05-17,0.03,0.03,0.028,0.028,473000,0.028
2016-05-16,0.032,0.032,0.03,0.03,41900,0.03
2016-05-13,0.028,0.033,0.028,0.033,112000,0.033
2016-05-12,0.029,0.029,0.028,0.028,340600,0.028
2016-05-11,0.029,0.029,0.029,0.029,235000,0.029
2016-05-10,0.029,0.029,0.029,0.029,700,0.029
2016-05-09,0.031,0.032,0.03,0.03,330000,0.03
2016-05-06,0.03,0.03,0.03,0.03,31900,0.03
2016-05-05,0.029,0.029,0.029,0.029,257000,0.029
2016-05-04,0.03,0.03,0.029,0.029,86900,0.029
2016-05-03,0.03,0.03,0.03,0.03,20000,0.03
2016-05-02,0.031,0.031,0.031,0.031,000,0.031
2016-04-29,0.032,0.032,0.031,0.031,249700,0.031
2016-04-28,0.034,0.034,0.032,0.032,476200,0.032
2016-04-27,0.03,0.03,0.03,0.03,000,0.03
2016-04-26,0.03,0.03,0.03,0.03,6400,0.03
2016-04-25,0.03,0.03,0.03,0.03,000,0.03
2016-04-22,0.03,0.03,0.03,0.03,140000,0.03
2016-04-21,0.03,0.03,0.029,0.029,180900,0.029
2016-04-20,0.03,0.03,0.03,0.03,000,0.03
2016-04-19,0.031,0.031,0.03,0.03,311600,0.03
