Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.295,0.305,0.285,0.30,254500,0.30
2016-06-30,0.28,0.295,0.28,0.285,473000,0.285
2016-06-29,0.285,0.30,0.265,0.28,911700,0.28
2016-06-28,0.29,0.295,0.28,0.28,287100,0.28
2016-06-27,0.295,0.30,0.29,0.30,648100,0.30
2016-06-24,0.31,0.315,0.30,0.30,426800,0.30
2016-06-23,0.295,0.32,0.295,0.295,548500,0.295
2016-06-22,0.30,0.30,0.295,0.295,329400,0.295
2016-06-21,0.30,0.31,0.295,0.30,1802500,0.30
2016-06-20,0.30,0.305,0.29,0.29,215100,0.29
2016-06-17,0.295,0.315,0.295,0.30,313900,0.30
2016-06-16,0.30,0.315,0.295,0.295,99100,0.295
2016-06-15,0.305,0.305,0.295,0.295,293100,0.295
2016-06-14,0.32,0.32,0.305,0.305,192600,0.305
2016-06-13,0.315,0.315,0.315,0.315,000,0.315
2016-06-10,0.315,0.32,0.315,0.315,12000,0.315
2016-06-09,0.31,0.325,0.31,0.315,339100,0.315
2016-06-08,0.32,0.325,0.31,0.31,186300,0.31
2016-06-07,0.32,0.33,0.32,0.325,224100,0.325
2016-06-06,0.30,0.33,0.30,0.33,520700,0.33
2016-06-03,0.305,0.31,0.30,0.30,127300,0.30
2016-06-02,0.295,0.305,0.295,0.305,328300,0.305
2016-06-01,0.29,0.295,0.285,0.29,318800,0.29
2016-05-31,0.295,0.295,0.275,0.29,885800,0.29
2016-05-30,0.30,0.30,0.295,0.30,115100,0.30
2016-05-27,0.305,0.31,0.30,0.305,337300,0.305
2016-05-26,0.29,0.30,0.29,0.30,219200,0.30
2016-05-25,0.295,0.30,0.285,0.29,499500,0.29
2016-05-24,0.30,0.305,0.295,0.295,765500,0.295
2016-05-23,0.305,0.305,0.295,0.295,403700,0.295
2016-05-20,0.31,0.31,0.30,0.30,284200,0.30
2016-05-19,0.31,0.32,0.305,0.31,404100,0.31
2016-05-18,0.31,0.32,0.30,0.31,423800,0.31
2016-05-17,0.31,0.32,0.305,0.31,229900,0.31
2016-05-16,0.31,0.31,0.305,0.305,128900,0.305
2016-05-13,0.30,0.305,0.30,0.305,207500,0.305
2016-05-12,0.32,0.325,0.285,0.30,795400,0.30
2016-05-11,0.33,0.33,0.315,0.315,454900,0.315
2016-05-10,0.35,0.35,0.325,0.325,868000,0.325
2016-05-09,0.35,0.355,0.34,0.345,281900,0.345
2016-05-06,0.34,0.355,0.335,0.34,322700,0.34
2016-05-05,0.365,0.365,0.33,0.335,792900,0.335
