Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.074,0.074,0.074,0.074,30000,0.074
2016-06-30,0.071,0.071,0.071,0.071,000,0.071
2016-06-29,0.072,0.072,0.071,0.071,324600,0.071
2016-06-28,0.072,0.074,0.072,0.074,350000,0.074
2016-06-27,0.072,0.072,0.07,0.07,10900,0.07
2016-06-24,0.069,0.072,0.069,0.072,145000,0.072
2016-06-23,0.071,0.071,0.071,0.071,30000,0.071
2016-06-22,0.07,0.07,0.07,0.07,70000,0.07
2016-06-21,0.067,0.067,0.067,0.067,000,0.067
2016-06-20,0.067,0.067,0.067,0.067,000,0.067
2016-06-17,0.072,0.073,0.067,0.067,109700,0.067
2016-06-16,0.073,0.073,0.072,0.072,55700,0.072
2016-06-15,0.072,0.072,0.071,0.072,84200,0.072
2016-06-14,0.072,0.072,0.07,0.07,168000,0.07
2016-06-13,0.07,0.07,0.07,0.07,000,0.07
2016-06-10,0.075,0.075,0.07,0.07,47000,0.07
2016-06-09,0.07,0.07,0.068,0.068,64200,0.068
2016-06-08,0.07,0.07,0.07,0.07,10000,0.07
2016-06-07,0.07,0.07,0.07,0.07,000,0.07
2016-06-06,0.07,0.07,0.07,0.07,370600,0.07
2016-06-03,0.069,0.07,0.065,0.065,229300,0.065
2016-06-02,0.07,0.07,0.068,0.068,316600,0.068
2016-06-01,0.068,0.068,0.068,0.068,348500,0.068
2016-05-31,0.062,0.063,0.06,0.062,271400,0.062
2016-05-30,0.06,0.067,0.06,0.067,180000,0.067
2016-05-27,0.062,0.062,0.062,0.062,50000,0.062
2016-05-26,0.058,0.058,0.058,0.058,000,0.058
2016-05-25,0.06,0.06,0.058,0.058,291700,0.058
2016-05-24,0.068,0.068,0.061,0.061,175400,0.061
2016-05-23,0.064,0.066,0.064,0.066,697800,0.066
2016-05-20,0.061,0.064,0.061,0.064,76400,0.064
2016-05-19,0.063,0.063,0.063,0.063,80000,0.063
2016-05-18,0.063,0.063,0.063,0.063,60300,0.063
2016-05-17,0.063,0.063,0.063,0.063,14500,0.063
2016-05-16,0.063,0.064,0.063,0.064,489700,0.064
2016-05-13,0.062,0.063,0.061,0.061,127700,0.061
2016-05-12,0.058,0.058,0.058,0.058,435900,0.058
2016-05-11,0.056,0.058,0.056,0.058,798700,0.058
2016-05-10,0.056,0.056,0.055,0.055,246200,0.055
2016-05-09,0.055,0.058,0.055,0.058,64200,0.058
2016-05-06,0.055,0.055,0.055,0.055,000,0.055
2016-05-05,0.057,0.057,0.052,0.055,233000,0.055
2016-05-04,0.058,0.06,0.058,0.06,319300,0.06
2016-05-03,0.063,0.063,0.063,0.063,000,0.063
2016-05-02,0.063,0.064,0.056,0.063,597000,0.063
2016-04-29,0.064,0.064,0.062,0.064,90000,0.064
2016-04-28,0.064,0.064,0.064,0.064,80000,0.064
2016-04-27,0.063,0.063,0.063,0.063,000,0.063
2016-04-26,0.063,0.063,0.063,0.063,140000,0.063
2016-04-25,0.064,0.064,0.064,0.064,000,0.064
2016-04-22,0.061,0.064,0.061,0.064,340300,0.064
2016-04-21,0.06,0.061,0.06,0.061,262600,0.061
2016-04-20,0.06,0.06,0.059,0.059,145300,0.059
2016-04-19,0.06,0.06,0.058,0.059,165900,0.059
2016-04-18,0.057,0.061,0.055,0.06,996500,0.06
2016-04-15,0.056,0.056,0.055,0.055,215000,0.055
2016-04-14,0.056,0.056,0.056,0.056,55000,0.056
2016-04-13,0.056,0.056,0.055,0.055,160000,0.055
2016-04-12,0.057,0.058,0.056,0.057,368700,0.057
2016-04-11,0.055,0.057,0.055,0.057,142000,0.057
2016-04-08,0.055,0.055,0.055,0.055,20000,0.055
2016-04-07,0.055,0.055,0.054,0.055,198500,0.055
2016-04-06,0.055,0.057,0.055,0.057,140500,0.057
2016-04-05,0.052,0.055,0.052,0.055,520700,0.055
2016-04-04,0.054,0.054,0.044,0.049,1213000,0.049
2016-04-01,0.055,0.057,0.055,0.055,540200,0.055
2016-03-31,0.053,0.053,0.053,0.053,366200,0.053
2016-03-30,0.052,0.052,0.052,0.052,000,0.052
2016-03-29,0.052,0.052,0.052,0.052,16000,0.052
2016-03-28,0.053,0.053,0.053,0.053,000,0.053
2016-03-25,0.053,0.053,0.053,0.053,000,0.053
2016-03-24,0.053,0.053,0.053,0.053,23700,0.053
2016-03-23,0.054,0.054,0.054,0.054,000,0.054
2016-03-22,0.054,0.054,0.054,0.054,000,0.054
2016-03-21,0.053,0.054,0.053,0.054,38500,0.054
2016-03-18,0.048,0.048,0.048,0.048,40300,0.048
2016-03-17,0.055,0.055,0.055,0.055,37000,0.055
2016-03-16,0.054,0.054,0.054,0.054,000,0.054
2016-03-15,0.049,0.054,0.048,0.054,277700,0.054
2016-03-14,0.053,0.055,0.05,0.051,228000,0.051
2016-03-11,0.051,0.051,0.051,0.051,50000,0.051
2016-03-10,0.05,0.05,0.045,0.049,546400,0.049
2016-03-09,0.055,0.055,0.053,0.053,86000,0.053
2016-03-08,0.061,0.061,0.058,0.058,63000,0.058
2016-03-07,0.062,0.063,0.062,0.062,607700,0.062
2016-03-04,0.061,0.064,0.061,0.062,1526000,0.062
2016-03-03,0.06,0.06,0.055,0.059,737800,0.059
2016-03-02,0.065,0.065,0.059,0.06,1401500,0.06
2016-03-01,0.053,0.055,0.052,0.055,1113500,0.055
2016-02-29,0.051,0.055,0.048,0.055,665000,0.055
2016-02-26,0.049,0.05,0.049,0.05,1310600,0.05
2016-02-25,0.045,0.048,0.043,0.047,2274600,0.047
2016-02-24,0.04,0.043,0.04,0.043,1202000,0.043
2016-02-23,0.042,0.042,0.042,0.042,000,0.042
2016-02-22,0.042,0.042,0.038,0.042,361000,0.042
2016-02-19,0.043,0.044,0.038,0.043,618400,0.043
