Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.29,0.295,0.24,0.285,319300,0.285
2016-06-30,0.19,0.31,0.19,0.31,455100,0.31
2016-06-29,0.20,0.20,0.20,0.20,11000,0.20
2016-06-28,0.21,0.21,0.19,0.21,12500,0.21
2016-06-27,0.19,0.19,0.19,0.19,21000,0.19
2016-06-24,0.19,0.19,0.19,0.19,4000,0.19
2016-06-23,0.21,0.21,0.20,0.20,21000,0.20
2016-06-22,0.21,0.21,0.21,0.21,000,0.21
2016-06-21,0.21,0.21,0.21,0.21,18000,0.21
2016-06-20,0.235,0.235,0.235,0.235,1000,0.235
2016-06-17,0.20,0.20,0.20,0.20,000,0.20
2016-06-16,0.20,0.21,0.20,0.20,12300,0.20
2016-06-15,0.21,0.21,0.20,0.20,100000,0.20
2016-06-14,0.205,0.205,0.205,0.205,23500,0.205
2016-06-13,0.205,0.205,0.205,0.205,000,0.205
2016-06-10,0.205,0.205,0.205,0.205,800,0.205
2016-06-09,0.215,0.215,0.205,0.21,217000,0.21
2016-06-08,0.215,0.215,0.215,0.215,100,0.215
2016-06-07,0.245,0.245,0.245,0.245,20000,0.245
2016-06-06,0.245,0.25,0.245,0.25,16500,0.25
2016-06-03,0.21,0.25,0.21,0.25,10600,0.25
2016-06-02,0.21,0.21,0.21,0.21,4100,0.21
2016-06-01,0.21,0.21,0.21,0.21,49100,0.21
2016-05-31,0.215,0.215,0.21,0.21,54000,0.21
2016-05-30,0.22,0.22,0.215,0.215,16800,0.215
2016-05-27,0.225,0.23,0.225,0.23,19000,0.23
2016-05-26,0.225,0.23,0.215,0.23,42900,0.23
2016-05-25,0.23,0.23,0.23,0.23,000,0.23
2016-05-24,0.23,0.23,0.23,0.23,30100,0.23
2016-05-23,0.22,0.22,0.22,0.22,800,0.22
2016-05-20,0.22,0.22,0.22,0.22,500,0.22
2016-05-19,0.22,0.22,0.22,0.22,000,0.22
2016-05-18,0.22,0.22,0.22,0.22,3200,0.22
2016-05-17,0.225,0.225,0.22,0.22,8000,0.22
2016-05-16,0.225,0.225,0.225,0.225,10700,0.225
2016-05-13,0.22,0.22,0.22,0.22,000,0.22
2016-05-12,0.22,0.22,0.22,0.22,2500,0.22
2016-05-11,0.22,0.22,0.22,0.22,2100,0.22
2016-05-10,0.22,0.22,0.22,0.22,000,0.22
2016-05-09,0.23,0.23,0.215,0.22,115000,0.22
2016-05-06,0.225,0.225,0.225,0.225,000,0.225
2016-05-05,0.225,0.225,0.225,0.225,13100,0.225
2016-05-04,0.225,0.225,0.225,0.225,000,0.225
2016-05-03,0.25,0.25,0.225,0.225,2800,0.225
2016-05-02,0.225,0.225,0.225,0.225,000,0.225
2016-04-29,0.225,0.225,0.225,0.225,1500,0.225
2016-04-28,0.225,0.225,0.225,0.225,25300,0.225
2016-04-27,0.24,0.24,0.24,0.24,35000,0.24
2016-04-26,0.23,0.235,0.23,0.235,66000,0.235
2016-04-25,0.225,0.225,0.225,0.225,000,0.225
2016-04-22,0.225,0.225,0.225,0.225,2500,0.225
2016-04-21,0.21,0.21,0.21,0.21,000,0.21
2016-04-20,0.21,0.21,0.21,0.21,20000,0.21
2016-04-19,0.225,0.225,0.225,0.225,7000,0.225
2016-04-18,0.225,0.225,0.225,0.225,5000,0.225
2016-04-15,0.21,0.21,0.21,0.21,000,0.21
2016-04-14,0.23,0.23,0.21,0.21,61100,0.21
2016-04-13,0.22,0.22,0.22,0.22,000,0.22
2016-04-12,0.22,0.22,0.22,0.22,2200,0.22
2016-04-11,0.22,0.22,0.22,0.22,1500,0.22
2016-04-08,0.225,0.225,0.22,0.22,2600,0.22
2016-04-07,0.225,0.225,0.225,0.225,12200,0.225
2016-04-06,0.23,0.23,0.22,0.22,3200,0.22
2016-04-05,0.225,0.225,0.225,0.225,2200,0.225
2016-04-04,0.22,0.22,0.22,0.22,000,0.22
2016-04-01,0.22,0.22,0.22,0.22,2600,0.22
2016-03-31,0.215,0.215,0.215,0.215,000,0.215
2016-03-30,0.215,0.215,0.215,0.215,1000,0.215
2016-03-29,0.21,0.21,0.21,0.21,25000,0.21
2016-03-28,0.205,0.205,0.205,0.205,000,0.205
2016-03-25,0.205,0.205,0.205,0.205,000,0.205
2016-03-24,0.215,0.215,0.205,0.205,85300,0.205
2016-03-23,0.215,0.215,0.21,0.21,10000,0.21
2016-03-22,0.21,0.21,0.21,0.21,000,0.21
2016-03-21,0.21,0.21,0.21,0.21,000,0.21
2016-03-18,0.21,0.21,0.21,0.21,000,0.21
2016-03-17,0.21,0.21,0.21,0.21,000,0.21
2016-03-16,0.215,0.215,0.21,0.21,102200,0.21
2016-03-15,0.21,0.21,0.21,0.21,000,0.21
2016-03-14,0.21,0.21,0.21,0.21,000,0.21
2016-03-11,0.22,0.22,0.21,0.21,47400,0.21
2016-03-10,0.23,0.25,0.22,0.22,70000,0.22
2016-03-09,0.215,0.23,0.215,0.23,39900,0.23
2016-03-08,0.21,0.21,0.21,0.21,6000,0.21
2016-03-07,0.23,0.23,0.23,0.23,000,0.23
2016-03-04,0.23,0.23,0.23,0.23,13500,0.23
2016-03-03,0.21,0.21,0.21,0.21,000,0.21
2016-03-02,0.21,0.21,0.21,0.21,5200,0.21
2016-03-01,0.21,0.21,0.21,0.21,000,0.21
2016-02-29,0.21,0.21,0.21,0.21,000,0.21
2016-02-26,0.21,0.21,0.21,0.21,000,0.21
2016-02-25,0.21,0.21,0.21,0.21,1300,0.21
2016-02-24,0.20,0.20,0.20,0.20,000,0.20
2016-02-23,0.20,0.20,0.20,0.20,000,0.20
2016-02-22,0.20,0.20,0.20,0.20,000,0.20
2016-02-19,0.20,0.20,0.20,0.20,000,0.20
2016-02-18,0.20,0.20,0.20,0.20,7100,0.20
2016-02-17,0.20,0.20,0.195,0.195,19000,0.195
2016-02-16,0.20,0.20,0.20,0.20,000,0.20
2016-02-15,0.20,0.20,0.20,0.20,000,0.20
2016-02-12,0.20,0.20,0.20,0.20,1000,0.20
2016-02-11,0.20,0.20,0.20,0.20,3200,0.20
2016-02-10,0.19,0.19,0.19,0.19,000,0.19
2016-02-09,0.19,0.20,0.19,0.19,23800,0.19
2016-02-08,0.21,0.21,0.21,0.21,23000,0.21
2016-02-05,0.19,0.22,0.19,0.22,46400,0.22
2016-02-04,0.19,0.19,0.19,0.19,000,0.19
2016-02-03,0.195,0.195,0.19,0.19,112000,0.19
2016-02-02,0.19,0.19,0.19,0.19,000,0.19
2016-02-01,0.19,0.19,0.19,0.19,000,0.19
2016-01-29,0.20,0.20,0.19,0.19,22100,0.19
2016-01-28,0.205,0.205,0.19,0.19,95700,0.19
2016-01-27,0.20,0.20,0.20,0.20,000,0.20
2016-01-26,0.20,0.20,0.20,0.20,000,0.20
2016-01-25,0.20,0.20,0.20,0.20,000,0.20
2016-01-22,0.195,0.20,0.195,0.20,31200,0.20
2016-01-21,0.195,0.195,0.195,0.195,47900,0.195
2016-01-20,0.24,0.24,0.24,0.24,000,0.24
2016-01-19,0.24,0.24,0.24,0.24,000,0.24
2016-01-18,0.24,0.24,0.24,0.24,000,0.24
2016-01-15,0.24,0.24,0.24,0.24,000,0.24
2016-01-14,0.24,0.24,0.24,0.24,000,0.24
2016-01-13,0.24,0.24,0.24,0.24,000,0.24
2016-01-12,0.225,0.24,0.225,0.24,3200,0.24
2016-01-11,0.225,0.225,0.225,0.225,3000,0.225
2016-01-08,0.225,0.225,0.225,0.225,000,0.225
2016-01-07,0.225,0.225,0.225,0.225,000,0.225
2016-01-06,0.225,0.225,0.225,0.225,1700,0.225
2016-01-05,0.24,0.24,0.24,0.24,000,0.24
2016-01-04,0.24,0.24,0.24,0.24,000,0.24
2016-01-01,0.24,0.24,0.24,0.24,000,0.24
2015-12-31,0.26,0.26,0.24,0.24,2100,0.24
2015-12-30,0.245,0.245,0.24,0.24,65000,0.24
2015-12-29,0.24,0.24,0.24,0.24,40000,0.24
2015-12-28,0.21,0.21,0.21,0.21,000,0.21
2015-12-25,0.21,0.21,0.21,0.21,000,0.21
2015-12-24,0.21,0.21,0.21,0.21,14000,0.21
2015-12-23,0.21,0.21,0.21,0.21,5900,0.21
2015-12-22,0.22,0.22,0.195,0.195,96400,0.195
2015-12-21,0.215,0.24,0.215,0.24,13800,0.24
2015-12-18,0.205,0.21,0.20,0.21,5200,0.21
2015-12-17,0.20,0.20,0.20,0.20,100,0.20
2015-12-16,0.20,0.20,0.20,0.20,000,0.20
2015-12-15,0.20,0.20,0.20,0.20,000,0.20
2015-12-14,0.20,0.20,0.20,0.20,000,0.20
2015-12-11,0.20,0.20,0.20,0.20,000,0.20
