Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.086,0.086,0.086,0.086,13000,0.086
2016-06-30,0.085,0.085,0.082,0.083,763300,0.083
2016-06-29,0.082,0.084,0.082,0.084,368400,0.084
2016-06-28,0.083,0.083,0.083,0.083,28400,0.083
2016-06-27,0.084,0.085,0.083,0.083,184100,0.083
2016-06-24,0.085,0.085,0.085,0.085,633300,0.085
2016-06-23,0.085,0.086,0.085,0.086,38600,0.086
2016-06-22,0.086,0.086,0.086,0.086,48000,0.086
2016-06-21,0.085,0.087,0.085,0.087,43700,0.087
2016-06-20,0.085,0.087,0.085,0.085,333700,0.085
2016-06-17,0.085,0.085,0.084,0.084,79500,0.084
2016-06-16,0.086,0.086,0.086,0.086,86000,0.086
2016-06-15,0.088,0.088,0.086,0.086,58000,0.086
2016-06-14,0.089,0.09,0.088,0.088,32600,0.088
2016-06-13,0.09,0.09,0.09,0.09,000,0.09
2016-06-10,0.088,0.09,0.088,0.09,180000,0.09
2016-06-09,0.089,0.089,0.088,0.088,189100,0.088
2016-06-08,0.089,0.089,0.086,0.088,321800,0.088
2016-06-07,0.092,0.092,0.09,0.09,422800,0.09
2016-06-06,0.082,0.092,0.082,0.092,1543200,0.092
2016-06-03,0.075,0.08,0.075,0.08,510900,0.08
2016-06-02,0.071,0.073,0.071,0.072,400200,0.072
2016-06-01,0.074,0.075,0.074,0.074,1108600,0.074
2016-05-31,0.073,0.075,0.071,0.071,467500,0.071
2016-05-30,0.069,0.073,0.069,0.073,1474200,0.073
2016-05-27,0.068,0.069,0.068,0.0685,61700,0.0685
2016-05-26,0.068,0.07,0.068,0.069,394700,0.069
2016-05-25,0.068,0.07,0.068,0.068,994900,0.068
2016-05-24,0.069,0.069,0.068,0.069,800000,0.069
2016-05-23,0.068,0.069,0.068,0.069,656100,0.069
2016-05-20,0.068,0.069,0.067,0.068,556700,0.068
2016-05-19,0.068,0.068,0.068,0.068,35500,0.068
2016-05-18,0.069,0.069,0.067,0.068,314800,0.068
2016-05-17,0.067,0.069,0.063,0.068,641300,0.068
2016-05-16,0.068,0.068,0.067,0.067,55300,0.067
2016-05-13,0.068,0.068,0.068,0.068,83400,0.068
2016-05-12,0.068,0.068,0.068,0.068,35000,0.068
2016-05-11,0.069,0.071,0.068,0.068,193800,0.068
2016-05-10,0.069,0.069,0.069,0.069,140000,0.069
2016-05-09,0.07,0.07,0.07,0.07,45600,0.07
2016-05-06,0.068,0.072,0.068,0.07,632800,0.07
2016-05-05,0.068,0.068,0.068,0.068,1200,0.068
2016-05-04,0.069,0.069,0.068,0.068,75800,0.068
2016-05-03,0.069,0.069,0.069,0.069,50600,0.069
2016-05-02,0.069,0.072,0.069,0.072,107500,0.072
2016-04-29,0.067,0.069,0.067,0.067,99100,0.067
2016-04-28,0.069,0.069,0.069,0.069,31400,0.069
2016-04-27,0.07,0.07,0.069,0.07,211200,0.07
2016-04-26,0.07,0.07,0.07,0.07,105700,0.07
2016-04-25,0.07,0.07,0.07,0.07,000,0.07
2016-04-22,0.07,0.07,0.069,0.07,614500,0.07
2016-04-21,0.07,0.073,0.07,0.07,139100,0.07
2016-04-20,0.07,0.072,0.066,0.072,81600,0.072
2016-04-19,0.075,0.075,0.075,0.075,5000,0.075
2016-04-18,0.07,0.073,0.07,0.073,14900,0.073
2016-04-15,0.072,0.075,0.07,0.074,266600,0.074
2016-04-14,0.069,0.074,0.069,0.072,1290100,0.072
2016-04-13,0.068,0.068,0.066,0.068,330700,0.068
2016-04-12,0.066,0.067,0.066,0.066,75200,0.066
2016-04-11,0.066,0.066,0.066,0.066,10100,0.066
2016-04-08,0.066,0.066,0.066,0.066,5000,0.066
2016-04-07,0.069,0.07,0.067,0.07,890600,0.07
2016-04-06,0.069,0.075,0.068,0.068,894200,0.068
2016-04-05,0.075,0.075,0.069,0.069,354700,0.069
2016-04-04,0.075,0.077,0.075,0.075,108200,0.075
2016-04-01,0.077,0.077,0.077,0.077,000,0.077
2016-03-31,0.076,0.077,0.075,0.077,576100,0.077
2016-03-30,0.075,0.075,0.075,0.075,000,0.075
2016-03-29,0.076,0.076,0.074,0.075,447500,0.075
2016-03-28,0.068,0.068,0.068,0.068,000,0.068
2016-03-25,0.068,0.068,0.068,0.068,000,0.068
