Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,6.00,6.00,6.00,6.00,000,6.00
2016-06-30,6.00,6.00,6.00,6.00,000,6.00
2016-06-29,6.00,6.00,6.00,6.00,000,6.00
2016-06-28,6.00,6.00,6.00,6.00,000,5.94
2016-06-27,6.00,6.00,6.00,6.00,200,5.94
2016-06-24,6.00,6.00,5.93,5.93,3500,5.87
2016-06-23,6.10,6.10,6.10,6.10,000,6.04
2016-06-22,5.93,6.10,5.93,6.10,500,6.04
2016-06-21,5.92,6.00,5.92,6.00,400,5.94
2016-06-20,5.80,5.86,5.80,5.86,1200,5.80
2016-06-17,5.85,5.85,5.85,5.85,300,5.79
2016-06-16,5.80,5.85,5.80,5.85,600,5.79
2016-06-15,5.80,5.81,5.70,5.80,3900,5.74
2016-06-14,6.00,6.00,5.66,5.80,7700,5.74
2016-06-13,6.00,6.00,6.00,6.00,000,5.94
2016-06-10,6.00,6.00,6.00,6.00,000,5.94
2016-06-09,6.00,6.00,6.00,6.00,000,5.94
2016-06-08,6.00,6.00,6.00,6.00,000,5.94
2016-06-07,6.00,6.00,6.00,6.00,000,5.94
2016-06-06,6.00,6.00,6.00,6.00,000,5.94
2016-06-03,6.10,6.10,6.10,6.10,000,6.04
2016-06-02,6.10,6.10,6.10,6.10,000,6.04
2016-06-01,6.10,6.10,6.10,6.10,100,6.04
2016-05-31,6.10,6.10,6.10,6.10,000,6.04
2016-05-30,6.10,6.10,6.10,6.10,000,6.04
2016-05-27,6.10,6.10,6.10,6.10,21400,6.04
2016-05-26,6.16,6.16,6.16,6.16,500,6.10
2016-05-25,6.16,6.16,6.16,6.16,000,6.10
2016-05-24,6.16,6.16,6.16,6.16,000,6.10
2016-05-23,6.16,6.16,6.16,6.16,100,6.10
2016-05-20,6.16,6.16,6.16,6.16,000,6.10
2016-05-19,6.16,6.16,6.16,6.16,000,6.10
2016-05-18,6.29,6.29,6.29,6.29,000,6.23
2016-05-17,6.29,6.29,6.29,6.29,000,6.23
2016-05-16,6.29,6.29,6.29,6.29,200,6.23
2016-05-13,6.45,6.45,6.45,6.45,000,6.39
2016-05-12,6.45,6.45,6.45,6.45,000,6.39
2016-05-11,6.45,6.45,6.45,6.45,000,6.39
2016-05-10,6.45,6.45,6.45,6.45,000,6.39
2016-05-09,6.45,6.45,6.45,6.45,000,6.39
2016-05-06,6.40,6.40,6.40,6.40,000,6.34
2016-05-05,6.40,6.40,6.40,6.40,000,6.34
2016-05-04,6.25,6.40,6.16,6.40,5200,6.34
2016-05-03,6.25,6.25,6.25,6.25,100,6.19
2016-05-02,6.25,6.25,6.25,6.25,000,6.19
2016-04-29,6.25,6.25,6.25,6.25,200,6.19
2016-04-28,6.25,6.25,6.25,6.25,1600,6.19
2016-04-27,6.18,6.18,6.16,6.16,300,6.10
2016-04-26,6.28,6.28,6.28,6.28,000,6.22
2016-04-25,6.28,6.28,6.28,6.28,000,6.22
2016-04-22,6.70,6.70,6.25,6.28,2600,6.22
2016-04-21,6.17,6.72,6.15,6.72,20400,6.65
2016-04-20,6.16,6.16,6.16,6.16,100,6.10
2016-04-19,5.75,5.75,5.75,5.75,1000,5.69
2016-04-18,5.35,5.50,5.35,5.50,900,5.45
2016-04-15,5.31,5.31,5.31,5.31,000,5.26
2016-04-14,5.31,5.31,5.31,5.31,000,5.26
2016-04-13,5.25,5.25,5.25,5.25,000,5.20
2016-04-12,5.25,5.25,5.25,5.25,000,5.20
2016-04-11,5.25,5.25,5.25,5.25,600,5.20
2016-04-08,5.25,5.25,5.25,5.25,000,5.20
2016-04-07,5.25,5.25,5.25,5.25,000,5.20
2016-04-06,5.25,5.25,5.25,5.25,3500,5.20
2016-04-05,5.20,5.20,5.20,5.20,000,5.15
2016-04-04,5.20,5.20,5.20,5.20,100,5.15
2016-04-01,5.20,5.20,5.20,5.20,000,5.15
2016-03-31,5.20,5.20,5.20,5.20,000,5.15
2016-03-30,5.07,5.07,5.07,5.07,000,5.02
2016-03-29,5.07,5.07,5.07,5.07,000,4.96
2016-03-28,5.07,5.07,5.07,5.07,000,4.96
2016-03-25,5.07,5.07,5.07,5.07,000,4.96
2016-03-24,5.07,5.07,5.07,5.07,000,4.96
2016-03-23,5.10,5.10,5.07,5.07,3500,4.96
2016-03-22,5.10,5.10,5.10,5.10,000,4.99
2016-03-21,5.16,5.16,5.10,5.10,85000,4.99
2016-03-18,5.10,5.10,5.10,5.10,000,4.99
2016-03-17,5.11,5.11,5.10,5.10,15000,4.99
2016-03-16,5.21,5.21,5.05,5.05,92400,4.94
2016-03-15,5.21,5.21,5.21,5.21,000,5.10
2016-03-14,5.21,5.21,5.21,5.21,300,5.10
2016-03-11,5.05,5.05,5.05,5.05,000,4.94
2016-03-10,5.05,5.05,5.05,5.05,000,4.94
2016-03-09,5.05,5.05,5.05,5.05,000,4.94
2016-03-08,5.05,5.05,5.05,5.05,100,4.94
2016-03-07,5.45,5.45,5.45,5.45,000,5.33
2016-03-04,5.45,5.45,5.45,5.45,000,5.33
2016-03-03,5.45,5.45,5.45,5.45,000,5.33
2016-03-02,5.45,5.45,5.45,5.45,000,5.33
2016-03-01,5.45,5.45,5.45,5.45,000,5.33
2016-02-29,5.45,5.45,5.45,5.45,2000,5.33
2016-02-26,5.50,5.50,5.50,5.50,000,5.38
2016-02-25,5.50,5.50,5.50,5.50,000,5.38
2016-02-24,5.35,5.50,5.35,5.50,39000,5.38
2016-02-23,5.40,5.40,5.25,5.25,1300,5.14
2016-02-22,4.90,4.90,4.90,4.90,000,4.79
2016-02-19,4.90,4.90,4.90,4.90,000,4.79
2016-02-18,4.90,4.90,4.90,4.90,000,4.79
2016-02-17,4.90,4.90,4.90,4.90,000,4.79
2016-02-16,4.90,4.90,4.90,4.90,000,4.79
2016-02-15,4.90,4.90,4.90,4.90,000,4.79
2016-02-12,4.90,4.90,4.90,4.90,000,4.79
2016-02-11,4.90,4.90,4.90,4.90,000,4.79
2016-02-10,4.90,4.90,4.90,4.90,000,4.79
2016-02-09,4.90,4.90,4.90,4.90,000,4.79
2016-02-08,4.90,4.90,4.90,4.90,000,4.79
2016-02-05,4.90,4.90,4.90,4.90,000,4.79
2016-02-04,4.90,4.90,4.90,4.90,000,4.79
2016-02-03,5.13,5.13,4.90,4.90,25600,4.79
2016-02-02,5.02,5.02,5.02,5.02,000,4.91
2016-02-01,5.02,5.02,5.02,5.02,000,4.91
2016-01-29,5.02,5.02,5.02,5.02,000,4.91
2016-01-28,5.02,5.02,5.02,5.02,000,4.91
2016-01-27,5.02,5.02,5.02,5.02,000,4.91
2016-01-26,5.02,5.02,5.02,5.02,000,4.91
2016-01-25,5.27,5.27,5.02,5.02,300,4.91
2016-01-22,5.40,5.40,5.40,5.40,000,5.28
2016-01-21,5.41,5.41,5.40,5.40,1800,5.28
2016-01-20,5.45,5.45,5.45,5.45,000,5.33
2016-01-19,5.45,5.45,5.45,5.45,000,5.33
2016-01-18,5.45,5.45,5.45,5.45,000,5.33
2016-01-15,5.45,5.45,5.45,5.45,100,5.33
2016-01-14,5.41,5.41,5.41,5.41,000,5.29
2016-01-13,5.41,5.41,5.41,5.41,000,5.29
