Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.007,0.007,0.007,0.007,000,0.007
2016-06-30,0.008,0.008,0.007,0.007,1110700,0.007
2016-06-29,0.01,0.01,0.007,0.007,3420000,0.007
2016-06-28,0.009,0.01,0.009,0.009,1814900,0.009
2016-06-27,0.01,0.01,0.009,0.009,1105400,0.009
2016-06-24,0.011,0.013,0.01,0.01,6567100,0.01
2016-06-23,0.007,0.013,0.007,0.012,13635600,0.012
2016-06-22,0.006,0.006,0.006,0.006,200000,0.006
2016-06-21,0.006,0.006,0.006,0.006,000,0.006
2016-06-20,0.006,0.006,0.006,0.006,000,0.006
2016-06-17,0.006,0.006,0.006,0.006,000,0.006
2016-06-16,0.006,0.006,0.006,0.006,323300,0.006
2016-06-15,0.006,0.006,0.006,0.006,75000,0.006
2016-06-14,0.006,0.006,0.006,0.006,250000,0.006
2016-06-13,0.006,0.006,0.006,0.006,000,0.006
2016-06-10,0.007,0.008,0.006,0.006,797000,0.006
2016-06-09,0.007,0.007,0.007,0.007,000,0.007
2016-06-08,0.006,0.007,0.006,0.007,520000,0.007
2016-06-07,0.006,0.006,0.005,0.005,337500,0.005
2016-06-06,0.006,0.006,0.006,0.006,000,0.006
2016-06-03,0.006,0.006,0.006,0.006,60300,0.006
2016-06-02,0.007,0.007,0.007,0.007,500000,0.007
2016-06-01,0.006,0.006,0.006,0.006,000,0.006
2016-05-31,0.006,0.006,0.006,0.006,000,0.006
2016-05-30,0.006,0.006,0.006,0.006,3000,0.006
2016-05-27,0.006,0.006,0.006,0.006,000,0.006
2016-05-26,0.006,0.006,0.006,0.006,13500,0.006
2016-05-25,0.007,0.007,0.006,0.006,344600,0.006
2016-05-24,0.007,0.007,0.007,0.007,000,0.007
2016-05-23,0.007,0.007,0.007,0.007,13800,0.007
2016-05-20,0.007,0.007,0.007,0.007,5000,0.007
2016-05-19,0.008,0.008,0.008,0.008,000,0.008
2016-05-18,0.008,0.008,0.008,0.008,000,0.008
2016-05-17,0.008,0.008,0.008,0.008,000,0.008
2016-05-16,0.008,0.008,0.008,0.008,303800,0.008
2016-05-13,0.007,0.007,0.007,0.007,700000,0.007
2016-05-12,0.007,0.007,0.006,0.006,650000,0.006
2016-05-11,0.007,0.007,0.007,0.007,239200,0.007
2016-05-10,0.008,0.008,0.008,0.008,000,0.008
2016-05-09,0.007,0.008,0.007,0.008,470000,0.008
2016-05-06,0.007,0.007,0.007,0.007,64200,0.007
2016-05-05,0.008,0.008,0.008,0.008,725000,0.008
2016-05-04,0.008,0.008,0.007,0.008,1400200,0.008
2016-05-03,0.008,0.008,0.007,0.007,910900,0.007
2016-05-02,0.007,0.008,0.007,0.008,275000,0.008
2016-04-29,0.008,0.008,0.007,0.007,680300,0.007
2016-04-28,0.007,0.007,0.007,0.007,128700,0.007
2016-04-27,0.008,0.008,0.008,0.008,000,0.008
2016-04-26,0.008,0.008,0.008,0.008,000,0.008
2016-04-25,0.008,0.008,0.008,0.008,000,0.008
2016-04-22,0.008,0.008,0.008,0.008,2033900,0.008
2016-04-21,0.009,0.009,0.009,0.009,000,0.009
2016-04-20,0.009,0.009,0.009,0.009,000,0.009
2016-04-19,0.009,0.009,0.009,0.009,000,0.009
2016-04-18,0.009,0.009,0.009,0.009,000,0.009
2016-04-15,0.009,0.009,0.009,0.009,000,0.009
2016-04-14,0.009,0.009,0.009,0.009,210500,0.009
2016-04-13,0.008,0.008,0.008,0.008,000,0.008
2016-04-12,0.008,0.008,0.008,0.008,000,0.008
2016-04-11,0.008,0.008,0.008,0.008,000,0.008
2016-04-08,0.008,0.008,0.008,0.008,4000,0.008
2016-04-07,0.008,0.008,0.008,0.008,000,0.008
2016-04-06,0.008,0.008,0.008,0.008,000,0.008
2016-04-05,0.008,0.008,0.008,0.008,000,0.008
2016-04-04,0.008,0.008,0.008,0.008,000,0.008
2016-04-01,0.008,0.008,0.008,0.008,542300,0.008
2016-03-31,0.008,0.008,0.008,0.008,4200,0.008
2016-03-30,0.009,0.009,0.009,0.009,61000,0.009
2016-03-29,0.01,0.01,0.01,0.01,000,0.01
2016-03-28,0.01,0.01,0.01,0.01,000,0.01
2016-03-25,0.01,0.01,0.01,0.01,000,0.01
2016-03-24,0.01,0.01,0.01,0.01,291000,0.01
2016-03-23,0.009,0.009,0.009,0.009,000,0.009
2016-03-22,0.009,0.009,0.009,0.009,200000,0.009
2016-03-21,0.009,0.01,0.009,0.01,471100,0.01
2016-03-18,0.009,0.009,0.009,0.009,000,0.009
2016-03-17,0.008,0.009,0.008,0.009,500600,0.009
2016-03-16,0.008,0.008,0.008,0.008,000,0.008
2016-03-15,0.008,0.008,0.008,0.008,155500,0.008
2016-03-14,0.007,0.007,0.007,0.007,000,0.007
2016-03-11,0.007,0.007,0.007,0.007,000,0.007
2016-03-10,0.007,0.007,0.007,0.007,000,0.007
2016-03-09,0.007,0.007,0.007,0.007,000,0.007
2016-03-08,0.007,0.007,0.007,0.007,343000,0.007
2016-03-07,0.007,0.007,0.007,0.007,000,0.007
2016-03-04,0.007,0.007,0.007,0.007,000,0.007
2016-03-03,0.007,0.007,0.007,0.007,5000,0.007
2016-03-02,0.008,0.008,0.008,0.008,000,0.008
2016-03-01,0.008,0.008,0.008,0.008,72000,0.008
2016-02-29,0.009,0.009,0.009,0.009,000,0.009
