Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.084,0.089,0.084,0.089,140000,0.089
2016-06-30,0.081,0.081,0.081,0.081,000,0.081
2016-06-29,0.085,0.086,0.081,0.081,180000,0.081
2016-06-28,0.083,0.087,0.081,0.081,279100,0.081
2016-06-27,0.088,0.088,0.082,0.082,257300,0.082
2016-06-24,0.10,0.10,0.08,0.082,691000,0.082
2016-06-23,0.093,0.10,0.09,0.10,621800,0.10
2016-06-22,0.10,0.10,0.091,0.092,838200,0.092
2016-06-21,0.105,0.105,0.094,0.10,1113300,0.10
2016-06-20,0.11,0.11,0.105,0.105,126000,0.105
2016-06-17,0.125,0.13,0.10,0.105,790800,0.105
2016-06-16,0.13,0.13,0.11,0.115,503500,0.115
2016-06-15,0.11,0.12,0.11,0.12,504100,0.12
2016-06-14,0.115,0.12,0.11,0.11,1149400,0.11
2016-06-13,0.11,0.11,0.11,0.11,000,0.11
2016-06-10,0.11,0.11,0.105,0.11,613700,0.11
2016-06-09,0.13,0.13,0.10,0.10,978000,0.10
2016-06-08,0.14,0.14,0.135,0.135,381800,0.135
2016-06-07,0.10,0.13,0.10,0.13,848700,0.13
2016-06-06,0.092,0.099,0.092,0.099,162100,0.099
2016-06-03,0.096,0.096,0.096,0.096,16000,0.096
2016-06-02,0.096,0.096,0.09,0.092,663800,0.092
2016-06-01,0.094,0.094,0.094,0.094,000,0.094
2016-05-31,0.094,0.094,0.094,0.094,000,0.094
2016-05-30,0.095,0.096,0.094,0.094,90000,0.094
2016-05-27,0.085,0.10,0.085,0.09,232600,0.09
2016-05-26,0.085,0.085,0.085,0.085,000,0.085
2016-05-25,0.09,0.09,0.085,0.085,126800,0.085
2016-05-24,0.095,0.095,0.089,0.09,145700,0.09
2016-05-23,0.095,0.096,0.093,0.093,125000,0.093
2016-05-20,0.092,0.095,0.092,0.095,157900,0.095
2016-05-19,0.10,0.10,0.091,0.091,394900,0.091
2016-05-18,0.095,0.10,0.095,0.10,369000,0.10
2016-05-17,0.10,0.105,0.089,0.095,1247800,0.095
2016-05-16,0.097,0.115,0.096,0.097,1783900,0.097
2016-05-13,0.082,0.097,0.08,0.09,1146900,0.09
2016-05-12,0.081,0.085,0.081,0.083,1175800,0.083
2016-05-11,0.075,0.08,0.071,0.08,1183000,0.08
2016-05-10,0.074,0.074,0.071,0.071,200000,0.071
2016-05-09,0.079,0.081,0.072,0.072,306000,0.072
2016-05-06,0.077,0.079,0.072,0.075,154200,0.075
2016-05-05,0.072,0.077,0.07,0.077,148700,0.077
2016-05-04,0.077,0.077,0.07,0.072,404400,0.072
2016-05-03,0.082,0.082,0.075,0.075,366900,0.075
2016-05-02,0.071,0.075,0.071,0.075,140700,0.075
2016-04-29,0.07,0.075,0.07,0.074,178000,0.074
2016-04-28,0.079,0.079,0.07,0.07,487100,0.07
2016-04-27,0.081,0.083,0.079,0.079,563000,0.079
2016-04-26,0.075,0.083,0.075,0.079,1754300,0.079
2016-04-25,0.073,0.073,0.073,0.073,000,0.073
2016-04-22,0.077,0.079,0.069,0.073,1024700,0.073
2016-04-21,0.074,0.09,0.071,0.075,1640100,0.075
2016-04-20,0.066,0.078,0.066,0.077,1855900,0.077
2016-04-19,0.058,0.07,0.056,0.062,2654100,0.062
2016-04-18,0.055,0.064,0.05,0.056,2317500,0.056
2016-04-15,0.051,0.052,0.049,0.049,207200,0.049
2016-04-14,0.054,0.055,0.05,0.051,383900,0.051
2016-04-13,0.055,0.055,0.05,0.055,100000,0.055
2016-04-12,0.054,0.055,0.054,0.055,479100,0.055
2016-04-11,0.048,0.058,0.048,0.054,1973600,0.054
2016-04-08,0.044,0.045,0.038,0.045,658900,0.045
2016-04-07,0.05,0.059,0.044,0.044,2073200,0.044
2016-04-06,0.04,0.046,0.036,0.046,4585200,0.046
2016-04-05,0.032,0.04,0.032,0.04,3085200,0.04
2016-04-04,0.025,0.028,0.025,0.027,3452400,0.027
2016-04-01,0.025,0.025,0.025,0.025,605000,0.025
2016-03-31,0.024,0.025,0.024,0.025,100000,0.025
2016-03-30,0.025,0.025,0.025,0.025,30000,0.025
2016-03-29,0.025,0.025,0.025,0.025,212000,0.025
2016-03-28,0.025,0.025,0.025,0.025,000,0.025
2016-03-25,0.025,0.025,0.025,0.025,000,0.025
2016-03-24,0.025,0.025,0.025,0.025,000,0.025
2016-03-23,0.025,0.025,0.025,0.025,000,0.025
2016-03-22,0.025,0.025,0.025,0.025,000,0.025
2016-03-21,0.025,0.025,0.025,0.025,702000,0.025
2016-03-18,0.026,0.026,0.025,0.025,800000,0.025
2016-03-17,0.025,0.026,0.025,0.026,1020000,0.026
2016-03-16,0.026,0.026,0.025,0.025,323000,0.025
2016-03-15,0.027,0.027,0.026,0.026,269700,0.026
2016-03-14,0.025,0.03,0.025,0.027,988500,0.027
2016-03-11,0.025,0.025,0.025,0.025,000,0.025
2016-03-10,0.025,0.025,0.025,0.025,000,0.025
2016-03-09,0.025,0.025,0.025,0.025,000,0.025
2016-03-08,0.025,0.025,0.025,0.025,000,0.025
2016-03-07,0.025,0.025,0.025,0.025,000,0.025
2016-03-04,0.025,0.025,0.025,0.025,000,0.025
2016-03-03,0.025,0.025,0.025,0.025,000,0.025
2016-03-02,0.025,0.025,0.025,0.025,000,0.025
2016-03-01,0.025,0.025,0.025,0.025,000,0.025
2016-02-29,0.025,0.025,0.025,0.025,000,0.025
2016-02-26,0.025,0.025,0.025,0.025,000,0.025
2016-02-25,0.025,0.025,0.025,0.025,000,0.025
2016-02-24,0.025,0.025,0.025,0.025,000,0.025
2016-02-23,0.025,0.025,0.025,0.025,488200,0.025
2016-02-22,0.027,0.027,0.027,0.027,55000,0.027
2016-02-19,0.025,0.03,0.025,0.026,300000,0.026
2016-02-18,0.025,0.025,0.025,0.025,000,0.025
2016-02-17,0.025,0.025,0.025,0.025,000,0.025
2016-02-16,0.025,0.025,0.025,0.025,30000,0.025
2016-02-15,0.029,0.029,0.029,0.029,000,0.029
2016-02-12,0.029,0.029,0.029,0.029,000,0.029
2016-02-11,0.031,0.031,0.029,0.029,40000,0.029
2016-02-10,0.031,0.031,0.031,0.031,000,0.031
2016-02-09,0.031,0.031,0.031,0.031,000,0.031
2016-02-08,0.031,0.031,0.031,0.031,000,0.031
