Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.98,0.98,0.935,0.935,27500,0.935
2016-06-30,0.99,0.99,0.975,0.99,15300,0.99
2016-06-29,0.985,0.99,0.96,0.99,19700,0.99
2016-06-28,0.985,0.987,0.91,0.91,43200,0.91
2016-06-27,0.97,1.00,0.97,0.985,23100,0.985
2016-06-24,0.98,0.98,0.97,0.97,12400,0.97
2016-06-23,0.98,0.98,0.98,0.98,000,0.98
2016-06-22,0.99,1.01,0.98,0.98,53100,0.98
2016-06-21,0.99,0.99,0.99,0.99,000,0.99
2016-06-20,0.99,0.99,0.99,0.99,1900,0.99
2016-06-17,1.005,1.01,0.99,1.01,27300,1.01
2016-06-16,1.00,1.01,1.00,1.01,23600,1.01
2016-06-15,1.005,1.01,1.005,1.01,37100,1.01
2016-06-14,1.07,1.07,1.01,1.01,54200,1.01
2016-06-13,1.07,1.07,1.07,1.07,000,1.07
2016-06-10,1.01,1.07,1.01,1.07,106700,1.07
2016-06-09,1.01,1.01,1.01,1.01,178300,1.01
2016-06-08,1.00,1.02,0.95,0.95,35000,0.95
2016-06-07,1.035,1.04,1.00,1.01,78100,1.01
2016-06-06,1.00,1.04,1.00,1.035,177500,1.035
2016-06-03,1.01,1.01,0.995,1.00,55400,1.00
2016-06-02,1.00,1.00,1.00,1.00,85100,1.00
2016-06-01,1.00,1.01,0.995,1.00,92000,1.00
2016-05-31,0.995,1.00,0.995,0.995,34900,0.995
2016-05-30,1.00,1.03,0.995,1.02,130800,1.02
2016-05-27,1.02,1.03,0.995,1.00,106200,1.00
2016-05-26,1.00,1.02,1.00,1.02,83700,1.02
2016-05-25,0.975,1.03,0.97,0.98,207000,0.98
2016-05-24,0.875,0.94,0.875,0.94,72100,0.94
2016-05-23,0.89,0.895,0.86,0.895,66800,0.895
2016-05-20,0.80,0.885,0.80,0.88,169800,0.88
2016-05-19,0.80,0.80,0.775,0.775,43200,0.775
2016-05-18,0.79,0.825,0.79,0.82,49000,0.82
2016-05-17,0.82,0.82,0.82,0.82,2500,0.82
2016-05-16,0.82,0.82,0.82,0.82,36900,0.82
2016-05-13,0.85,0.88,0.84,0.84,77700,0.84
2016-05-12,0.845,0.845,0.845,0.845,5200,0.845
2016-05-11,0.80,0.845,0.79,0.845,35400,0.845
2016-05-10,0.825,0.825,0.80,0.80,271500,0.80
2016-05-09,0.81,0.825,0.81,0.825,33900,0.825
2016-05-06,0.825,0.825,0.825,0.825,3000,0.825
2016-05-05,0.815,0.825,0.81,0.825,119000,0.825
2016-05-04,0.84,0.85,0.84,0.84,48600,0.84
2016-05-03,0.85,0.85,0.84,0.84,54100,0.84
2016-05-02,0.83,0.85,0.83,0.85,38100,0.85
2016-04-29,0.85,0.88,0.81,0.85,383900,0.85
2016-04-28,0.84,0.86,0.805,0.86,216000,0.86
2016-04-27,0.85,0.85,0.84,0.84,25000,0.84
2016-04-26,0.86,0.87,0.84,0.84,2928500,0.84
2016-04-25,0.85,0.85,0.85,0.85,000,0.85
2016-04-22,0.85,0.90,0.85,0.85,66200,0.85
2016-04-21,0.83,0.85,0.83,0.85,14400,0.85
2016-04-20,0.81,0.81,0.81,0.81,000,0.81
2016-04-19,0.81,0.81,0.81,0.81,12500,0.81
2016-04-18,0.825,0.825,0.80,0.80,92400,0.80
2016-04-15,0.825,0.825,0.825,0.825,2400,0.825
