Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.595,0.60,0.585,0.59,8264200,0.59
2016-06-30,0.60,0.61,0.59,0.61,10149400,0.61
2016-06-29,0.595,0.60,0.575,0.58,10527600,0.58
2016-06-28,0.58,0.58,0.55,0.57,14030900,0.57
2016-06-27,0.59,0.615,0.585,0.59,21744000,0.59
2016-06-24,0.67,0.67,0.60,0.60,12894200,0.60
2016-06-23,0.635,0.66,0.63,0.66,3458200,0.66
2016-06-22,0.65,0.662,0.635,0.64,12505000,0.64
2016-06-21,0.67,0.685,0.645,0.655,16673200,0.655
2016-06-20,0.63,0.67,0.61,0.66,19640300,0.66
2016-06-17,0.635,0.6425,0.605,0.605,24075800,0.605
2016-06-16,0.66,0.665,0.635,0.635,7877300,0.635
2016-06-15,0.655,0.6725,0.65,0.66,6871200,0.66
2016-06-14,0.68,0.69,0.66,0.66,11397700,0.66
2016-06-13,0.715,0.715,0.715,0.715,000,0.715
2016-06-10,0.71,0.72,0.70,0.715,4419100,0.715
2016-06-09,0.70,0.735,0.697,0.73,14497600,0.73
2016-06-08,0.685,0.70,0.677,0.69,11972600,0.69
2016-06-07,0.68,0.68,0.67,0.67,4285000,0.67
2016-06-06,0.67,0.675,0.655,0.675,5792900,0.675
2016-06-03,0.67,0.67,0.662,0.67,2793000,0.67
2016-06-02,0.655,0.667,0.65,0.66,4611900,0.66
2016-06-01,0.675,0.685,0.65,0.655,13381800,0.655
2016-05-31,0.68,0.6875,0.675,0.68,7724000,0.68
2016-05-30,0.68,0.692,0.67,0.68,10652900,0.68
2016-05-27,0.68,0.69,0.667,0.68,5635300,0.68
2016-05-26,0.685,0.695,0.667,0.675,12641700,0.675
2016-05-25,0.695,0.71,0.675,0.675,10273800,0.675
2016-05-24,0.67,0.6925,0.665,0.685,4468800,0.685
2016-05-23,0.705,0.71,0.677,0.695,4898300,0.695
2016-05-20,0.665,0.705,0.662,0.705,8853000,0.705
2016-05-19,0.66,0.67,0.647,0.665,16770800,0.665
2016-05-18,0.665,0.685,0.66,0.665,22313400,0.665
2016-05-17,0.66,0.67,0.645,0.655,11932300,0.655
2016-05-16,0.65,0.655,0.63,0.64,6177700,0.64
2016-05-13,0.675,0.675,0.645,0.65,3448600,0.65
2016-05-12,0.66,0.675,0.65,0.67,4121900,0.67
2016-05-11,0.655,0.672,0.645,0.65,4748400,0.65
2016-05-10,0.645,0.645,0.625,0.64,6115500,0.64
2016-05-09,0.67,0.67,0.65,0.655,5995500,0.655
2016-05-06,0.68,0.685,0.65,0.655,6177600,0.655
2016-05-05,0.68,0.685,0.655,0.675,7906400,0.675
2016-05-04,0.695,0.71,0.67,0.675,11182200,0.675
2016-05-03,0.76,0.765,0.715,0.715,12895100,0.715
2016-05-02,0.74,0.775,0.73,0.775,14364400,0.775
2016-04-29,0.695,0.75,0.69,0.74,15226000,0.74
2016-04-28,0.695,0.705,0.675,0.685,7445400,0.685
2016-04-27,0.71,0.715,0.67,0.685,13799200,0.685
2016-04-26,0.675,0.69,0.67,0.685,5625500,0.685
2016-04-25,0.69,0.69,0.69,0.69,000,0.69
