Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.135,0.135,0.135,0.135,000,0.135
2016-06-30,0.135,0.135,0.135,0.135,000,0.135
2016-06-29,0.135,0.135,0.135,0.135,000,0.135
2016-06-28,0.135,0.135,0.135,0.135,000,0.135
2016-06-27,0.135,0.135,0.135,0.135,000,0.135
2016-06-24,0.13,0.135,0.125,0.135,53000,0.135
2016-06-23,0.125,0.125,0.125,0.125,31000,0.125
2016-06-22,0.125,0.125,0.125,0.125,32500,0.125
2016-06-21,0.11,0.11,0.11,0.11,20800,0.11
2016-06-20,0.10,0.125,0.10,0.125,128000,0.125
2016-06-17,0.105,0.13,0.105,0.12,24400,0.12
2016-06-16,0.155,0.155,0.155,0.155,000,0.155
2016-06-15,0.155,0.155,0.155,0.155,000,0.155
2016-06-14,0.12,0.155,0.12,0.155,3500,0.155
2016-06-13,0.16,0.16,0.16,0.16,000,0.16
2016-06-10,0.16,0.16,0.16,0.16,000,0.16
2016-06-09,0.16,0.16,0.16,0.16,000,0.16
2016-06-08,0.16,0.16,0.16,0.16,000,0.16
2016-06-07,0.16,0.16,0.16,0.16,000,0.16
2016-06-06,0.16,0.16,0.16,0.16,000,0.16
2016-06-03,0.16,0.16,0.16,0.16,000,0.16
2016-06-02,0.16,0.16,0.16,0.16,000,0.16
2016-06-01,0.14,0.16,0.14,0.16,10000,0.16
2016-05-31,0.15,0.15,0.15,0.15,000,0.15
2016-05-30,0.16,0.16,0.15,0.15,15600,0.15
2016-05-27,0.16,0.16,0.16,0.16,000,0.16
2016-05-26,0.16,0.16,0.16,0.16,000,0.16
2016-05-25,0.16,0.16,0.16,0.16,000,0.16
2016-05-24,0.16,0.16,0.16,0.16,000,0.16
2016-05-23,0.16,0.16,0.16,0.16,000,0.16
2016-05-20,0.16,0.16,0.16,0.16,000,0.16
2016-05-19,0.16,0.16,0.16,0.16,7000,0.16
2016-05-18,0.135,0.17,0.135,0.165,206000,0.165
2016-05-17,0.135,0.135,0.135,0.135,37000,0.135
2016-05-16,0.135,0.135,0.135,0.135,1500,0.135
2016-05-13,0.135,0.135,0.135,0.135,000,0.135
2016-05-12,0.135,0.135,0.135,0.135,000,0.135
2016-05-11,0.135,0.135,0.135,0.135,000,0.135
2016-05-10,0.135,0.135,0.135,0.135,000,0.135
2016-05-09,0.135,0.135,0.135,0.135,000,0.135
2016-05-06,0.135,0.135,0.135,0.135,20000,0.135
2016-05-05,0.155,0.155,0.155,0.155,4000,0.155
2016-05-04,0.135,0.135,0.135,0.135,2400,0.135
2016-05-03,0.145,0.145,0.145,0.145,000,0.145
2016-05-02,0.145,0.145,0.145,0.145,000,0.145
2016-04-29,0.145,0.145,0.145,0.145,000,0.145
2016-04-28,0.145,0.145,0.145,0.145,000,0.145
2016-04-27,0.145,0.145,0.145,0.145,000,0.145
2016-04-26,0.145,0.145,0.145,0.145,000,0.145
2016-04-25,0.145,0.145,0.145,0.145,000,0.145
2016-04-22,0.145,0.145,0.145,0.145,000,0.145
2016-04-21,0.145,0.145,0.145,0.145,50000,0.145
2016-04-20,0.145,0.145,0.145,0.145,000,0.145
2016-04-19,0.145,0.145,0.145,0.145,000,0.145
2016-04-18,0.145,0.145,0.145,0.145,000,0.145
2016-04-15,0.135,0.145,0.135,0.145,23400,0.145
2016-04-14,0.145,0.145,0.135,0.145,26600,0.145
2016-04-13,0.14,0.14,0.14,0.14,6300,0.14
2016-04-12,0.145,0.145,0.14,0.14,6800,0.14
2016-04-11,0.14,0.14,0.135,0.14,21300,0.14
2016-04-08,0.14,0.14,0.14,0.14,19000,0.14
2016-04-07,0.15,0.15,0.15,0.15,000,0.15
2016-04-06,0.15,0.15,0.15,0.15,000,0.15
2016-04-05,0.15,0.15,0.15,0.15,000,0.15
2016-04-04,0.16,0.16,0.15,0.15,37200,0.15
2016-04-01,0.14,0.14,0.14,0.14,000,0.14
2016-03-31,0.14,0.14,0.14,0.14,000,0.14
2016-03-30,0.14,0.14,0.14,0.14,000,0.14
2016-03-29,0.14,0.14,0.14,0.14,20000,0.14
2016-03-28,0.15,0.15,0.15,0.15,000,0.15
2016-03-25,0.15,0.15,0.15,0.15,000,0.15
2016-03-24,0.15,0.15,0.15,0.15,000,0.15
2016-03-23,0.15,0.15,0.15,0.15,15000,0.15
2016-03-22,0.15,0.15,0.15,0.15,000,0.15
2016-03-21,0.15,0.15,0.15,0.15,000,0.15
2016-03-18,0.15,0.15,0.15,0.15,100000,0.15
2016-03-17,0.15,0.15,0.15,0.15,000,0.15
2016-03-16,0.15,0.15,0.15,0.15,000,0.15
2016-03-15,0.16,0.16,0.15,0.15,10000,0.15
2016-03-14,0.155,0.155,0.155,0.155,000,0.155
2016-03-11,0.155,0.155,0.155,0.155,4000,0.155
2016-03-10,0.14,0.14,0.14,0.14,000,0.14
2016-03-09,0.14,0.14,0.14,0.14,000,0.14
2016-03-08,0.16,0.16,0.14,0.14,190000,0.14
2016-03-07,0.15,0.15,0.15,0.15,000,0.15
2016-03-04,0.15,0.15,0.15,0.15,10000,0.15
2016-03-03,0.16,0.16,0.16,0.16,000,0.16
2016-03-02,0.15,0.16,0.15,0.16,10000,0.16
2016-03-01,0.15,0.15,0.15,0.15,000,0.15
2016-02-29,0.15,0.15,0.15,0.15,000,0.15
2016-02-26,0.15,0.15,0.15,0.15,000,0.15
2016-02-25,0.15,0.15,0.15,0.15,000,0.15
2016-02-24,0.17,0.17,0.15,0.15,19000,0.15
2016-02-23,0.16,0.16,0.16,0.16,000,0.16
2016-02-22,0.15,0.16,0.15,0.16,65000,0.16
2016-02-19,0.16,0.17,0.16,0.17,16000,0.17
2016-02-18,0.17,0.17,0.17,0.17,000,0.17
2016-02-17,0.16,0.17,0.15,0.17,47500,0.17
2016-02-16,0.16,0.16,0.16,0.16,000,0.16
2016-02-15,0.16,0.16,0.16,0.16,5000,0.16
2016-02-12,0.16,0.16,0.16,0.16,4000,0.16
2016-02-11,0.17,0.17,0.16,0.16,15400,0.16
2016-02-10,0.17,0.17,0.17,0.17,000,0.17
2016-02-09,0.17,0.17,0.17,0.17,000,0.17
2016-02-08,0.17,0.17,0.17,0.17,000,0.17
2016-02-05,0.17,0.17,0.17,0.17,000,0.17
2016-02-04,0.17,0.17,0.17,0.17,000,0.17
2016-02-03,0.17,0.17,0.17,0.17,000,0.17
2016-02-02,0.17,0.17,0.17,0.17,000,0.17
2016-02-01,0.17,0.17,0.17,0.17,000,0.17
2016-01-29,0.19,0.19,0.17,0.17,6700,0.17
2016-01-28,0.175,0.175,0.175,0.175,4900,0.175
2016-01-27,0.20,0.20,0.20,0.20,000,0.20
2016-01-26,0.20,0.20,0.20,0.20,000,0.20
2016-01-25,0.20,0.20,0.20,0.20,000,0.20
2016-01-22,0.20,0.20,0.20,0.20,000,0.20
2016-01-21,0.20,0.20,0.20,0.20,000,0.20
2016-01-20,0.20,0.20,0.20,0.20,000,0.20
2016-01-19,0.20,0.20,0.20,0.20,000,0.20
2016-01-18,0.20,0.20,0.20,0.20,100000,0.20
2016-01-15,0.20,0.20,0.20,0.20,000,0.20
2016-01-14,0.20,0.20,0.20,0.20,3000,0.20
2016-01-13,0.175,0.175,0.175,0.175,2200,0.175
2016-01-12,0.18,0.18,0.18,0.18,10000,0.18
2016-01-11,0.19,0.19,0.19,0.19,000,0.19
2016-01-08,0.19,0.19,0.19,0.19,000,0.19
2016-01-07,0.19,0.19,0.19,0.19,000,0.19
2016-01-06,0.19,0.19,0.19,0.19,000,0.19
2016-01-05,0.19,0.19,0.19,0.19,000,0.19
2016-01-04,0.19,0.19,0.19,0.19,3000,0.19
2016-01-01,0.20,0.20,0.20,0.20,000,0.20
2015-12-31,0.20,0.20,0.20,0.20,000,0.20
2015-12-30,0.20,0.20,0.20,0.20,000,0.20
2015-12-29,0.20,0.20,0.20,0.20,000,0.20
2015-12-28,0.20,0.20,0.20,0.20,000,0.20
2015-12-25,0.20,0.20,0.20,0.20,000,0.20
2015-12-24,0.20,0.20,0.20,0.20,000,0.20
2015-12-23,0.20,0.20,0.20,0.20,000,0.20
2015-12-22,0.20,0.20,0.20,0.20,000,0.20
2015-12-21,0.20,0.20,0.20,0.20,000,0.20
2015-12-18,0.20,0.20,0.20,0.20,000,0.20
2015-12-17,0.20,0.20,0.20,0.20,000,0.20
2015-12-16,0.20,0.20,0.20,0.20,000,0.20
2015-12-15,0.19,0.20,0.19,0.20,2500,0.20
2015-12-14,0.18,0.18,0.18,0.18,000,0.18
2015-12-11,0.18,0.18,0.18,0.18,000,0.18
2015-12-10,0.18,0.18,0.18,0.18,000,0.18
2015-12-09,0.18,0.18,0.18,0.18,325000,0.18
2015-12-08,0.18,0.18,0.18,0.18,000,0.18
2015-12-07,0.18,0.18,0.18,0.18,100000,0.18
2015-12-04,0.18,0.18,0.18,0.18,110800,0.18
2015-12-03,0.185,0.19,0.185,0.19,64000,0.19
2015-12-02,0.19,0.19,0.185,0.185,68100,0.185
2015-12-01,0.20,0.20,0.20,0.20,000,0.20
2015-11-30,0.20,0.20,0.20,0.20,10000,0.20
2015-11-27,0.17,0.17,0.17,0.17,000,0.17
2015-11-26,0.21,0.21,0.17,0.17,150200,0.17
2015-11-25,0.22,0.22,0.22,0.22,000,0.22
2015-11-24,0.22,0.22,0.22,0.22,2800,0.22
2015-11-23,0.20,0.20,0.20,0.20,000,0.20
2015-11-20,0.22,0.22,0.20,0.20,125500,0.20
2015-11-19,0.22,0.22,0.22,0.22,000,0.22
2015-11-18,0.22,0.22,0.22,0.22,000,0.22
2015-11-17,0.22,0.22,0.22,0.22,000,0.22
