Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,7.48,7.58,7.37,7.38,80300,7.38
2016-06-30,7.16,7.57,7.16,7.49,148900,7.49
2016-06-29,7.32,7.41,7.22,7.32,120600,7.32
2016-06-28,7.40,7.45,7.115,7.22,190000,7.22
2016-06-27,7.44,7.51,7.41,7.43,135900,7.43
2016-06-24,7.65,7.69,7.33,7.49,177000,7.49
2016-06-23,7.67,7.68,7.50,7.60,116900,7.60
2016-06-22,7.51,7.70,7.43,7.61,111700,7.61
2016-06-21,7.32,7.56,7.32,7.51,125500,7.51
2016-06-20,7.33,7.43,7.32,7.41,98800,7.41
2016-06-17,7.50,7.53,7.23,7.29,461000,7.29
2016-06-16,7.50,7.62,7.39,7.47,250500,7.47
2016-06-15,7.27,7.37,7.24,7.35,189600,7.35
2016-06-14,7.36,7.50,7.25,7.27,167800,7.27
2016-06-13,7.60,7.60,7.60,7.60,000,7.60
2016-06-10,7.58,7.63,7.37,7.60,153300,7.60
2016-06-09,7.52,7.65,7.52,7.61,123100,7.61
2016-06-08,7.55,7.66,7.53,7.60,85300,7.60
2016-06-07,7.57,7.66,7.48,7.56,92300,7.56
2016-06-06,7.62,7.645,7.34,7.54,157300,7.54
2016-06-03,7.63,7.75,7.58,7.67,115000,7.67
2016-06-02,7.70,7.75,7.50,7.52,174900,7.52
2016-06-01,7.65,7.82,7.58,7.71,186700,7.71
2016-05-31,7.89,7.90,7.765,7.85,148700,7.85
2016-05-30,7.84,7.91,7.75,7.88,321200,7.88
2016-05-27,7.81,7.88,7.78,7.82,123300,7.82
2016-05-26,7.73,7.84,7.67,7.74,149700,7.74
2016-05-25,7.81,7.96,7.81,7.87,126400,7.87
2016-05-24,7.84,7.88,7.71,7.73,102800,7.73
2016-05-23,7.76,7.93,7.76,7.80,128800,7.80
2016-05-20,7.73,7.80,7.68,7.71,279900,7.71
2016-05-19,7.87,7.90,7.72,7.74,139400,7.74
2016-05-18,7.97,8.01,7.85,7.86,110700,7.86
2016-05-17,8.10,8.19,7.93,7.97,218300,7.97
2016-05-16,8.07,8.145,8.03,8.05,119600,8.05
2016-05-13,8.34,8.34,8.06,8.07,124000,8.07
2016-05-12,8.31,8.33,8.05,8.20,113400,8.20
2016-05-11,8.30,8.48,8.27,8.30,181400,8.30
2016-05-10,8.33,8.34,8.22,8.24,65500,8.24
2016-05-09,8.32,8.32,8.17,8.32,82800,8.32
2016-05-06,8.23,8.39,8.18,8.32,162300,8.32
2016-05-05,8.32,8.37,8.23,8.36,86100,8.36
2016-05-04,8.60,8.60,8.19,8.31,149100,8.31
2016-05-03,8.49,8.62,8.36,8.60,227400,8.60
2016-05-02,8.24,8.35,8.17,8.32,373100,8.32
2016-04-29,8.38,8.38,8.14,8.23,236600,8.23
2016-04-28,8.05,8.46,8.02,8.43,327000,8.43
