Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.009,0.009,0.009,0.009,242800,0.009
2016-06-30,0.008,0.009,0.008,0.009,1182900,0.009
2016-06-29,0.009,0.009,0.009,0.009,754200,0.009
2016-06-28,0.009,0.009,0.009,0.009,245700,0.009
2016-06-27,0.009,0.009,0.008,0.008,232200,0.008
2016-06-24,0.009,0.009,0.009,0.009,8327600,0.009
2016-06-23,0.008,0.008,0.008,0.008,000,0.008
2016-06-22,0.008,0.008,0.008,0.008,328300,0.008
2016-06-21,0.008,0.008,0.008,0.008,000,0.008
2016-06-20,0.008,0.008,0.008,0.008,1100,0.008
2016-06-17,0.008,0.008,0.008,0.008,000,0.008
2016-06-16,0.008,0.008,0.008,0.008,9000,0.008
2016-06-15,0.008,0.008,0.008,0.008,000,0.008
2016-06-14,0.008,0.008,0.008,0.008,2742300,0.008
2016-06-13,0.008,0.008,0.008,0.008,000,0.008
2016-06-10,0.008,0.008,0.008,0.008,176800,0.008
2016-06-09,0.008,0.008,0.008,0.008,10108300,0.008
2016-06-08,0.009,0.009,0.009,0.009,000,0.009
2016-06-07,0.009,0.009,0.009,0.009,1000000,0.009
2016-06-06,0.01,0.01,0.01,0.01,60000,0.01
2016-06-03,0.009,0.01,0.009,0.01,402600,0.01
2016-06-02,0.009,0.009,0.009,0.009,000,0.009
2016-06-01,0.009,0.009,0.009,0.009,350600,0.009
2016-05-31,0.008,0.008,0.008,0.008,000,0.008
2016-05-30,0.008,0.008,0.008,0.008,3349700,0.008
2016-05-27,0.008,0.008,0.007,0.008,937500,0.008
2016-05-26,0.007,0.007,0.007,0.007,000,0.007
2016-05-25,0.008,0.008,0.007,0.007,8221700,0.007
2016-05-24,0.008,0.008,0.008,0.008,12800,0.008
2016-05-23,0.008,0.008,0.008,0.008,100000,0.008
2016-05-20,0.008,0.008,0.008,0.008,3247200,0.008
2016-05-19,0.008,0.008,0.008,0.008,32500,0.008
2016-05-18,0.008,0.008,0.008,0.008,50000,0.008
2016-05-17,0.008,0.008,0.008,0.008,1900000,0.008
2016-05-16,0.009,0.009,0.009,0.009,000,0.009
2016-05-13,0.009,0.009,0.009,0.009,330000,0.009
2016-05-12,0.009,0.009,0.009,0.009,337700,0.009
