Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.013,0.013,0.012,0.012,1200000,0.012
2016-06-30,0.013,0.013,0.012,0.012,364600,0.012
2016-06-29,0.013,0.013,0.013,0.013,459300,0.013
2016-06-28,0.013,0.013,0.013,0.013,373500,0.013
2016-06-27,0.013,0.013,0.013,0.013,217400,0.013
2016-06-24,0.013,0.013,0.013,0.013,474100,0.013
2016-06-23,0.013,0.013,0.013,0.013,56000,0.013
2016-06-22,0.013,0.013,0.013,0.013,848200,0.013
2016-06-21,0.013,0.013,0.013,0.013,758100,0.013
2016-06-20,0.012,0.012,0.012,0.012,218000,0.012
2016-06-17,0.012,0.012,0.012,0.012,69100,0.012
2016-06-16,0.012,0.012,0.012,0.012,000,0.012
2016-06-15,0.013,0.013,0.012,0.012,76000,0.012
2016-06-14,0.012,0.013,0.012,0.012,418200,0.012
2016-06-13,0.013,0.013,0.013,0.013,000,0.013
2016-06-10,0.013,0.014,0.013,0.013,402600,0.013
2016-06-09,0.012,0.013,0.012,0.013,70600,0.013
2016-06-08,0.013,0.013,0.013,0.013,1471800,0.013
2016-06-07,0.013,0.014,0.013,0.014,488800,0.014
2016-06-06,0.013,0.013,0.013,0.013,2015100,0.013
2016-06-03,0.013,0.014,0.013,0.013,143800,0.013
2016-06-02,0.013,0.014,0.013,0.014,751000,0.014
2016-06-01,0.013,0.014,0.013,0.013,630100,0.013
2016-05-31,0.013,0.013,0.013,0.013,158700,0.013
2016-05-30,0.013,0.013,0.013,0.013,630000,0.013
2016-05-27,0.013,0.015,0.013,0.013,919800,0.013
2016-05-26,0.014,0.014,0.012,0.013,1919200,0.013
2016-05-25,0.014,0.014,0.014,0.014,35000,0.014
2016-05-24,0.013,0.015,0.013,0.014,1687400,0.014
2016-05-23,0.013,0.013,0.013,0.013,71500,0.013
2016-05-20,0.014,0.014,0.013,0.013,1258000,0.013
2016-05-19,0.014,0.014,0.014,0.014,56000,0.014
2016-05-18,0.013,0.014,0.013,0.014,33598100,0.014
2016-05-17,0.015,0.015,0.014,0.014,390000,0.014
2016-05-16,0.014,0.014,0.014,0.014,15600,0.014
2016-05-13,0.014,0.014,0.014,0.014,7300,0.014
2016-05-12,0.014,0.014,0.014,0.014,000,0.014
2016-05-11,0.014,0.014,0.014,0.014,315400,0.014
2016-05-10,0.015,0.015,0.014,0.015,1450000,0.015
2016-05-09,0.015,0.015,0.015,0.015,10000,0.015
2016-05-06,0.015,0.015,0.015,0.015,28700,0.015
2016-05-05,0.015,0.015,0.015,0.015,323600,0.015
2016-05-04,0.015,0.015,0.015,0.015,000,0.015
2016-05-03,0.015,0.015,0.015,0.015,96800,0.015
2016-05-02,0.015,0.015,0.014,0.014,39500,0.014
2016-04-29,0.015,0.015,0.015,0.015,510000,0.015
2016-04-28,0.016,0.016,0.015,0.015,93000,0.015
2016-04-27,0.016,0.016,0.015,0.016,684300,0.016
2016-04-26,0.017,0.017,0.016,0.016,639000,0.016
2016-04-25,0.017,0.017,0.017,0.017,000,0.017
2016-04-22,0.015,0.017,0.014,0.017,1820200,0.017
2016-04-21,0.015,0.015,0.015,0.015,50000,0.015
2016-04-20,0.016,0.017,0.016,0.016,6380000,0.016
2016-04-19,0.013,0.015,0.013,0.015,858100,0.015
2016-04-18,0.013,0.013,0.013,0.013,98100,0.013
2016-04-15,0.013,0.014,0.013,0.014,438900,0.014
2016-04-14,0.012,0.012,0.012,0.012,1064700,0.012
2016-04-13,0.012,0.013,0.012,0.013,185000,0.013
2016-04-12,0.013,0.013,0.012,0.012,1703700,0.012
2016-04-11,0.014,0.014,0.014,0.014,315900,0.014
2016-04-08,0.014,0.015,0.014,0.014,136600,0.014
2016-04-07,0.014,0.014,0.014,0.014,100,0.014
2016-04-06,0.014,0.014,0.014,0.014,251600,0.014
2016-04-05,0.014,0.014,0.014,0.014,000,0.014
2016-04-04,0.014,0.014,0.014,0.014,55800,0.014
2016-04-01,0.014,0.014,0.014,0.014,22500,0.014
2016-03-31,0.013,0.013,0.013,0.013,000,0.013
2016-03-30,0.014,0.014,0.013,0.013,190000,0.013
2016-03-29,0.015,0.015,0.015,0.015,000,0.015
2016-03-28,0.015,0.015,0.015,0.015,000,0.015
2016-03-25,0.015,0.015,0.015,0.015,000,0.015
2016-03-24,0.015,0.015,0.015,0.015,000,0.015
2016-03-23,0.014,0.015,0.014,0.015,251200,0.015
2016-03-22,0.015,0.015,0.015,0.015,000,0.015
2016-03-21,0.015,0.015,0.014,0.015,1062500,0.015
2016-03-18,0.015,0.015,0.014,0.014,703600,0.014
2016-03-17,0.015,0.015,0.015,0.015,216500,0.015
2016-03-16,0.014,0.015,0.014,0.015,529500,0.015
2016-03-15,0.016,0.016,0.013,0.014,828000,0.014
2016-03-14,0.017,0.017,0.016,0.016,6045000,0.016
2016-03-11,0.017,0.018,0.017,0.017,598900,0.017
2016-03-10,0.017,0.017,0.017,0.017,496100,0.017
2016-03-09,0.019,0.02,0.017,0.017,591000,0.017
2016-03-08,0.017,0.019,0.017,0.017,982000,0.017
2016-03-07,0.016,0.017,0.016,0.017,514400,0.017
2016-03-04,0.016,0.016,0.016,0.016,1000000,0.016
2016-03-03,0.015,0.016,0.015,0.016,2329000,0.016
2016-03-02,0.015,0.015,0.014,0.015,1050000,0.015
2016-03-01,0.016,0.016,0.015,0.015,524400,0.015
2016-02-29,0.015,0.015,0.015,0.015,2236900,0.015
2016-02-26,0.014,0.014,0.014,0.014,677500,0.014
2016-02-25,0.012,0.014,0.012,0.014,860000,0.014
2016-02-24,0.013,0.013,0.013,0.013,263500,0.013
2016-02-23,0.013,0.014,0.013,0.013,69900,0.013
2016-02-22,0.012,0.012,0.012,0.012,000,0.012
2016-02-19,0.012,0.012,0.012,0.012,000,0.012
2016-02-18,0.012,0.012,0.012,0.012,000,0.012
2016-02-17,0.012,0.014,0.012,0.012,81100,0.012
2016-02-16,0.013,0.014,0.013,0.014,438100,0.014
2016-02-15,0.012,0.012,0.012,0.012,000,0.012
2016-02-12,0.013,0.013,0.012,0.012,810000,0.012
2016-02-11,0.014,0.014,0.014,0.014,000,0.014
2016-02-10,0.013,0.014,0.013,0.014,640000,0.014
2016-02-09,0.014,0.014,0.014,0.014,000,0.014
2016-02-08,0.014,0.014,0.014,0.014,000,0.014
2016-02-05,0.014,0.014,0.014,0.014,437500,0.014
2016-02-04,0.015,0.015,0.015,0.015,000,0.015
2016-02-03,0.015,0.015,0.015,0.015,100000,0.015
2016-02-02,0.014,0.014,0.014,0.014,10000,0.014
2016-02-01,0.015,0.015,0.015,0.015,50000,0.015
2016-01-29,0.015,0.015,0.015,0.015,000,0.015
2016-01-28,0.014,0.015,0.014,0.015,487300,0.015
2016-01-27,0.015,0.015,0.015,0.015,000,0.015
2016-01-26,0.015,0.015,0.015,0.015,000,0.015
2016-01-25,0.015,0.015,0.015,0.015,000,0.015
2016-01-22,0.015,0.015,0.015,0.015,000,0.015
2016-01-21,0.015,0.015,0.015,0.015,000,0.015
2016-01-20,0.014,0.015,0.014,0.015,188800,0.015
2016-01-19,0.013,0.013,0.013,0.013,891000,0.013
2016-01-18,0.014,0.015,0.013,0.013,261100,0.013
2016-01-15,0.014,0.014,0.014,0.014,155300,0.014
2016-01-14,0.013,0.013,0.013,0.013,15000,0.013
2016-01-13,0.014,0.015,0.014,0.015,59600,0.015
2016-01-12,0.014,0.014,0.014,0.014,565900,0.014
2016-01-11,0.014,0.014,0.013,0.013,166000,0.013
2016-01-08,0.014,0.014,0.014,0.014,376200,0.014
2016-01-07,0.014,0.014,0.014,0.014,1064000,0.014
2016-01-06,0.014,0.014,0.014,0.014,000,0.014
2016-01-05,0.014,0.014,0.014,0.014,517200,0.014
2016-01-04,0.016,0.016,0.014,0.014,85700,0.014
2016-01-01,0.016,0.016,0.016,0.016,000,0.016
2015-12-31,0.016,0.016,0.016,0.016,000,0.016
2015-12-30,0.015,0.016,0.015,0.016,187000,0.016
2015-12-29,0.014,0.014,0.014,0.014,000,0.014
2015-12-28,0.014,0.014,0.014,0.014,000,0.014
2015-12-25,0.014,0.014,0.014,0.014,000,0.014
2015-12-24,0.014,0.014,0.014,0.014,11810700,0.014
2015-12-23,0.015,0.015,0.015,0.015,436500,0.015
2015-12-22,0.017,0.017,0.016,0.016,572200,0.016
2015-12-21,0.015,0.015,0.014,0.014,1450200,0.014
2015-12-18,0.015,0.015,0.015,0.015,48200,0.015
2015-12-17,0.015,0.015,0.015,0.015,5600,0.015
2015-12-16,0.014,0.014,0.014,0.014,87500,0.014
2015-12-15,0.015,0.015,0.015,0.015,000,0.015
2015-12-14,0.015,0.015,0.015,0.015,000,0.015
2015-12-11,0.014,0.015,0.014,0.015,1489500,0.015
2015-12-10,0.015,0.015,0.014,0.015,1610000,0.015
2015-12-09,0.015,0.015,0.014,0.014,343600,0.014
2015-12-08,0.015,0.017,0.015,0.015,2821000,0.015
2015-12-07,0.015,0.016,0.015,0.016,65500,0.016
2015-12-04,0.016,0.016,0.016,0.016,1005000,0.016
2015-12-03,0.016,0.016,0.016,0.016,000,0.016
2015-12-02,0.017,0.017,0.016,0.016,979700,0.016
2015-12-01,0.017,0.017,0.017,0.017,179000,0.017
2015-11-30,0.017,0.017,0.017,0.017,126400,0.017
2015-11-27,0.018,0.018,0.018,0.018,77500,0.018
2015-11-26,0.019,0.019,0.018,0.018,221400,0.018
2015-11-25,0.018,0.018,0.018,0.018,140000,0.018
2015-11-24,0.018,0.018,0.018,0.018,30000,0.018
2015-11-23,0.018,0.019,0.018,0.018,285000,0.018
2015-11-20,0.017,0.018,0.017,0.017,435500,0.017
2015-11-19,0.018,0.018,0.018,0.018,100000,0.018
2015-11-18,0.018,0.018,0.018,0.018,338000,0.018
2015-11-17,0.018,0.018,0.018,0.018,285000,0.018
2015-11-16,0.018,0.018,0.018,0.018,565000,0.018
2015-11-13,0.018,0.018,0.018,0.018,6000,0.018
2015-11-12,0.018,0.018,0.018,0.018,75600,0.018
2015-11-11,0.018,0.018,0.018,0.018,5500,0.018
2015-11-10,0.019,0.02,0.017,0.017,2230000,0.017
2015-11-09,0.018,0.019,0.018,0.019,1075600,0.019
2015-11-06,0.02,0.021,0.02,0.021,1080000,0.021
2015-11-05,0.022,0.022,0.022,0.022,10000,0.022
2015-11-04,0.02,0.02,0.019,0.02,330000,0.02
2015-11-03,0.018,0.02,0.018,0.02,1498700,0.02
2015-11-02,0.018,0.019,0.017,0.017,657300,0.017
2015-10-30,0.018,0.019,0.018,0.018,363200,0.018
2015-10-29,0.017,0.017,0.017,0.017,106600,0.017
2015-10-28,0.018,0.018,0.018,0.018,300000,0.018
2015-10-27,0.019,0.019,0.017,0.017,478600,0.017
2015-10-26,0.017,0.019,0.017,0.019,2000000,0.019
2015-10-23,0.016,0.017,0.015,0.017,987500,0.017
2015-10-22,0.016,0.016,0.015,0.016,130000,0.016
2015-10-21,0.017,0.017,0.017,0.017,59300,0.017
2015-10-20,0.015,0.015,0.015,0.015,700,0.015
2015-10-19,0.016,0.016,0.015,0.015,90000,0.015
2015-10-16,0.016,0.017,0.016,0.017,2593400,0.017
2015-10-15,0.014,0.015,0.014,0.015,648300,0.015
2015-10-14,0.014,0.015,0.014,0.015,90500,0.015
2015-10-13,0.014,0.015,0.014,0.015,1759500,0.015
2015-10-12,0.014,0.015,0.014,0.015,69000,0.015
2015-10-09,0.014,0.014,0.014,0.014,857800,0.014
2015-10-08,0.015,0.015,0.015,0.015,912100,0.015
2015-10-07,0.014,0.014,0.014,0.014,402100,0.014
2015-10-06,0.014,0.014,0.014,0.014,1953900,0.014
2015-10-05,0.014,0.014,0.013,0.014,2112200,0.014
2015-10-02,0.015,0.015,0.014,0.014,1897900,0.014
2015-10-01,0.015,0.015,0.015,0.015,000,0.015
2015-09-30,0.016,0.016,0.015,0.015,1120300,0.015
