Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.15,0.15,0.142,0.145,1129000,0.145
2016-06-30,0.15,0.15,0.14,0.14,3525500,0.14
2016-06-29,0.12,0.12,0.12,0.12,000,0.12
2016-06-28,0.12,0.12,0.12,0.12,000,0.12
2016-06-27,0.12,0.12,0.11,0.12,1287500,0.12
2016-06-24,0.135,0.135,0.12,0.12,1742400,0.12
2016-06-23,0.135,0.135,0.13,0.13,1372400,0.13
2016-06-22,0.14,0.14,0.135,0.135,161300,0.135
2016-06-21,0.135,0.137,0.135,0.135,890900,0.135
2016-06-20,0.135,0.14,0.135,0.135,380500,0.135
2016-06-17,0.145,0.145,0.135,0.135,711900,0.135
2016-06-16,0.14,0.14,0.137,0.14,489100,0.14
2016-06-15,0.145,0.145,0.135,0.135,800600,0.135
2016-06-14,0.155,0.155,0.145,0.145,1087900,0.145
2016-06-13,0.15,0.15,0.15,0.15,000,0.15
2016-06-10,0.15,0.15,0.147,0.15,180000,0.15
2016-06-09,0.155,0.155,0.145,0.145,1330000,0.145
2016-06-08,0.15,0.1525,0.15,0.15,435900,0.15
2016-06-07,0.145,0.155,0.145,0.15,895200,0.15
2016-06-06,0.16,0.16,0.15,0.15,664300,0.15
2016-06-03,0.16,0.16,0.15,0.15,1359200,0.15
2016-06-02,0.175,0.185,0.16,0.16,1771400,0.16
2016-06-01,0.175,0.175,0.17,0.175,938800,0.175
2016-05-31,0.185,0.185,0.17,0.17,1588900,0.17
2016-05-30,0.195,0.20,0.175,0.18,2937600,0.18
2016-05-27,0.155,0.18,0.155,0.18,2729700,0.18
2016-05-26,0.145,0.155,0.145,0.15,536500,0.15
2016-05-25,0.14,0.145,0.14,0.145,319600,0.145
2016-05-24,0.145,0.145,0.14,0.14,424100,0.14
2016-05-23,0.145,0.145,0.14,0.14,222900,0.14
2016-05-20,0.14,0.14,0.135,0.14,763300,0.14
2016-05-19,0.145,0.145,0.135,0.135,1075400,0.135
2016-05-18,0.14,0.145,0.14,0.14,519600,0.14
2016-05-17,0.15,0.15,0.14,0.14,459200,0.14
2016-05-16,0.145,0.145,0.145,0.145,550000,0.145
2016-05-13,0.15,0.15,0.145,0.145,130500,0.145
2016-05-12,0.155,0.155,0.15,0.15,658400,0.15
2016-05-11,0.15,0.155,0.15,0.15,394700,0.15
2016-05-10,0.155,0.155,0.145,0.145,821200,0.145
2016-05-09,0.16,0.16,0.15,0.15,314200,0.15
2016-05-06,0.15,0.16,0.15,0.16,844600,0.16
2016-05-05,0.155,0.155,0.145,0.145,662700,0.145
2016-05-04,0.15,0.155,0.15,0.155,1019900,0.155
2016-05-03,0.155,0.155,0.145,0.145,1273300,0.145
2016-05-02,0.16,0.16,0.152,0.155,1032500,0.155
2016-04-29,0.155,0.16,0.15,0.16,1337700,0.16
2016-04-28,0.155,0.16,0.155,0.155,747100,0.155
2016-04-27,0.16,0.16,0.15,0.155,553900,0.155
2016-04-26,0.16,0.16,0.15,0.155,805800,0.155
2016-04-25,0.16,0.16,0.16,0.16,000,0.16
2016-04-22,0.16,0.16,0.155,0.16,476500,0.16
2016-04-21,0.155,0.17,0.155,0.16,2940300,0.16
2016-04-20,0.15,0.155,0.145,0.15,1229600,0.15
2016-04-19,0.155,0.155,0.145,0.15,1493300,0.15
2016-04-18,0.165,0.165,0.155,0.155,1424800,0.155
2016-04-15,0.165,0.17,0.16,0.16,2432800,0.16
2016-04-14,0.17,0.18,0.16,0.18,1226400,0.18
2016-04-13,0.175,0.18,0.17,0.17,617100,0.17
2016-04-12,0.175,0.185,0.17,0.175,1193200,0.175
2016-04-11,0.18,0.185,0.175,0.18,548800,0.18
2016-04-08,0.18,0.185,0.177,0.18,310200,0.18
2016-04-07,0.18,0.19,0.175,0.175,378900,0.175
2016-04-06,0.17,0.185,0.17,0.175,433800,0.175
2016-04-05,0.185,0.19,0.17,0.17,803800,0.17
2016-04-04,0.205,0.21,0.185,0.185,1010000,0.185
2016-04-01,0.21,0.215,0.205,0.205,108500,0.205
2016-03-31,0.215,0.22,0.21,0.21,247600,0.21
2016-03-30,0.21,0.22,0.21,0.215,486100,0.215
2016-03-29,0.21,0.215,0.21,0.21,90400,0.21
2016-03-28,0.205,0.205,0.205,0.205,000,0.205
2016-03-25,0.205,0.205,0.205,0.205,000,0.205
2016-03-24,0.21,0.215,0.205,0.205,733200,0.205
2016-03-23,0.215,0.22,0.215,0.22,161900,0.22
2016-03-22,0.225,0.225,0.215,0.215,558300,0.215
2016-03-21,0.215,0.23,0.21,0.23,1166300,0.23
2016-03-18,0.215,0.215,0.20,0.205,1289300,0.205
2016-03-17,0.23,0.23,0.21,0.21,2727400,0.21
2016-03-16,0.235,0.25,0.22,0.22,3000400,0.22
2016-03-15,0.27,0.27,0.23,0.235,4445700,0.235
2016-03-14,0.26,0.26,0.255,0.255,315200,0.255
2016-03-11,0.28,0.28,0.25,0.25,1298300,0.25
2016-03-10,0.27,0.28,0.27,0.275,1505300,0.275
2016-03-09,0.275,0.285,0.265,0.265,1775300,0.265
2016-03-08,0.265,0.27,0.26,0.27,1143400,0.27
2016-03-07,0.255,0.275,0.25,0.26,2315400,0.26
2016-03-04,0.24,0.25,0.24,0.25,715600,0.25
2016-03-03,0.24,0.245,0.237,0.24,803000,0.24
2016-03-02,0.235,0.242,0.225,0.235,1504200,0.235
2016-03-01,0.25,0.27,0.23,0.23,5732400,0.23
2016-02-29,0.255,0.255,0.245,0.245,1011600,0.245
