Date,Open,High,Low,Close,Volume,Adj Close
2016-06-03,1.49,1.49,1.49,1.49,000,1.49
2016-06-02,1.49,1.49,1.49,1.49,000,1.49
2016-06-01,1.49,1.49,1.49,1.49,000,1.49
2016-05-31,1.49,1.49,1.49,1.49,000,1.49
2016-05-30,1.495,1.495,1.485,1.49,163700,1.49
2016-05-27,1.485,1.495,1.485,1.485,92200,1.485
2016-05-26,1.485,1.495,1.485,1.49,151100,1.49
2016-05-25,1.50,1.50,1.48,1.48,249800,1.48
2016-05-24,1.485,1.495,1.48,1.485,175500,1.485
2016-05-23,1.49,1.50,1.48,1.50,156200,1.50
2016-05-20,1.485,1.495,1.48,1.48,165400,1.48
2016-05-19,1.48,1.485,1.48,1.48,92500,1.48
2016-05-18,1.49,1.50,1.48,1.48,1188600,1.48
2016-05-17,1.495,1.50,1.495,1.495,263500,1.495
2016-05-16,1.495,1.50,1.495,1.495,431400,1.495
2016-05-13,1.44,1.49,1.435,1.48,620500,1.48
2016-05-12,1.49,1.4925,1.35,1.42,533100,1.42
2016-05-11,1.495,1.505,1.495,1.495,856100,1.495
2016-05-10,1.495,1.50,1.495,1.50,2300300,1.50
2016-05-09,1.50,1.50,1.495,1.495,1577600,1.495
2016-05-06,1.50,1.50,1.495,1.50,4932100,1.50
2016-05-05,1.495,1.50,1.495,1.495,2286400,1.495
2016-05-04,1.495,1.50,1.495,1.495,1856200,1.495
2016-05-03,1.50,1.50,1.495,1.50,3063700,1.50
2016-05-02,1.495,1.50,1.495,1.495,2715500,1.495
2016-04-29,1.49,1.495,1.45,1.48,23678300,1.48
2016-04-28,1.085,1.125,1.085,1.12,30900,1.12
2016-04-27,1.05,1.10,1.02,1.05,2317100,1.05
2016-04-26,1.15,1.20,1.07,1.115,2079500,1.115
2016-04-25,1.25,1.25,1.25,1.25,000,1.25
2016-04-22,1.28,1.28,1.245,1.25,650000,1.25
2016-04-21,1.29,1.29,1.25,1.275,1555000,1.275
2016-04-20,1.27,1.275,1.24,1.25,1758800,1.25
2016-04-19,1.315,1.315,1.265,1.27,1624500,1.27
2016-04-18,1.27,1.285,1.265,1.28,797500,1.28
2016-04-15,1.275,1.295,1.255,1.265,1664400,1.265
2016-04-14,1.24,1.275,1.235,1.265,1113700,1.265
2016-04-13,1.24,1.26,1.23,1.23,855200,1.23
2016-04-12,1.225,1.24,1.22,1.235,553200,1.235
2016-04-11,1.24,1.24,1.22,1.225,714300,1.225
2016-04-08,1.225,1.24,1.22,1.235,1114800,1.235
2016-04-07,1.315,1.315,1.225,1.24,2843300,1.24
2016-04-06,1.35,1.36,1.255,1.28,9235800,1.28
2016-04-05,1.15,1.26,1.145,1.25,882000,1.25
2016-04-04,1.165,1.165,1.14,1.16,454300,1.16
2016-04-01,1.18,1.18,1.14,1.165,375500,1.165
2016-03-31,1.205,1.215,1.165,1.185,811700,1.185
