Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.24,0.25,0.24,0.245,83100,0.245
2016-06-30,0.24,0.245,0.24,0.245,485400,0.245
2016-06-29,0.24,0.24,0.24,0.24,148000,0.24
2016-06-28,0.24,0.245,0.23,0.24,342200,0.24
2016-06-27,0.235,0.24,0.235,0.24,150300,0.24
2016-06-24,0.235,0.235,0.225,0.225,12700,0.225
2016-06-23,0.23,0.235,0.23,0.235,331300,0.235
2016-06-22,0.23,0.235,0.225,0.23,87700,0.23
2016-06-21,0.24,0.24,0.23,0.23,547600,0.23
2016-06-20,0.245,0.245,0.235,0.235,10000,0.235
2016-06-17,0.245,0.25,0.245,0.25,109500,0.25
2016-06-16,0.245,0.25,0.245,0.25,97000,0.25
2016-06-15,0.245,0.25,0.24,0.25,367700,0.25
2016-06-14,0.245,0.25,0.24,0.245,434300,0.245
2016-06-13,0.245,0.245,0.245,0.245,000,0.245
2016-06-10,0.245,0.245,0.245,0.245,000,0.245
2016-06-09,0.25,0.25,0.24,0.245,108000,0.245
2016-06-08,0.25,0.25,0.25,0.25,64900,0.25
2016-06-07,0.235,0.245,0.23,0.245,300800,0.245
2016-06-06,0.235,0.245,0.235,0.245,83200,0.245
2016-06-03,0.245,0.245,0.235,0.24,439700,0.24
2016-06-02,0.245,0.245,0.245,0.245,5000,0.245
2016-06-01,0.245,0.255,0.245,0.25,76600,0.25
2016-05-31,0.25,0.255,0.24,0.245,734200,0.245
2016-05-30,0.25,0.26,0.25,0.26,307500,0.26
2016-05-27,0.27,0.27,0.25,0.25,243600,0.25
2016-05-26,0.265,0.265,0.265,0.265,20000,0.265
2016-05-25,0.275,0.275,0.255,0.27,235500,0.27
2016-05-24,0.255,0.28,0.255,0.28,622600,0.28
2016-05-23,0.245,0.255,0.245,0.25,47500,0.25
2016-05-20,0.235,0.255,0.235,0.255,660300,0.255
2016-05-19,0.24,0.24,0.24,0.24,253500,0.24
2016-05-18,0.245,0.245,0.24,0.24,195600,0.24
2016-05-17,0.24,0.25,0.235,0.25,208700,0.25
2016-05-16,0.24,0.24,0.235,0.24,239700,0.24
2016-05-13,0.245,0.245,0.242,0.2425,42800,0.2425
2016-05-12,0.25,0.25,0.25,0.25,240900,0.25
2016-05-11,0.25,0.25,0.25,0.25,200000,0.25
2016-05-10,0.245,0.245,0.24,0.245,98000,0.245
2016-05-09,0.245,0.245,0.235,0.24,162300,0.24
2016-05-06,0.245,0.25,0.245,0.25,128500,0.25
2016-05-05,0.25,0.255,0.25,0.25,193200,0.25
2016-05-04,0.23,0.255,0.23,0.255,1849400,0.255
2016-05-03,0.23,0.235,0.23,0.235,709900,0.235
2016-05-02,0.235,0.235,0.23,0.23,727300,0.23
2016-04-29,0.23,0.23,0.23,0.23,63600,0.23
2016-04-28,0.235,0.235,0.22,0.22,533100,0.22
2016-04-27,0.235,0.24,0.23,0.235,123900,0.235
2016-04-26,0.235,0.24,0.235,0.24,173300,0.24
2016-04-25,0.225,0.225,0.225,0.225,000,0.225
2016-04-22,0.23,0.23,0.225,0.225,196900,0.225
2016-04-21,0.235,0.24,0.23,0.23,474100,0.23
2016-04-20,0.235,0.24,0.235,0.24,667700,0.24
2016-04-19,0.23,0.235,0.225,0.235,636400,0.235
2016-04-18,0.23,0.235,0.225,0.235,352800,0.235
2016-04-15,0.235,0.235,0.23,0.23,264700,0.23
2016-04-14,0.24,0.24,0.23,0.23,155300,0.23
2016-04-13,0.23,0.24,0.225,0.24,406900,0.24
2016-04-12,0.24,0.24,0.225,0.235,635600,0.235
2016-04-11,0.215,0.24,0.215,0.24,1265900,0.24
2016-04-08,0.215,0.215,0.21,0.21,118200,0.21
2016-04-07,0.215,0.215,0.21,0.215,239300,0.215
2016-04-06,0.215,0.215,0.215,0.215,218200,0.215
2016-04-05,0.215,0.22,0.215,0.215,125300,0.215
2016-04-04,0.21,0.225,0.21,0.22,1061000,0.22
2016-04-01,0.19,0.21,0.19,0.21,1628400,0.21
2016-03-31,0.19,0.19,0.19,0.19,501700,0.19
2016-03-30,0.185,0.19,0.185,0.19,200100,0.19
2016-03-29,0.19,0.19,0.19,0.19,5342300,0.19
2016-03-28,0.185,0.185,0.185,0.185,000,0.185
2016-03-25,0.185,0.185,0.185,0.185,000,0.185
2016-03-24,0.19,0.19,0.185,0.185,498900,0.185
2016-03-23,0.185,0.195,0.185,0.19,1165800,0.19
2016-03-22,0.18,0.185,0.18,0.185,570500,0.185
2016-03-21,0.18,0.185,0.18,0.18,304800,0.18
2016-03-18,0.17,0.18,0.17,0.18,871300,0.18
2016-03-17,0.175,0.175,0.175,0.175,30000,0.175
2016-03-16,0.17,0.17,0.17,0.17,48900,0.17
2016-03-15,0.17,0.17,0.17,0.17,126600,0.17
2016-03-14,0.175,0.175,0.175,0.175,000,0.175
2016-03-11,0.17,0.175,0.17,0.175,391200,0.175
2016-03-10,0.17,0.17,0.165,0.17,414700,0.17
2016-03-09,0.165,0.165,0.165,0.165,000,0.165
2016-03-08,0.165,0.165,0.165,0.165,000,0.165
2016-03-07,0.165,0.165,0.165,0.165,395000,0.165
2016-03-04,0.167,0.167,0.165,0.165,18800,0.165
2016-03-03,0.17,0.17,0.165,0.165,306000,0.165
2016-03-02,0.172,0.1725,0.17,0.17,262500,0.17
2016-03-01,0.175,0.175,0.175,0.175,000,0.175
2016-02-29,0.175,0.175,0.16,0.175,1208300,0.175
2016-02-26,0.18,0.18,0.18,0.18,000,0.18
2016-02-25,0.18,0.18,0.18,0.18,25000,0.18
2016-02-24,0.175,0.18,0.175,0.18,193000,0.18
2016-02-23,0.18,0.18,0.18,0.18,000,0.18
2016-02-22,0.175,0.18,0.175,0.18,612600,0.18
2016-02-19,0.175,0.175,0.175,0.175,000,0.175
2016-02-18,0.175,0.175,0.175,0.175,90000,0.175
2016-02-17,0.17,0.17,0.17,0.17,000,0.17
2016-02-16,0.17,0.17,0.17,0.17,96000,0.17
2016-02-15,0.17,0.17,0.17,0.17,000,0.17
2016-02-12,0.17,0.17,0.17,0.17,000,0.17
2016-02-11,0.175,0.175,0.17,0.17,79800,0.17
2016-02-10,0.17,0.175,0.17,0.175,22300,0.175
2016-02-09,0.175,0.175,0.17,0.17,156300,0.17
2016-02-08,0.175,0.175,0.175,0.175,000,0.175
2016-02-05,0.175,0.175,0.175,0.175,100000,0.175
