Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.14,0.14,0.14,0.14,508400,0.14
2016-06-30,0.14,0.14,0.14,0.14,262500,0.14
2016-06-29,0.14,0.14,0.14,0.14,000,0.14
2016-06-28,0.14,0.14,0.14,0.14,50000,0.14
2016-06-27,0.14,0.14,0.14,0.14,60000,0.14
2016-06-24,0.125,0.13,0.12,0.13,518200,0.13
2016-06-23,0.14,0.145,0.14,0.14,438300,0.14
2016-06-22,0.12,0.14,0.12,0.14,264700,0.14
2016-06-21,0.125,0.125,0.12,0.12,261200,0.12
2016-06-20,0.13,0.13,0.13,0.13,50000,0.13
2016-06-17,0.135,0.135,0.135,0.135,149000,0.135
2016-06-16,0.12,0.15,0.12,0.145,1021700,0.145
2016-06-15,0.12,0.12,0.12,0.12,000,0.12
2016-06-14,0.13,0.13,0.115,0.12,376000,0.12
2016-06-13,0.125,0.125,0.125,0.125,000,0.125
2016-06-10,0.105,0.125,0.105,0.125,914400,0.125
2016-06-09,0.10,0.10,0.096,0.10,270500,0.10
2016-06-08,0.10,0.10,0.10,0.10,4000,0.10
2016-06-07,0.105,0.105,0.10,0.10,789300,0.10
2016-06-06,0.11,0.11,0.10,0.10,87000,0.10
2016-06-03,0.11,0.11,0.10,0.10,404100,0.10
2016-06-02,0.11,0.11,0.105,0.105,404300,0.105
2016-06-01,0.11,0.115,0.105,0.11,1070600,0.11
2016-05-31,0.095,0.105,0.095,0.105,366500,0.105
2016-05-30,0.125,0.14,0.094,0.094,1089200,0.094
2016-05-27,0.092,0.125,0.092,0.12,1065000,0.12
2016-05-26,0.081,0.095,0.08,0.088,837200,0.088
2016-05-25,0.065,0.07,0.065,0.07,663500,0.07
2016-05-24,0.063,0.063,0.063,0.063,405400,0.063
2016-05-23,0.068,0.068,0.068,0.068,5800,0.068
2016-05-20,0.061,0.061,0.061,0.061,384100,0.061
2016-05-19,0.061,0.061,0.06,0.06,294500,0.06
2016-05-18,0.06,0.061,0.06,0.061,1153800,0.061
2016-05-17,0.06,0.061,0.06,0.061,48400,0.061
2016-05-16,0.058,0.058,0.058,0.058,150000,0.058
2016-05-13,0.06,0.06,0.06,0.06,134000,0.06
2016-05-12,0.06,0.061,0.06,0.061,1155500,0.061
2016-05-11,0.056,0.06,0.056,0.06,498400,0.06
