Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.03,0.03,0.03,0.03,000,0.03
2016-06-30,0.014,0.032,0.014,0.03,56644000,0.03
2016-06-29,0.012,0.012,0.012,0.012,000,0.012
2016-06-28,0.012,0.012,0.012,0.012,76900,0.012
2016-06-27,0.011,0.011,0.011,0.011,100000,0.011
2016-06-24,0.012,0.012,0.01,0.011,6737500,0.011
2016-06-23,0.013,0.013,0.012,0.012,1521500,0.012
2016-06-22,0.014,0.015,0.014,0.015,333700,0.015
2016-06-21,0.014,0.014,0.013,0.013,350000,0.013
2016-06-20,0.013,0.0135,0.013,0.013,333900,0.013
2016-06-17,0.012,0.012,0.012,0.012,000,0.012
2016-06-16,0.013,0.013,0.012,0.012,927200,0.012
2016-06-15,0.014,0.014,0.012,0.012,994500,0.012
2016-06-14,0.014,0.015,0.013,0.013,1138000,0.013
2016-06-13,0.014,0.014,0.014,0.014,000,0.014
2016-06-10,0.015,0.015,0.014,0.014,2230800,0.014
2016-06-09,0.017,0.017,0.015,0.015,534900,0.015
2016-06-08,0.016,0.016,0.015,0.016,365900,0.016
2016-06-07,0.015,0.016,0.015,0.016,213000,0.016
2016-06-06,0.018,0.018,0.015,0.017,1434600,0.017
2016-06-03,0.015,0.017,0.014,0.017,1662200,0.017
2016-06-02,0.013,0.018,0.013,0.014,13800900,0.014
2016-06-01,0.013,0.013,0.012,0.012,560000,0.012
2016-05-31,0.012,0.012,0.012,0.012,628900,0.012
2016-05-30,0.011,0.012,0.011,0.012,1588200,0.012
2016-05-27,0.012,0.012,0.011,0.011,275000,0.011
2016-05-26,0.011,0.011,0.011,0.011,227900,0.011
2016-05-25,0.011,0.011,0.01,0.01,192000,0.01
2016-05-24,0.011,0.012,0.011,0.012,1526500,0.012
2016-05-23,0.011,0.011,0.01,0.011,350000,0.011
2016-05-20,0.012,0.012,0.01,0.01,378500,0.01
2016-05-19,0.011,0.011,0.011,0.011,1206700,0.011
2016-05-18,0.01,0.01,0.01,0.01,568300,0.01
2016-05-17,0.01,0.01,0.01,0.01,518300,0.01
2016-05-16,0.01,0.01,0.01,0.01,97400,0.01
2016-05-13,0.01,0.01,0.01,0.01,9100,0.01
2016-05-12,0.01,0.01,0.01,0.01,291400,0.01
2016-05-11,0.01,0.01,0.01,0.01,000,0.01
2016-05-10,0.01,0.01,0.01,0.01,000,0.01
2016-05-09,0.01,0.01,0.01,0.01,000,0.01
2016-05-06,0.01,0.01,0.01,0.01,000,0.01
2016-05-05,0.01,0.01,0.01,0.01,1100000,0.01
2016-05-04,0.011,0.011,0.011,0.011,000,0.011
2016-05-03,0.011,0.011,0.011,0.011,40000,0.011
2016-05-02,0.01,0.012,0.01,0.012,318000,0.012
2016-04-29,0.011,0.012,0.011,0.012,264800,0.012
2016-04-28,0.01,0.01,0.01,0.01,000,0.01
2016-04-27,0.01,0.01,0.01,0.01,215000,0.01
2016-04-26,0.011,0.011,0.01,0.01,215600,0.01
2016-04-25,0.012,0.012,0.012,0.012,000,0.012
2016-04-22,0.012,0.012,0.012,0.012,000,0.012
2016-04-21,0.012,0.012,0.012,0.012,000,0.012
2016-04-20,0.012,0.012,0.012,0.012,000,0.012
2016-04-19,0.012,0.012,0.012,0.012,720300,0.012
2016-04-18,0.011,0.011,0.011,0.011,200000,0.011
2016-04-15,0.011,0.011,0.011,0.011,87500,0.011
2016-04-14,0.011,0.011,0.011,0.011,000,0.011
2016-04-13,0.011,0.011,0.011,0.011,44300,0.011
2016-04-12,0.011,0.011,0.011,0.011,520700,0.011
2016-04-11,0.011,0.011,0.011,0.011,300000,0.011
2016-04-08,0.01,0.011,0.01,0.011,265900,0.011
2016-04-07,0.01,0.01,0.01,0.01,000,0.01
2016-04-06,0.01,0.01,0.01,0.01,42000,0.01
2016-04-05,0.01,0.01,0.01,0.01,500000,0.01
2016-04-04,0.01,0.01,0.009,0.009,105000,0.009
2016-04-01,0.009,0.009,0.009,0.009,000,0.009
2016-03-31,0.009,0.009,0.009,0.009,000,0.009
2016-03-30,0.009,0.009,0.009,0.009,000,0.009
2016-03-29,0.009,0.009,0.009,0.009,186500,0.009
2016-03-28,0.009,0.009,0.009,0.009,000,0.009
2016-03-25,0.009,0.009,0.009,0.009,000,0.009
2016-03-24,0.009,0.009,0.009,0.009,000,0.009
2016-03-23,0.009,0.009,0.009,0.009,000,0.009
2016-03-22,0.009,0.009,0.009,0.009,000,0.009
2016-03-21,0.01,0.01,0.009,0.009,561300,0.009
2016-03-18,0.009,0.01,0.009,0.009,658500,0.009
2016-03-17,0.008,0.008,0.008,0.008,000,0.008
2016-03-16,0.008,0.008,0.008,0.008,21100,0.008
2016-03-15,0.008,0.008,0.008,0.008,000,0.008
2016-03-14,0.009,0.009,0.008,0.008,607600,0.008
2016-03-11,0.01,0.01,0.01,0.01,000,0.01
2016-03-10,0.01,0.01,0.01,0.01,000,0.01
2016-03-09,0.01,0.01,0.01,0.01,000,0.01
2016-03-08,0.01,0.01,0.01,0.01,000,0.01
2016-03-07,0.01,0.01,0.01,0.01,000,0.01
2016-03-04,0.01,0.01,0.01,0.01,000,0.01
2016-03-03,0.01,0.01,0.01,0.01,671100,0.01
2016-03-02,0.009,0.009,0.009,0.009,10000,0.009
2016-03-01,0.009,0.01,0.009,0.01,460000,0.01
2016-02-29,0.008,0.008,0.008,0.008,000,0.008
2016-02-26,0.008,0.008,0.008,0.008,000,0.008
2016-02-25,0.008,0.008,0.008,0.008,000,0.008
2016-02-24,0.008,0.008,0.008,0.008,000,0.008
2016-02-23,0.008,0.008,0.008,0.008,55000,0.008
2016-02-22,0.009,0.009,0.009,0.009,723900,0.009
2016-02-19,0.01,0.01,0.01,0.01,19400,0.01
2016-02-18,0.01,0.01,0.009,0.009,1329300,0.009
2016-02-17,0.01,0.01,0.01,0.01,500000,0.01
2016-02-16,0.01,0.01,0.01,0.01,610200,0.01
2016-02-15,0.011,0.011,0.011,0.011,000,0.011
2016-02-12,0.011,0.011,0.011,0.011,000,0.011
2016-02-11,0.011,0.011,0.011,0.011,000,0.011
2016-02-10,0.01,0.011,0.01,0.011,2450000,0.011
2016-02-09,0.01,0.01,0.01,0.01,121000,0.01
2016-02-08,0.009,0.009,0.008,0.009,2562900,0.009
2016-02-05,0.01,0.01,0.009,0.009,105800,0.009
2016-02-04,0.009,0.009,0.009,0.009,000,0.009
2016-02-03,0.009,0.009,0.009,0.009,000,0.009
2016-02-02,0.009,0.009,0.009,0.009,168800,0.009
2016-02-01,0.009,0.009,0.008,0.009,1323800,0.009
2016-01-29,0.009,0.01,0.009,0.01,634000,0.01
2016-01-28,0.009,0.009,0.009,0.009,000,0.009
2016-01-27,0.009,0.009,0.009,0.009,000,0.009
2016-01-26,0.009,0.009,0.009,0.009,000,0.009
2016-01-25,0.009,0.009,0.009,0.009,000,0.009
2016-01-22,0.009,0.009,0.009,0.009,100000,0.009
2016-01-21,0.01,0.01,0.01,0.01,000,0.01
2016-01-20,0.01,0.01,0.01,0.01,000,0.01
2016-01-19,0.01,0.01,0.01,0.01,000,0.01
2016-01-18,0.01,0.01,0.01,0.01,230800,0.01
2016-01-15,0.011,0.011,0.011,0.011,000,0.011
2016-01-14,0.011,0.011,0.011,0.011,000,0.011
2016-01-13,0.011,0.011,0.011,0.011,403600,0.011
2016-01-12,0.011,0.011,0.011,0.011,678800,0.011
2016-01-11,0.011,0.011,0.011,0.011,000,0.011
2016-01-08,0.011,0.011,0.011,0.011,1165300,0.011
2016-01-07,0.012,0.012,0.012,0.012,000,0.012
2016-01-06,0.012,0.012,0.012,0.012,161600,0.012
2016-01-05,0.013,0.013,0.013,0.013,000,0.013
2016-01-04,0.013,0.013,0.012,0.013,1012500,0.013
2016-01-01,0.013,0.013,0.013,0.013,000,0.013
2015-12-31,0.013,0.013,0.013,0.013,000,0.013
2015-12-30,0.013,0.013,0.013,0.013,200000,0.013
2015-12-29,0.013,0.013,0.013,0.013,296100,0.013
2015-12-28,0.013,0.013,0.013,0.013,000,0.013
2015-12-25,0.013,0.013,0.013,0.013,000,0.013
2015-12-24,0.011,0.013,0.011,0.013,505000,0.013
2015-12-23,0.013,0.013,0.013,0.013,000,0.013
2015-12-22,0.013,0.013,0.013,0.013,424400,0.013
2015-12-21,0.012,0.012,0.012,0.012,000,0.012
2015-12-18,0.012,0.012,0.012,0.012,1287400,0.012
2015-12-17,0.011,0.011,0.011,0.011,000,0.011
2015-12-16,0.011,0.011,0.011,0.011,61900,0.011
2015-12-15,0.011,0.011,0.011,0.011,269700,0.011
2015-12-14,0.011,0.011,0.011,0.011,575000,0.011
2015-12-11,0.012,0.012,0.012,0.012,000,0.012
2015-12-10,0.012,0.012,0.012,0.012,267300,0.012
2015-12-09,0.013,0.013,0.013,0.013,000,0.013
2015-12-08,0.013,0.013,0.013,0.013,000,0.013
2015-12-07,0.013,0.013,0.013,0.013,000,0.013
2015-12-04,0.013,0.013,0.013,0.013,100000,0.013
