Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.11,0.11,0.11,0.11,100000,0.11
2016-06-30,0.105,0.105,0.105,0.105,29000,0.105
2016-06-29,0.10,0.10,0.10,0.10,7500,0.10
2016-06-28,0.10,0.10,0.10,0.10,000,0.10
2016-06-27,0.105,0.105,0.10,0.10,528000,0.10
2016-06-24,0.11,0.11,0.105,0.105,74900,0.105
2016-06-23,0.11,0.11,0.11,0.11,44500,0.11
2016-06-22,0.11,0.11,0.11,0.11,000,0.11
2016-06-21,0.115,0.115,0.105,0.11,200000,0.11
2016-06-20,0.115,0.115,0.115,0.115,17000,0.115
2016-06-17,0.115,0.115,0.115,0.115,3000,0.115
2016-06-16,0.115,0.115,0.115,0.115,000,0.115
2016-06-15,0.13,0.13,0.115,0.115,18300,0.115
2016-06-14,0.13,0.13,0.13,0.13,000,0.13
2016-06-13,0.13,0.13,0.13,0.13,000,0.13
2016-06-10,0.13,0.13,0.13,0.13,000,0.13
2016-06-09,0.13,0.13,0.13,0.13,34700,0.13
2016-06-08,0.135,0.135,0.13,0.13,90200,0.13
2016-06-07,0.13,0.13,0.13,0.13,20000,0.13
2016-06-06,0.13,0.13,0.13,0.13,000,0.13
2016-06-03,0.13,0.13,0.13,0.13,25000,0.13
2016-06-02,0.13,0.13,0.13,0.13,000,0.13
2016-06-01,0.13,0.13,0.13,0.13,000,0.13
2016-05-31,0.13,0.13,0.13,0.13,6300,0.13
2016-05-30,0.13,0.13,0.13,0.13,50000,0.13
2016-05-27,0.13,0.13,0.13,0.13,000,0.13
2016-05-26,0.13,0.13,0.13,0.13,000,0.13
2016-05-25,0.13,0.13,0.13,0.13,40000,0.13
2016-05-24,0.13,0.13,0.13,0.13,100000,0.13
2016-05-23,0.13,0.13,0.13,0.13,16000,0.13
2016-05-20,0.13,0.13,0.13,0.13,000,0.13
2016-05-19,0.15,0.15,0.13,0.13,106400,0.13
2016-05-18,0.165,0.165,0.165,0.165,000,0.165
2016-05-17,0.165,0.165,0.165,0.165,10000,0.165
2016-05-16,0.165,0.165,0.165,0.165,10200,0.165
2016-05-13,0.165,0.165,0.165,0.165,9900,0.165
2016-05-12,0.165,0.165,0.165,0.165,50000,0.165
2016-05-11,0.165,0.165,0.165,0.165,000,0.165
2016-05-10,0.165,0.165,0.165,0.165,000,0.165
2016-05-09,0.165,0.165,0.165,0.165,000,0.165
2016-05-06,0.165,0.165,0.165,0.165,000,0.165
2016-05-05,0.165,0.165,0.165,0.165,000,0.165
2016-05-04,0.165,0.165,0.165,0.165,5500,0.165
2016-05-03,0.175,0.175,0.175,0.175,5000,0.175
2016-05-02,0.175,0.18,0.175,0.175,11000,0.175
2016-04-29,0.18,0.18,0.18,0.18,000,0.18
2016-04-28,0.18,0.18,0.18,0.18,000,0.18
2016-04-27,0.18,0.18,0.18,0.18,000,0.18
2016-04-26,0.18,0.18,0.18,0.18,000,0.18
2016-04-25,0.18,0.18,0.18,0.18,000,0.18
2016-04-22,0.18,0.18,0.18,0.18,000,0.18
2016-04-21,0.175,0.18,0.175,0.18,11100,0.18
2016-04-20,0.17,0.175,0.17,0.175,20000,0.175
2016-04-19,0.17,0.175,0.17,0.175,48100,0.175
2016-04-18,0.16,0.16,0.16,0.16,9000,0.16
2016-04-15,0.16,0.16,0.16,0.16,45700,0.16
2016-04-14,0.16,0.16,0.15,0.16,35000,0.16
2016-04-13,0.16,0.165,0.16,0.165,4000,0.165
2016-04-12,0.165,0.165,0.165,0.165,000,0.165
2016-04-11,0.165,0.165,0.165,0.165,17000,0.165
2016-04-08,0.16,0.16,0.16,0.16,6200,0.16
2016-04-07,0.165,0.165,0.165,0.165,000,0.165
2016-04-06,0.16,0.165,0.16,0.165,97000,0.165
2016-04-05,0.15,0.155,0.15,0.155,76400,0.155
2016-04-04,0.13,0.14,0.13,0.14,171100,0.14
2016-04-01,0.13,0.13,0.13,0.13,51100,0.13
2016-03-31,0.125,0.125,0.12,0.12,65700,0.12
2016-03-30,0.13,0.13,0.13,0.13,28500,0.13
2016-03-29,0.13,0.13,0.13,0.13,75000,0.13
2016-03-28,0.12,0.12,0.12,0.12,000,0.12
2016-03-25,0.12,0.12,0.12,0.12,000,0.12
2016-03-24,0.12,0.12,0.12,0.12,000,0.12
2016-03-23,0.12,0.12,0.12,0.12,000,0.12
2016-03-22,0.12,0.12,0.12,0.12,000,0.12
2016-03-21,0.12,0.12,0.12,0.12,000,0.12
2016-03-18,0.12,0.12,0.12,0.12,120000,0.12
2016-03-17,0.115,0.115,0.115,0.115,2500,0.115
2016-03-16,0.12,0.12,0.12,0.12,000,0.12
2016-03-15,0.12,0.12,0.12,0.12,000,0.12
2016-03-14,0.12,0.12,0.12,0.12,000,0.12
2016-03-11,0.12,0.12,0.12,0.12,000,0.12
2016-03-10,0.12,0.12,0.12,0.12,000,0.12
2016-03-09,0.12,0.12,0.12,0.12,000,0.12
2016-03-08,0.11,0.12,0.11,0.12,115000,0.12
2016-03-07,0.105,0.105,0.105,0.105,000,0.105
2016-03-04,0.105,0.105,0.105,0.105,000,0.105
2016-03-03,0.105,0.105,0.105,0.105,000,0.105
2016-03-02,0.105,0.105,0.105,0.105,000,0.105
2016-03-01,0.105,0.105,0.105,0.105,1200,0.105
2016-02-29,0.105,0.105,0.105,0.105,3000,0.105
2016-02-26,0.105,0.105,0.105,0.105,000,0.105
2016-02-25,0.105,0.105,0.105,0.105,000,0.105
2016-02-24,0.105,0.105,0.105,0.105,69600,0.105
2016-02-23,0.10,0.10,0.10,0.10,000,0.10
2016-02-22,0.10,0.10,0.10,0.10,000,0.10
2016-02-19,0.10,0.10,0.10,0.10,15000,0.10
