Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.135,1.135,1.13,1.135,35200,1.135
2016-06-30,1.115,1.14,1.115,1.135,14100,1.135
2016-06-29,1.115,1.115,1.075,1.115,85300,1.115
2016-06-28,1.10,1.10,1.06,1.07,151000,1.07
2016-06-27,1.08,1.14,1.08,1.125,96800,1.125
2016-06-24,1.115,1.12,1.10,1.10,250500,1.10
2016-06-23,1.12,1.13,1.11,1.115,167300,1.115
2016-06-22,1.12,1.14,1.11,1.11,92100,1.11
2016-06-21,1.135,1.145,1.12,1.12,150900,1.12
2016-06-20,1.135,1.14,1.13,1.13,93200,1.13
2016-06-17,1.14,1.15,1.135,1.14,86700,1.14
2016-06-16,1.15,1.15,1.14,1.14,97000,1.14
2016-06-15,1.14,1.17,1.14,1.14,47700,1.14
2016-06-14,1.16,1.17,1.14,1.14,181100,1.14
2016-06-13,1.175,1.175,1.175,1.175,000,1.175
2016-06-10,1.19,1.19,1.16,1.175,80800,1.175
2016-06-09,1.205,1.22,1.18,1.18,48000,1.18
2016-06-08,1.175,1.20,1.17,1.20,106100,1.20
2016-06-07,1.18,1.18,1.175,1.175,50400,1.175
2016-06-06,1.18,1.18,1.16,1.16,38700,1.16
2016-06-03,1.17,1.17,1.17,1.17,000,1.17
2016-06-02,1.205,1.205,1.17,1.17,55000,1.17
2016-06-01,1.26,1.26,1.18,1.19,90800,1.19
2016-05-31,1.20,1.30,1.20,1.27,122600,1.27
2016-05-30,1.18,1.22,1.15,1.18,158700,1.18
2016-05-27,1.14,1.15,1.14,1.15,169400,1.15
2016-05-26,1.15,1.15,1.14,1.14,36900,1.14
2016-05-25,1.145,1.145,1.115,1.115,74000,1.115
2016-05-24,1.16,1.17,1.15,1.15,62100,1.15
2016-05-23,1.205,1.215,1.155,1.175,68300,1.175
2016-05-20,1.175,1.195,1.175,1.195,60100,1.195
2016-05-19,1.145,1.18,1.14,1.175,48900,1.175
2016-05-18,1.145,1.145,1.115,1.145,92800,1.145
2016-05-17,1.13,1.17,1.115,1.115,160500,1.115
2016-05-16,1.10,1.10,1.09,1.10,104900,1.10
2016-05-13,1.085,1.09,1.08,1.09,143300,1.09
2016-05-12,1.09,1.09,1.075,1.085,100700,1.085
2016-05-11,1.08,1.09,1.07,1.09,89700,1.09
2016-05-10,1.08,1.08,1.07,1.08,73500,1.08
2016-05-09,1.075,1.08,1.07,1.08,201300,1.08
2016-05-06,1.06,1.075,1.055,1.075,42200,1.075
2016-05-05,1.06,1.07,1.055,1.06,81800,1.06
2016-05-04,1.07,1.07,1.06,1.07,53000,1.07
2016-05-03,1.06,1.06,1.06,1.06,12000,1.06
2016-05-02,1.06,1.07,1.055,1.07,144400,1.07
2016-04-29,1.065,1.07,1.06,1.06,146500,1.06
2016-04-28,1.06,1.06,1.055,1.055,68300,1.055
