Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,7.96,7.98,7.88,7.88,1046900,7.88
2016-06-30,8.40,8.435,7.78,7.88,2165100,7.88
2016-06-29,8.08,8.75,8.04,8.12,3171000,8.12
2016-06-28,7.42,7.75,7.30,7.69,2788100,7.69
2016-06-27,8.58,8.58,7.80,7.82,5641000,7.82
2016-06-24,10.17,10.30,8.52,8.71,3749900,8.71
2016-06-23,9.87,10.19,9.82,10.15,2099500,10.15
2016-06-22,9.76,9.87,9.70,9.83,771000,9.83
2016-06-21,9.66,9.75,9.50,9.71,653700,9.71
2016-06-20,9.50,9.64,9.40,9.62,899000,9.62
2016-06-17,9.09,9.34,9.02,9.33,1382100,9.33
2016-06-16,9.00,9.10,8.87,8.95,1016900,8.95
2016-06-15,8.96,9.05,8.71,9.00,1647700,9.00
2016-06-14,9.44,9.47,9.05,9.05,2340800,9.05
2016-06-13,9.64,9.64,9.64,9.64,000,9.64
2016-06-10,9.70,9.73,9.53,9.64,610800,9.64
2016-06-09,9.51,9.79,9.51,9.75,730000,9.75
2016-06-08,9.60,9.63,9.45,9.56,586900,9.56
2016-06-07,9.48,9.62,9.46,9.49,793500,9.49
2016-06-06,9.50,9.51,9.36,9.41,388900,9.41
2016-06-03,9.59,9.61,9.50,9.52,580200,9.52
2016-06-02,9.67,9.68,9.41,9.42,578400,9.42
2016-06-01,9.96,10.08,9.66,9.69,869600,9.69
2016-05-31,9.90,10.03,9.78,10.03,831900,10.03
2016-05-30,9.81,9.94,9.77,9.88,440400,9.88
2016-05-27,9.87,9.91,9.73,9.80,522700,9.80
2016-05-26,9.80,9.87,9.68,9.82,649800,9.82
2016-05-25,9.98,10.09,9.89,10.00,1226600,9.78914
2016-05-24,9.87,9.93,9.805,9.93,892800,9.72062
2016-05-23,9.83,9.90,9.65,9.87,702600,9.66188
2016-05-20,9.54,9.83,9.50,9.80,837300,9.59336
2016-05-19,9.45,9.52,9.36,9.49,1495300,9.2899
2016-05-18,9.20,9.44,9.07,9.33,1005500,9.13327
2016-05-17,9.40,9.44,9.27,9.30,675300,9.1039
2016-05-16,9.26,9.41,9.22,9.32,529800,9.12348
2016-05-13,9.32,9.37,9.23,9.23,684600,9.03538
2016-05-12,9.42,9.47,9.16,9.23,783800,9.03538
2016-05-11,9.46,9.57,9.37,9.42,1063000,9.22137
2016-05-10,9.39,9.635,9.29,9.33,1365300,9.13327
2016-05-09,9.33,9.45,9.20,9.38,1349500,9.18222
2016-05-06,9.89,9.92,9.29,9.33,2464800,9.13327
2016-05-05,10.15,10.44,10.02,10.14,1039800,9.92619
2016-05-04,10.08,10.34,10.08,10.19,900900,9.97514
2016-05-03,9.84,10.22,9.81,10.17,812300,9.95556
2016-05-02,9.82,9.86,9.51,9.81,527600,9.60315
2016-04-29,10.09,10.17,9.79,9.89,537800,9.68146
2016-04-28,10.09,10.24,9.93,10.06,704500,9.84788
2016-04-27,9.89,10.19,9.86,9.96,302600,9.74999
2016-04-26,10.15,10.23,9.85,9.89,479000,9.68146
2016-04-25,10.06,10.06,10.06,10.06,000,9.84788
2016-04-22,10.05,10.18,9.98,10.06,546500,9.84788
2016-04-21,10.06,10.27,9.99,10.08,693400,9.86746
2016-04-20,9.85,10.03,9.82,9.87,490600,9.66188
2016-04-19,10.08,10.09,9.79,9.84,707900,9.63252
2016-04-18,10.01,10.08,9.94,9.95,393600,9.7402
2016-04-15,9.90,10.08,9.88,10.04,523400,9.8283
2016-04-14,9.74,9.985,9.70,9.85,800100,9.64231
2016-04-13,9.69,9.80,9.66,9.69,822400,9.48568
2016-04-12,9.50,9.82,9.45,9.58,757400,9.378
2016-04-11,9.31,9.50,9.14,9.41,799500,9.21158
2016-04-08,9.19,9.38,9.12,9.27,569300,9.07454
2016-04-07,9.33,9.44,9.26,9.33,458700,9.13327
2016-04-06,9.27,9.48,9.18,9.31,1056900,9.11369
2016-04-05,9.56,9.67,9.28,9.31,692600,9.11369
2016-04-04,9.65,9.69,9.56,9.60,342700,9.39758
2016-04-01,9.61,9.65,9.53,9.58,506400,9.378
2016-03-31,9.55,9.73,9.53,9.70,412900,9.49547
2016-03-30,9.65,9.78,9.32,9.45,1269700,9.25074
2016-03-29,10.01,10.02,9.62,9.73,663600,9.52484
2016-03-28,9.98,9.98,9.98,9.98,000,9.76956
2016-03-25,9.98,9.98,9.98,9.98,000,9.76956
2016-03-24,9.96,10.07,9.93,9.98,702000,9.76956
2016-03-23,10.04,10.07,9.96,10.03,656800,9.81851
2016-03-22,9.91,10.04,9.87,10.03,512900,9.81851
2016-03-21,9.88,9.94,9.80,9.86,423500,9.65209
2016-03-18,9.77,9.94,9.75,9.85,854900,9.64231
2016-03-17,9.40,9.69,9.40,9.62,854100,9.41716
2016-03-16,9.45,9.51,9.315,9.38,483700,9.18222
2016-03-15,9.33,9.55,9.24,9.39,857200,9.19201
2016-03-14,9.24,9.46,9.17,9.24,444900,9.04517
2016-03-11,9.25,9.30,8.95,9.24,460800,9.04517
2016-03-10,9.49,9.49,9.22,9.24,497300,9.04517
2016-03-09,9.29,9.41,9.19,9.37,357200,9.17243
2016-03-08,9.60,9.64,9.24,9.29,1368400,9.09411
2016-03-07,9.51,9.68,9.51,9.53,657000,9.32905
2016-03-04,9.35,9.44,9.20,9.41,845400,9.21158
2016-03-03,9.35,9.50,9.24,9.29,1753000,9.09411
2016-03-02,9.16,9.39,9.13,9.30,1292000,9.1039
2016-03-01,9.06,9.27,8.98,9.07,574600,8.87875
2016-02-29,8.94,9.18,8.94,9.14,665800,8.94728
2016-02-26,9.10,9.13,8.90,8.93,353300,8.74171
2016-02-25,9.30,9.32,9.03,9.07,396000,8.87875
2016-02-24,9.21,9.345,9.14,9.20,539400,9.00601
2016-02-23,9.33,9.42,9.13,9.20,561300,9.00601
2016-02-22,9.22,9.37,9.16,9.29,583300,9.09411
2016-02-19,9.40,9.40,9.10,9.22,757700,9.02559
2016-02-18,9.22,9.47,9.17,9.47,876800,9.27032
2016-02-17,9.09,9.15,8.91,9.02,572600,8.82981
2016-02-16,9.01,9.12,8.83,9.05,823600,8.85917
2016-02-15,8.65,8.85,8.50,8.82,1279500,8.63402
2016-02-12,8.66,8.70,8.09,8.30,1732200,8.12499
2016-02-11,8.80,8.89,8.77,8.82,1037000,8.63402
2016-02-10,9.10,9.15,8.70,8.74,1022900,8.55571
2016-02-09,9.65,9.65,9.12,9.13,712400,8.93749
2016-02-08,9.80,9.86,9.61,9.74,313400,9.53463
2016-02-05,10.00,10.00,9.73,9.94,674600,9.73041
2016-02-04,9.95,10.02,9.68,9.92,958000,9.71083
2016-02-03,10.00,10.24,9.85,9.86,815800,9.65209
2016-02-02,10.95,10.95,10.29,10.34,724800,10.12197
2016-02-01,10.80,10.99,10.50,10.90,969800,10.67017
2016-01-29,10.52,10.79,10.30,10.64,887200,10.41565
2016-01-28,10.60,10.66,10.45,10.57,626900,10.34712
2016-01-27,10.78,10.80,10.53,10.61,432700,10.38628
2016-01-26,10.78,10.78,10.78,10.78,000,10.5527
2016-01-25,10.77,10.94,10.72,10.78,577400,10.5527
2016-01-22,10.38,10.61,10.32,10.56,560400,10.33734
2016-01-21,10.49,10.58,10.29,10.31,637100,10.09261
2016-01-20,10.41,10.62,10.32,10.36,872500,10.14155
2016-01-19,10.30,10.56,10.08,10.51,811000,10.28839
2016-01-18,10.39,10.49,10.12,10.45,585400,10.22965
2016-01-15,10.81,11.03,10.53,10.57,706000,10.34712
2016-01-14,10.97,11.00,10.55,10.81,649500,10.58206
2016-01-13,11.28,11.45,11.16,11.20,914000,10.96384
2016-01-12,11.10,11.35,10.95,11.05,581900,10.817
2016-01-11,10.94,11.05,10.82,11.05,665600,10.817
2016-01-08,10.71,11.34,10.65,11.20,1015300,10.96384
2016-01-07,11.50,11.55,11.13,11.13,557900,10.89532
2016-01-06,11.87,12.00,11.51,11.61,445900,11.36519
2016-01-05,12.38,12.39,11.64,11.83,767500,11.58056
2016-01-04,12.87,12.95,12.60,12.63,320100,12.36369
