Date,Open,High,Low,Close,Volume,Adj Close
2014-08-28,0.005,0.005,0.005,0.005,000,0.005
2014-08-27,0.005,0.005,0.005,0.005,000,0.005
2014-08-26,0.005,0.005,0.005,0.005,000,0.005
2014-08-25,0.005,0.005,0.005,0.005,000,0.005
2014-08-22,0.005,0.005,0.005,0.005,000,0.005
2014-08-21,0.005,0.005,0.005,0.005,000,0.005
2014-08-20,0.005,0.005,0.005,0.005,000,0.005
2014-08-19,0.005,0.005,0.005,0.005,000,0.005
2014-08-18,0.005,0.005,0.005,0.005,000,0.005
2014-08-15,0.005,0.005,0.005,0.005,000,0.005
2014-08-14,0.005,0.005,0.005,0.005,000,0.005
2014-08-13,0.005,0.005,0.005,0.005,000,0.005
2014-08-12,0.005,0.005,0.005,0.005,000,0.005
2014-08-11,0.005,0.005,0.005,0.005,000,0.005
2014-08-08,0.005,0.005,0.005,0.005,000,0.005
2014-08-07,0.005,0.005,0.005,0.005,000,0.005
2014-08-06,0.005,0.005,0.005,0.005,000,0.005
2014-08-05,0.005,0.005,0.005,0.005,000,0.005
2014-08-04,0.005,0.005,0.005,0.005,000,0.005
2014-08-01,0.005,0.005,0.005,0.005,000,0.005
2014-07-31,0.005,0.005,0.005,0.005,000,0.005
2014-07-30,0.005,0.005,0.005,0.005,000,0.005
2014-07-29,0.004,0.005,0.004,0.005,850000,0.005
2014-07-28,0.004,0.004,0.003,0.003,112600,0.003
2014-07-25,0.004,0.004,0.004,0.004,20000,0.004
2014-07-24,0.004,0.004,0.004,0.004,000,0.004
2014-07-23,0.004,0.004,0.004,0.004,000,0.004
2014-07-22,0.004,0.004,0.004,0.004,111900,0.004
2014-07-21,0.004,0.004,0.004,0.004,400000,0.004
2014-07-18,0.003,0.003,0.003,0.003,1567400,0.003
2014-07-17,0.003,0.003,0.003,0.003,000,0.003
2014-07-16,0.003,0.003,0.003,0.003,000,0.003
2014-07-15,0.003,0.003,0.003,0.003,584500,0.003
2014-07-14,0.003,0.003,0.003,0.003,000,0.003
2014-07-11,0.003,0.003,0.003,0.003,40000,0.003
2014-07-10,0.004,0.004,0.004,0.004,000,0.004
2014-07-09,0.004,0.004,0.004,0.004,000,0.004
2014-07-08,0.004,0.004,0.004,0.004,000,0.004
2014-07-07,0.004,0.004,0.004,0.004,000,0.004
2014-07-04,0.004,0.004,0.004,0.004,000,0.004
2014-07-03,0.004,0.004,0.004,0.004,000,0.004
2014-07-02,0.004,0.004,0.004,0.004,150000,0.004
2014-07-01,0.003,0.003,0.003,0.003,000,0.003
2014-06-30,0.003,0.003,0.003,0.003,17300,0.003
2014-06-27,0.003,0.003,0.003,0.003,5300,0.003
2014-06-26,0.003,0.004,0.003,0.003,179400,0.003
2014-06-25,0.004,0.004,0.004,0.004,000,0.004
2014-06-24,0.004,0.004,0.004,0.004,1060500,0.004
2014-06-23,0.005,0.005,0.005,0.005,397600,0.005
2014-06-20,0.005,0.005,0.005,0.005,000,0.005
2014-06-19,0.005,0.005,0.005,0.005,000,0.005
2014-06-18,0.005,0.005,0.005,0.005,000,0.005
2014-06-17,0.005,0.005,0.005,0.005,000,0.005
2014-06-16,0.005,0.005,0.005,0.005,000,0.005
2014-06-13,0.005,0.005,0.005,0.005,000,0.005
2014-06-12,0.005,0.005,0.005,0.005,000,0.005
2014-06-11,0.005,0.005,0.005,0.005,2400,0.005
2014-06-10,0.006,0.006,0.006,0.006,000,0.006
2014-06-09,0.006,0.006,0.006,0.006,000,0.006
2014-06-06,0.007,0.007,0.006,0.006,120000,0.006
2014-06-05,0.005,0.005,0.005,0.005,20000,0.005
2014-06-04,0.006,0.006,0.006,0.006,000,0.006
2014-06-03,0.006,0.006,0.006,0.006,169900,0.006
2014-06-02,0.006,0.006,0.006,0.006,519700,0.006
2014-05-30,0.007,0.007,0.006,0.006,95000,0.006
2014-05-29,0.007,0.007,0.007,0.007,10000,0.007
2014-05-28,0.007,0.007,0.007,0.007,150000,0.007
2014-05-27,0.008,0.008,0.008,0.008,773200,0.008
2014-05-26,0.006,0.008,0.006,0.008,570200,0.008
2014-05-23,0.005,0.005,0.005,0.005,000,0.005
2014-05-22,0.005,0.005,0.005,0.005,000,0.005
2014-05-21,0.006,0.006,0.005,0.005,327200,0.005
2014-05-20,0.006,0.006,0.006,0.006,1800,0.006
2014-05-19,0.006,0.006,0.006,0.006,000,0.006
2014-05-16,0.006,0.006,0.006,0.006,76900,0.006
2014-05-15,0.006,0.006,0.006,0.006,199900,0.006
2014-05-14,0.007,0.007,0.007,0.007,000,0.007
2014-05-13,0.007,0.007,0.007,0.007,594000,0.007
2014-05-12,0.007,0.008,0.007,0.007,308100,0.007
2014-05-09,0.008,0.008,0.007,0.007,197800,0.007
2014-05-08,0.01,0.01,0.007,0.007,1472800,0.007
2014-05-07,0.011,0.011,0.011,0.011,000,0.011
2014-05-06,0.01,0.011,0.01,0.011,586100,0.011
2014-05-05,0.014,0.014,0.01,0.01,3841600,0.01
2014-05-02,0.007,0.021,0.007,0.014,14389900,0.014
2014-05-01,0.006,0.006,0.006,0.006,000,0.006
2014-04-30,0.006,0.006,0.006,0.006,33000,0.006
2014-04-29,0.004,0.004,0.004,0.004,000,0.004
2014-04-28,0.004,0.004,0.004,0.004,000,0.004
2014-04-25,0.004,0.004,0.004,0.004,000,0.004
2014-04-24,0.004,0.004,0.004,0.004,000,0.004
2014-04-23,0.004,0.004,0.004,0.004,000,0.004
2014-04-22,0.004,0.004,0.004,0.004,000,0.004
2014-04-21,0.004,0.004,0.004,0.004,000,0.004
2014-04-18,0.004,0.004,0.004,0.004,000,0.004
2014-04-17,0.004,0.004,0.004,0.004,000,0.004
2014-04-16,0.004,0.004,0.004,0.004,000,0.004
2014-04-15,0.004,0.004,0.004,0.004,000,0.004
2014-04-14,0.004,0.004,0.004,0.004,15100,0.004
2014-04-11,0.004,0.004,0.004,0.004,000,0.004
2014-04-10,0.004,0.004,0.004,0.004,000,0.004
2014-04-09,0.004,0.004,0.004,0.004,000,0.004
2014-04-08,0.004,0.004,0.004,0.004,000,0.004
2014-04-07,0.004,0.004,0.004,0.004,000,0.004
2014-04-04,0.004,0.004,0.004,0.004,000,0.004
2014-04-03,0.004,0.004,0.004,0.004,000,0.004
2014-04-02,0.004,0.004,0.004,0.004,000,0.004
2014-04-01,0.004,0.004,0.004,0.004,000,0.004
2014-03-31,0.004,0.004,0.004,0.004,000,0.004
2014-03-28,0.004,0.004,0.004,0.004,000,0.004
2014-03-27,0.004,0.004,0.004,0.004,000,0.004
2014-03-26,0.004,0.004,0.004,0.004,000,0.004
2014-03-25,0.004,0.004,0.004,0.004,000,0.004
2014-03-24,0.004,0.004,0.004,0.004,28000,0.004
2014-03-21,0.008,0.008,0.008,0.008,000,0.008
2014-03-20,0.008,0.008,0.008,0.008,000,0.008
2014-03-19,0.008,0.008,0.008,0.008,000,0.008
2014-03-18,0.008,0.008,0.008,0.008,000,0.008
2014-03-17,0.008,0.008,0.008,0.008,000,0.008
2014-03-14,0.008,0.008,0.008,0.008,000,0.008
2014-03-13,0.008,0.008,0.008,0.008,000,0.008
2014-03-12,0.008,0.008,0.008,0.008,935100,0.008
2014-03-11,0.009,0.009,0.009,0.009,000,0.009
2014-03-10,0.009,0.009,0.009,0.009,000,0.009
2014-03-07,0.009,0.009,0.009,0.009,000,0.009
2014-03-06,0.009,0.009,0.009,0.009,000,0.009
2014-03-05,0.009,0.009,0.009,0.009,000,0.009
2014-03-04,0.009,0.009,0.009,0.009,000,0.009
2014-03-03,0.01,0.01,0.009,0.009,200000,0.009
2014-02-28,0.008,0.008,0.008,0.008,64800,0.008
2014-02-27,0.012,0.012,0.012,0.012,000,0.012
2014-02-26,0.012,0.012,0.012,0.012,000,0.012
2014-02-25,0.012,0.012,0.012,0.012,000,0.012
2014-02-24,0.012,0.012,0.012,0.012,000,0.012
2014-02-21,0.012,0.012,0.012,0.012,000,0.012
2014-02-20,0.012,0.012,0.012,0.012,000,0.012
2014-02-19,0.012,0.012,0.012,0.012,000,0.012
2014-02-18,0.012,0.012,0.012,0.012,000,0.012
2014-02-17,0.012,0.012,0.012,0.012,000,0.012
2014-02-14,0.012,0.012,0.012,0.012,000,0.012
2014-02-13,0.012,0.012,0.012,0.012,000,0.012
2014-02-12,0.012,0.012,0.012,0.012,000,0.012
2014-02-11,0.012,0.012,0.012,0.012,000,0.012
2014-02-10,0.012,0.012,0.012,0.012,000,0.012
2014-02-07,0.012,0.012,0.012,0.012,37500,0.012
2014-02-06,0.012,0.012,0.012,0.012,500000,0.012
2014-02-05,0.012,0.012,0.012,0.012,000,0.012
2014-02-04,0.012,0.012,0.012,0.012,000,0.012
2014-02-03,0.012,0.012,0.012,0.012,000,0.012
2014-01-31,0.012,0.012,0.012,0.012,000,0.012
2014-01-30,0.012,0.012,0.012,0.012,350000,0.012
2014-01-29,0.012,0.012,0.012,0.012,000,0.012
2014-01-28,0.012,0.012,0.012,0.012,000,0.012
2014-01-27,0.012,0.012,0.012,0.012,000,0.012
2014-01-24,0.013,0.013,0.012,0.012,2624700,0.012
2014-01-23,0.012,0.012,0.012,0.012,000,0.012
2014-01-22,0.012,0.012,0.012,0.012,000,0.012
2014-01-21,0.012,0.012,0.012,0.012,000,0.012
2014-01-20,0.011,0.012,0.011,0.012,305200,0.012
2014-01-17,0.01,0.01,0.01,0.01,000,0.01
2014-01-16,0.011,0.011,0.01,0.01,140500,0.01
2014-01-15,0.012,0.012,0.011,0.011,1552900,0.011
2014-01-14,0.013,0.013,0.013,0.013,000,0.013
2014-01-13,0.013,0.013,0.013,0.013,530000,0.013
2014-01-10,0.013,0.013,0.013,0.013,706700,0.013
2014-01-09,0.013,0.015,0.012,0.015,1337200,0.015
2014-01-08,0.013,0.013,0.013,0.013,142700,0.013
2014-01-07,0.012,0.012,0.012,0.012,295800,0.012
2014-01-06,0.012,0.012,0.012,0.012,80000,0.012
2014-01-03,0.01,0.013,0.01,0.013,555200,0.013
2014-01-02,0.009,0.009,0.009,0.009,000,0.009
2014-01-01,0.009,0.009,0.009,0.009,000,0.009
2013-12-31,0.013,0.013,0.009,0.009,458800,0.009
2013-12-30,0.008,0.01,0.008,0.01,67600,0.01
2013-12-27,0.009,0.009,0.008,0.008,453100,0.008
2013-12-26,0.007,0.007,0.007,0.007,000,0.007
2013-12-25,0.007,0.007,0.007,0.007,000,0.007
2013-12-24,0.008,0.008,0.006,0.007,1041800,0.007
2013-12-23,0.006,0.009,0.006,0.009,445000,0.009
2013-12-20,0.005,0.005,0.005,0.005,450000,0.005
2013-12-19,0.01,0.01,0.008,0.008,195000,0.008
2013-12-18,0.008,0.008,0.008,0.008,125000,0.008
2013-12-17,0.006,0.006,0.006,0.006,000,0.006
2013-12-16,0.006,0.006,0.006,0.006,000,0.006
2013-12-13,0.006,0.006,0.006,0.006,000,0.006
2013-12-12,0.007,0.007,0.006,0.006,409000,0.006
2013-12-11,0.005,0.005,0.005,0.005,000,0.005
2013-12-10,0.005,0.005,0.005,0.005,000,0.005
2013-12-09,0.005,0.005,0.005,0.005,000,0.005
2013-12-06,0.005,0.005,0.005,0.005,000,0.005
2013-12-05,0.005,0.005,0.005,0.005,000,0.005
2013-12-04,0.005,0.005,0.005,0.005,000,0.005
2013-12-03,0.005,0.005,0.005,0.005,000,0.005
2013-12-02,0.005,0.005,0.005,0.005,289400,0.005
2013-11-29,0.005,0.005,0.005,0.005,000,0.005
2013-11-28,0.005,0.005,0.005,0.005,39500,0.005
2013-11-27,0.006,0.006,0.005,0.005,184300,0.005
2013-11-26,0.005,0.005,0.005,0.005,56300,0.005
2013-11-25,0.006,0.006,0.006,0.006,000,0.006
2013-11-22,0.006,0.006,0.006,0.006,148500,0.006
2013-11-21,0.007,0.007,0.007,0.007,000,0.007
2013-11-20,0.007,0.007,0.007,0.007,000,0.007
2013-11-19,0.007,0.007,0.007,0.007,000,0.007
2013-11-18,0.007,0.007,0.007,0.007,000,0.007
2013-11-15,0.007,0.007,0.007,0.007,000,0.007
2013-11-14,0.007,0.007,0.007,0.007,000,0.007
2013-11-13,0.007,0.007,0.007,0.007,000,0.007
2013-11-12,0.007,0.007,0.007,0.007,106800,0.007
2013-11-11,0.007,0.007,0.007,0.007,000,0.007
2013-11-08,0.007,0.007,0.007,0.007,000,0.007
2013-11-07,0.007,0.007,0.007,0.007,189200,0.007
2013-11-06,0.006,0.006,0.006,0.006,000,0.006
2013-11-05,0.006,0.006,0.006,0.006,000,0.006
2013-11-04,0.006,0.006,0.006,0.006,000,0.006
2013-11-01,0.006,0.006,0.006,0.006,000,0.006
2013-10-31,0.006,0.006,0.006,0.006,000,0.006
2013-10-30,0.006,0.006,0.006,0.006,000,0.006
2013-10-29,0.006,0.006,0.006,0.006,800,0.006
2013-10-28,0.005,0.007,0.005,0.007,368100,0.007
2013-10-25,0.006,0.006,0.006,0.006,83400,0.006
2013-10-24,0.006,0.006,0.006,0.006,000,0.006
2013-10-23,0.006,0.006,0.006,0.006,000,0.006
2013-10-22,0.006,0.006,0.006,0.006,000,0.006
2013-10-21,0.006,0.006,0.006,0.006,860000,0.006
2013-10-18,0.004,0.004,0.004,0.004,000,0.004
2013-10-17,0.004,0.004,0.004,0.004,000,0.004
2013-10-16,0.004,0.004,0.004,0.004,000,0.004
2013-10-15,0.004,0.004,0.004,0.004,000,0.004
2013-10-14,0.004,0.004,0.004,0.004,000,0.004
2013-10-11,0.004,0.004,0.004,0.004,000,0.004
2013-10-10,0.004,0.004,0.004,0.004,000,0.004
2013-10-09,0.004,0.004,0.004,0.004,000,0.004
2013-10-08,0.004,0.004,0.004,0.004,000,0.004
2013-10-07,0.004,0.004,0.004,0.004,000,0.004
2013-10-04,0.004,0.004,0.004,0.004,000,0.004
2013-10-03,0.004,0.004,0.004,0.004,000,0.004
2013-10-02,0.004,0.004,0.004,0.004,000,0.004
2013-10-01,0.004,0.004,0.004,0.004,000,0.004
2013-09-30,0.004,0.004,0.004,0.004,000,0.004
2013-09-27,0.004,0.004,0.004,0.004,000,0.004
2013-09-26,0.004,0.004,0.004,0.004,000,0.004
2013-09-25,0.004,0.004,0.004,0.004,000,0.004
2013-09-24,0.004,0.004,0.004,0.004,000,0.004
2013-09-23,0.004,0.004,0.004,0.004,000,0.004
2013-09-20,0.004,0.004,0.004,0.004,000,0.004
2013-09-19,0.004,0.004,0.004,0.004,000,0.004
2013-09-18,0.004,0.004,0.004,0.004,4000,0.004
2013-09-17,0.004,0.004,0.004,0.004,000,0.004
2013-09-16,0.004,0.004,0.004,0.004,13900,0.004
2013-09-13,0.006,0.006,0.006,0.006,000,0.006
2013-09-12,0.006,0.006,0.006,0.006,150000,0.006
2013-09-11,0.004,0.004,0.004,0.004,000,0.004
2013-09-10,0.004,0.004,0.004,0.004,000,0.004
2013-09-09,0.004,0.004,0.004,0.004,000,0.004
2013-09-06,0.004,0.004,0.004,0.004,000,0.004
2013-09-05,0.004,0.004,0.004,0.004,000,0.004
2013-09-04,0.004,0.004,0.004,0.004,000,0.004
2013-09-03,0.004,0.004,0.004,0.004,000,0.004
2013-09-02,0.004,0.004,0.004,0.004,31100,0.004
2013-08-30,0.005,0.005,0.005,0.005,000,0.005
2013-08-29,0.005,0.005,0.005,0.005,000,0.005
2013-08-28,0.005,0.005,0.005,0.005,000,0.005
2013-08-27,0.005,0.005,0.005,0.005,20000,0.005
2013-08-26,0.005,0.005,0.005,0.005,000,0.005
2013-08-23,0.005,0.005,0.005,0.005,000,0.005
2013-08-22,0.005,0.005,0.005,0.005,000,0.005
2013-08-21,0.005,0.005,0.005,0.005,446000,0.005
2013-08-20,0.006,0.006,0.006,0.006,000,0.006
2013-08-19,0.006,0.006,0.006,0.006,000,0.006
2013-08-16,0.006,0.006,0.006,0.006,3200,0.006
2013-08-15,0.008,0.008,0.008,0.008,000,0.008
2013-08-14,0.008,0.008,0.008,0.008,000,0.008
2013-08-13,0.008,0.008,0.008,0.008,000,0.008
2013-08-12,0.006,0.008,0.006,0.008,485900,0.008
2013-08-09,0.005,0.005,0.005,0.005,000,0.005
2013-08-08,0.005,0.005,0.005,0.005,000,0.005
2013-08-07,0.005,0.005,0.005,0.005,000,0.005
2013-08-06,0.005,0.005,0.005,0.005,40000,0.005
2013-08-05,0.005,0.005,0.005,0.005,000,0.005
2013-08-02,0.005,0.005,0.005,0.005,000,0.005
2013-08-01,0.005,0.005,0.005,0.005,000,0.005
2013-07-31,0.005,0.005,0.005,0.005,000,0.005
2013-07-30,0.005,0.005,0.005,0.005,250000,0.005
2013-07-29,0.003,0.003,0.003,0.003,000,0.003
2013-07-26,0.003,0.003,0.003,0.003,000,0.003
2013-07-25,0.003,0.003,0.003,0.003,000,0.003
2013-07-24,0.003,0.003,0.003,0.003,000,0.003
2013-07-23,0.003,0.003,0.003,0.003,000,0.003
2013-07-22,0.003,0.003,0.003,0.003,000,0.003
2013-07-19,0.003,0.003,0.003,0.003,000,0.003
2013-07-18,0.003,0.003,0.003,0.003,000,0.003
2013-07-17,0.003,0.003,0.003,0.003,000,0.003
2013-07-16,0.003,0.003,0.003,0.003,000,0.003
2013-07-15,0.003,0.003,0.003,0.003,000,0.003
2013-07-12,0.003,0.003,0.003,0.003,41200,0.003
2013-07-11,0.004,0.004,0.004,0.004,000,0.004
2013-07-10,0.004,0.004,0.004,0.004,000,0.004
2013-07-09,0.004,0.004,0.004,0.004,000,0.004
2013-07-08,0.004,0.004,0.004,0.004,400,0.004
2013-07-05,0.004,0.004,0.004,0.004,000,0.004
2013-07-04,0.004,0.004,0.004,0.004,245000,0.004
2013-07-03,0.004,0.004,0.003,0.003,735700,0.003
2013-07-02,0.004,0.004,0.004,0.004,000,0.004
2013-07-01,0.004,0.004,0.004,0.004,000,0.004
2013-06-28,0.004,0.004,0.004,0.004,734900,0.004
2013-06-27,0.004,0.004,0.004,0.004,4000,0.004
2013-06-26,0.004,0.004,0.004,0.004,301100,0.004
2013-06-25,0.004,0.004,0.004,0.004,207000,0.004
2013-06-24,0.004,0.004,0.003,0.003,332400,0.003
2013-06-21,0.004,0.004,0.004,0.004,000,0.004
2013-06-20,0.004,0.004,0.004,0.004,000,0.004
2013-06-19,0.004,0.004,0.004,0.004,184600,0.004
2013-06-18,0.004,0.004,0.004,0.004,000,0.004
2013-06-17,0.004,0.004,0.004,0.004,340000,0.004
2013-06-14,0.004,0.004,0.004,0.004,200000,0.004
2013-06-13,0.006,0.006,0.006,0.006,000,0.006
2013-06-12,0.006,0.006,0.006,0.006,58405400,0.006
2013-06-11,0.006,0.006,0.006,0.006,000,0.006
2013-06-10,0.006,0.006,0.006,0.006,000,0.006
2013-06-07,0.01,0.01,0.006,0.006,1068000,0.006
2013-06-06,0.01,0.01,0.01,0.01,000,0.01
2013-06-05,0.01,0.01,0.01,0.01,000,0.01
2013-06-04,0.008,0.01,0.008,0.01,78800,0.01
2013-06-03,0.008,0.008,0.008,0.008,000,0.008
2013-05-31,0.008,0.008,0.008,0.008,000,0.008
2013-05-30,0.008,0.008,0.008,0.008,000,0.008
2013-05-29,0.008,0.008,0.008,0.008,000,0.008
2013-05-28,0.008,0.008,0.008,0.008,30000,0.008
2013-05-27,0.008,0.008,0.008,0.008,000,0.008
2013-05-24,0.008,0.008,0.008,0.008,000,0.008
2013-05-23,0.008,0.008,0.008,0.008,000,0.008
2013-05-22,0.008,0.008,0.008,0.008,000,0.008
2013-05-21,0.008,0.008,0.008,0.008,000,0.008
2013-05-20,0.008,0.008,0.008,0.008,50000,0.008
2013-05-17,0.01,0.01,0.01,0.01,500000,0.01
2013-05-16,0.01,0.01,0.01,0.01,000,0.01
2013-05-15,0.01,0.01,0.01,0.01,22600,0.01
2013-05-14,0.01,0.01,0.01,0.01,375000,0.01
2013-05-13,0.01,0.01,0.01,0.01,125000,0.01
2013-05-10,0.01,0.01,0.01,0.01,40000,0.01
2013-05-09,0.01,0.01,0.01,0.01,000,0.01
2013-05-08,0.01,0.01,0.01,0.01,000,0.01
2013-05-07,0.01,0.01,0.01,0.01,452100,0.01
2013-05-06,0.01,0.01,0.01,0.01,000,0.01
2013-05-03,0.01,0.01,0.01,0.01,000,0.01
2013-05-02,0.01,0.01,0.01,0.01,26000,0.01
2013-05-01,0.008,0.01,0.008,0.01,671900,0.01
2013-04-30,0.008,0.008,0.008,0.008,000,0.008
2013-04-29,0.008,0.008,0.008,0.008,26100,0.008
2013-04-26,0.01,0.011,0.01,0.011,300000,0.011
2013-04-25,0.01,0.01,0.01,0.01,000,0.01
2013-04-24,0.01,0.01,0.01,0.01,398000,0.01
2013-04-23,0.011,0.011,0.011,0.011,000,0.011
2013-04-22,0.011,0.011,0.011,0.011,000,0.011
2013-04-19,0.011,0.011,0.011,0.011,000,0.011
2013-04-18,0.011,0.011,0.011,0.011,000,0.011
2013-04-17,0.011,0.011,0.011,0.011,400000,0.011
2013-04-16,0.012,0.012,0.012,0.012,000,0.012
2013-04-15,0.012,0.012,0.012,0.012,000,0.012
2013-04-12,0.012,0.012,0.012,0.012,20000,0.012
2013-04-11,0.014,0.014,0.014,0.014,000,0.014
2013-04-10,0.014,0.014,0.014,0.014,000,0.014
2013-04-09,0.014,0.014,0.014,0.014,000,0.014
2013-04-08,0.014,0.014,0.014,0.014,000,0.014
2013-04-05,0.014,0.014,0.014,0.014,214200,0.014
2013-04-04,0.014,0.014,0.014,0.014,000,0.014
2013-04-03,0.015,0.015,0.014,0.014,421300,0.014
2013-04-02,0.014,0.014,0.014,0.014,000,0.014
2013-04-01,0.014,0.014,0.014,0.014,000,0.014
2013-03-29,0.014,0.014,0.014,0.014,000,0.014
2013-03-28,0.014,0.014,0.014,0.014,000,0.014
2013-03-27,0.014,0.014,0.014,0.014,000,0.014
2013-03-26,0.014,0.014,0.014,0.014,000,0.014
2013-03-25,0.014,0.014,0.014,0.014,000,0.014
2013-03-22,0.014,0.014,0.014,0.014,50000,0.014
2013-03-21,0.014,0.014,0.014,0.014,953300,0.014
2013-03-20,0.015,0.015,0.014,0.014,275100,0.014
2013-03-19,0.018,0.018,0.018,0.018,000,0.018
2013-03-18,0.018,0.018,0.018,0.018,000,0.018
2013-03-15,0.018,0.018,0.018,0.018,000,0.018
2013-03-14,0.018,0.018,0.018,0.018,000,0.018
2013-03-13,0.018,0.018,0.018,0.018,000,0.018
2013-03-12,0.018,0.018,0.018,0.018,000,0.018
2013-03-11,0.018,0.018,0.018,0.018,24800,0.018
2013-03-08,0.02,0.02,0.02,0.02,000,0.02
2013-03-07,0.02,0.02,0.02,0.02,000,0.02
2013-03-06,0.02,0.02,0.02,0.02,159700,0.02
2013-03-05,0.025,0.025,0.025,0.025,000,0.025
2013-03-04,0.025,0.025,0.025,0.025,000,0.025
2013-03-01,0.025,0.025,0.025,0.025,000,0.025
2013-02-28,0.025,0.025,0.025,0.025,000,0.025
2013-02-27,0.025,0.025,0.025,0.025,000,0.025
2013-02-26,0.025,0.025,0.025,0.025,000,0.025
2013-02-25,0.025,0.025,0.025,0.025,000,0.025
2013-02-22,0.025,0.025,0.025,0.025,000,0.025
2013-02-21,0.025,0.025,0.025,0.025,000,0.025
2013-02-20,0.025,0.025,0.025,0.025,000,0.025
2013-02-19,0.025,0.025,0.025,0.025,137900,0.025
2013-02-18,0.025,0.025,0.025,0.025,000,0.025
2013-02-15,0.025,0.025,0.025,0.025,000,0.025
2013-02-14,0.025,0.025,0.025,0.025,000,0.025
2013-02-13,0.025,0.025,0.025,0.025,41200,0.025
2013-02-12,0.025,0.025,0.025,0.025,000,0.025
2013-02-11,0.025,0.025,0.025,0.025,000,0.025
2013-02-08,0.025,0.025,0.025,0.025,44000,0.025
2013-02-07,0.025,0.025,0.025,0.025,000,0.025
2013-02-06,0.025,0.025,0.025,0.025,000,0.025
