Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.092,0.095,0.091,0.091,124800,0.091
2016-06-30,0.091,0.097,0.09,0.091,431500,0.091
2016-06-29,0.082,0.086,0.08,0.086,103900,0.086
2016-06-28,0.08,0.082,0.077,0.082,291400,0.082
2016-06-27,0.082,0.082,0.08,0.08,512800,0.08
2016-06-24,0.086,0.087,0.081,0.081,693600,0.081
2016-06-23,0.095,0.095,0.086,0.086,574400,0.086
2016-06-22,0.11,0.11,0.09,0.095,1037400,0.095
2016-06-21,0.115,0.115,0.115,0.115,000,0.115
2016-06-20,0.115,0.115,0.115,0.115,25500,0.115
2016-06-17,0.12,0.12,0.11,0.11,1132100,0.11
2016-06-16,0.115,0.125,0.115,0.12,1083600,0.12
2016-06-15,0.115,0.12,0.115,0.115,1164100,0.115
2016-06-14,0.125,0.125,0.12,0.12,570900,0.12
2016-06-13,0.13,0.13,0.13,0.13,000,0.13
2016-06-10,0.115,0.14,0.115,0.13,3057900,0.13
2016-06-09,0.10,0.117,0.10,0.115,2816300,0.115
2016-06-08,0.095,0.10,0.095,0.098,689700,0.098
2016-06-07,0.097,0.097,0.095,0.095,491100,0.095
2016-06-06,0.10,0.10,0.097,0.097,364000,0.097
2016-06-03,0.097,0.10,0.097,0.10,261800,0.10
2016-06-02,0.10,0.105,0.096,0.096,2190200,0.096
2016-06-01,0.084,0.095,0.084,0.095,2453600,0.095
2016-05-31,0.079,0.082,0.078,0.08,718400,0.08
2016-05-30,0.09,0.09,0.08,0.08,1328000,0.08
2016-05-27,0.094,0.095,0.085,0.087,2204300,0.087
2016-05-26,0.105,0.105,0.09,0.095,2007200,0.095
2016-05-25,0.09,0.125,0.089,0.10,3938400,0.10
2016-05-24,0.092,0.11,0.09,0.094,2201600,0.094
2016-05-23,0.075,0.093,0.075,0.091,3361200,0.091
2016-05-20,0.074,0.074,0.074,0.074,33000,0.074
2016-05-19,0.07,0.07,0.07,0.07,9200,0.07
2016-05-18,0.069,0.069,0.069,0.069,000,0.069
2016-05-17,0.069,0.069,0.069,0.069,60500,0.069
2016-05-16,0.073,0.073,0.068,0.068,300000,0.068
2016-05-13,0.075,0.075,0.068,0.07,338300,0.07
2016-05-12,0.075,0.075,0.075,0.075,000,0.075
2016-05-11,0.076,0.076,0.075,0.075,10400,0.075
2016-05-10,0.074,0.075,0.072,0.075,471500,0.075
2016-05-09,0.063,0.07,0.063,0.07,342400,0.07
2016-05-06,0.062,0.063,0.062,0.063,153300,0.063
2016-05-05,0.062,0.062,0.062,0.062,000,0.062
2016-05-04,0.06,0.062,0.059,0.062,281800,0.062
2016-05-03,0.059,0.06,0.059,0.06,153600,0.06
2016-05-02,0.064,0.067,0.059,0.059,549100,0.059
2016-04-29,0.06,0.06,0.06,0.06,37000,0.06
2016-04-28,0.059,0.059,0.058,0.059,112000,0.059
2016-04-27,0.059,0.059,0.059,0.059,63500,0.059
2016-04-26,0.059,0.059,0.059,0.059,000,0.059
2016-04-25,0.059,0.059,0.059,0.059,000,0.059
2016-04-22,0.061,0.061,0.059,0.059,224000,0.059
2016-04-21,0.061,0.061,0.061,0.061,14000,0.061
2016-04-20,0.06,0.06,0.06,0.06,50000,0.06
2016-04-19,0.063,0.063,0.059,0.059,499100,0.059
2016-04-18,0.061,0.063,0.061,0.063,39000,0.063
2016-04-15,0.062,0.062,0.061,0.062,122700,0.062
2016-04-14,0.061,0.061,0.061,0.061,000,0.061
2016-04-13,0.061,0.061,0.061,0.061,17500,0.061
2016-04-12,0.061,0.061,0.06,0.06,95200,0.06
2016-04-11,0.06,0.061,0.06,0.061,92300,0.061
