Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.60,0.60,0.60,0.60,6700,0.60
2016-06-30,0.60,0.60,0.60,0.60,13200,0.60
2016-06-29,0.60,0.60,0.60,0.60,000,0.60
2016-06-28,0.60,0.60,0.60,0.60,000,0.60
2016-06-27,0.60,0.60,0.60,0.60,000,0.60
2016-06-24,0.60,0.60,0.60,0.60,8200,0.60
2016-06-23,0.60,0.60,0.60,0.60,000,0.60
2016-06-22,0.60,0.60,0.60,0.60,1400,0.60
2016-06-21,0.60,0.60,0.60,0.60,000,0.60
2016-06-20,0.64,0.64,0.60,0.60,5900,0.60
2016-06-17,0.64,0.64,0.64,0.64,6900,0.64
2016-06-16,0.605,0.605,0.605,0.605,000,0.605
2016-06-15,0.605,0.605,0.605,0.605,000,0.605
2016-06-14,0.605,0.605,0.60,0.605,15600,0.605
2016-06-13,0.605,0.605,0.605,0.605,000,0.605
2016-06-10,0.605,0.605,0.605,0.605,3000,0.605
2016-06-09,0.605,0.605,0.605,0.605,14800,0.605
2016-06-08,0.605,0.605,0.605,0.605,26300,0.605
2016-06-07,0.63,0.63,0.63,0.63,15000,0.63
2016-06-06,0.61,0.61,0.61,0.61,000,0.61
2016-06-03,0.63,0.63,0.61,0.61,27900,0.61
2016-06-02,0.63,0.64,0.63,0.64,2000,0.64
2016-06-01,0.63,0.63,0.63,0.63,900,0.63
2016-05-31,0.605,0.605,0.595,0.595,54200,0.595
2016-05-30,0.595,0.605,0.595,0.605,22500,0.605
2016-05-27,0.60,0.60,0.595,0.595,7200,0.595
2016-05-26,0.605,0.605,0.595,0.595,12000,0.595
2016-05-25,0.595,0.61,0.595,0.60,56300,0.60
2016-05-24,0.595,0.595,0.595,0.595,2000,0.595
2016-05-23,0.595,0.595,0.595,0.595,000,0.595
2016-05-20,0.595,0.595,0.595,0.595,000,0.595
2016-05-19,0.595,0.595,0.595,0.595,28200,0.595
2016-05-18,0.61,0.61,0.60,0.60,4000,0.60
2016-05-17,0.62,0.62,0.615,0.615,36100,0.615
2016-05-16,0.65,0.65,0.65,0.65,000,0.65
2016-05-13,0.65,0.65,0.65,0.65,9000,0.65
2016-05-12,0.66,0.66,0.66,0.66,26300,0.66
2016-05-11,0.66,0.67,0.66,0.67,42800,0.67
2016-05-10,0.59,0.66,0.59,0.66,90700,0.66
2016-05-09,0.55,0.61,0.55,0.59,39900,0.59
2016-05-06,0.535,0.55,0.535,0.55,11000,0.55
2016-05-05,0.53,0.53,0.53,0.53,10800,0.53
2016-05-04,0.505,0.51,0.505,0.51,1700,0.51
2016-05-03,0.52,0.535,0.50,0.535,23500,0.535
2016-05-02,0.52,0.52,0.52,0.52,10000,0.52
2016-04-29,0.49,0.49,0.49,0.49,000,0.49
2016-04-28,0.52,0.52,0.52,0.52,000,0.52
2016-04-27,0.52,0.52,0.52,0.52,10000,0.52
2016-04-26,0.50,0.52,0.50,0.52,24900,0.52
2016-04-25,0.49,0.49,0.49,0.49,000,0.49
2016-04-22,0.49,0.49,0.49,0.49,000,0.49
2016-04-21,0.475,0.49,0.475,0.49,74600,0.49
2016-04-20,0.475,0.475,0.465,0.475,37000,0.475
2016-04-19,0.445,0.455,0.43,0.44,126500,0.44
2016-04-18,0.44,0.44,0.44,0.44,99000,0.44
2016-04-15,0.45,0.45,0.44,0.44,70000,0.44
2016-04-14,0.455,0.46,0.44,0.45,175500,0.45
2016-04-13,0.43,0.44,0.42,0.42,54400,0.42
2016-04-12,0.40,0.40,0.40,0.40,5600,0.40
2016-04-11,0.40,0.40,0.40,0.40,000,0.40
2016-04-08,0.40,0.40,0.40,0.40,000,0.40
2016-04-07,0.40,0.40,0.40,0.40,26800,0.40
2016-04-06,0.40,0.40,0.40,0.40,1200,0.40
2016-04-05,0.44,0.44,0.44,0.44,000,0.44
2016-04-04,0.44,0.44,0.44,0.44,000,0.44
2016-04-01,0.44,0.44,0.44,0.44,000,0.44
2016-03-31,0.44,0.44,0.44,0.44,4000,0.44
2016-03-30,0.42,0.425,0.42,0.425,30000,0.425
2016-03-29,0.40,0.40,0.40,0.40,35000,0.40
2016-03-28,0.40,0.40,0.40,0.40,000,0.40
2016-03-25,0.40,0.40,0.40,0.40,000,0.40
2016-03-24,0.40,0.40,0.40,0.40,3300,0.40
2016-03-23,0.41,0.41,0.41,0.41,000,0.41
2016-03-22,0.41,0.41,0.41,0.41,000,0.41
2016-03-21,0.40,0.42,0.40,0.41,12700,0.41
2016-03-18,0.39,0.39,0.39,0.39,47100,0.39
2016-03-17,0.38,0.40,0.38,0.40,33600,0.40
2016-03-16,0.42,0.42,0.42,0.42,000,0.42
2016-03-15,0.405,0.42,0.405,0.42,57100,0.42
2016-03-14,0.42,0.43,0.42,0.43,37100,0.406
2016-03-11,0.425,0.425,0.42,0.42,86900,0.396
2016-03-10,0.42,0.42,0.42,0.42,000,0.396
2016-03-09,0.42,0.42,0.42,0.42,000,0.396
2016-03-08,0.42,0.42,0.42,0.42,000,0.396
2016-03-07,0.425,0.425,0.42,0.42,16900,0.396
2016-03-04,0.42,0.42,0.42,0.42,000,0.396
2016-03-03,0.42,0.42,0.42,0.42,19000,0.396
2016-03-02,0.415,0.415,0.415,0.415,2200,0.392
2016-03-01,0.415,0.415,0.415,0.415,000,0.392
2016-02-29,0.415,0.415,0.415,0.415,1000,0.392
2016-02-26,0.415,0.415,0.415,0.415,000,0.392
2016-02-25,0.43,0.43,0.415,0.415,72400,0.392
2016-02-24,0.41,0.41,0.41,0.41,000,0.387
2016-02-23,0.41,0.41,0.41,0.41,15400,0.387
2016-02-22,0.41,0.41,0.40,0.40,7200,0.377
2016-02-19,0.43,0.43,0.41,0.41,71600,0.387
2016-02-18,0.42,0.42,0.42,0.42,000,0.396
2016-02-17,0.43,0.43,0.42,0.42,7100,0.396
2016-02-16,0.43,0.43,0.43,0.43,000,0.406
2016-02-15,0.43,0.43,0.43,0.43,000,0.406
2016-02-12,0.43,0.43,0.43,0.43,000,0.406
2016-02-11,0.43,0.43,0.43,0.43,106800,0.406
